0#0-(0.276315,0.669795) 1-(0.313906,0.653475) 2-(0.349692,0.552932) 3-(0.362009,0.479465) 4-(0.364697,0.425495) 5-(0.314293,0.456837) 6-(0.343233,0.420531) 7-(0.340454,0.492008) 8-(0.332802,0.540295) 9-(0.285256,0.456598) 10-(0.320241,0.434848) 11-(0.314517,0.526431) 12-(0.30161,0.569918) 13-(0.256876,0.46835) 14-(0.289218,0.451658) 15-(0.287242,0.54225) 16-(0.277251,0.588042) 17-(0.229652,0.49065) 18-(0.257883,0.467917) 19-(0.264282,0.530086) 20-(0.258958,0.566618) 
33333#0-(0.272866,0.670295) 1-(0.311629,0.654286) 2-(0.3472,0.55777) 3-(0.359398,0.485522) 4-(0.361393,0.430165) 5-(0.31628,0.45477) 6-(0.345406,0.424648) 7-(0.341417,0.493522) 8-(0.332839,0.536968) 9-(0.287641,0.453055) 10-(0.320283,0.439989) 11-(0.313603,0.529089) 12-(0.299969,0.568289) 13-(0.259819,0.464927) 14-(0.289843,0.453255) 15-(0.287635,0.541455) 16-(0.277924,0.583075) 17-(0.233192,0.489296) 18-(0.259994,0.476385) 19-(0.265209,0.540938) 20-(0.258965,0.575105) 
66666#0-(0.271107,0.669735) 1-(0.31102,0.651594) 2-(0.346404,0.543877) 3-(0.358518,0.469274) 4-(0.365536,0.417795) 5-(0.308041,0.441856) 6-(0.34082,0.414581) 7-(0.341622,0.486034) 8-(0.335411,0.532462) 9-(0.278286,0.445685) 10-(0.317365,0.432897) 11-(0.314416,0.521737) 12-(0.301574,0.563227) 13-(0.250985,0.462405) 14-(0.286214,0.453452) 15-(0.287292,0.539318) 16-(0.27713,0.580382) 17-(0.224563,0.490275) 18-(0.255785,0.478717) 19-(0.263906,0.54165) 20-(0.257074,0.574469) 
100000#0-(0.268075,0.672727) 1-(0.308888,0.652735) 2-(0.344374,0.55263) 3-(0.354923,0.478272) 4-(0.354242,0.425845) 5-(0.307034,0.45026) 6-(0.337369,0.423609) 7-(0.334709,0.495751) 8-(0.325982,0.540538) 9-(0.2779,0.451875) 10-(0.312683,0.439702) 11-(0.307788,0.52915) 12-(0.2959,0.572958) 13-(0.250761,0.466378) 14-(0.283217,0.455458) 15-(0.282037,0.542808) 16-(0.272917,0.588339) 17-(0.225663,0.492273) 18-(0.253456,0.47703) 19-(0.260001,0.539336) 20-(0.255124,0.575731) 
133333#0-(0.266461,0.67163) 1-(0.307164,0.649731) 2-(0.341473,0.551747) 3-(0.351996,0.479166) 4-(0.351369,0.423258) 5-(0.303214,0.444215) 6-(0.334901,0.424038) 7-(0.335084,0.495836) 8-(0.328831,0.544308) 9-(0.273834,0.445323) 10-(0.310407,0.44355) 11-(0.305496,0.535104) 12-(0.292533,0.582786) 13-(0.246849,0.462558) 14-(0.278861,0.456546) 15-(0.277845,0.546293) 16-(0.26891,0.59641) 17-(0.222742,0.492397) 18-(0.249264,0.477115) 19-(0.256744,0.536439) 20-(0.253358,0.574669) 
166666#0-(0.264151,0.66894) 1-(0.304903,0.651341) 2-(0.338675,0.549929) 3-(0.348087,0.47451) 4-(0.348832,0.416408) 5-(0.301726,0.447414) 6-(0.332617,0.426396) 7-(0.332944,0.49752) 8-(0.326781,0.546852) 9-(0.271779,0.449074) 10-(0.309484,0.444763) 11-(0.304591,0.535205) 12-(0.290963,0.583824) 13-(0.244045,0.465522) 14-(0.278432,0.459423) 15-(0.276864,0.547755) 16-(0.266472,0.597372) 17-(0.219014,0.494024) 18-(0.248088,0.480999) 19-(0.255735,0.540517) 20-(0.251121,0.577533) 
200000#0-(0.262953,0.665648) 1-(0.302075,0.652617) 2-(0.336821,0.557383) 3-(0.347829,0.48522) 4-(0.349342,0.4303) 5-(0.302087,0.445772) 6-(0.333698,0.424771) 7-(0.337195,0.490358) 8-(0.333811,0.537449) 9-(0.272807,0.444904) 10-(0.311302,0.44631) 11-(0.306957,0.536151) 12-(0.292762,0.583859) 13-(0.245443,0.459407) 14-(0.279431,0.459429) 15-(0.277778,0.547129) 16-(0.266432,0.597326) 17-(0.220637,0.485298) 18-(0.247797,0.477753) 19-(0.255435,0.535194) 20-(0.251535,0.571189) 
233333#0-(0.258358,0.661335) 1-(0.2993,0.65036) 2-(0.332964,0.560391) 3-(0.343214,0.489309) 4-(0.345115,0.435094) 5-(0.301659,0.447299) 6-(0.332625,0.425803) 7-(0.336082,0.485297) 8-(0.332636,0.526845) 9-(0.272304,0.443705) 10-(0.309604,0.449108) 11-(0.304702,0.534015) 12-(0.29025,0.575422) 13-(0.245094,0.455738) 14-(0.276881,0.462603) 15-(0.275137,0.546993) 16-(0.264191,0.59221) 17-(0.220413,0.479905) 18-(0.246512,0.481813) 19-(0.251972,0.542454) 20-(0.245807,0.578732) 
266666#0-(0.259772,0.662611) 1-(0.300536,0.651276) 2-(0.333271,0.554443) 3-(0.341716,0.483522) 4-(0.344354,0.427484) 5-(0.29865,0.451756) 6-(0.32898,0.425224) 7-(0.338511,0.475178) 8-(0.339489,0.512899) 9-(0.269902,0.450001) 10-(0.307048,0.443341) 11-(0.304326,0.529378) 12-(0.290001,0.574793) 13-(0.242955,0.463121) 14-(0.275008,0.458761) 15-(0.275359,0.545326) 16-(0.264081,0.593404) 17-(0.217634,0.487631) 18-(0.242592,0.479209) 19-(0.250612,0.535483) 20-(0.245769,0.569642) 
300000#0-(0.257538,0.663179) 1-(0.299651,0.650657) 2-(0.333238,0.554041) 3-(0.340988,0.482446) 4-(0.342113,0.426448) 5-(0.299657,0.458602) 6-(0.330942,0.4182) 7-(0.346047,0.449623) 8-(0.352854,0.478492) 9-(0.26998,0.453543) 10-(0.308658,0.444897) 11-(0.303519,0.528325) 12-(0.288136,0.576444) 13-(0.241848,0.465179) 14-(0.274775,0.45976) 15-(0.273351,0.543318) 16-(0.262018,0.593879) 17-(0.215174,0.487584) 18-(0.242141,0.475089) 19-(0.249573,0.530786) 20-(0.245153,0.568061) 
