0#0-(0.323436,0.727282) 1-(0.361176,0.709816) 2-(0.378328,0.657482) 3-(0.358264,0.622939) 4-(0.330882,0.613393) 5-(0.374942,0.569982) 6-(0.374814,0.474327) 7-(0.369062,0.412621) 8-(0.360816,0.352148) 9-(0.345093,0.568489) 10-(0.347305,0.468159) 11-(0.344455,0.395826) 12-(0.33842,0.330927) 13-(0.315995,0.583702) 14-(0.316697,0.492558) 15-(0.315642,0.424137) 16-(0.311232,0.363532) 17-(0.287107,0.613562) 18-(0.283223,0.542969) 19-(0.281252,0.496265) 20-(0.278391,0.449681) 
33333#0-(0.318995,0.718478) 1-(0.356832,0.697046) 2-(0.375773,0.646747) 3-(0.363327,0.611755) 4-(0.337092,0.606981) 5-(0.372129,0.563498) 6-(0.373203,0.468866) 7-(0.368818,0.408554) 8-(0.362458,0.350319) 9-(0.343549,0.564336) 10-(0.345192,0.460416) 11-(0.342785,0.388103) 12-(0.338284,0.32593) 13-(0.316002,0.580192) 14-(0.315282,0.486641) 15-(0.314144,0.418455) 16-(0.311405,0.359585) 17-(0.289135,0.610302) 18-(0.283939,0.540632) 19-(0.281216,0.494272) 20-(0.278611,0.44816) 
66666#0-(0.324065,0.736315) 1-(0.36196,0.719274) 2-(0.381598,0.662546) 3-(0.364501,0.615368) 4-(0.335885,0.600903) 5-(0.374863,0.575467) 6-(0.374086,0.476948) 7-(0.367801,0.413095) 8-(0.359458,0.353763) 9-(0.345198,0.57347) 10-(0.34595,0.46723) 11-(0.342254,0.391751) 12-(0.336262,0.327299) 13-(0.316395,0.58822) 14-(0.315995,0.491715) 15-(0.314883,0.42045) 16-(0.311689,0.358709) 17-(0.287758,0.618613) 18-(0.283687,0.545393) 19-(0.281823,0.495938) 20-(0.279707,0.447737) 
100000#0-(0.324081,0.735631) 1-(0.361555,0.720204) 2-(0.381025,0.661136) 3-(0.360878,0.613572) 4-(0.329465,0.60001) 5-(0.375231,0.572885) 6-(0.37443,0.475644) 7-(0.367831,0.411611) 8-(0.359039,0.351387) 9-(0.345179,0.571264) 10-(0.346557,0.468147) 11-(0.342357,0.392479) 12-(0.335456,0.328091) 13-(0.315956,0.585928) 14-(0.316644,0.492291) 15-(0.315616,0.422175) 16-(0.311509,0.361364) 17-(0.28656,0.616) 18-(0.283022,0.542855) 19-(0.280933,0.493764) 20-(0.277744,0.445917) 
133333#0-(0.323554,0.73707) 1-(0.360643,0.72225) 2-(0.380586,0.663329) 3-(0.360772,0.61493) 4-(0.329678,0.59944) 5-(0.375049,0.572416) 6-(0.373759,0.474212) 7-(0.367191,0.410229) 8-(0.358353,0.350493) 9-(0.345294,0.570859) 10-(0.346383,0.467436) 11-(0.342493,0.391823) 12-(0.335982,0.326759) 13-(0.316358,0.586335) 14-(0.316791,0.491482) 15-(0.315906,0.420766) 16-(0.312298,0.358929) 17-(0.287308,0.618049) 18-(0.283288,0.545491) 19-(0.2815,0.496611) 20-(0.279018,0.447846) 
166666#0-(0.319451,0.711182) 1-(0.358467,0.691161) 2-(0.377291,0.644572) 3-(0.3642,0.615939) 4-(0.338694,0.613808) 5-(0.373034,0.557007) 6-(0.373903,0.464347) 7-(0.36829,0.404998) 8-(0.360893,0.348287) 9-(0.344365,0.556942) 10-(0.347423,0.458222) 11-(0.345334,0.387501) 12-(0.34124,0.324067) 13-(0.315985,0.573012) 14-(0.317322,0.484801) 15-(0.316791,0.417957) 16-(0.31504,0.358449) 17-(0.287731,0.603762) 18-(0.283126,0.537378) 19-(0.281052,0.490399) 20-(0.279609,0.44309) 
200000#0-(0.320004,0.708427) 1-(0.360303,0.687585) 2-(0.378365,0.640585) 3-(0.364637,0.612274) 4-(0.339874,0.611046) 5-(0.37268,0.558945) 6-(0.373336,0.465173) 7-(0.368492,0.404936) 8-(0.361798,0.347429) 9-(0.343672,0.558353) 10-(0.345645,0.457938) 11-(0.34366,0.386157) 12-(0.339919,0.323554) 13-(0.315316,0.573232) 14-(0.315268,0.483133) 15-(0.314473,0.415644) 16-(0.312618,0.356811) 17-(0.28777,0.601962) 18-(0.282203,0.534154) 19-(0.279901,0.487558) 20-(0.278456,0.442009) 
233333#0-(0.330034,0.778993) 1-(0.366804,0.765123) 2-(0.387288,0.686785) 3-(0.362107,0.615936) 4-(0.328034,0.595068) 5-(0.369982,0.584534) 6-(0.373067,0.486648) 7-(0.37086,0.419333) 8-(0.36506,0.356041) 9-(0.33951,0.580372) 10-(0.342136,0.475165) 11-(0.340935,0.394773) 12-(0.33569,0.328205) 13-(0.311657,0.596204) 14-(0.311176,0.496274) 15-(0.310712,0.421887) 16-(0.307708,0.3569) 17-(0.283262,0.630379) 18-(0.280251,0.548986) 19-(0.279787,0.496526) 20-(0.277373,0.445541) 
266666#0-(0.329167,0.781839) 1-(0.366167,0.766266) 2-(0.388094,0.686008) 3-(0.363638,0.613749) 4-(0.328766,0.593541) 5-(0.369835,0.584783) 6-(0.372556,0.487586) 7-(0.369954,0.42023) 8-(0.364093,0.35776) 9-(0.339287,0.580755) 10-(0.341599,0.475653) 11-(0.340203,0.394773) 12-(0.335011,0.327413) 13-(0.31131,0.596675) 14-(0.311137,0.495739) 15-(0.311112,0.421578) 16-(0.308545,0.356352) 17-(0.283021,0.6308) 18-(0.280026,0.549787) 19-(0.279492,0.496985) 20-(0.276939,0.444461) 
300000#0-(0.32997,0.783605) 1-(0.366518,0.766572) 2-(0.387938,0.688519) 3-(0.36421,0.618388) 4-(0.33064,0.594249) 5-(0.371048,0.585741) 6-(0.373825,0.48852) 7-(0.370885,0.421317) 8-(0.364611,0.359281) 9-(0.340572,0.581857) 10-(0.343073,0.477191) 11-(0.341635,0.396996) 12-(0.336577,0.329051) 13-(0.31225,0.597757) 14-(0.312653,0.496957) 15-(0.312329,0.422859) 16-(0.309663,0.357095) 17-(0.283614,0.631868) 18-(0.28131,0.551561) 19-(0.280701,0.498151) 20-(0.278253,0.444452) 
