0#0-(0.304075,0.715205) 1-(0.342697,0.710371) 2-(0.369363,0.618675) 3-(0.347664,0.535303) 4-(0.313159,0.497998) 5-(0.342725,0.489806) 6-(0.344306,0.386768) 7-(0.339016,0.316728) 8-(0.331159,0.251663) 9-(0.307546,0.479928) 10-(0.306856,0.366299) 11-(0.3047,0.282563) 12-(0.299748,0.208362) 13-(0.276278,0.499058) 14-(0.270995,0.391735) 15-(0.265812,0.309952) 16-(0.257206,0.238866) 17-(0.246658,0.542966) 18-(0.236473,0.457596) 19-(0.229971,0.402492) 20-(0.221717,0.348309) 
33333#0-(0.308227,0.705899) 1-(0.345613,0.691157) 2-(0.367113,0.597784) 3-(0.334537,0.523076) 4-(0.294597,0.508699) 5-(0.345913,0.483761) 6-(0.34768,0.378021) 7-(0.343871,0.308256) 8-(0.337288,0.243306) 9-(0.311956,0.473242) 10-(0.311898,0.359473) 11-(0.309076,0.274538) 12-(0.304443,0.203595) 13-(0.281418,0.490245) 14-(0.275876,0.382122) 15-(0.26984,0.302153) 16-(0.262043,0.234707) 17-(0.25289,0.532224) 18-(0.242868,0.448165) 19-(0.237058,0.395968) 20-(0.22984,0.347024) 
66666#0-(0.298501,0.499866) 1-(0.34085,0.463285) 2-(0.356599,0.410209) 3-(0.356297,0.368783) 4-(0.348149,0.344449) 5-(0.339619,0.405095) 6-(0.33691,0.325965) 7-(0.329108,0.274534) 8-(0.323164,0.229072) 9-(0.306632,0.422571) 10-(0.30307,0.328515) 11-(0.299803,0.260512) 12-(0.299284,0.203329) 13-(0.277407,0.445211) 14-(0.267469,0.3586) 15-(0.26515,0.296861) 16-(0.268962,0.245014) 17-(0.252153,0.471889) 18-(0.240694,0.41344) 19-(0.239796,0.376254) 20-(0.244218,0.346779) 
100000#0-(0.302547,0.547576) 1-(0.338712,0.528305) 2-(0.354766,0.488635) 3-(0.344223,0.470545) 4-(0.325054,0.475409) 5-(0.342496,0.428776) 6-(0.341131,0.346344) 7-(0.336944,0.298944) 8-(0.333737,0.249745) 9-(0.310129,0.435284) 10-(0.307709,0.334906) 11-(0.304122,0.269242) 12-(0.304335,0.208502) 13-(0.280124,0.455671) 14-(0.267701,0.370571) 15-(0.264854,0.309368) 16-(0.269736,0.254045) 17-(0.253005,0.487912) 18-(0.239198,0.428693) 19-(0.23819,0.3908) 20-(0.243976,0.358073) 
133333#0-(0.296219,0.552626) 1-(0.333909,0.521657) 2-(0.349033,0.464192) 3-(0.343423,0.420901) 4-(0.33048,0.400774) 5-(0.332448,0.431444) 6-(0.329706,0.350428) 7-(0.321595,0.307056) 8-(0.315816,0.263323) 9-(0.299023,0.435066) 10-(0.297115,0.338) 11-(0.294941,0.279063) 12-(0.296329,0.226667) 13-(0.270636,0.452456) 14-(0.26026,0.373284) 15-(0.258875,0.316552) 16-(0.265096,0.267578) 17-(0.246544,0.481512) 18-(0.231034,0.427314) 19-(0.230822,0.394618) 20-(0.238361,0.369486) 
166666#0-(0.294882,0.566715) 1-(0.330042,0.554168) 2-(0.350609,0.522032) 3-(0.339738,0.504772) 4-(0.312037,0.502048) 5-(0.334509,0.448663) 6-(0.329504,0.372644) 7-(0.322813,0.328197) 8-(0.32002,0.282937) 9-(0.298112,0.449843) 10-(0.290539,0.364056) 11-(0.287047,0.325321) 12-(0.289146,0.290243) 13-(0.266343,0.464639) 14-(0.252465,0.393883) 15-(0.254219,0.336038) 16-(0.264027,0.276868) 17-(0.239516,0.492685) 18-(0.222992,0.43979) 19-(0.222771,0.411014) 20-(0.229764,0.38443) 
200000#0-(0.291346,0.593109) 1-(0.331329,0.573113) 2-(0.345809,0.535083) 3-(0.340272,0.513679) 4-(0.321067,0.506548) 5-(0.333096,0.486484) 6-(0.329344,0.401055) 7-(0.325201,0.347036) 8-(0.321055,0.297264) 9-(0.299415,0.495463) 10-(0.294524,0.398692) 11-(0.293603,0.332728) 12-(0.293843,0.277429) 13-(0.267274,0.512898) 14-(0.257409,0.427151) 15-(0.256924,0.355501) 16-(0.260326,0.292105) 17-(0.239198,0.537476) 18-(0.225836,0.476807) 19-(0.221306,0.432945) 20-(0.220978,0.394048) 
233333#0-(0.289745,0.709223) 1-(0.329944,0.688657) 2-(0.344198,0.638397) 3-(0.32102,0.607547) 4-(0.288939,0.607659) 5-(0.331897,0.544654) 6-(0.327066,0.440582) 7-(0.322884,0.375287) 8-(0.317792,0.316838) 9-(0.30085,0.540483) 10-(0.295938,0.42467) 11-(0.292765,0.349865) 12-(0.288378,0.285134) 13-(0.272108,0.552585) 14-(0.262919,0.448128) 15-(0.257499,0.374787) 16-(0.251244,0.311148) 17-(0.245846,0.579677) 18-(0.229983,0.505845) 19-(0.223598,0.455402) 20-(0.216936,0.407612) 
266666#0-(0.286866,0.788217) 1-(0.326472,0.775685) 2-(0.347957,0.689856) 3-(0.32167,0.6176) 4-(0.283183,0.603205) 5-(0.332386,0.574833) 6-(0.33267,0.475844) 7-(0.328599,0.409066) 8-(0.321828,0.349174) 9-(0.300214,0.566991) 10-(0.298641,0.45928) 11-(0.295663,0.378595) 12-(0.289784,0.311359) 13-(0.270578,0.581194) 14-(0.2658,0.474965) 15-(0.261785,0.400317) 16-(0.254408,0.335491) 17-(0.241884,0.615805) 18-(0.23468,0.531236) 19-(0.230133,0.475184) 20-(0.22332,0.418629) 
300000#0-(0.283659,0.799071) 1-(0.321453,0.788199) 2-(0.344103,0.708186) 3-(0.321686,0.641726) 4-(0.288973,0.623091) 5-(0.332376,0.595945) 6-(0.333802,0.490543) 7-(0.329748,0.422691) 8-(0.322788,0.361583) 9-(0.300038,0.586772) 10-(0.299023,0.473641) 11-(0.2951,0.392861) 12-(0.288402,0.325558) 13-(0.27004,0.599808) 14-(0.267288,0.492407) 15-(0.262304,0.414423) 16-(0.25431,0.347956) 17-(0.241318,0.634088) 18-(0.236796,0.551705) 19-(0.232027,0.495465) 20-(0.2249,0.438005) 
333333#0-(0.285167,0.833323) 1-(0.323018,0.820868) 2-(0.346837,0.731794) 3-(0.318686,0.657054) 4-(0.2797,0.63508) 5-(0.333097,0.609639) 6-(0.331816,0.502037) 7-(0.326229,0.431388) 8-(0.317764,0.366386) 9-(0.300032,0.599641) 10-(0.29751,0.482277) 11-(0.292505,0.397861) 12-(0.284802,0.328566) 13-(0.270746,0.613307) 14-(0.265622,0.503406) 15-(0.260374,0.424196) 16-(0.253136,0.355923) 17-(0.242922,0.649811) 18-(0.235416,0.565796) 19-(0.230995,0.510965) 20-(0.225533,0.455463) 
366666#0-(0.282973,0.851789) 1-(0.323565,0.835333) 2-(0.345337,0.73626) 3-(0.315157,0.662809) 4-(0.277492,0.647918) 5-(0.331821,0.613078) 6-(0.330535,0.506136) 7-(0.325064,0.438047) 8-(0.317184,0.376842) 9-(0.298109,0.602438) 10-(0.294643,0.485308) 11-(0.289669,0.403477) 12-(0.282072,0.336471) 13-(0.268477,0.6189) 14-(0.262525,0.506776) 15-(0.256032,0.42901) 16-(0.248205,0.358643) 17-(0.24033,0.660125) 18-(0.231318,0.577689) 19-(0.225863,0.523039) 20-(0.21991,0.463738) 
