0#0-(0.316554,0.568591) 1-(0.354573,0.548068) 2-(0.371106,0.512259) 3-(0.374905,0.475884) 4-(0.36732,0.446289) 5-(0.367361,0.439936) 6-(0.369852,0.35991) 7-(0.36954,0.314459) 8-(0.368386,0.272278) 9-(0.343033,0.437641) 10-(0.345276,0.347785) 11-(0.345584,0.290717) 12-(0.345766,0.239119) 13-(0.318287,0.451317) 14-(0.313083,0.376137) 15-(0.309298,0.318997) 16-(0.308914,0.267686) 17-(0.294247,0.478705) 18-(0.284773,0.425798) 19-(0.281334,0.389975) 20-(0.281091,0.357301) 
33333#0-(0.323801,0.67233) 1-(0.361879,0.66187) 2-(0.38272,0.604059) 3-(0.375533,0.534009) 4-(0.354712,0.485523) 5-(0.37524,0.507251) 6-(0.380083,0.410666) 7-(0.378733,0.348173) 8-(0.373711,0.294656) 9-(0.347754,0.495228) 10-(0.352003,0.384792) 11-(0.353048,0.313126) 12-(0.349454,0.253703) 13-(0.321558,0.501394) 14-(0.321525,0.39706) 15-(0.32006,0.32853) 16-(0.315834,0.27153) 17-(0.296094,0.5267) 18-(0.291978,0.447747) 19-(0.291199,0.398125) 20-(0.289633,0.351457) 
66666#0-(0.32239,0.664105) 1-(0.359695,0.657786) 2-(0.38229,0.602242) 3-(0.37399,0.537819) 4-(0.351516,0.496392) 5-(0.375664,0.512889) 6-(0.380723,0.420646) 7-(0.37902,0.359321) 8-(0.374648,0.305469) 9-(0.347958,0.499397) 10-(0.35338,0.394951) 11-(0.354567,0.321938) 12-(0.35185,0.26001) 13-(0.321243,0.503567) 14-(0.323787,0.403385) 15-(0.322824,0.332848) 16-(0.319236,0.272662) 17-(0.294554,0.525525) 18-(0.294708,0.449857) 19-(0.295177,0.401596) 20-(0.294534,0.35567) 
100000#0-(0.325357,0.560304) 1-(0.350231,0.537124) 2-(0.366231,0.499811) 3-(0.366132,0.467989) 4-(0.357125,0.440819) 5-(0.365111,0.431292) 6-(0.370121,0.36606) 7-(0.371092,0.328488) 8-(0.370969,0.296067) 9-(0.348404,0.433898) 10-(0.353707,0.355899) 11-(0.355359,0.305478) 12-(0.354783,0.260906) 13-(0.332272,0.453021) 14-(0.329448,0.390811) 15-(0.328068,0.344081) 16-(0.328543,0.300299) 17-(0.314803,0.48215) 18-(0.30633,0.43676) 19-(0.303248,0.406813) 20-(0.303256,0.378532) 
133333#0-(0.324037,0.698333) 1-(0.36421,0.693572) 2-(0.389507,0.617957) 3-(0.380755,0.535801) 4-(0.359517,0.491189) 5-(0.380894,0.520996) 6-(0.387759,0.424828) 7-(0.388025,0.36307) 8-(0.383611,0.310841) 9-(0.353243,0.506937) 10-(0.358956,0.396486) 11-(0.36065,0.323032) 12-(0.356533,0.262938) 13-(0.326701,0.514025) 14-(0.328998,0.407242) 15-(0.327731,0.334337) 16-(0.322504,0.273163) 17-(0.300263,0.538967) 18-(0.301311,0.456373) 19-(0.301476,0.404034) 20-(0.299072,0.353716) 
166666#0-(0.331775,0.553003) 1-(0.363336,0.534496) 2-(0.381955,0.495879) 3-(0.384612,0.458491) 4-(0.375818,0.430536) 5-(0.377648,0.413953) 6-(0.383361,0.36153) 7-(0.380581,0.331326) 8-(0.375056,0.300647) 9-(0.352496,0.414445) 10-(0.358405,0.347775) 11-(0.357579,0.311978) 12-(0.354525,0.279357) 13-(0.329387,0.429799) 14-(0.327319,0.372103) 15-(0.325424,0.330827) 16-(0.327729,0.289305) 17-(0.305732,0.458273) 18-(0.30089,0.420179) 19-(0.301179,0.399163) 20-(0.304979,0.375285) 
200000#0-(0.330318,0.628059) 1-(0.364668,0.613821) 2-(0.381327,0.585808) 3-(0.386147,0.557665) 4-(0.378826,0.532518) 5-(0.382208,0.493315) 6-(0.386564,0.41299) 7-(0.385836,0.361384) 8-(0.381329,0.315717) 9-(0.359351,0.484701) 10-(0.36275,0.383896) 11-(0.3625,0.319305) 12-(0.359862,0.259217) 13-(0.335677,0.49294) 14-(0.330866,0.403746) 15-(0.32619,0.343663) 16-(0.322498,0.291801) 17-(0.311722,0.513788) 18-(0.304976,0.448331) 19-(0.301715,0.405803) 20-(0.300919,0.366174) 
233333#0-(0.335301,0.6445) 1-(0.376005,0.625969) 2-(0.391067,0.584814) 3-(0.389911,0.547348) 4-(0.379011,0.518016) 5-(0.38269,0.513753) 6-(0.388782,0.427963) 7-(0.385802,0.371295) 8-(0.379786,0.31808) 9-(0.359319,0.504828) 10-(0.364995,0.405943) 11-(0.364479,0.336008) 12-(0.361162,0.276271) 13-(0.335362,0.511413) 14-(0.33683,0.420956) 15-(0.334433,0.355625) 16-(0.331062,0.300008) 17-(0.311261,0.530448) 18-(0.309843,0.458974) 19-(0.307019,0.410267) 20-(0.305807,0.364298) 
266666#0-(0.334113,0.714765) 1-(0.37105,0.704948) 2-(0.394556,0.633071) 3-(0.383047,0.557373) 4-(0.361478,0.521844) 5-(0.387169,0.534664) 6-(0.392609,0.441644) 7-(0.392395,0.38232) 8-(0.387817,0.3277) 9-(0.360017,0.521431) 10-(0.365872,0.419112) 11-(0.368057,0.346634) 12-(0.364522,0.28492) 13-(0.33366,0.527922) 14-(0.336927,0.429445) 15-(0.336927,0.358872) 16-(0.33245,0.29845) 17-(0.307081,0.551777) 18-(0.308826,0.47645) 19-(0.309632,0.424609) 20-(0.308361,0.37364) 
300000#0-(0.335331,0.718701) 1-(0.373468,0.713195) 2-(0.397296,0.637745) 3-(0.380813,0.557448) 4-(0.351341,0.523228) 5-(0.386727,0.542335) 6-(0.393621,0.4508) 7-(0.392317,0.391061) 8-(0.38752,0.337676) 9-(0.359348,0.528331) 10-(0.36621,0.430244) 11-(0.367658,0.356201) 12-(0.36373,0.294212) 13-(0.33248,0.533571) 14-(0.337179,0.436359) 15-(0.338283,0.364497) 16-(0.334905,0.301648) 17-(0.303864,0.554209) 18-(0.3075,0.475655) 19-(0.309811,0.419901) 20-(0.309769,0.363479) 
333333#0-(0.332909,0.73406) 1-(0.373899,0.722585) 2-(0.397243,0.639971) 3-(0.384653,0.556887) 4-(0.36197,0.51645) 5-(0.389345,0.545794) 6-(0.395698,0.44892) 7-(0.395917,0.38729) 8-(0.39186,0.332301) 9-(0.36243,0.532812) 10-(0.368765,0.423746) 11-(0.371058,0.348009) 12-(0.367847,0.282149) 13-(0.336316,0.538012) 14-(0.339467,0.434057) 15-(0.339418,0.359617) 16-(0.3362,0.293821) 17-(0.309236,0.558345) 18-(0.309715,0.479326) 19-(0.310634,0.424498) 20-(0.310264,0.368969) 21-(0.353624,0.583761) 22-(0.385676,0.548282) 23-(0.397914,0.500424) 24-(0.399024,0.459502) 25-(0.392391,0.427331) 26-(0.383339,0.456459) 27-(0.383702,0.391578) 28-(0.379513,0.345567) 29-(0.373743,0.29901) 30-(0.364949,0.466843) 31-(0.365031,0.389139) 32-(0.362105,0.331173) 33-(0.359806,0.275727) 34-(0.343976,0.489599) 35-(0.338549,0.420148) 36-(0.333809,0.36334) 37-(0.331544,0.311781) 38-(0.322169,0.52113) 39-(0.315124,0.47604) 40-(0.310063,0.434567) 41-(0.307342,0.392586) 
366666#0-(0.334765,0.746937) 1-(0.376639,0.727397) 2-(0.402169,0.641209) 3-(0.38968,0.555169) 4-(0.364977,0.515791) 5-(0.390136,0.53905) 6-(0.39599,0.441979) 7-(0.396245,0.381893) 8-(0.391971,0.32815) 9-(0.363324,0.526489) 10-(0.368892,0.417575) 11-(0.37087,0.346833) 12-(0.367521,0.283548) 13-(0.337181,0.533709) 14-(0.340005,0.430963) 15-(0.339292,0.361367) 16-(0.335671,0.296662) 17-(0.309377,0.558657) 18-(0.309912,0.482785) 19-(0.310056,0.430189) 20-(0.309272,0.374308) 21-(0.34799,0.589533) 22-(0.379758,0.569083) 23-(0.391895,0.527514) 24-(0.388495,0.491713) 25-(0.379083,0.465019) 26-(0.38772,0.487482) 27-(0.39355,0.415434) 28-(0.391439,0.365534) 29-(0.386771,0.317344) 30-(0.365332,0.48586) 31-(0.368442,0.398312) 32-(0.368917,0.337043) 33-(0.367164,0.283247) 34-(0.340683,0.497468) 35-(0.338371,0.418808) 36-(0.336676,0.361778) 37-(0.334214,0.313863) 38-(0.316031,0.51886) 39-(0.311022,0.462405) 40-(0.306916,0.425429) 41-(0.304235,0.391422) 
400000#0-(0.332845,0.764193) 1-(0.37499,0.734824) 2-(0.399731,0.642785) 3-(0.388755,0.552525) 4-(0.368838,0.507202) 5-(0.388814,0.541378) 6-(0.395187,0.44492) 7-(0.394712,0.383797) 8-(0.389593,0.328373) 9-(0.362041,0.528894) 10-(0.36863,0.418553) 11-(0.370459,0.347625) 12-(0.366318,0.282805) 13-(0.335885,0.536597) 14-(0.338754,0.433602) 15-(0.338393,0.36506) 16-(0.335004,0.30059) 17-(0.308376,0.562684) 18-(0.309301,0.487041) 19-(0.310075,0.433955) 20-(0.310058,0.376532) 21-(0.347099,0.586163) 22-(0.379537,0.571662) 23-(0.394581,0.536197) 24-(0.390447,0.506084) 25-(0.377594,0.486116) 26-(0.388279,0.484443) 27-(0.393341,0.41449) 28-(0.390121,0.368047) 29-(0.385074,0.319898) 30-(0.366089,0.480586) 31-(0.367233,0.399657) 32-(0.367541,0.343578) 33-(0.367058,0.292698) 34-(0.341678,0.489197) 35-(0.339466,0.415953) 36-(0.338674,0.36217) 37-(0.337161,0.314481) 38-(0.316121,0.508068) 39-(0.311965,0.452867) 40-(0.30832,0.417187) 41-(0.305782,0.383063) 
433333#0-(0.330203,0.771993) 1-(0.375025,0.739226) 2-(0.399873,0.646056) 3-(0.385847,0.555246) 4-(0.36442,0.508276) 5-(0.389421,0.536516) 6-(0.395068,0.440889) 7-(0.394736,0.37924) 8-(0.389859,0.32296) 9-(0.362167,0.52453) 10-(0.367878,0.413399) 11-(0.37017,0.341713) 12-(0.366628,0.275935) 13-(0.336085,0.532193) 14-(0.33848,0.429771) 15-(0.338455,0.360979) 16-(0.334951,0.29525) 17-(0.308956,0.558933) 18-(0.308736,0.482366) 19-(0.309172,0.431174) 20-(0.30846,0.37611) 21-(0.351125,0.587715) 22-(0.381824,0.575426) 23-(0.395161,0.541399) 24-(0.387316,0.511735) 25-(0.370051,0.493573) 26-(0.389768,0.482098) 27-(0.394254,0.413499) 28-(0.390695,0.367055) 29-(0.384799,0.321204) 30-(0.367312,0.480016) 31-(0.366417,0.400368) 32-(0.365711,0.342572) 33-(0.363637,0.290879) 34-(0.343114,0.489964) 35-(0.338037,0.418781) 36-(0.336287,0.364067) 37-(0.333494,0.315937) 38-(0.318814,0.509316) 39-(0.313718,0.455667) 40-(0.309706,0.418962) 41-(0.306148,0.382965) 
466666#0-(0.329418,0.784107) 1-(0.374743,0.743253) 2-(0.400407,0.649209) 3-(0.389179,0.559023) 4-(0.3716,0.510292) 5-(0.3887,0.536045) 6-(0.39452,0.44024) 7-(0.393611,0.379914) 8-(0.388315,0.323938) 9-(0.361447,0.523475) 10-(0.367418,0.412896) 11-(0.369456,0.343445) 12-(0.36635,0.278799) 13-(0.335384,0.530665) 14-(0.339404,0.428233) 15-(0.340187,0.361845) 16-(0.3377,0.297983) 17-(0.308186,0.557208) 18-(0.309927,0.479921) 19-(0.311494,0.428337) 20-(0.312251,0.372413) 21-(0.349916,0.585407) 22-(0.380671,0.578291) 23-(0.395279,0.550858) 24-(0.387842,0.528637) 25-(0.373704,0.512656) 26-(0.391662,0.48413) 27-(0.394687,0.416073) 28-(0.390443,0.369786) 29-(0.383976,0.321858) 30-(0.367324,0.47819) 31-(0.367491,0.400279) 32-(0.367413,0.343919) 33-(0.365187,0.289888) 34-(0.341945,0.486181) 35-(0.3394,0.418122) 36-(0.338389,0.363961) 37-(0.335994,0.312479) 38-(0.316302,0.504657) 39-(0.311483,0.4521) 40-(0.308365,0.416039) 41-(0.305492,0.379349) 
500000#0-(0.327627,0.794427) 1-(0.374521,0.741772) 2-(0.398936,0.647506) 3-(0.385841,0.560712) 4-(0.367385,0.516798) 5-(0.389327,0.536953) 6-(0.394539,0.438142) 7-(0.392788,0.378708) 8-(0.387535,0.323332) 9-(0.361162,0.524484) 10-(0.368049,0.412758) 11-(0.370151,0.344068) 12-(0.367667,0.281314) 13-(0.334469,0.531847) 14-(0.339338,0.427641) 15-(0.340742,0.360884) 16-(0.339679,0.298217) 17-(0.30663,0.558566) 18-(0.309453,0.479187) 19-(0.311957,0.426814) 20-(0.313862,0.370586) 21-(0.348516,0.585426) 22-(0.377317,0.576044) 23-(0.391835,0.544784) 24-(0.384155,0.521145) 25-(0.368439,0.507408) 26-(0.38828,0.479488) 27-(0.392429,0.415775) 28-(0.389809,0.372293) 29-(0.385134,0.327129) 30-(0.365478,0.473114) 31-(0.366195,0.399758) 32-(0.366704,0.346524) 33-(0.365553,0.294623) 34-(0.341304,0.48142) 35-(0.338636,0.415499) 36-(0.337681,0.364661) 37-(0.334965,0.31703) 38-(0.316687,0.500574) 39-(0.311406,0.448741) 40-(0.308208,0.414042) 41-(0.305267,0.379259) 
533333#0-(0.326145,0.80253) 1-(0.373013,0.747148) 2-(0.398632,0.649504) 3-(0.385844,0.562942) 4-(0.368381,0.519093) 5-(0.390683,0.536143) 6-(0.395413,0.437995) 7-(0.392882,0.379482) 8-(0.387069,0.324252) 9-(0.362152,0.522788) 10-(0.368227,0.411507) 11-(0.369464,0.343814) 12-(0.366024,0.281449) 13-(0.335092,0.529229) 14-(0.33841,0.426202) 15-(0.339232,0.361163) 16-(0.337039,0.299907) 17-(0.307099,0.554945) 18-(0.308001,0.476697) 19-(0.310116,0.424829) 20-(0.311434,0.369809) 21-(0.348164,0.585767) 22-(0.377166,0.577629) 23-(0.391487,0.548617) 24-(0.382204,0.527192) 25-(0.364697,0.513839) 26-(0.389429,0.480363) 27-(0.393095,0.416518) 28-(0.388774,0.371733) 29-(0.381879,0.325431) 30-(0.364986,0.471869) 31-(0.365544,0.397675) 32-(0.36554,0.342871) 33-(0.363462,0.288581) 34-(0.3399,0.479374) 35-(0.336818,0.414984) 36-(0.336482,0.363216) 37-(0.33402,0.313817) 38-(0.314876,0.50005) 39-(0.310593,0.450145) 40-(0.308103,0.415871) 41-(0.305536,0.38062) 
566666#0-(0.323693,0.806799) 1-(0.371527,0.747859) 2-(0.397208,0.654652) 3-(0.385163,0.570397) 4-(0.369348,0.520402) 5-(0.393438,0.535413) 6-(0.397381,0.437719) 7-(0.394135,0.37982) 8-(0.388069,0.326281) 9-(0.364122,0.521996) 10-(0.369042,0.411815) 11-(0.369763,0.344893) 12-(0.366238,0.28371) 13-(0.336237,0.529156) 14-(0.338315,0.426407) 15-(0.338507,0.361627) 16-(0.336443,0.301304) 17-(0.307542,0.556025) 18-(0.3074,0.478513) 19-(0.309114,0.427663) 20-(0.310744,0.373659) 21-(0.35016,0.588401) 22-(0.380269,0.578143) 23-(0.393354,0.54895) 24-(0.386221,0.52917) 25-(0.372885,0.516299) 26-(0.389895,0.482827) 27-(0.393392,0.416947) 28-(0.389264,0.371654) 29-(0.383098,0.32576) 30-(0.365791,0.475488) 31-(0.366706,0.398667) 32-(0.36723,0.34321) 33-(0.366777,0.289549) 34-(0.340632,0.48265) 35-(0.337544,0.413876) 36-(0.337149,0.361101) 37-(0.335641,0.312704) 38-(0.315748,0.501336) 39-(0.310456,0.447736) 40-(0.307483,0.412547) 41-(0.30501,0.377433) 
600000#0-(0.321962,0.811992) 1-(0.369962,0.749034) 2-(0.394203,0.657706) 3-(0.383066,0.573428) 4-(0.371263,0.520949) 5-(0.393088,0.540175) 6-(0.398578,0.441766) 7-(0.395849,0.384261) 8-(0.3898,0.33202) 9-(0.363773,0.525959) 10-(0.370109,0.415103) 11-(0.370966,0.34943) 12-(0.367121,0.288163) 13-(0.335695,0.532779) 14-(0.338076,0.429224) 15-(0.337975,0.364811) 16-(0.335796,0.303437) 17-(0.306529,0.559638) 18-(0.307088,0.482106) 19-(0.308863,0.432055) 20-(0.310742,0.377326) 21-(0.346529,0.585241) 22-(0.376487,0.575282) 23-(0.392018,0.547983) 24-(0.38561,0.526907) 25-(0.371493,0.513523) 26-(0.38912,0.482384) 27-(0.393507,0.415147) 28-(0.389237,0.36867) 29-(0.382157,0.322127) 30-(0.365115,0.474129) 31-(0.367794,0.398366) 32-(0.36802,0.342586) 33-(0.366483,0.289359) 34-(0.339742,0.480749) 35-(0.337849,0.413457) 36-(0.337118,0.360422) 37-(0.335232,0.311931) 38-(0.313804,0.499309) 39-(0.309196,0.446818) 40-(0.30663,0.412021) 41-(0.304766,0.377685) 
633333#0-(0.321989,0.811984) 1-(0.369159,0.747541) 2-(0.392747,0.651502) 3-(0.381724,0.566194) 4-(0.369102,0.511287) 5-(0.393749,0.536688) 6-(0.397968,0.439267) 7-(0.395047,0.383076) 8-(0.389637,0.33281) 9-(0.364961,0.523128) 10-(0.370462,0.41421) 11-(0.371193,0.349385) 12-(0.36827,0.288941) 13-(0.337175,0.530359) 14-(0.33928,0.428425) 15-(0.339413,0.364273) 16-(0.338506,0.303855) 17-(0.307765,0.557868) 18-(0.308702,0.481561) 19-(0.310015,0.431442) 20-(0.311708,0.376822) 21-(0.346247,0.586487) 22-(0.375434,0.572046) 23-(0.390046,0.541935) 24-(0.382325,0.518008) 25-(0.365202,0.504866) 26-(0.387024,0.481805) 27-(0.39155,0.415207) 28-(0.387674,0.369318) 29-(0.38185,0.322939) 30-(0.3639,0.47526) 31-(0.36546,0.39854) 32-(0.365487,0.342794) 33-(0.363833,0.291347) 34-(0.339346,0.481188) 35-(0.337229,0.410385) 36-(0.33713,0.358251) 37-(0.335453,0.312183) 38-(0.314498,0.497229) 39-(0.309611,0.441956) 40-(0.307235,0.406697) 41-(0.305011,0.373453) 
