0#0-(0.256603,0.651414) 1-(0.296265,0.647739) 2-(0.33626,0.60695) 3-(0.368703,0.588626) 4-(0.401253,0.58403) 5-(0.31669,0.460624) 6-(0.326135,0.380134) 7-(0.349297,0.365216) 8-(0.371985,0.371402) 9-(0.299521,0.452016) 10-(0.308928,0.356846) 11-(0.341715,0.350139) 12-(0.365684,0.367681) 13-(0.283801,0.460291) 14-(0.29135,0.371319) 15-(0.326112,0.360201) 16-(0.352006,0.378055) 17-(0.270033,0.485673) 18-(0.281988,0.417466) 19-(0.310055,0.396657) 20-(0.333011,0.400382) 
33333#0-(0.252923,0.639637) 1-(0.29234,0.640827) 2-(0.332753,0.602368) 3-(0.365074,0.581961) 4-(0.398622,0.573798) 5-(0.312902,0.453597) 6-(0.323173,0.379423) 7-(0.348514,0.365857) 8-(0.372805,0.373383) 9-(0.295953,0.442842) 10-(0.307277,0.353408) 11-(0.340659,0.348148) 12-(0.365266,0.36696) 13-(0.280222,0.449321) 14-(0.289955,0.364391) 15-(0.324149,0.354087) 16-(0.350145,0.371732) 17-(0.266289,0.472829) 18-(0.280005,0.405508) 19-(0.308258,0.383531) 20-(0.332322,0.386802) 
66666#0-(0.251333,0.652384) 1-(0.29107,0.653421) 2-(0.331368,0.610913) 3-(0.362249,0.587844) 4-(0.393991,0.573201) 5-(0.312274,0.466745) 6-(0.320877,0.388402) 7-(0.342543,0.367074) 8-(0.366855,0.367303) 9-(0.294786,0.45372) 10-(0.302474,0.36121) 11-(0.334426,0.343971) 12-(0.362509,0.352721) 13-(0.277987,0.45903) 14-(0.285396,0.368132) 15-(0.318325,0.348496) 16-(0.347126,0.356526) 17-(0.26248,0.48176) 18-(0.274473,0.410738) 19-(0.300864,0.382931) 20-(0.326377,0.37834) 
100000#0-(0.249617,0.651262) 1-(0.28896,0.651503) 2-(0.329344,0.605971) 3-(0.361144,0.583922) 4-(0.395168,0.572101) 5-(0.311546,0.459774) 6-(0.319345,0.383058) 7-(0.342023,0.364585) 8-(0.365821,0.370409) 9-(0.293721,0.449086) 10-(0.301722,0.356424) 11-(0.332756,0.341951) 12-(0.358941,0.357912) 13-(0.276569,0.456436) 14-(0.284417,0.366271) 15-(0.316891,0.348419) 16-(0.344972,0.362958) 17-(0.259715,0.480471) 18-(0.271407,0.408878) 19-(0.297834,0.380125) 20-(0.32394,0.376866) 
133333#0-(0.245923,0.649007) 1-(0.287634,0.646302) 2-(0.327733,0.598789) 3-(0.359477,0.574392) 4-(0.392607,0.562314) 5-(0.310146,0.454748) 6-(0.318027,0.375593) 7-(0.34125,0.361484) 8-(0.364213,0.372198) 9-(0.29232,0.445368) 10-(0.302069,0.349228) 11-(0.33403,0.345352) 12-(0.357443,0.369119) 13-(0.275252,0.452183) 14-(0.283881,0.361927) 15-(0.317913,0.3522) 16-(0.344008,0.371539) 17-(0.258605,0.47567) 18-(0.270851,0.40282) 19-(0.298289,0.381031) 20-(0.323043,0.38401) 
166666#0-(0.245169,0.652475) 1-(0.287281,0.648902) 2-(0.326862,0.599382) 3-(0.357794,0.575572) 4-(0.38979,0.564438) 5-(0.309091,0.453069) 6-(0.316153,0.373381) 7-(0.339261,0.359491) 8-(0.362177,0.373565) 9-(0.291044,0.444746) 10-(0.299847,0.348013) 11-(0.33104,0.342982) 12-(0.353981,0.369994) 13-(0.273879,0.452565) 14-(0.282774,0.360666) 15-(0.315807,0.349724) 16-(0.341207,0.371664) 17-(0.256578,0.476363) 18-(0.269442,0.403632) 19-(0.29565,0.37805) 20-(0.319762,0.377847) 
200000#0-(0.249878,0.650283) 1-(0.286509,0.647723) 2-(0.32578,0.59963) 3-(0.356476,0.576052) 4-(0.388171,0.559633) 5-(0.308017,0.451526) 6-(0.31516,0.373142) 7-(0.335892,0.354667) 8-(0.358957,0.36293) 9-(0.29033,0.441695) 10-(0.296961,0.346544) 11-(0.327296,0.331165) 12-(0.353326,0.347967) 13-(0.27351,0.450024) 14-(0.281128,0.355943) 15-(0.313752,0.33901) 16-(0.341106,0.35574) 17-(0.257371,0.474782) 18-(0.270069,0.401521) 19-(0.296696,0.373999) 20-(0.32212,0.372921) 
233333#0-(0.245614,0.656375) 1-(0.287561,0.650041) 2-(0.326142,0.599913) 3-(0.355763,0.57312) 4-(0.388678,0.554427) 5-(0.30679,0.452496) 6-(0.313481,0.36904) 7-(0.335605,0.350886) 8-(0.35831,0.360234) 9-(0.288843,0.443628) 10-(0.296303,0.34249) 11-(0.327758,0.331758) 12-(0.352216,0.352278) 13-(0.271635,0.452314) 14-(0.280158,0.354811) 15-(0.314411,0.341543) 16-(0.340646,0.361054) 17-(0.254947,0.47725) 18-(0.267752,0.403016) 19-(0.295397,0.375279) 20-(0.32065,0.373353) 
266666#0-(0.246142,0.659578) 1-(0.287149,0.652342) 2-(0.324429,0.60086) 3-(0.353163,0.573514) 4-(0.386019,0.554654) 5-(0.304501,0.456482) 6-(0.310955,0.371273) 7-(0.332647,0.351805) 8-(0.355644,0.359303) 9-(0.286193,0.447869) 10-(0.292774,0.346175) 11-(0.324005,0.330728) 12-(0.349901,0.348421) 13-(0.268983,0.457789) 14-(0.2771,0.359302) 15-(0.311005,0.341944) 16-(0.337904,0.359064) 17-(0.252926,0.484535) 18-(0.265625,0.410203) 19-(0.292515,0.381131) 20-(0.317523,0.378735) 
300000#0-(0.246404,0.660067) 1-(0.285053,0.655457) 2-(0.323544,0.603781) 3-(0.35253,0.574361) 4-(0.383446,0.555312) 5-(0.303829,0.457005) 6-(0.310461,0.377084) 7-(0.331318,0.357727) 8-(0.35361,0.362879) 9-(0.285674,0.447205) 10-(0.292071,0.349312) 11-(0.322529,0.336477) 12-(0.347829,0.352215) 13-(0.268155,0.454672) 14-(0.275164,0.359124) 15-(0.308081,0.344491) 16-(0.33435,0.35924) 17-(0.251659,0.478019) 18-(0.264092,0.40515) 19-(0.291535,0.376034) 20-(0.317096,0.370623) 
333333#0-(0.245272,0.654948) 1-(0.281876,0.653296) 2-(0.321135,0.602517) 3-(0.350554,0.573356) 4-(0.382503,0.554027) 5-(0.300056,0.454831) 6-(0.30611,0.3723) 7-(0.328949,0.352247) 8-(0.353276,0.359464) 9-(0.282445,0.445854) 10-(0.287075,0.347046) 11-(0.318582,0.332747) 12-(0.346682,0.34961) 13-(0.264997,0.454472) 14-(0.270516,0.357694) 15-(0.303238,0.342602) 16-(0.330968,0.358336) 17-(0.247335,0.479708) 18-(0.257828,0.406982) 19-(0.284697,0.37943) 20-(0.311185,0.376344) 
366666#0-(0.242858,0.649159) 1-(0.279454,0.646523) 2-(0.318652,0.595039) 3-(0.348955,0.570322) 4-(0.381215,0.554734) 5-(0.296581,0.451055) 6-(0.302962,0.369398) 7-(0.326506,0.352425) 8-(0.350977,0.364268) 9-(0.278325,0.442683) 10-(0.285341,0.34511) 11-(0.317318,0.333613) 12-(0.343746,0.355929) 13-(0.260863,0.450534) 14-(0.268277,0.355116) 15-(0.302184,0.340458) 16-(0.329859,0.359903) 17-(0.243395,0.474618) 18-(0.255094,0.399008) 19-(0.282113,0.370806) 20-(0.307652,0.368996) 
