0#0-(0.311288,0.728499) 1-(0.359288,0.689392) 2-(0.386035,0.612208) 3-(0.406965,0.555357) 4-(0.43702,0.510998) 5-(0.337859,0.50793) 6-(0.353375,0.413886) 7-(0.357462,0.348214) 8-(0.35741,0.290259) 9-(0.318461,0.511294) 10-(0.373031,0.436443) 11-(0.415336,0.457111) 12-(0.436067,0.497563) 13-(0.313805,0.531088) 14-(0.372665,0.469301) 15-(0.415237,0.502247) 16-(0.435883,0.543827) 17-(0.322667,0.558344) 18-(0.368719,0.505952) 19-(0.40022,0.519035) 20-(0.417053,0.547095) 
33333#0-(0.304214,0.72587) 1-(0.356085,0.68298) 2-(0.384552,0.606442) 3-(0.406975,0.55098) 4-(0.439436,0.503759) 5-(0.335467,0.4922) 6-(0.346973,0.400689) 7-(0.351073,0.336402) 8-(0.351486,0.278282) 9-(0.314253,0.499994) 10-(0.364971,0.425322) 11-(0.407434,0.445557) 12-(0.430083,0.484324) 13-(0.308158,0.52348) 14-(0.363832,0.460282) 15-(0.406652,0.494375) 16-(0.428098,0.535673) 17-(0.316271,0.55586) 18-(0.362479,0.507082) 19-(0.395476,0.521673) 20-(0.414374,0.547826) 
66666#0-(0.305716,0.718561) 1-(0.354498,0.676763) 2-(0.382356,0.60198) 3-(0.404162,0.546554) 4-(0.434092,0.499529) 5-(0.335312,0.489569) 6-(0.344381,0.400275) 7-(0.346989,0.335781) 8-(0.347325,0.276545) 9-(0.31457,0.495778) 10-(0.361276,0.425626) 11-(0.400098,0.451225) 12-(0.421209,0.490689) 13-(0.306432,0.518834) 14-(0.358596,0.461824) 15-(0.397524,0.501095) 16-(0.416809,0.543907) 17-(0.311101,0.551443) 18-(0.354718,0.506938) 19-(0.387325,0.522823) 20-(0.405977,0.54808) 
100000#0-(0.298624,0.720752) 1-(0.34865,0.679454) 2-(0.377932,0.6057) 3-(0.401364,0.551168) 4-(0.433371,0.504392) 5-(0.3305,0.496091) 6-(0.340796,0.405573) 7-(0.344307,0.339483) 8-(0.344827,0.278389) 9-(0.309297,0.501241) 10-(0.360787,0.429357) 11-(0.400436,0.454286) 12-(0.419965,0.493714) 13-(0.301969,0.522481) 14-(0.358037,0.462261) 15-(0.398744,0.498972) 16-(0.41838,0.540057) 17-(0.30881,0.552824) 18-(0.355943,0.50564) 19-(0.388525,0.521078) 20-(0.406833,0.547395) 
133333#0-(0.304231,0.704612) 1-(0.349905,0.670185) 2-(0.374849,0.602075) 3-(0.395995,0.549255) 4-(0.422778,0.505127) 5-(0.334266,0.48955) 6-(0.344696,0.401722) 7-(0.346209,0.340106) 8-(0.345277,0.284171) 9-(0.314568,0.492578) 10-(0.358997,0.432348) 11-(0.394498,0.458558) 12-(0.413946,0.496533) 13-(0.305979,0.512991) 14-(0.355339,0.468054) 15-(0.39251,0.504262) 16-(0.412387,0.543287) 17-(0.309051,0.542755) 18-(0.351879,0.510087) 19-(0.383002,0.527839) 20-(0.401887,0.5528) 
166666#0-(0.304263,0.691459) 1-(0.344637,0.657517) 2-(0.36962,0.591537) 3-(0.390264,0.541659) 4-(0.413595,0.501265) 5-(0.334512,0.486143) 6-(0.344513,0.401265) 7-(0.345066,0.340604) 8-(0.344601,0.284116) 9-(0.31477,0.486503) 10-(0.354107,0.427516) 11-(0.390113,0.446935) 12-(0.413905,0.482596) 13-(0.304573,0.506203) 14-(0.349219,0.463928) 15-(0.386169,0.494324) 16-(0.40904,0.532578) 17-(0.303939,0.535477) 18-(0.342031,0.505977) 19-(0.372327,0.520062) 20-(0.393952,0.543337) 
200000#0-(0.297893,0.685034) 1-(0.339524,0.652165) 2-(0.364284,0.586958) 3-(0.384076,0.538543) 4-(0.408801,0.497531) 5-(0.333561,0.476361) 6-(0.343042,0.39234) 7-(0.344063,0.332635) 8-(0.342142,0.276064) 9-(0.314405,0.475543) 10-(0.352372,0.418904) 11-(0.386059,0.443609) 12-(0.406745,0.476667) 13-(0.303673,0.493399) 14-(0.346711,0.450208) 15-(0.382376,0.487958) 16-(0.40326,0.527554) 17-(0.301601,0.520945) 18-(0.340938,0.491068) 19-(0.370873,0.510162) 20-(0.39067,0.535089) 
233333#0-(0.296416,0.678844) 1-(0.33806,0.643704) 2-(0.363939,0.578549) 3-(0.384775,0.528722) 4-(0.410366,0.48707) 5-(0.333357,0.469131) 6-(0.340409,0.379686) 7-(0.339543,0.319408) 8-(0.336344,0.262649) 9-(0.312613,0.468805) 10-(0.347363,0.408945) 11-(0.382536,0.430527) 12-(0.404758,0.465993) 13-(0.300455,0.487949) 14-(0.340491,0.441885) 15-(0.376595,0.473247) 16-(0.39807,0.510861) 17-(0.296942,0.516675) 18-(0.333555,0.485742) 19-(0.363079,0.501448) 20-(0.383254,0.524218) 
266666#0-(0.29519,0.674165) 1-(0.334543,0.642248) 2-(0.361509,0.579136) 3-(0.381888,0.529834) 4-(0.40822,0.486507) 5-(0.329871,0.470345) 6-(0.33853,0.380423) 7-(0.3386,0.320257) 8-(0.337079,0.264343) 9-(0.309475,0.469901) 10-(0.345302,0.401069) 11-(0.382265,0.422494) 12-(0.405312,0.460981) 13-(0.297572,0.488378) 14-(0.337288,0.433848) 15-(0.374718,0.462198) 16-(0.396464,0.500685) 17-(0.293734,0.51647) 18-(0.329159,0.480312) 19-(0.360123,0.492148) 20-(0.381399,0.514407) 
300000#0-(0.293552,0.665776) 1-(0.331399,0.633505) 2-(0.359814,0.569947) 3-(0.381531,0.521185) 4-(0.405789,0.479803) 5-(0.330817,0.462374) 6-(0.33545,0.372245) 7-(0.334827,0.316182) 8-(0.333063,0.264009) 9-(0.310602,0.462941) 10-(0.346078,0.399523) 11-(0.379813,0.424213) 12-(0.400096,0.462515) 13-(0.298283,0.480704) 14-(0.33856,0.431668) 15-(0.371998,0.464497) 16-(0.390093,0.506349) 17-(0.292781,0.507885) 18-(0.328595,0.473477) 19-(0.356536,0.488123) 20-(0.374418,0.514166) 
333333#0-(0.291496,0.661771) 1-(0.333119,0.629801) 2-(0.359073,0.565953) 3-(0.380276,0.516009) 4-(0.406692,0.476149) 5-(0.332787,0.452526) 6-(0.339956,0.362078) 7-(0.338458,0.306045) 8-(0.33441,0.252914) 9-(0.311774,0.451387) 10-(0.343227,0.38712) 11-(0.378045,0.411185) 12-(0.399982,0.450726) 13-(0.298516,0.469346) 14-(0.335132,0.421938) 15-(0.371533,0.452316) 16-(0.392983,0.49203) 17-(0.293144,0.497427) 18-(0.32632,0.466166) 19-(0.356746,0.480818) 20-(0.377875,0.503979) 
366666#0-(0.290119,0.654821) 1-(0.329496,0.625621) 2-(0.359146,0.564549) 3-(0.382829,0.515956) 4-(0.407125,0.47481) 5-(0.335185,0.450071) 6-(0.341806,0.356722) 7-(0.34268,0.300771) 8-(0.341485,0.248369) 9-(0.313489,0.449513) 10-(0.344355,0.384503) 11-(0.378483,0.408963) 12-(0.39828,0.449698) 13-(0.299788,0.468279) 14-(0.334111,0.417661) 15-(0.368612,0.44641) 16-(0.387782,0.486359) 17-(0.293123,0.496701) 18-(0.324599,0.461175) 19-(0.353173,0.474501) 20-(0.372168,0.498935) 
400000#0-(0.291874,0.648347) 1-(0.330442,0.627337) 2-(0.359212,0.566911) 3-(0.380958,0.517894) 4-(0.403188,0.478914) 5-(0.339751,0.458103) 6-(0.34685,0.365007) 7-(0.348076,0.306705) 8-(0.346898,0.250355) 9-(0.31856,0.457299) 10-(0.344879,0.387744) 11-(0.377181,0.41022) 12-(0.394875,0.452478) 13-(0.303862,0.473291) 14-(0.333115,0.416644) 15-(0.367088,0.444221) 16-(0.384113,0.486759) 17-(0.295328,0.498003) 18-(0.325682,0.455385) 19-(0.354423,0.466861) 20-(0.372387,0.49459) 
433333#0-(0.294277,0.652709) 1-(0.332373,0.632454) 2-(0.361432,0.57004) 3-(0.382813,0.519426) 4-(0.404628,0.480789) 5-(0.339477,0.465495) 6-(0.347676,0.371367) 7-(0.350433,0.311677) 8-(0.349676,0.252901) 9-(0.318479,0.463546) 10-(0.345708,0.389636) 11-(0.378797,0.408891) 12-(0.39496,0.450176) 13-(0.304079,0.477908) 14-(0.333618,0.415178) 15-(0.367822,0.439982) 16-(0.384052,0.481972) 17-(0.295756,0.500979) 18-(0.326809,0.45383) 19-(0.355139,0.464246) 20-(0.371391,0.493064) 
466666#0-(0.298025,0.654802) 1-(0.335843,0.635038) 2-(0.364973,0.568436) 3-(0.386137,0.516173) 4-(0.407804,0.479039) 5-(0.342853,0.468632) 6-(0.348512,0.373559) 7-(0.3491,0.313339) 8-(0.346707,0.254785) 9-(0.322454,0.46709) 10-(0.346359,0.388717) 11-(0.379556,0.404251) 12-(0.396693,0.444013) 13-(0.308092,0.480715) 14-(0.335797,0.41658) 15-(0.370446,0.439712) 16-(0.387378,0.481489) 17-(0.299221,0.502248) 18-(0.329506,0.455093) 19-(0.357659,0.465755) 20-(0.373867,0.494893) 
500000#0-(0.305015,0.645029) 1-(0.343132,0.624409) 2-(0.370927,0.562566) 3-(0.391721,0.514209) 4-(0.412254,0.479208) 5-(0.34965,0.460971) 6-(0.352264,0.367904) 7-(0.352622,0.30818) 8-(0.350742,0.251058) 9-(0.329211,0.461677) 10-(0.350559,0.388004) 11-(0.384001,0.406902) 12-(0.402306,0.446923) 13-(0.314545,0.477354) 14-(0.339758,0.416881) 15-(0.373531,0.443362) 16-(0.389892,0.48585) 17-(0.304848,0.501731) 18-(0.331322,0.455151) 19-(0.359626,0.466035) 20-(0.376662,0.49403) 
533333#0-(0.314518,0.650892) 1-(0.352329,0.630289) 2-(0.380288,0.56327) 3-(0.399302,0.513987) 4-(0.420433,0.475994) 5-(0.355137,0.464163) 6-(0.356812,0.374483) 7-(0.357538,0.312705) 8-(0.35817,0.254597) 9-(0.333943,0.464636) 10-(0.354278,0.391029) 11-(0.389836,0.405756) 12-(0.41067,0.44363) 13-(0.318098,0.48049) 14-(0.344151,0.420125) 15-(0.380824,0.444638) 16-(0.399473,0.486183) 17-(0.308316,0.505127) 18-(0.336891,0.45981) 19-(0.366934,0.471339) 20-(0.385072,0.498827) 
566666#0-(0.321655,0.642788) 1-(0.35922,0.622055) 2-(0.385545,0.559678) 3-(0.4043,0.512464) 4-(0.424969,0.476449) 5-(0.360017,0.455169) 6-(0.359352,0.369656) 7-(0.357679,0.309658) 8-(0.355917,0.254735) 9-(0.33807,0.45584) 10-(0.362932,0.402418) 11-(0.396499,0.421836) 12-(0.415635,0.45862) 13-(0.3225,0.474547) 14-(0.351723,0.429881) 15-(0.384802,0.453955) 16-(0.401934,0.492479) 17-(0.313282,0.503199) 18-(0.341671,0.465876) 19-(0.370216,0.475863) 20-(0.388707,0.500496) 
