0#
33333#
66666#
100000#
133333#
166666#
200000#
233333#
266666#
300000#
333333#
366666#
400000#
433333#
466666#
500000#
533333#
566666#
600000#
633333#
666666#
700000#
733333#
766666#
800000#
833333#
866666#
900000#
933333#
966666#
1000000#0-(0.14307,0.871068) 1-(0.211517,0.888964) 2-(0.265476,0.880523) 3-(0.294726,0.853794) 4-(0.298442,0.838045) 5-(0.233259,0.714756) 6-(0.263517,0.639002) 7-(0.264844,0.65458) 8-(0.26881,0.668086) 9-(0.187011,0.698378) 10-(0.204479,0.684527) 11-(0.213849,0.770925) 12-(0.225199,0.830286) 13-(0.144222,0.72442) 14-(0.15069,0.740451) 15-(0.15797,0.831149) 16-(0.170086,0.890955) 17-(0.11109,0.77138) 18-(0.106095,0.816909) 19-(0.11257,0.879614) 20-(0.126772,0.921836) 
1033333#0-(0.176256,0.852591) 1-(0.249044,0.848168) 2-(0.29829,0.807594) 3-(0.317617,0.765538) 4-(0.309171,0.724687) 5-(0.230274,0.600885) 6-(0.244695,0.495929) 7-(0.264608,0.474857) 8-(0.29311,0.454662) 9-(0.168676,0.633526) 10-(0.161617,0.56684) 11-(0.18635,0.656896) 12-(0.216944,0.726244) 13-(0.122042,0.710035) 14-(0.10348,0.699069) 15-(0.137251,0.811314) 16-(0.17194,0.883043) 17-(0.0920224,0.793357) 18-(0.0664877,0.836956) 19-(0.092633,0.909999) 20-(0.123865,0.956579) 
1066666#0-(0.237445,0.836898) 1-(0.286591,0.784075) 2-(0.323471,0.712598) 3-(0.340432,0.676466) 4-(0.326149,0.658598) 5-(0.239934,0.513471) 6-(0.236772,0.411336) 7-(0.265658,0.443973) 8-(0.292947,0.486207) 9-(0.187989,0.561036) 10-(0.173991,0.503384) 11-(0.214477,0.596296) 12-(0.247528,0.658142) 13-(0.150619,0.634914) 14-(0.128264,0.606358) 15-(0.170361,0.683813) 16-(0.207443,0.733879) 17-(0.1237,0.718109) 18-(0.0893252,0.696961) 19-(0.122727,0.740747) 20-(0.160296,0.773343) 
1100000#0-(0.26404,0.791241) 1-(0.310251,0.748322) 2-(0.334737,0.683842) 3-(0.348274,0.630038) 4-(0.348461,0.579774) 5-(0.27068,0.507682) 6-(0.256381,0.424756) 7-(0.275342,0.430319) 8-(0.299989,0.453765) 9-(0.22355,0.540058) 10-(0.200081,0.459294) 11-(0.228686,0.534648) 12-(0.259412,0.594646) 13-(0.187608,0.601423) 14-(0.161188,0.541516) 15-(0.191847,0.611719) 16-(0.222321,0.658558) 17-(0.162969,0.678129) 18-(0.137414,0.647144) 19-(0.161329,0.68943) 20-(0.189796,0.719648) 
1133333#0-(0.27908,0.736681) 1-(0.324688,0.71331) 2-(0.358348,0.641952) 3-(0.369615,0.589379) 4-(0.361479,0.538462) 5-(0.303639,0.472176) 6-(0.287726,0.378398) 7-(0.298973,0.37596) 8-(0.315609,0.394572) 9-(0.256217,0.497756) 10-(0.233334,0.392918) 11-(0.252441,0.425957) 12-(0.277173,0.469646) 13-(0.216509,0.548534) 14-(0.191166,0.458927) 15-(0.213125,0.497648) 16-(0.238682,0.539433) 17-(0.184075,0.615642) 18-(0.158492,0.55589) 19-(0.176688,0.580044) 20-(0.199683,0.61145) 
1166666#0-(0.286975,0.69902) 1-(0.331843,0.681326) 2-(0.373365,0.602377) 3-(0.386372,0.544192) 4-(0.374984,0.492453) 5-(0.313236,0.438349) 6-(0.298851,0.345391) 7-(0.309815,0.350296) 8-(0.323346,0.382253) 9-(0.267309,0.456098) 10-(0.251633,0.349363) 11-(0.271811,0.385767) 12-(0.292363,0.44032) 13-(0.228195,0.495145) 14-(0.209159,0.399173) 15-(0.230791,0.43306) 16-(0.252988,0.47785) 17-(0.194117,0.550071) 18-(0.176292,0.480487) 19-(0.19536,0.500975) 20-(0.216532,0.535926) 
1200000#0-(0.295353,0.663541) 1-(0.33844,0.648534) 2-(0.378583,0.5766) 3-(0.389149,0.516757) 4-(0.369897,0.46951) 5-(0.322379,0.415376) 6-(0.313727,0.32069) 7-(0.325477,0.335078) 8-(0.337936,0.383812) 9-(0.279353,0.426612) 10-(0.263412,0.315366) 11-(0.281105,0.348988) 12-(0.299504,0.401382) 13-(0.242605,0.460446) 14-(0.223728,0.360285) 15-(0.243103,0.392531) 16-(0.26186,0.437701) 17-(0.211591,0.512158) 18-(0.196172,0.440841) 19-(0.212608,0.456078) 20-(0.231105,0.489672) 
1233333#0-(0.308011,0.648304) 1-(0.344534,0.628733) 2-(0.382479,0.553682) 3-(0.389837,0.49174) 4-(0.366725,0.448171) 5-(0.335746,0.411353) 6-(0.32569,0.327391) 7-(0.341287,0.305712) 8-(0.362856,0.328243) 9-(0.294481,0.422655) 10-(0.272497,0.326833) 11-(0.289548,0.313238) 12-(0.315216,0.343503) 13-(0.259439,0.456653) 14-(0.237312,0.365395) 15-(0.254957,0.348171) 16-(0.278667,0.366677) 17-(0.22885,0.507208) 18-(0.211158,0.440119) 19-(0.224254,0.423665) 20-(0.245725,0.431561) 
1266666#0-(0.31017,0.630543) 1-(0.349327,0.618536) 2-(0.386512,0.546518) 3-(0.391674,0.485625) 4-(0.369139,0.439687) 5-(0.344564,0.397579) 6-(0.331074,0.301919) 7-(0.349582,0.278944) 8-(0.372038,0.305409) 9-(0.304254,0.406359) 10-(0.283284,0.300305) 11-(0.305885,0.284078) 12-(0.33375,0.320026) 13-(0.270033,0.436337) 14-(0.247807,0.339031) 15-(0.267653,0.318403) 16-(0.292384,0.339848) 17-(0.240312,0.481267) 18-(0.223442,0.406303) 19-(0.234916,0.383703) 20-(0.254678,0.389515) 
1300000#0-(0.317142,0.625401) 1-(0.357383,0.611791) 2-(0.394942,0.537085) 3-(0.399661,0.469302) 4-(0.376207,0.420739) 5-(0.351759,0.388267) 6-(0.337629,0.285449) 7-(0.357387,0.262481) 8-(0.378907,0.291523) 9-(0.312454,0.395356) 10-(0.29061,0.276294) 11-(0.314887,0.261433) 12-(0.341312,0.302839) 13-(0.278978,0.424034) 14-(0.254614,0.31415) 15-(0.277901,0.293849) 16-(0.303768,0.319432) 17-(0.249226,0.467898) 18-(0.230367,0.38441) 19-(0.244431,0.358346) 20-(0.266379,0.363833) 
1333333#0-(0.319305,0.609339) 1-(0.363089,0.597542) 2-(0.400411,0.524877) 3-(0.401692,0.457075) 4-(0.374851,0.414858) 5-(0.359157,0.380965) 6-(0.344674,0.276269) 7-(0.364223,0.253704) 8-(0.385228,0.286126) 9-(0.319687,0.384606) 10-(0.297473,0.264464) 11-(0.322205,0.254307) 12-(0.349358,0.301939) 13-(0.285381,0.411718) 14-(0.26318,0.299854) 15-(0.287652,0.287971) 16-(0.3134,0.321262) 17-(0.25463,0.454141) 18-(0.2379,0.371713) 19-(0.254422,0.350745) 20-(0.277732,0.361586) 
1366666#0-(0.322729,0.599865) 1-(0.365405,0.596647) 2-(0.402502,0.519884) 3-(0.402364,0.448483) 4-(0.372199,0.408144) 5-(0.360355,0.376628) 6-(0.346263,0.274574) 7-(0.367915,0.257273) 8-(0.387668,0.294769) 9-(0.323905,0.377484) 10-(0.303532,0.259123) 11-(0.331163,0.258951) 12-(0.354816,0.313129) 13-(0.291234,0.400628) 14-(0.269868,0.289244) 15-(0.297013,0.287433) 16-(0.319507,0.326145) 17-(0.260666,0.437937) 18-(0.246018,0.35284) 19-(0.265076,0.339849) 20-(0.286396,0.359565) 
1400000#0-(0.32657,0.598628) 1-(0.368134,0.595678) 2-(0.40325,0.522499) 3-(0.402443,0.456005) 4-(0.372707,0.411749) 5-(0.363902,0.377546) 6-(0.349777,0.269731) 7-(0.372084,0.258079) 8-(0.392035,0.297344) 9-(0.328284,0.378109) 10-(0.306395,0.252227) 11-(0.335758,0.257226) 12-(0.360831,0.311308) 13-(0.296381,0.40035) 14-(0.274621,0.282268) 15-(0.303504,0.284231) 16-(0.326344,0.325837) 17-(0.266971,0.436589) 18-(0.252753,0.3504) 19-(0.273924,0.335533) 20-(0.296814,0.353804) 
1433333#0-(0.314594,0.40848) 1-(0.344586,0.377654) 2-(0.367511,0.33263) 3-(0.377227,0.316569) 4-(0.381849,0.326501) 5-(0.344551,0.271163) 6-(0.347088,0.223712) 7-(0.362738,0.262087) 8-(0.375359,0.302082) 9-(0.316049,0.286259) 10-(0.310471,0.23194) 11-(0.332411,0.286135) 12-(0.347152,0.318917) 13-(0.291254,0.316525) 14-(0.280159,0.273183) 15-(0.304765,0.318142) 16-(0.321862,0.342063) 17-(0.271933,0.355508) 18-(0.261475,0.342088) 19-(0.280466,0.364146) 20-(0.29706,0.373058) 
1466666#0-(0.333339,0.422085) 1-(0.365284,0.397608) 2-(0.384405,0.353602) 3-(0.38901,0.345709) 4-(0.382116,0.369137) 5-(0.351434,0.27873) 6-(0.361081,0.217999) 7-(0.371767,0.263287) 8-(0.379111,0.315149) 9-(0.320726,0.288479) 10-(0.311579,0.224454) 11-(0.33262,0.281583) 12-(0.348548,0.328743) 13-(0.294833,0.318423) 14-(0.277873,0.26901) 15-(0.302256,0.320531) 16-(0.321487,0.358378) 17-(0.277047,0.359308) 18-(0.259337,0.347527) 19-(0.278106,0.372951) 20-(0.29673,0.392569) 
1500000#0-(0.34175,0.414677) 1-(0.36803,0.388381) 2-(0.383578,0.353643) 3-(0.385789,0.346751) 4-(0.37372,0.363064) 5-(0.350542,0.275867) 6-(0.357682,0.230361) 7-(0.368411,0.275174) 8-(0.37503,0.32234) 9-(0.323802,0.28469) 10-(0.314132,0.231426) 11-(0.335828,0.290899) 12-(0.350279,0.338231) 13-(0.301921,0.313147) 14-(0.287691,0.274124) 15-(0.312726,0.328102) 16-(0.329201,0.367184) 17-(0.28562,0.350912) 18-(0.27159,0.342292) 19-(0.289311,0.36975) 20-(0.303452,0.390906) 
1533333#0-(0.347636,0.399026) 1-(0.374181,0.372428) 2-(0.392913,0.335949) 3-(0.398282,0.330552) 4-(0.390507,0.354593) 5-(0.352189,0.276445) 6-(0.359512,0.241134) 7-(0.368909,0.287536) 8-(0.376255,0.333868) 9-(0.325184,0.287539) 10-(0.31365,0.245746) 11-(0.332844,0.304437) 12-(0.347776,0.3543) 13-(0.303472,0.317536) 14-(0.285544,0.28658) 15-(0.307927,0.341671) 16-(0.326269,0.382259) 17-(0.289181,0.35598) 18-(0.266634,0.352899) 19-(0.281828,0.384397) 20-(0.299546,0.409507) 
1566666#0-(0.349092,0.400773) 1-(0.373636,0.380006) 2-(0.393776,0.343155) 3-(0.398238,0.334292) 4-(0.386272,0.353029) 5-(0.356975,0.283595) 6-(0.361439,0.254005) 7-(0.368507,0.302348) 8-(0.374941,0.345068) 9-(0.330145,0.294446) 10-(0.316607,0.259427) 11-(0.333769,0.321359) 12-(0.347843,0.363579) 13-(0.30869,0.323682) 14-(0.289559,0.293749) 15-(0.309519,0.3515) 16-(0.326352,0.388286) 17-(0.294263,0.360383) 18-(0.270745,0.355089) 19-(0.2835,0.388674) 20-(0.300275,0.412126) 
1600000#0-(0.336154,0.611748) 1-(0.376863,0.615741) 2-(0.412312,0.549657) 3-(0.403131,0.489582) 4-(0.363902,0.443203) 5-(0.391789,0.400916) 6-(0.394205,0.286438) 7-(0.402406,0.302309) 8-(0.404194,0.356909) 9-(0.356887,0.391321) 10-(0.350607,0.257111) 11-(0.364521,0.277929) 12-(0.373493,0.339294) 13-(0.323041,0.403088) 14-(0.314212,0.284612) 15-(0.328413,0.298826) 16-(0.337222,0.352706) 17-(0.289026,0.428545) 18-(0.281953,0.344804) 19-(0.294366,0.341117) 20-(0.304881,0.372035) 21-(0.350345,0.404802) 22-(0.371333,0.392559) 23-(0.386147,0.364164) 24-(0.386406,0.358753) 25-(0.37774,0.373369) 26-(0.363318,0.301411) 27-(0.366254,0.261829) 28-(0.371503,0.301329) 29-(0.377568,0.344172) 30-(0.338254,0.309357) 31-(0.328073,0.260311) 32-(0.340027,0.316747) 33-(0.351538,0.359026) 34-(0.318824,0.335609) 35-(0.304298,0.290776) 36-(0.3193,0.344302) 37-(0.332867,0.380941) 38-(0.305587,0.368886) 39-(0.287084,0.354356) 40-(0.295139,0.38259) 41-(0.305702,0.404064) 
1633333#0-(0.330979,0.654246) 1-(0.377074,0.639803) 2-(0.411361,0.559181) 3-(0.406767,0.485128) 4-(0.376625,0.423466) 5-(0.388214,0.410712) 6-(0.386809,0.298326) 7-(0.400298,0.306348) 8-(0.40747,0.356562) 9-(0.35236,0.404663) 10-(0.345779,0.274494) 11-(0.363183,0.284126) 12-(0.37293,0.344574) 13-(0.319292,0.416767) 14-(0.30853,0.299576) 15-(0.32475,0.306114) 16-(0.334572,0.359998) 17-(0.286492,0.440615) 18-(0.277617,0.356117) 19-(0.290637,0.351115) 20-(0.30151,0.386328) 21-(0.332447,0.405785) 22-(0.359013,0.392505) 23-(0.381208,0.367194) 24-(0.390446,0.360565) 25-(0.385836,0.366829) 26-(0.365653,0.288652) 27-(0.378081,0.285022) 28-(0.383972,0.313655) 29-(0.388076,0.335672) 30-(0.335456,0.301328) 31-(0.338954,0.297476) 32-(0.352694,0.345004) 33-(0.361491,0.366721) 34-(0.309103,0.330006) 35-(0.306772,0.33399) 36-(0.325612,0.377728) 37-(0.338801,0.393636) 38-(0.287996,0.365191) 39-(0.282915,0.371546) 40-(0.299134,0.400495) 41-(0.314177,0.417319) 
1666666#0-(0.327633,0.677872) 1-(0.376734,0.649042) 2-(0.410182,0.56556) 3-(0.406629,0.488879) 4-(0.381528,0.431186) 5-(0.391219,0.411279) 6-(0.39197,0.305001) 7-(0.400005,0.304461) 8-(0.402183,0.351272) 9-(0.356982,0.404655) 10-(0.349998,0.280786) 11-(0.362319,0.283323) 12-(0.368594,0.344198) 13-(0.325606,0.417813) 14-(0.312927,0.308645) 15-(0.326958,0.308361) 16-(0.336745,0.360153) 17-(0.292557,0.446321) 18-(0.284519,0.371244) 19-(0.295939,0.362043) 20-(0.306325,0.393423) 21-(0.331138,0.438248) 22-(0.35726,0.429011) 23-(0.382281,0.406185) 24-(0.388739,0.395774) 25-(0.381235,0.397688) 26-(0.370487,0.331706) 27-(0.384478,0.288512) 28-(0.391719,0.313857) 29-(0.394004,0.347515) 30-(0.342251,0.332422) 31-(0.347285,0.270912) 32-(0.35909,0.320392) 33-(0.365881,0.35584) 34-(0.315141,0.352075) 35-(0.313215,0.301518) 36-(0.329787,0.350589) 37-(0.341066,0.380988) 38-(0.289619,0.380388) 39-(0.284557,0.351748) 40-(0.301082,0.381633) 41-(0.316209,0.405795) 
1700000#0-(0.330631,0.690738) 1-(0.37887,0.651878) 2-(0.408168,0.570217) 3-(0.403896,0.492811) 4-(0.382264,0.435017) 5-(0.395223,0.414077) 6-(0.398295,0.30841) 7-(0.404613,0.311023) 8-(0.403641,0.35858) 9-(0.359567,0.405529) 10-(0.352905,0.278541) 11-(0.364624,0.281137) 12-(0.36985,0.341547) 13-(0.327202,0.419129) 14-(0.313839,0.307247) 15-(0.326631,0.308636) 16-(0.335184,0.359716) 17-(0.293273,0.450466) 18-(0.283459,0.373372) 19-(0.294423,0.365823) 20-(0.306056,0.395137) 21-(0.33113,0.432746) 22-(0.358893,0.426156) 23-(0.381185,0.412627) 24-(0.382496,0.412114) 25-(0.37619,0.417746) 26-(0.37647,0.334507) 27-(0.389811,0.301043) 28-(0.394026,0.323186) 29-(0.396432,0.352753) 30-(0.34685,0.33219) 31-(0.354011,0.277296) 32-(0.360665,0.322756) 33-(0.36756,0.353691) 34-(0.318358,0.349538) 35-(0.319351,0.302523) 36-(0.332372,0.353171) 37-(0.345048,0.385055) 38-(0.291671,0.378039) 39-(0.289442,0.355655) 40-(0.304445,0.388328) 41-(0.320676,0.414392) 
1733333#0-(0.329604,0.699326) 1-(0.381168,0.655376) 2-(0.410129,0.569447) 3-(0.405982,0.490508) 4-(0.384921,0.432558) 5-(0.395211,0.41405) 6-(0.397633,0.307845) 7-(0.407225,0.318093) 8-(0.408119,0.368264) 9-(0.360378,0.406847) 10-(0.352078,0.279236) 11-(0.367074,0.290055) 12-(0.373526,0.352056) 13-(0.328414,0.421629) 14-(0.314395,0.312064) 15-(0.33033,0.318897) 16-(0.339809,0.370135) 17-(0.295105,0.45497) 18-(0.287005,0.379421) 19-(0.300401,0.373409) 20-(0.31268,0.402748) 21-(0.327921,0.432813) 22-(0.356491,0.419663) 23-(0.380104,0.402562) 24-(0.386802,0.393475) 25-(0.384544,0.396787) 26-(0.374489,0.333927) 27-(0.387177,0.303945) 28-(0.393915,0.332209) 29-(0.397085,0.365424) 30-(0.34662,0.33524) 31-(0.35465,0.287128) 32-(0.362152,0.334844) 33-(0.369773,0.366256) 34-(0.319409,0.352656) 35-(0.32193,0.308657) 36-(0.334159,0.3602) 37-(0.346231,0.392466) 38-(0.293455,0.379436) 39-(0.291811,0.360865) 40-(0.30509,0.396191) 41-(0.320092,0.42239) 
1766666#0-(0.329089,0.706929) 1-(0.384344,0.651975) 2-(0.411377,0.571874) 3-(0.405636,0.495862) 4-(0.383153,0.438079) 5-(0.40081,0.412652) 6-(0.400637,0.309453) 7-(0.409864,0.320638) 8-(0.410608,0.371722) 9-(0.365112,0.405609) 10-(0.354907,0.283312) 11-(0.369403,0.29056) 12-(0.374774,0.349627) 13-(0.332136,0.421203) 14-(0.316082,0.316831) 15-(0.330174,0.319447) 16-(0.338525,0.367447) 17-(0.297624,0.45626) 18-(0.288057,0.381943) 19-(0.300105,0.369931) 20-(0.312252,0.392682) 21-(0.323784,0.435007) 22-(0.353989,0.428605) 23-(0.374826,0.407312) 24-(0.383847,0.394592) 25-(0.388693,0.390996) 26-(0.369863,0.340469) 27-(0.38136,0.311795) 28-(0.391484,0.337218) 29-(0.39688,0.368905) 30-(0.344177,0.340624) 31-(0.351062,0.290717) 32-(0.362992,0.336728) 33-(0.372187,0.36683) 34-(0.318633,0.356284) 35-(0.320198,0.307659) 36-(0.335094,0.362364) 37-(0.347322,0.395434) 38-(0.294757,0.381002) 39-(0.293835,0.364967) 40-(0.308749,0.404467) 41-(0.322837,0.430595) 
1800000#0-(0.329066,0.711503) 1-(0.383038,0.654692) 2-(0.410805,0.575309) 3-(0.407603,0.498775) 4-(0.387337,0.434013) 5-(0.401437,0.418745) 6-(0.404296,0.316207) 7-(0.410803,0.329868) 8-(0.409234,0.38274) 9-(0.366017,0.409838) 10-(0.358579,0.285822) 11-(0.371131,0.293168) 12-(0.374981,0.35) 13-(0.333026,0.424921) 14-(0.318638,0.321565) 15-(0.331623,0.322427) 16-(0.338866,0.367039) 17-(0.298204,0.459781) 18-(0.287847,0.389946) 19-(0.298099,0.374763) 20-(0.308882,0.391513) 21-(0.327142,0.42746) 22-(0.358766,0.42539) 23-(0.376717,0.408193) 24-(0.381835,0.399521) 25-(0.385571,0.399481) 26-(0.37024,0.335873) 27-(0.378509,0.313129) 28-(0.389479,0.335941) 29-(0.395599,0.365749) 30-(0.343823,0.33856) 31-(0.349015,0.297478) 32-(0.360637,0.340574) 33-(0.370374,0.370024) 34-(0.318973,0.356036) 35-(0.318988,0.315904) 36-(0.334493,0.369395) 37-(0.347656,0.401546) 38-(0.296185,0.383718) 39-(0.295056,0.377872) 40-(0.310275,0.417759) 41-(0.324756,0.440913) 
1833333#0-(0.330442,0.713621) 1-(0.384247,0.658471) 2-(0.411917,0.575961) 3-(0.40755,0.498331) 4-(0.387338,0.434825) 5-(0.399115,0.417721) 6-(0.402852,0.316525) 7-(0.40931,0.329613) 8-(0.407764,0.383666) 9-(0.363741,0.408961) 10-(0.356372,0.28298) 11-(0.369087,0.289074) 12-(0.373553,0.346192) 13-(0.331273,0.424401) 14-(0.317065,0.31988) 15-(0.330238,0.321683) 16-(0.338046,0.367419) 17-(0.29722,0.459435) 18-(0.286278,0.390007) 19-(0.296202,0.376392) 20-(0.306608,0.395072) 21-(0.325996,0.42207) 22-(0.355758,0.42007) 23-(0.374287,0.407292) 24-(0.379638,0.401572) 25-(0.383712,0.401664) 26-(0.367967,0.33482) 27-(0.377155,0.313571) 28-(0.391096,0.33029) 29-(0.400267,0.357155) 30-(0.340618,0.33682) 31-(0.346132,0.299562) 32-(0.358324,0.339281) 33-(0.36886,0.367365) 34-(0.315706,0.354125) 35-(0.317046,0.324612) 36-(0.333394,0.374815) 37-(0.347671,0.404254) 38-(0.293871,0.381648) 39-(0.294869,0.387483) 40-(0.310855,0.427227) 41-(0.326254,0.4492) 
1866666#0-(0.331991,0.718692) 1-(0.384758,0.664524) 2-(0.412628,0.579165) 3-(0.40578,0.503589) 4-(0.383606,0.44782) 5-(0.400098,0.413647) 6-(0.401087,0.314008) 7-(0.409797,0.326527) 8-(0.410772,0.377885) 9-(0.363668,0.407109) 10-(0.351771,0.285538) 11-(0.366432,0.292422) 12-(0.373075,0.350833) 13-(0.330598,0.424179) 14-(0.312434,0.321716) 15-(0.327364,0.325012) 16-(0.337448,0.372979) 17-(0.29572,0.461085) 18-(0.285045,0.388314) 19-(0.297578,0.378872) 20-(0.31115,0.403288) 21-(0.326061,0.421507) 22-(0.356355,0.423211) 23-(0.375509,0.408721) 24-(0.381358,0.401648) 25-(0.386232,0.403129) 26-(0.366131,0.328021) 27-(0.372461,0.309383) 28-(0.385862,0.328312) 29-(0.395754,0.355104) 30-(0.339007,0.330785) 31-(0.343556,0.29825) 32-(0.356194,0.336924) 33-(0.367658,0.364611) 34-(0.314983,0.350488) 35-(0.315405,0.327335) 36-(0.333804,0.377483) 37-(0.349989,0.409564) 38-(0.293753,0.381044) 39-(0.293104,0.388459) 40-(0.309577,0.427676) 41-(0.325837,0.451646) 
1900000#0-(0.331474,0.721251) 1-(0.38563,0.662856) 2-(0.413194,0.580432) 3-(0.406901,0.503751) 4-(0.384984,0.442675) 5-(0.403093,0.416499) 6-(0.404769,0.314405) 7-(0.410957,0.330141) 8-(0.409882,0.382833) 9-(0.366283,0.409173) 10-(0.356025,0.286733) 11-(0.366782,0.297325) 12-(0.371034,0.357398) 13-(0.332711,0.424877) 14-(0.316227,0.320343) 15-(0.328473,0.327531) 16-(0.336888,0.378192) 17-(0.297186,0.46037) 18-(0.287759,0.38704) 19-(0.299093,0.382121) 20-(0.31157,0.412178) 21-(0.32992,0.418935) 22-(0.359734,0.414902) 23-(0.378659,0.40363) 24-(0.381947,0.402318) 25-(0.384077,0.406703) 26-(0.36555,0.328433) 27-(0.370483,0.309896) 28-(0.383157,0.328842) 29-(0.394525,0.354101) 30-(0.337214,0.334457) 31-(0.339888,0.302553) 32-(0.35422,0.340008) 33-(0.368756,0.364496) 34-(0.313264,0.357202) 35-(0.31305,0.333542) 36-(0.334167,0.381015) 37-(0.353518,0.409508) 38-(0.292831,0.390989) 39-(0.290069,0.392488) 40-(0.307346,0.427116) 41-(0.325412,0.448814) 
