0#
33333#
66666#
100000#
133333#
166666#
200000#
233333#0-(0.21261,0.907568) 1-(0.241168,0.904606) 2-(0.248815,0.916528) 3-(0.230869,0.943416) 4-(0.212324,0.957546) 5-(0.20897,0.842574) 6-(0.195915,0.871851) 7-(0.193408,0.91641) 8-(0.19249,0.951689) 9-(0.175688,0.837036) 10-(0.151501,0.880976) 11-(0.142406,0.937658) 12-(0.137239,0.975576) 13-(0.151455,0.843748) 14-(0.128175,0.884261) 15-(0.121704,0.92945) 16-(0.118978,0.953412) 17-(0.136746,0.858681) 18-(0.118949,0.887711) 19-(0.108883,0.91645) 20-(0.101987,0.93439) 
266666#0-(0.199984,0.918361) 1-(0.237606,0.902853) 2-(0.262026,0.896215) 3-(0.278361,0.919368) 4-(0.303299,0.952026) 5-(0.198861,0.806341) 6-(0.198178,0.810615) 7-(0.204131,0.838647) 8-(0.211577,0.88326) 9-(0.164298,0.834462) 10-(0.139687,0.85684) 11-(0.120624,0.895503) 12-(0.107824,0.946131) 13-(0.139533,0.871976) 14-(0.12128,0.918452) 15-(0.115974,0.947816) 16-(0.115303,0.975813) 17-(0.127744,0.914486) 18-(0.112514,0.945627) 19-(0.111713,0.972536) 20-(0.113939,1.00011) 21-(0.191931,0.87029) 22-(0.224924,0.835543) 23-(0.246278,0.809795) 24-(0.243826,0.839891) 25-(0.234311,0.901352) 26-(0.180431,0.758069) 27-(0.170197,0.754402) 28-(0.168016,0.812749) 29-(0.165016,0.862848) 30-(0.13949,0.794822) 31-(0.111911,0.820989) 32-(0.11211,0.900402) 33-(0.120417,0.960449) 34-(0.108963,0.840527) 35-(0.0681465,0.867757) 36-(0.0661909,0.953889) 37-(0.0745794,1.01552) 38-(0.0937666,0.879081) 39-(0.0603369,0.925872) 40-(0.0529295,0.98497) 41-(0.0555052,1.02071) 
300000#0-(0.198207,0.931679) 1-(0.235875,0.924687) 2-(0.265705,0.890109) 3-(0.282473,0.884368) 4-(0.298564,0.900752) 5-(0.213549,0.758227) 6-(0.205701,0.697043) 7-(0.198127,0.728354) 8-(0.192934,0.791515) 9-(0.156846,0.793768) 10-(0.12941,0.743828) 11-(0.114724,0.791572) 12-(0.113624,0.867784) 13-(0.117812,0.847051) 14-(0.0771629,0.816685) 15-(0.0613622,0.860097) 16-(0.0630446,0.916971) 17-(0.0942853,0.912414) 18-(0.0498631,0.903394) 19-(0.0373586,0.930448) 20-(0.0387053,0.968604) 
333333#0-(0.187914,0.933298) 1-(0.231418,0.912245) 2-(0.262496,0.877959) 3-(0.287933,0.852987) 4-(0.301936,0.84157) 5-(0.214785,0.733021) 6-(0.207912,0.625195) 7-(0.190425,0.642107) 8-(0.180026,0.692104) 9-(0.165746,0.745207) 10-(0.140679,0.654029) 11-(0.125505,0.702466) 12-(0.127045,0.771761) 13-(0.129177,0.778526) 14-(0.101405,0.727758) 15-(0.0932425,0.779563) 16-(0.101288,0.838245) 17-(0.101255,0.825527) 18-(0.0694925,0.799008) 19-(0.0602266,0.832744) 20-(0.0670779,0.870586) 
366666#0-(0.19291,0.905739) 1-(0.235233,0.883608) 2-(0.26727,0.840003) 3-(0.291781,0.807031) 4-(0.307648,0.783627) 5-(0.211218,0.685395) 6-(0.202582,0.585761) 7-(0.188847,0.59506) 8-(0.181381,0.642001) 9-(0.163298,0.707) 10-(0.139515,0.610379) 11-(0.132162,0.650799) 12-(0.139946,0.714384) 13-(0.127049,0.745312) 14-(0.0980751,0.673378) 15-(0.0958634,0.712823) 16-(0.10786,0.762197) 17-(0.0995578,0.79692) 18-(0.0673054,0.7495) 19-(0.061288,0.766767) 20-(0.0703646,0.792365) 
400000#0-(0.201325,0.888594) 1-(0.242608,0.866439) 2-(0.273533,0.81682) 3-(0.292841,0.775706) 4-(0.309053,0.743217) 5-(0.219545,0.645464) 6-(0.211944,0.551702) 7-(0.20154,0.538355) 8-(0.195813,0.571545) 9-(0.171481,0.665769) 10-(0.151649,0.576892) 11-(0.141685,0.574383) 12-(0.144019,0.614842) 13-(0.13395,0.707263) 14-(0.106929,0.639115) 15-(0.0976521,0.639071) 16-(0.103065,0.668169) 17-(0.104566,0.762299) 18-(0.0784603,0.70775) 19-(0.0680644,0.694408) 20-(0.0705016,0.69689) 
433333#0-(0.210296,0.860244) 1-(0.251193,0.841852) 2-(0.281853,0.78814) 3-(0.299988,0.748321) 4-(0.313748,0.712629) 5-(0.227962,0.616305) 6-(0.217909,0.522214) 7-(0.210842,0.497816) 8-(0.208136,0.520025) 9-(0.180636,0.633744) 10-(0.159006,0.537519) 11-(0.152872,0.522124) 12-(0.156193,0.555053) 13-(0.144192,0.674604) 14-(0.116105,0.596153) 15-(0.107801,0.579944) 16-(0.112886,0.597963) 17-(0.114639,0.73128) 18-(0.0862694,0.672456) 19-(0.0756481,0.650976) 20-(0.0774866,0.646054) 
466666#0-(0.215199,0.8288) 1-(0.256315,0.810088) 2-(0.290365,0.752935) 3-(0.306627,0.714024) 4-(0.313334,0.675509) 5-(0.232796,0.578429) 6-(0.223505,0.483686) 7-(0.2232,0.455988) 8-(0.227511,0.476995) 9-(0.186242,0.597616) 10-(0.163596,0.492089) 11-(0.164111,0.46845) 12-(0.174911,0.499944) 13-(0.149683,0.639887) 14-(0.121474,0.549841) 15-(0.119233,0.523277) 16-(0.13109,0.534021) 17-(0.119513,0.698164) 18-(0.0912126,0.63134) 19-(0.0847711,0.603546) 20-(0.0917126,0.593965) 
500000#0-(0.22349,0.811098) 1-(0.266629,0.784902) 2-(0.301206,0.722951) 3-(0.315481,0.677146) 4-(0.314703,0.637042) 5-(0.24234,0.538651) 6-(0.225178,0.434725) 7-(0.232806,0.413736) 8-(0.245281,0.439334) 9-(0.195645,0.554926) 10-(0.166864,0.440063) 11-(0.176258,0.418882) 12-(0.194471,0.452528) 13-(0.158656,0.596853) 14-(0.125765,0.495362) 15-(0.131278,0.468202) 16-(0.150642,0.483373) 17-(0.127846,0.657123) 18-(0.0988982,0.58408) 19-(0.100014,0.554926) 20-(0.114768,0.550086) 
533333#0-(0.221481,0.789835) 1-(0.264012,0.761001) 2-(0.299245,0.70224) 3-(0.315694,0.657506) 4-(0.321504,0.613992) 5-(0.244506,0.518303) 6-(0.231092,0.417958) 7-(0.238185,0.385923) 8-(0.250723,0.399849) 9-(0.199127,0.533774) 10-(0.175599,0.420303) 11-(0.183976,0.391236) 12-(0.202454,0.41799) 13-(0.161796,0.572589) 14-(0.132846,0.470784) 15-(0.136672,0.439688) 16-(0.154675,0.452144) 17-(0.129402,0.628065) 18-(0.103106,0.552159) 19-(0.103154,0.522122) 20-(0.11774,0.516036) 
