0#0-(0.171065,0.948261) 1-(0.218241,0.917452) 2-(0.26218,0.859354) 3-(0.298992,0.824252) 4-(0.333833,0.812599) 5-(0.203193,0.725989) 6-(0.191687,0.624266) 7-(0.190765,0.632724) 8-(0.200838,0.650965) 9-(0.148888,0.745701) 10-(0.124775,0.667927) 11-(0.126922,0.704588) 12-(0.140521,0.743267) 13-(0.106137,0.792923) 14-(0.0750659,0.738097) 15-(0.0807506,0.780722) 16-(0.0976147,0.822452) 17-(0.0728177,0.853301) 18-(0.0412456,0.808165) 19-(0.0485631,0.83862) 20-(0.066388,0.872391) 
33333#0-(0.215364,0.858651) 1-(0.259107,0.829686) 2-(0.294393,0.749772) 3-(0.315584,0.693028) 4-(0.343483,0.658558) 5-(0.238397,0.595872) 6-(0.225012,0.509163) 7-(0.215084,0.492401) 8-(0.209031,0.50732) 9-(0.189892,0.613566) 10-(0.169647,0.532946) 11-(0.165319,0.53389) 12-(0.170335,0.566201) 13-(0.150001,0.65145) 14-(0.128392,0.585846) 15-(0.124071,0.582546) 16-(0.129419,0.599319) 17-(0.116224,0.707004) 18-(0.0912929,0.653593) 19-(0.0856025,0.641119) 20-(0.0869081,0.638726) 
66666#0-(0.226074,0.818526) 1-(0.26828,0.783712) 2-(0.304028,0.700427) 3-(0.322184,0.643775) 4-(0.343566,0.598201) 5-(0.250642,0.555079) 6-(0.238849,0.457014) 7-(0.241221,0.427476) 8-(0.248478,0.433038) 9-(0.207955,0.573526) 10-(0.189147,0.478129) 11-(0.191161,0.454223) 12-(0.202554,0.469823) 13-(0.170954,0.61138) 14-(0.149468,0.524952) 15-(0.148283,0.493334) 16-(0.15953,0.492817) 17-(0.137271,0.666114) 18-(0.115478,0.600864) 19-(0.111875,0.568416) 20-(0.119096,0.550729) 
100000#0-(0.238395,0.782904) 1-(0.279097,0.750014) 2-(0.313661,0.67231) 3-(0.326191,0.614272) 4-(0.331792,0.5598) 5-(0.261051,0.513882) 6-(0.253153,0.40839) 7-(0.266067,0.372939) 8-(0.287233,0.373528) 9-(0.220427,0.526707) 10-(0.203502,0.421823) 11-(0.215627,0.382819) 12-(0.240734,0.387894) 13-(0.185881,0.562349) 14-(0.162129,0.466667) 15-(0.167393,0.422442) 16-(0.188902,0.413989) 17-(0.155334,0.615863) 18-(0.132544,0.53816) 19-(0.133073,0.497388) 20-(0.14983,0.473812) 
133333#0-(0.247451,0.744369) 1-(0.286468,0.726092) 2-(0.325013,0.643405) 3-(0.328227,0.567822) 4-(0.307621,0.51758) 5-(0.276723,0.487967) 6-(0.26951,0.387212) 7-(0.279886,0.352704) 8-(0.292785,0.352606) 9-(0.237543,0.489073) 10-(0.222154,0.387249) 11-(0.232118,0.353291) 12-(0.246192,0.364032) 13-(0.202747,0.513542) 14-(0.186387,0.419467) 15-(0.192202,0.381671) 16-(0.20337,0.383067) 17-(0.171312,0.556247) 18-(0.157349,0.482095) 19-(0.160659,0.445635) 20-(0.171342,0.431055) 
166666#0-(0.251347,0.710724) 1-(0.291516,0.699972) 2-(0.332062,0.61977) 3-(0.333961,0.54577) 4-(0.312135,0.497147) 5-(0.285615,0.472021) 6-(0.284188,0.377081) 7-(0.294042,0.334905) 8-(0.310343,0.321512) 9-(0.249422,0.467727) 10-(0.24234,0.371742) 11-(0.254471,0.323912) 12-(0.273554,0.316468) 13-(0.217151,0.487694) 14-(0.205803,0.396796) 15-(0.21375,0.352058) 16-(0.230839,0.340982) 17-(0.187392,0.526891) 18-(0.177247,0.44997) 19-(0.181482,0.413618) 20-(0.195119,0.397642) 
200000#0-(0.257815,0.691825) 1-(0.29848,0.681635) 2-(0.340236,0.605441) 3-(0.345461,0.532645) 4-(0.322299,0.488971) 5-(0.294815,0.449671) 6-(0.294903,0.358784) 7-(0.305183,0.318933) 8-(0.320054,0.31324) 9-(0.258627,0.44267) 10-(0.254218,0.346393) 11-(0.267595,0.298223) 12-(0.288363,0.298491) 13-(0.226114,0.462191) 14-(0.215591,0.369528) 15-(0.224355,0.323803) 16-(0.243193,0.317584) 17-(0.195349,0.501934) 18-(0.185138,0.421887) 19-(0.190177,0.383805) 20-(0.206852,0.369929) 
233333#0-(0.261445,0.65875) 1-(0.303712,0.648511) 2-(0.345007,0.58629) 3-(0.355538,0.527405) 4-(0.336392,0.488228) 5-(0.305716,0.431882) 6-(0.305465,0.347618) 7-(0.317461,0.313797) 8-(0.334069,0.317768) 9-(0.269777,0.426067) 10-(0.264673,0.332752) 11-(0.278749,0.29106) 12-(0.299149,0.302725) 13-(0.237432,0.443247) 14-(0.227294,0.35056) 15-(0.237642,0.312008) 16-(0.255343,0.317618) 17-(0.20547,0.4804) 18-(0.194575,0.400985) 19-(0.199059,0.369345) 20-(0.212832,0.366955) 
266666#0-(0.271935,0.647764) 1-(0.313677,0.641117) 2-(0.355986,0.580946) 3-(0.368284,0.52497) 4-(0.352586,0.487658) 5-(0.317739,0.422853) 6-(0.314254,0.334595) 7-(0.324275,0.296352) 8-(0.337453,0.301606) 9-(0.280516,0.41711) 10-(0.272048,0.318283) 11-(0.285718,0.280027) 12-(0.303661,0.302442) 13-(0.247298,0.433808) 14-(0.234764,0.339892) 15-(0.24548,0.305949) 16-(0.262017,0.32126) 17-(0.215832,0.468637) 18-(0.203573,0.389321) 19-(0.208532,0.361894) 20-(0.222275,0.367272) 
300000#0-(0.277786,0.637585) 1-(0.321128,0.631241) 2-(0.364747,0.572186) 3-(0.372361,0.516197) 4-(0.349798,0.483465) 5-(0.327582,0.41411) 6-(0.320854,0.322502) 7-(0.329597,0.290543) 8-(0.341819,0.306508) 9-(0.288014,0.408815) 10-(0.276718,0.303313) 11-(0.28951,0.271371) 12-(0.307038,0.305093) 13-(0.253682,0.425635) 14-(0.23858,0.327989) 15-(0.248781,0.297161) 16-(0.266046,0.319198) 17-(0.221062,0.460368) 18-(0.207195,0.377514) 19-(0.212783,0.353574) 20-(0.227275,0.365516) 
333333#0-(0.281175,0.629507) 1-(0.328173,0.622913) 2-(0.371503,0.563902) 3-(0.378462,0.50889) 4-(0.3558,0.480386) 5-(0.332568,0.406338) 6-(0.321732,0.313009) 7-(0.33205,0.287535) 8-(0.344497,0.309342) 9-(0.294815,0.400722) 10-(0.280413,0.292386) 11-(0.294738,0.275568) 12-(0.312413,0.318609) 13-(0.261522,0.416537) 14-(0.245407,0.314711) 15-(0.258049,0.298677) 16-(0.275289,0.335596) 17-(0.229736,0.448777) 18-(0.216932,0.367373) 19-(0.226072,0.345739) 20-(0.241883,0.363563) 
