0#0-(0.365054,0.830209) 1-(0.40594,0.816938) 2-(0.443595,0.738037) 3-(0.468637,0.674426) 4-(0.477001,0.614746) 5-(0.409851,0.586126) 6-(0.433268,0.489439) 7-(0.451267,0.515131) 8-(0.460011,0.565944) 9-(0.378217,0.56843) 10-(0.38694,0.444672) 11-(0.398789,0.362576) 12-(0.4089,0.287041) 13-(0.344527,0.589094) 14-(0.343219,0.470235) 15-(0.347575,0.388031) 16-(0.353281,0.311603) 17-(0.311815,0.637993) 18-(0.303506,0.547611) 19-(0.30178,0.488936) 20-(0.302681,0.43164) 
33333#0-(0.372613,0.764233) 1-(0.411743,0.768129) 2-(0.444921,0.704632) 3-(0.466613,0.644865) 4-(0.475124,0.584082) 5-(0.416591,0.553016) 6-(0.438517,0.468215) 7-(0.457332,0.494144) 8-(0.466915,0.544049) 9-(0.384905,0.531488) 10-(0.389903,0.418248) 11-(0.398186,0.335139) 12-(0.403437,0.260004) 13-(0.351139,0.548344) 14-(0.3493,0.432008) 15-(0.351083,0.351927) 16-(0.352389,0.281338) 17-(0.319024,0.590262) 18-(0.308416,0.501855) 19-(0.30452,0.444451) 20-(0.301884,0.389878) 
66666#0-(0.376742,0.748366) 1-(0.418319,0.744419) 2-(0.452714,0.68171) 3-(0.475355,0.620724) 4-(0.480507,0.560342) 5-(0.421256,0.542362) 6-(0.441408,0.457121) 7-(0.460132,0.484285) 8-(0.468997,0.534569) 9-(0.389728,0.521059) 10-(0.392413,0.411278) 11-(0.399389,0.331456) 12-(0.403595,0.259065) 13-(0.355609,0.535732) 14-(0.352087,0.422727) 15-(0.35351,0.343736) 16-(0.354975,0.275498) 17-(0.323016,0.576262) 18-(0.310729,0.485417) 19-(0.307539,0.425471) 20-(0.306375,0.369446) 
100000#0-(0.384212,0.733594) 1-(0.423147,0.735075) 2-(0.456673,0.668661) 3-(0.478444,0.607177) 4-(0.486085,0.544914) 5-(0.424156,0.532299) 6-(0.441601,0.444502) 7-(0.459068,0.465821) 8-(0.467944,0.510587) 9-(0.392829,0.510216) 10-(0.397032,0.4028) 11-(0.405771,0.321476) 12-(0.412539,0.246779) 13-(0.359979,0.523692) 14-(0.357585,0.415822) 15-(0.361542,0.337373) 16-(0.365183,0.269733) 17-(0.328254,0.561175) 18-(0.318518,0.474986) 19-(0.318332,0.415952) 20-(0.320713,0.359946) 
133333#0-(0.389158,0.728338) 1-(0.428807,0.728084) 2-(0.461866,0.658255) 3-(0.484154,0.594882) 4-(0.494662,0.53171) 5-(0.42897,0.527952) 6-(0.445063,0.438569) 7-(0.462506,0.453378) 8-(0.472999,0.491388) 9-(0.398107,0.505854) 10-(0.400719,0.400412) 11-(0.40858,0.321428) 12-(0.415977,0.247574) 13-(0.365647,0.518681) 14-(0.362781,0.410069) 15-(0.36678,0.330797) 16-(0.372078,0.26116) 17-(0.334278,0.555253) 18-(0.32385,0.471834) 19-(0.322379,0.412942) 20-(0.324448,0.354727) 
166666#0-(0.387914,0.711722) 1-(0.427396,0.715955) 2-(0.460662,0.651396) 3-(0.48403,0.591774) 4-(0.492853,0.533577) 5-(0.43069,0.521691) 6-(0.45071,0.430684) 7-(0.469998,0.438999) 8-(0.48067,0.473139) 9-(0.400972,0.499736) 10-(0.405819,0.389057) 11-(0.412415,0.308202) 12-(0.417711,0.23476) 13-(0.368965,0.51403) 14-(0.36847,0.402627) 15-(0.371019,0.326349) 16-(0.374749,0.261175) 17-(0.337605,0.551251) 18-(0.328071,0.466527) 19-(0.327337,0.409857) 20-(0.329586,0.357389) 
200000#0-(0.392977,0.704041) 1-(0.432569,0.703844) 2-(0.46557,0.64509) 3-(0.488973,0.588497) 4-(0.498498,0.528217) 5-(0.435963,0.523263) 6-(0.455656,0.431749) 7-(0.47501,0.441213) 8-(0.485654,0.47674) 9-(0.405813,0.499985) 10-(0.409327,0.387745) 11-(0.416699,0.307385) 12-(0.422787,0.234535) 13-(0.373684,0.512556) 14-(0.371518,0.399739) 15-(0.374019,0.325163) 16-(0.37733,0.262678) 17-(0.343367,0.548499) 18-(0.332133,0.46354) 19-(0.329702,0.40862) 20-(0.330409,0.356937) 
233333#0-(0.396391,0.695116) 1-(0.435289,0.701717) 2-(0.467675,0.643697) 3-(0.489593,0.586042) 4-(0.499977,0.523368) 5-(0.43877,0.519385) 6-(0.456993,0.435912) 7-(0.476805,0.444491) 8-(0.488593,0.474479) 9-(0.408261,0.495776) 10-(0.411242,0.392031) 11-(0.418367,0.31504) 12-(0.423215,0.244093) 13-(0.375582,0.506849) 14-(0.373667,0.402724) 15-(0.375377,0.327778) 16-(0.376465,0.26269) 17-(0.343989,0.543085) 18-(0.332743,0.463338) 19-(0.329712,0.40998) 20-(0.328524,0.357503) 
266666#0-(0.401583,0.694444) 1-(0.439067,0.693621) 2-(0.468304,0.639265) 3-(0.487551,0.584206) 4-(0.495941,0.520028) 5-(0.439031,0.511252) 6-(0.455394,0.434086) 7-(0.469028,0.443192) 8-(0.474861,0.469755) 9-(0.408991,0.492802) 10-(0.411409,0.388006) 11-(0.415257,0.305265) 12-(0.416775,0.226349) 13-(0.377946,0.506884) 14-(0.370317,0.402947) 15-(0.368042,0.329326) 16-(0.366053,0.264781) 17-(0.348897,0.543819) 18-(0.335049,0.459992) 19-(0.332387,0.407572) 20-(0.331248,0.359075) 
300000#0-(0.404531,0.69694) 1-(0.44176,0.691349) 2-(0.470168,0.628186) 3-(0.488536,0.568525) 4-(0.494972,0.504873) 5-(0.437085,0.509427) 6-(0.452475,0.426933) 7-(0.468978,0.429737) 8-(0.478033,0.454192) 9-(0.407524,0.491219) 10-(0.408185,0.387608) 11-(0.411897,0.307709) 12-(0.413297,0.234944) 13-(0.377712,0.506308) 14-(0.370709,0.400899) 15-(0.36945,0.327291) 16-(0.368405,0.264684) 17-(0.350724,0.543507) 18-(0.336842,0.461144) 19-(0.334077,0.406597) 20-(0.333054,0.357148) 
333333#0-(0.406417,0.697694) 1-(0.443789,0.68769) 2-(0.470648,0.624414) 3-(0.489004,0.56232) 4-(0.495675,0.499965) 5-(0.435457,0.507709) 6-(0.453609,0.427803) 7-(0.471978,0.432221) 8-(0.48077,0.456147) 9-(0.407531,0.488183) 10-(0.408572,0.387082) 11-(0.412537,0.310141) 12-(0.41328,0.236922) 13-(0.379572,0.499761) 14-(0.371285,0.398806) 15-(0.367029,0.326494) 16-(0.361463,0.263026) 17-(0.354704,0.533356) 18-(0.34118,0.449194) 19-(0.33851,0.393185) 20-(0.336678,0.342232) 
