0#
33333#0-(0.361929,0.833818) 1-(0.394462,0.831188) 2-(0.403618,0.855184) 3-(0.393589,0.881615) 4-(0.376113,0.903064) 5-(0.339589,0.810444) 6-(0.324995,0.862791) 7-(0.314327,0.906048) 8-(0.306824,0.943062) 9-(0.302976,0.822993) 10-(0.281212,0.8951) 11-(0.270475,0.957384) 12-(0.262584,1.0042) 13-(0.277322,0.841891) 14-(0.255296,0.91401) 15-(0.250727,0.969669) 16-(0.249723,1.00329) 17-(0.261701,0.863724) 18-(0.245161,0.921236) 19-(0.238384,0.961265) 20-(0.233724,0.989076) 
66666#0-(0.353374,0.907826) 1-(0.392129,0.888623) 2-(0.409111,0.877468) 3-(0.420736,0.866474) 4-(0.427882,0.86799) 5-(0.344152,0.896001) 6-(0.332005,0.872189) 7-(0.334589,0.85312) 8-(0.337232,0.841447) 9-(0.309964,0.914871) 10-(0.291114,0.92695) 11-(0.276816,0.937679) 12-(0.270083,0.944514) 13-(0.287818,0.926438) 14-(0.285958,0.91854) 15-(0.298581,0.920577) 16-(0.310085,0.927681) 17-(0.277412,0.931191) 18-(0.269272,0.937005) 19-(0.271592,0.949914) 20-(0.277811,0.960888) 
100000#0-(0.325798,0.948377) 1-(0.377813,0.941909) 2-(0.411543,0.903912) 3-(0.434106,0.836599) 4-(0.442225,0.775043) 5-(0.359541,0.976223) 6-(0.365473,0.903666) 7-(0.370858,0.834736) 8-(0.373495,0.777002) 9-(0.319526,0.959849) 10-(0.32557,0.847607) 11-(0.335841,0.767475) 12-(0.341611,0.707789) 13-(0.289002,0.933262) 14-(0.291347,0.819807) 15-(0.302464,0.759634) 16-(0.307786,0.717523) 17-(0.271669,0.900309) 18-(0.255512,0.832836) 19-(0.244489,0.783203) 20-(0.240885,0.738424) 21-(0.310823,0.913019) 22-(0.365997,0.930264) 23-(0.40947,0.903285) 24-(0.429161,0.861611) 25-(0.424219,0.825675) 26-(0.383084,0.752584) 27-(0.380386,0.662592) 28-(0.388217,0.67154) 29-(0.398399,0.691426) 30-(0.341353,0.762027) 31-(0.328751,0.683229) 32-(0.3342,0.697939) 33-(0.347534,0.723199) 34-(0.303866,0.800687) 35-(0.292474,0.750111) 36-(0.292968,0.759373) 37-(0.306687,0.772391) 38-(0.276196,0.856393) 39-(0.256256,0.851477) 40-(0.251631,0.851962) 41-(0.260477,0.85181) 
133333#0-(0.312541,0.954197) 1-(0.364912,0.919829) 2-(0.399945,0.865813) 3-(0.418943,0.825187) 4-(0.425402,0.787308) 5-(0.371975,0.754701) 6-(0.38816,0.683116) 7-(0.398009,0.696188) 8-(0.408064,0.717092) 9-(0.335373,0.763325) 10-(0.339657,0.67513) 11-(0.353162,0.636369) 12-(0.371041,0.596004) 13-(0.299917,0.800697) 14-(0.296573,0.717814) 15-(0.300502,0.668646) 16-(0.306821,0.615369) 17-(0.269184,0.860493) 18-(0.259233,0.820976) 19-(0.256211,0.785926) 20-(0.257885,0.740138) 
166666#0-(0.311811,0.903924) 1-(0.36358,0.872963) 2-(0.402065,0.817968) 3-(0.423879,0.777651) 4-(0.431827,0.743352) 5-(0.377392,0.695483) 6-(0.399805,0.630094) 7-(0.411718,0.668943) 8-(0.418466,0.709908) 9-(0.343044,0.703587) 10-(0.348452,0.61898) 11-(0.363083,0.581397) 12-(0.381806,0.536885) 13-(0.308824,0.742477) 14-(0.304612,0.661456) 15-(0.308367,0.613231) 16-(0.315243,0.559508) 17-(0.279123,0.804036) 18-(0.267546,0.758924) 19-(0.261679,0.723657) 20-(0.261492,0.676635) 
200000#0-(0.318293,0.869604) 1-(0.365231,0.836555) 2-(0.402751,0.773347) 3-(0.426071,0.732283) 4-(0.435952,0.696094) 5-(0.374626,0.660185) 6-(0.395924,0.589225) 7-(0.413444,0.620633) 8-(0.42567,0.658113) 9-(0.344272,0.665619) 10-(0.345817,0.573462) 11-(0.359122,0.528111) 12-(0.376892,0.476428) 13-(0.313453,0.703172) 14-(0.306514,0.617875) 15-(0.308623,0.565661) 16-(0.314605,0.509604) 17-(0.286947,0.763571) 18-(0.276712,0.714443) 19-(0.270494,0.677342) 20-(0.270405,0.631284) 
233333#0-(0.326061,0.838957) 1-(0.364937,0.81344) 2-(0.397774,0.749542) 3-(0.421076,0.708438) 4-(0.435615,0.669481) 5-(0.376161,0.632576) 6-(0.393641,0.551702) 7-(0.412013,0.576934) 8-(0.424859,0.615158) 9-(0.346832,0.637224) 10-(0.349378,0.538752) 11-(0.36209,0.487635) 12-(0.378387,0.431879) 13-(0.316491,0.673052) 14-(0.314811,0.583375) 15-(0.318167,0.522295) 16-(0.32457,0.459853) 17-(0.28878,0.730788) 18-(0.284021,0.670898) 19-(0.281822,0.62648) 20-(0.284546,0.575902) 
266666#0-(0.33068,0.799487) 1-(0.369111,0.782653) 2-(0.40027,0.716955) 3-(0.419387,0.668655) 4-(0.431875,0.623365) 5-(0.37137,0.603512) 6-(0.387368,0.523783) 7-(0.407598,0.540498) 8-(0.424109,0.568332) 9-(0.344217,0.602968) 10-(0.345746,0.505603) 11-(0.359207,0.450696) 12-(0.374535,0.391705) 13-(0.316044,0.632559) 14-(0.312459,0.541216) 15-(0.31564,0.479275) 16-(0.320573,0.415985) 17-(0.290335,0.68341) 18-(0.284403,0.619598) 19-(0.281759,0.574576) 20-(0.282958,0.524682) 
300000#0-(0.332864,0.763786) 1-(0.370027,0.747158) 2-(0.401784,0.685347) 3-(0.422282,0.639221) 4-(0.433371,0.591256) 5-(0.371632,0.569202) 6-(0.389858,0.48521) 7-(0.410458,0.49656) 8-(0.426691,0.525573) 9-(0.345071,0.565951) 10-(0.348007,0.462851) 11-(0.3611,0.402887) 12-(0.376697,0.343392) 13-(0.317632,0.592997) 14-(0.314135,0.496591) 15-(0.319553,0.433337) 16-(0.327948,0.373217) 17-(0.292037,0.640261) 18-(0.285715,0.571235) 19-(0.28491,0.526302) 20-(0.288943,0.480145) 
333333#0-(0.332485,0.736038) 1-(0.369118,0.720222) 2-(0.399407,0.660831) 3-(0.417783,0.613371) 4-(0.429595,0.560256) 5-(0.370799,0.545139) 6-(0.385855,0.463733) 7-(0.403903,0.46802) 8-(0.419841,0.486582) 9-(0.34456,0.541701) 10-(0.345786,0.442337) 11-(0.3563,0.381188) 12-(0.36991,0.318107) 13-(0.317543,0.566497) 14-(0.314032,0.471296) 15-(0.319184,0.407508) 16-(0.327475,0.344455) 17-(0.291517,0.610548) 18-(0.283973,0.540231) 19-(0.282639,0.495257) 20-(0.286169,0.447866) 
366666#0-(0.331478,0.718192) 1-(0.369161,0.703202) 2-(0.397887,0.644741) 3-(0.416063,0.5953) 4-(0.42386,0.537753) 5-(0.367787,0.521882) 6-(0.38437,0.438097) 7-(0.404485,0.443899) 8-(0.418789,0.463541) 9-(0.34379,0.515845) 10-(0.348878,0.408213) 11-(0.362015,0.3464) 12-(0.376632,0.285534) 13-(0.318059,0.540077) 14-(0.31614,0.43849) 15-(0.321055,0.372313) 16-(0.329075,0.310113) 17-(0.293623,0.583187) 18-(0.287527,0.512215) 19-(0.286629,0.46576) 20-(0.290562,0.418935) 
400000#0-(0.33676,0.697097) 1-(0.372906,0.68478) 2-(0.400195,0.626482) 3-(0.416846,0.575493) 4-(0.422727,0.513722) 5-(0.368594,0.504675) 6-(0.384831,0.42143) 7-(0.402537,0.427435) 8-(0.414813,0.450484) 9-(0.342974,0.496515) 10-(0.346418,0.393389) 11-(0.35619,0.328342) 12-(0.367891,0.264434) 13-(0.316446,0.518978) 14-(0.314469,0.421373) 15-(0.319897,0.356356) 16-(0.328028,0.296012) 17-(0.29135,0.559887) 18-(0.286925,0.484459) 19-(0.2891,0.437337) 20-(0.295789,0.392404) 
433333#0-(0.333347,0.674984) 1-(0.370998,0.665102) 2-(0.397175,0.610086) 3-(0.411662,0.55542) 4-(0.416937,0.492777) 5-(0.366804,0.491034) 6-(0.384926,0.410074) 7-(0.401781,0.412267) 8-(0.412184,0.42954) 9-(0.342121,0.480998) 10-(0.348617,0.373709) 11-(0.358546,0.307016) 12-(0.369026,0.241161) 13-(0.316031,0.499746) 14-(0.315889,0.399889) 15-(0.319973,0.334604) 16-(0.325443,0.274259) 17-(0.291046,0.536205) 18-(0.286791,0.461826) 19-(0.287547,0.413936) 20-(0.291665,0.368726) 
466666#0-(0.330811,0.651079) 1-(0.369517,0.637625) 2-(0.395909,0.581186) 3-(0.410899,0.531309) 4-(0.41478,0.476342) 5-(0.368216,0.471541) 6-(0.388826,0.39368) 7-(0.404679,0.393611) 8-(0.412051,0.407613) 9-(0.343435,0.458213) 10-(0.352676,0.352629) 11-(0.364137,0.292029) 12-(0.374941,0.231406) 13-(0.31669,0.474129) 14-(0.316925,0.374017) 15-(0.32194,0.310723) 16-(0.327179,0.251916) 17-(0.290954,0.507592) 18-(0.285004,0.434914) 19-(0.285432,0.389743) 20-(0.289022,0.345771) 
500000#0-(0.33063,0.651829) 1-(0.367459,0.641913) 2-(0.394808,0.581043) 3-(0.40954,0.520783) 4-(0.412249,0.456559) 5-(0.36965,0.468303) 6-(0.387033,0.392106) 7-(0.399426,0.387874) 8-(0.407248,0.397776) 9-(0.345601,0.456054) 10-(0.35448,0.356938) 11-(0.363275,0.291381) 12-(0.372448,0.227477) 13-(0.31955,0.471209) 14-(0.322853,0.373701) 15-(0.327172,0.305365) 16-(0.33204,0.242508) 17-(0.293154,0.504445) 18-(0.288354,0.4325) 19-(0.288287,0.384491) 20-(0.290892,0.337596) 
533333#0-(0.328415,0.627589) 1-(0.365764,0.620732) 2-(0.393584,0.56861) 3-(0.409453,0.513535) 4-(0.412095,0.454127) 5-(0.371908,0.463229) 6-(0.390441,0.391938) 7-(0.401349,0.389996) 8-(0.406821,0.399028) 9-(0.348135,0.450636) 10-(0.357034,0.355819) 11-(0.366411,0.289859) 12-(0.375728,0.224526) 13-(0.322846,0.462335) 14-(0.325193,0.3711) 15-(0.32939,0.307491) 16-(0.333376,0.246897) 17-(0.297952,0.490807) 18-(0.293861,0.421768) 19-(0.29402,0.375255) 20-(0.29648,0.327711) 
566666#0-(0.330353,0.621085) 1-(0.368567,0.61672) 2-(0.395293,0.564688) 3-(0.409294,0.510948) 4-(0.411767,0.450682) 5-(0.374013,0.458882) 6-(0.389593,0.389769) 7-(0.398279,0.387601) 8-(0.40195,0.394984) 9-(0.350005,0.44622) 10-(0.357867,0.353814) 11-(0.367306,0.289065) 12-(0.376968,0.224986) 13-(0.324232,0.456789) 14-(0.325887,0.367728) 15-(0.330008,0.305) 16-(0.334451,0.245919) 17-(0.298161,0.484992) 18-(0.293903,0.41579) 19-(0.294715,0.37027) 20-(0.298555,0.324913) 
600000#0-(0.331646,0.645037) 1-(0.366326,0.638489) 2-(0.394447,0.580282) 3-(0.410031,0.517075) 4-(0.415348,0.448716) 5-(0.374866,0.4702) 6-(0.392274,0.393588) 7-(0.404415,0.385364) 8-(0.410942,0.395067) 9-(0.351238,0.451178) 10-(0.361434,0.35233) 11-(0.370514,0.286885) 12-(0.380526,0.228357) 13-(0.325918,0.459035) 14-(0.330309,0.362917) 15-(0.334448,0.297796) 16-(0.33992,0.241582) 17-(0.29969,0.486133) 18-(0.296325,0.41237) 19-(0.296821,0.364523) 20-(0.300072,0.320446) 
633333#0-(0.3345,0.646668) 1-(0.36917,0.638649) 2-(0.397179,0.580293) 3-(0.413768,0.515886) 4-(0.417664,0.447167) 5-(0.375152,0.470395) 6-(0.39315,0.393948) 7-(0.405708,0.389255) 8-(0.411518,0.403289) 9-(0.351992,0.452106) 10-(0.363085,0.353969) 11-(0.372292,0.288606) 12-(0.382039,0.230746) 13-(0.327011,0.461384) 14-(0.332236,0.366268) 15-(0.336391,0.300511) 16-(0.34221,0.243993) 17-(0.301191,0.489209) 18-(0.299366,0.4145) 19-(0.300662,0.364779) 20-(0.305397,0.31933) 
666666#0-(0.337662,0.646785) 1-(0.370846,0.64483) 2-(0.398252,0.582137) 3-(0.414019,0.515682) 4-(0.420525,0.448199) 5-(0.376781,0.477353) 6-(0.393012,0.399366) 7-(0.405392,0.39804) 8-(0.411141,0.414656) 9-(0.354012,0.457319) 10-(0.364129,0.362568) 11-(0.374264,0.29701) 12-(0.383981,0.237206) 13-(0.328567,0.464516) 14-(0.332471,0.370345) 15-(0.336612,0.304151) 16-(0.341457,0.246309) 17-(0.302025,0.4911) 18-(0.300122,0.418055) 19-(0.300565,0.369483) 20-(0.303474,0.323296) 
700000#0-(0.337715,0.64655) 1-(0.370604,0.644292) 2-(0.397767,0.580993) 3-(0.413694,0.514563) 4-(0.420406,0.44806) 5-(0.376112,0.478867) 6-(0.392711,0.40106) 7-(0.405247,0.39964) 8-(0.411203,0.416303) 9-(0.353648,0.459048) 10-(0.364237,0.364476) 11-(0.374699,0.29981) 12-(0.384609,0.241146) 13-(0.328346,0.465856) 14-(0.332637,0.372162) 15-(0.336995,0.306472) 16-(0.341965,0.249057) 17-(0.302023,0.491635) 18-(0.300315,0.419468) 19-(0.300909,0.371066) 20-(0.303779,0.32489) 
733333#0-(0.335443,0.648294) 1-(0.369116,0.645456) 2-(0.397538,0.579679) 3-(0.414237,0.511573) 4-(0.420212,0.444141) 5-(0.375816,0.476369) 6-(0.391825,0.400166) 7-(0.404829,0.395158) 8-(0.411674,0.40835) 9-(0.353346,0.456244) 10-(0.364378,0.362882) 11-(0.375648,0.299632) 12-(0.386901,0.243423) 13-(0.328096,0.462507) 14-(0.332717,0.368707) 15-(0.337797,0.303846) 16-(0.343899,0.248283) 17-(0.30151,0.487856) 18-(0.300178,0.41562) 19-(0.301909,0.368177) 20-(0.3065,0.32502) 
