0#0-(0.330391,0.687464) 1-(0.365355,0.679009) 2-(0.392793,0.624957) 3-(0.407072,0.579512) 4-(0.412302,0.523392) 5-(0.370823,0.506034) 6-(0.386422,0.427826) 7-(0.401134,0.433942) 8-(0.40996,0.458498) 9-(0.346071,0.49528) 10-(0.353402,0.400304) 11-(0.364094,0.341404) 12-(0.375333,0.283902) 13-(0.318953,0.512738) 14-(0.321703,0.42219) 15-(0.327589,0.36151) 16-(0.334847,0.305934) 17-(0.291825,0.547601) 18-(0.289324,0.479496) 19-(0.290105,0.43624) 20-(0.294226,0.393928) 
33333#0-(0.321307,0.652516) 1-(0.357635,0.643138) 2-(0.386248,0.588039) 3-(0.401313,0.535476) 4-(0.403546,0.476009) 5-(0.368009,0.470115) 6-(0.384088,0.388276) 7-(0.395239,0.39214) 8-(0.398401,0.417566) 9-(0.343095,0.456064) 10-(0.351672,0.353095) 11-(0.361131,0.293768) 12-(0.370227,0.239491) 13-(0.315341,0.470752) 14-(0.317065,0.373136) 15-(0.321128,0.308237) 16-(0.325306,0.251602) 17-(0.287086,0.504889) 18-(0.281161,0.433482) 19-(0.280274,0.388967) 20-(0.28195,0.347852) 
66666#0-(0.316573,0.619142) 1-(0.354444,0.610679) 2-(0.380659,0.560306) 3-(0.395103,0.511289) 4-(0.397076,0.455555) 5-(0.367233,0.451903) 6-(0.384241,0.376264) 7-(0.391507,0.381913) 8-(0.391221,0.402044) 9-(0.342104,0.437824) 10-(0.352398,0.338285) 11-(0.359749,0.276239) 12-(0.367275,0.215304) 13-(0.313518,0.450197) 14-(0.31729,0.355903) 15-(0.320785,0.29287) 16-(0.324235,0.23396) 17-(0.284626,0.480576) 18-(0.281452,0.410697) 19-(0.280734,0.365974) 20-(0.2825,0.3201) 
100000#0-(0.312283,0.62718) 1-(0.348002,0.618702) 2-(0.37728,0.562956) 3-(0.391117,0.505086) 4-(0.393,0.439628) 5-(0.363503,0.450437) 6-(0.378897,0.36955) 7-(0.386258,0.376031) 8-(0.385539,0.404055) 9-(0.339154,0.434887) 10-(0.349071,0.332817) 11-(0.358185,0.267954) 12-(0.366527,0.207455) 13-(0.310939,0.446285) 14-(0.314382,0.348714) 15-(0.318947,0.281776) 16-(0.32376,0.221358) 17-(0.281227,0.476863) 18-(0.278337,0.402027) 19-(0.27826,0.353132) 20-(0.280449,0.306086) 
133333#0-(0.309738,0.615567) 1-(0.343914,0.615286) 2-(0.372733,0.556164) 3-(0.386214,0.493457) 4-(0.389319,0.431334) 5-(0.359405,0.450102) 6-(0.372016,0.36755) 7-(0.37868,0.373593) 8-(0.377885,0.401784) 9-(0.335062,0.431386) 10-(0.344086,0.332293) 11-(0.352408,0.264106) 12-(0.358746,0.20233) 13-(0.307567,0.440134) 14-(0.312317,0.344769) 15-(0.317254,0.277193) 16-(0.321494,0.216975) 17-(0.27853,0.468222) 18-(0.277489,0.394646) 19-(0.278004,0.34806) 20-(0.279543,0.30352) 
166666#0-(0.306183,0.584735) 1-(0.341538,0.589468) 2-(0.370508,0.540327) 3-(0.385626,0.483781) 4-(0.382708,0.42643) 5-(0.356323,0.438763) 6-(0.369255,0.367193) 7-(0.37326,0.38171) 8-(0.370703,0.412465) 9-(0.331761,0.422217) 10-(0.340348,0.332309) 11-(0.349668,0.266031) 12-(0.357144,0.202782) 13-(0.303867,0.431307) 14-(0.307525,0.341006) 15-(0.312424,0.277957) 16-(0.315609,0.220203) 17-(0.275493,0.458115) 18-(0.274076,0.385899) 19-(0.274984,0.340633) 20-(0.276881,0.295724) 
200000#0-(0.302144,0.583464) 1-(0.337105,0.59631) 2-(0.366296,0.5401) 3-(0.38036,0.478167) 4-(0.38014,0.420488) 5-(0.353471,0.442027) 6-(0.366643,0.368972) 7-(0.370936,0.377639) 8-(0.369552,0.403911) 9-(0.328991,0.422299) 10-(0.339098,0.33436) 11-(0.347402,0.268439) 12-(0.354407,0.205933) 13-(0.301463,0.427971) 14-(0.308815,0.33972) 15-(0.314178,0.276975) 16-(0.318078,0.221009) 17-(0.272859,0.451528) 18-(0.273948,0.382404) 19-(0.274228,0.338225) 20-(0.275148,0.292973) 
233333#0-(0.299846,0.580047) 1-(0.33592,0.585624) 2-(0.364741,0.533423) 3-(0.379426,0.474811) 4-(0.377308,0.419036) 5-(0.351214,0.441256) 6-(0.365992,0.366918) 7-(0.371056,0.371154) 8-(0.370142,0.393531) 9-(0.327485,0.422462) 10-(0.33841,0.334194) 11-(0.34632,0.269216) 12-(0.352699,0.207994) 13-(0.300646,0.42739) 14-(0.308866,0.338193) 15-(0.314375,0.276513) 16-(0.318436,0.22177) 17-(0.272831,0.449146) 18-(0.273967,0.379526) 19-(0.275204,0.334181) 20-(0.277327,0.28834) 
266666#0-(0.298132,0.599979) 1-(0.333133,0.601552) 2-(0.360779,0.541015) 3-(0.372899,0.475771) 4-(0.373973,0.418435) 5-(0.351238,0.450657) 6-(0.363811,0.368954) 7-(0.366945,0.368629) 8-(0.364909,0.390777) 9-(0.326806,0.432501) 10-(0.339218,0.338337) 11-(0.346844,0.269935) 12-(0.352805,0.209638) 13-(0.299338,0.437254) 14-(0.309487,0.346328) 15-(0.315638,0.28098) 16-(0.320848,0.223447) 17-(0.270602,0.457604) 18-(0.274752,0.386012) 19-(0.277451,0.337167) 20-(0.280325,0.289371) 
300000#0-(0.291136,0.612685) 1-(0.327178,0.611888) 2-(0.356034,0.550219) 3-(0.36806,0.4818) 4-(0.369708,0.420018) 5-(0.347469,0.462924) 6-(0.360135,0.379463) 7-(0.361471,0.371157) 8-(0.358422,0.38575) 9-(0.322797,0.443299) 10-(0.336375,0.3502) 11-(0.343109,0.282902) 12-(0.348702,0.223569) 13-(0.294983,0.444661) 14-(0.306707,0.356384) 15-(0.313067,0.292521) 16-(0.318775,0.234996) 17-(0.265899,0.462268) 18-(0.272392,0.392349) 19-(0.276361,0.345454) 20-(0.280327,0.299564) 
333333#0-(0.284966,0.617258) 1-(0.319861,0.618209) 2-(0.349486,0.556855) 3-(0.361954,0.489102) 4-(0.36436,0.428147) 5-(0.343545,0.471941) 6-(0.356338,0.389584) 7-(0.357169,0.380947) 8-(0.353965,0.39572) 9-(0.319117,0.450585) 10-(0.333056,0.358501) 11-(0.340926,0.294073) 12-(0.348233,0.238593) 13-(0.291431,0.45057) 14-(0.303146,0.363893) 15-(0.310177,0.300281) 16-(0.316808,0.244399) 17-(0.262056,0.467205) 18-(0.267031,0.398544) 19-(0.270911,0.35114) 20-(0.275139,0.304987) 
366666#0-(0.280179,0.632297) 1-(0.3159,0.621536) 2-(0.342029,0.560218) 3-(0.352125,0.490934) 4-(0.354869,0.428883) 5-(0.334348,0.476129) 6-(0.346715,0.395408) 7-(0.348746,0.381522) 8-(0.346161,0.390406) 9-(0.310827,0.456938) 10-(0.324833,0.366255) 11-(0.333575,0.303083) 12-(0.341856,0.24906) 13-(0.284438,0.458405) 14-(0.29441,0.373801) 15-(0.29992,0.311834) 16-(0.304914,0.257418) 17-(0.257085,0.477086) 18-(0.262072,0.409298) 19-(0.264933,0.361274) 20-(0.26771,0.314835) 
400000#0-(0.277346,0.64088) 1-(0.311114,0.628648) 2-(0.337071,0.565244) 3-(0.348428,0.4947) 4-(0.350806,0.43169) 5-(0.329667,0.482904) 6-(0.341309,0.39936) 7-(0.344121,0.382781) 8-(0.343119,0.389907) 9-(0.306129,0.463608) 10-(0.319422,0.369955) 11-(0.327972,0.305627) 12-(0.335697,0.252425) 13-(0.27968,0.465039) 14-(0.289447,0.377819) 15-(0.295833,0.31334) 16-(0.301502,0.257517) 17-(0.251971,0.483634) 18-(0.256753,0.414295) 19-(0.259961,0.364862) 20-(0.263126,0.318467) 
433333#0-(0.276157,0.628489) 1-(0.310528,0.623366) 2-(0.336731,0.566977) 3-(0.347169,0.50239) 4-(0.348558,0.443042) 5-(0.329069,0.482952) 6-(0.341321,0.407148) 7-(0.34353,0.398832) 8-(0.341224,0.411511) 9-(0.305969,0.46404) 10-(0.316906,0.374757) 11-(0.323867,0.312903) 12-(0.330891,0.25934) 13-(0.280142,0.466781) 14-(0.288125,0.383885) 15-(0.294168,0.323782) 16-(0.300011,0.271344) 17-(0.253059,0.486538) 18-(0.25659,0.419298) 19-(0.259684,0.374694) 20-(0.26333,0.33289) 
