0#0-(0.210455,0.621853) 1-(0.274607,0.61449) 2-(0.323108,0.562811) 3-(0.365527,0.529836) 4-(0.42049,0.517673) 5-(0.287609,0.398229) 6-(0.346551,0.408287) 7-(0.378802,0.431477) 8-(0.403244,0.444226) 9-(0.260075,0.395355) 10-(0.342133,0.461551) 11-(0.321747,0.531118) 12-(0.296955,0.535674) 13-(0.239178,0.429565) 14-(0.315461,0.501005) 15-(0.294545,0.561604) 16-(0.270803,0.566261) 17-(0.224825,0.481403) 18-(0.284939,0.54217) 19-(0.275164,0.587151) 20-(0.255042,0.593249) 
33333#0-(0.206157,0.594962) 1-(0.266498,0.592593) 2-(0.309133,0.538397) 3-(0.346871,0.502658) 4-(0.398398,0.486778) 5-(0.275747,0.377321) 6-(0.329258,0.377788) 7-(0.36578,0.396708) 8-(0.393118,0.410625) 9-(0.249332,0.373019) 10-(0.329992,0.431011) 11-(0.318353,0.503916) 12-(0.295892,0.519153) 13-(0.228936,0.405611) 14-(0.303472,0.47275) 15-(0.28543,0.536191) 16-(0.259236,0.544286) 17-(0.214758,0.457972) 18-(0.273176,0.516356) 19-(0.263847,0.561059) 20-(0.240216,0.567987) 
66666#0-(0.203113,0.598862) 1-(0.259267,0.590984) 2-(0.303628,0.532014) 3-(0.342352,0.494744) 4-(0.396169,0.482478) 5-(0.274271,0.373711) 6-(0.324516,0.368369) 7-(0.356941,0.390892) 8-(0.382164,0.407409) 9-(0.247715,0.363094) 10-(0.321101,0.410205) 11-(0.310033,0.488331) 12-(0.292101,0.502659) 13-(0.226626,0.390278) 14-(0.294418,0.458119) 15-(0.276975,0.523536) 16-(0.255379,0.524504) 17-(0.211389,0.436134) 18-(0.266214,0.502452) 19-(0.256679,0.549257) 20-(0.236526,0.548099) 
100000#0-(0.199913,0.595724) 1-(0.257828,0.584616) 2-(0.300847,0.528045) 3-(0.339972,0.491189) 4-(0.394325,0.48098) 5-(0.271992,0.371533) 6-(0.323382,0.362944) 7-(0.355227,0.390613) 8-(0.379734,0.414412) 9-(0.245324,0.360141) 10-(0.314573,0.405895) 11-(0.30004,0.484862) 12-(0.281829,0.492354) 13-(0.224349,0.384915) 14-(0.290085,0.453553) 15-(0.274088,0.51763) 16-(0.255101,0.511059) 17-(0.209346,0.426412) 18-(0.262605,0.497116) 19-(0.254218,0.542527) 20-(0.236114,0.533239) 
133333#0-(0.190297,0.590807) 1-(0.248741,0.580719) 2-(0.293966,0.522377) 3-(0.331895,0.487248) 4-(0.38489,0.47398) 5-(0.26605,0.369457) 6-(0.318156,0.374623) 7-(0.352709,0.39655) 8-(0.383265,0.412109) 9-(0.239565,0.359387) 10-(0.309383,0.39334) 11-(0.302826,0.465541) 12-(0.29416,0.483095) 13-(0.21899,0.383609) 14-(0.286041,0.453449) 15-(0.266696,0.513021) 16-(0.246685,0.508465) 17-(0.205639,0.424852) 18-(0.260011,0.50063) 19-(0.246813,0.543146) 20-(0.226762,0.534227) 
166666#0-(0.197394,0.57972) 1-(0.251129,0.57027) 2-(0.2949,0.515154) 3-(0.332458,0.48341) 4-(0.38411,0.475497) 5-(0.267522,0.365757) 6-(0.314903,0.362509) 7-(0.348583,0.382551) 8-(0.376692,0.398688) 9-(0.240623,0.35478) 10-(0.30602,0.38184) 11-(0.298117,0.458918) 12-(0.284836,0.479069) 13-(0.219565,0.376957) 14-(0.282873,0.437874) 15-(0.269135,0.502053) 16-(0.250833,0.501549) 17-(0.20572,0.416113) 18-(0.257775,0.486196) 19-(0.249847,0.531786) 20-(0.231295,0.526656) 
200000#0-(0.194047,0.581964) 1-(0.247727,0.565368) 2-(0.28894,0.507282) 3-(0.32523,0.474146) 4-(0.375494,0.472161) 5-(0.265208,0.36974) 6-(0.310745,0.362317) 7-(0.345703,0.374392) 8-(0.375384,0.386195) 9-(0.23835,0.35854) 10-(0.300394,0.384899) 11-(0.293679,0.457028) 12-(0.280149,0.476887) 13-(0.217124,0.380968) 14-(0.278659,0.437257) 15-(0.267402,0.498888) 16-(0.249124,0.4977) 17-(0.202424,0.419577) 18-(0.25341,0.480922) 19-(0.248111,0.525941) 20-(0.230027,0.521912) 
233333#0-(0.196416,0.589507) 1-(0.248141,0.569726) 2-(0.287367,0.510621) 3-(0.323005,0.476964) 4-(0.371482,0.475838) 5-(0.267339,0.378248) 6-(0.30865,0.36398) 7-(0.342595,0.374642) 8-(0.371823,0.386232) 9-(0.240165,0.365797) 10-(0.29865,0.385539) 11-(0.29426,0.460723) 12-(0.281421,0.482963) 13-(0.217986,0.38561) 14-(0.277134,0.439173) 15-(0.266682,0.504485) 16-(0.248154,0.505412) 17-(0.202152,0.422453) 18-(0.25185,0.48548) 19-(0.246041,0.532659) 20-(0.227142,0.527793) 
266666#0-(0.198755,0.598917) 1-(0.25215,0.572871) 2-(0.289753,0.515745) 3-(0.324378,0.4842) 4-(0.371843,0.481759) 5-(0.2681,0.384268) 6-(0.308893,0.36924) 7-(0.34305,0.375671) 8-(0.37353,0.383815) 9-(0.239596,0.372466) 10-(0.295626,0.390325) 11-(0.293635,0.458745) 12-(0.283412,0.47887) 13-(0.217308,0.394875) 14-(0.272061,0.443848) 15-(0.263764,0.50489) 16-(0.24736,0.507811) 17-(0.202208,0.43425) 18-(0.249527,0.493849) 19-(0.246064,0.539295) 20-(0.229196,0.536697) 
300000#0-(0.204566,0.605789) 1-(0.2551,0.577526) 2-(0.293837,0.515889) 3-(0.328097,0.485865) 4-(0.369729,0.488736) 5-(0.269656,0.39277) 6-(0.306614,0.383256) 7-(0.340767,0.383356) 8-(0.372711,0.384311) 9-(0.243727,0.382953) 10-(0.299072,0.395043) 11-(0.293603,0.466113) 12-(0.280125,0.482675) 13-(0.223254,0.403908) 14-(0.278375,0.443348) 15-(0.267135,0.507751) 16-(0.248181,0.505869) 17-(0.208895,0.440265) 18-(0.256613,0.491216) 19-(0.250048,0.53972) 20-(0.229323,0.534688) 
