0#
33333#
66666#0-(0.286365,0.873087) 1-(0.367199,0.904275) 2-(0.437311,0.911467) 3-(0.487693,0.911779) 4-(0.516803,0.912082) 5-(0.403161,0.890988) 6-(0.440387,0.879417) 7-(0.45333,0.895971) 8-(0.45761,0.900024) 9-(0.369003,0.866877) 10-(0.397569,0.868319) 11-(0.41016,0.880955) 12-(0.416259,0.882834) 13-(0.335458,0.853113) 14-(0.357721,0.869287) 15-(0.36492,0.874301) 16-(0.370243,0.876858) 17-(0.307119,0.844278) 18-(0.321254,0.856474) 19-(0.329613,0.846549) 20-(0.33502,0.838571) 
100000#0-(0.260161,0.8766) 1-(0.277813,0.786075) 2-(0.331049,0.723451) 3-(0.38849,0.72631) 4-(0.419366,0.769734) 5-(0.287662,0.745574) 6-(0.374321,0.760531) 7-(0.431314,0.784017) 8-(0.471802,0.801943) 9-(0.282979,0.837924) 10-(0.401809,0.845137) 11-(0.467583,0.860199) 12-(0.508023,0.86372) 13-(0.291132,0.926091) 14-(0.410835,0.92866) 15-(0.422767,0.902753) 16-(0.413209,0.877611) 17-(0.307789,0.998841) 18-(0.401264,0.989464) 19-(0.415336,0.962602) 20-(0.408942,0.941419) 21-(0.241794,0.966262) 22-(0.255348,0.832411) 23-(0.290606,0.728942) 24-(0.327764,0.682806) 25-(0.347525,0.647846) 26-(0.277451,0.69327) 27-(0.34178,0.688429) 28-(0.387012,0.719624) 29-(0.423524,0.73451) 30-(0.274047,0.769332) 31-(0.364302,0.762457) 32-(0.418068,0.779543) 33-(0.460628,0.782535) 34-(0.275803,0.851204) 35-(0.367549,0.842005) 36-(0.415559,0.852236) 37-(0.454797,0.857951) 38-(0.279968,0.935133) 39-(0.347192,0.931918) 40-(0.384911,0.934096) 41-(0.418335,0.933077) 
133333#0-(0.204234,0.888931) 1-(0.226273,0.742817) 2-(0.296209,0.692211) 3-(0.364558,0.699336) 4-(0.405239,0.730647) 5-(0.277915,0.66515) 6-(0.378018,0.688923) 7-(0.44338,0.720638) 8-(0.493209,0.744868) 9-(0.26993,0.767216) 10-(0.391604,0.797453) 11-(0.454799,0.815185) 12-(0.497079,0.810877) 13-(0.265509,0.867355) 14-(0.37101,0.880713) 15-(0.398624,0.875152) 16-(0.406882,0.857795) 17-(0.268383,0.95902) 18-(0.350536,0.958557) 19-(0.364718,0.940566) 20-(0.364944,0.92272) 
166666#0-(0.225512,0.831397) 1-(0.24848,0.723356) 2-(0.314028,0.66327) 3-(0.372509,0.651269) 4-(0.41619,0.666198) 5-(0.292331,0.649078) 6-(0.393642,0.656283) 7-(0.444393,0.681223) 8-(0.473154,0.704215) 9-(0.284427,0.739924) 10-(0.409459,0.741467) 11-(0.481221,0.750036) 12-(0.528124,0.754569) 13-(0.283029,0.833184) 14-(0.39663,0.822692) 15-(0.401682,0.805688) 16-(0.389743,0.796148) 17-(0.288542,0.917849) 18-(0.371242,0.899524) 19-(0.382715,0.884768) 20-(0.381805,0.876015) 
200000#0-(0.244061,0.799355) 1-(0.262638,0.691403) 2-(0.323336,0.63427) 3-(0.378979,0.621413) 4-(0.422297,0.639537) 5-(0.308684,0.625852) 6-(0.406107,0.618561) 7-(0.460877,0.634755) 8-(0.496949,0.655178) 9-(0.303459,0.707551) 10-(0.419979,0.703645) 11-(0.492291,0.710967) 12-(0.541516,0.718732) 13-(0.301363,0.795586) 14-(0.405622,0.783654) 15-(0.413253,0.774455) 16-(0.405993,0.770531) 17-(0.304122,0.878554) 18-(0.38056,0.862726) 19-(0.395297,0.85307) 20-(0.400812,0.846779) 
233333#0-(0.259994,0.782994) 1-(0.273676,0.668142) 2-(0.325299,0.602635) 3-(0.375335,0.584829) 4-(0.413762,0.594948) 5-(0.321014,0.597881) 6-(0.415058,0.588269) 7-(0.468863,0.601071) 8-(0.506482,0.617619) 9-(0.32348,0.679179) 10-(0.431563,0.666777) 11-(0.496394,0.668586) 12-(0.5432,0.671978) 13-(0.326494,0.76527) 14-(0.425451,0.746977) 15-(0.423,0.742699) 16-(0.410188,0.741672) 17-(0.331034,0.847104) 18-(0.403506,0.819291) 19-(0.406949,0.80848) 20-(0.403357,0.802163) 
266666#0-(0.263348,0.742694) 1-(0.278971,0.635831) 2-(0.334699,0.579803) 3-(0.38725,0.568374) 4-(0.429688,0.580885) 5-(0.328803,0.560566) 6-(0.422411,0.555549) 7-(0.473577,0.568461) 8-(0.509127,0.587026) 9-(0.329683,0.636099) 10-(0.436584,0.621208) 11-(0.498418,0.627836) 12-(0.544695,0.640493) 13-(0.331076,0.719056) 14-(0.426749,0.706421) 15-(0.425007,0.703493) 16-(0.414567,0.706407) 17-(0.335309,0.799304) 18-(0.407445,0.777792) 19-(0.412103,0.769071) 20-(0.409885,0.765641) 
300000#0-(0.272588,0.719744) 1-(0.285054,0.613628) 2-(0.329362,0.557227) 3-(0.375618,0.544941) 4-(0.412221,0.553627) 5-(0.340054,0.546319) 6-(0.426063,0.541085) 7-(0.476906,0.547186) 8-(0.512771,0.556672) 9-(0.3435,0.618094) 10-(0.442628,0.602235) 11-(0.500804,0.602035) 12-(0.543207,0.606771) 13-(0.345827,0.693075) 14-(0.433698,0.686563) 15-(0.429924,0.686644) 16-(0.417759,0.687651) 17-(0.34808,0.766308) 18-(0.416725,0.748583) 19-(0.417853,0.739163) 20-(0.41102,0.735297) 
333333#0-(0.281501,0.701813) 1-(0.292878,0.595764) 2-(0.336057,0.541953) 3-(0.382178,0.530707) 4-(0.416329,0.538372) 5-(0.350383,0.530152) 6-(0.431957,0.531751) 7-(0.48096,0.540523) 8-(0.515134,0.55125) 9-(0.354773,0.600745) 10-(0.448222,0.590034) 11-(0.506176,0.592836) 12-(0.548087,0.59844) 13-(0.357111,0.674903) 14-(0.438704,0.670349) 15-(0.43313,0.671872) 16-(0.419761,0.672658) 17-(0.357639,0.747287) 18-(0.421302,0.733249) 19-(0.420366,0.725767) 20-(0.413211,0.721002) 
366666#0-(0.28643,0.682812) 1-(0.299636,0.581967) 2-(0.340513,0.530518) 3-(0.383466,0.519719) 4-(0.41895,0.525546) 5-(0.356752,0.519547) 6-(0.436742,0.517426) 7-(0.484903,0.523535) 8-(0.519921,0.533177) 9-(0.359799,0.584798) 10-(0.450476,0.573643) 11-(0.505607,0.57814) 12-(0.547164,0.587387) 13-(0.360935,0.653785) 14-(0.439738,0.656612) 15-(0.430418,0.663383) 16-(0.415348,0.669046) 17-(0.360748,0.72339) 18-(0.422661,0.717592) 19-(0.417802,0.714884) 20-(0.408035,0.714287) 
400000#0-(0.291839,0.670802) 1-(0.303358,0.568879) 2-(0.343461,0.514203) 3-(0.385426,0.498648) 4-(0.417269,0.505807) 5-(0.363304,0.507969) 6-(0.440925,0.509523) 7-(0.488126,0.518909) 8-(0.521934,0.530785) 9-(0.366392,0.573865) 10-(0.453728,0.566655) 11-(0.506094,0.573074) 12-(0.544242,0.584013) 13-(0.366686,0.643134) 14-(0.442181,0.649376) 15-(0.432213,0.655258) 16-(0.416368,0.660138) 17-(0.365564,0.711695) 18-(0.424569,0.708539) 19-(0.418472,0.705846) 20-(0.407406,0.703287) 
433333#0-(0.295866,0.65631) 1-(0.308488,0.559001) 2-(0.346391,0.512286) 3-(0.387413,0.505648) 4-(0.417587,0.516266) 5-(0.366364,0.496979) 6-(0.441133,0.499927) 7-(0.48595,0.50685) 8-(0.518782,0.517085) 9-(0.370498,0.560432) 10-(0.453464,0.556043) 11-(0.50393,0.558452) 12-(0.541693,0.5652) 13-(0.371219,0.62842) 14-(0.442023,0.639313) 15-(0.429602,0.647847) 16-(0.411882,0.653192) 17-(0.36996,0.696679) 18-(0.425569,0.69229) 19-(0.417842,0.692667) 20-(0.405473,0.691448) 
466666#0-(0.297828,0.643037) 1-(0.309789,0.547178) 2-(0.347013,0.498359) 3-(0.388046,0.490505) 4-(0.418773,0.497254) 5-(0.372603,0.485625) 6-(0.444569,0.492343) 7-(0.489482,0.501887) 8-(0.521202,0.512851) 9-(0.376022,0.550586) 10-(0.456088,0.551588) 11-(0.505409,0.553423) 12-(0.541139,0.557883) 13-(0.375073,0.619702) 14-(0.444103,0.628367) 15-(0.433451,0.634168) 16-(0.415394,0.637182) 17-(0.372183,0.688194) 18-(0.427397,0.683338) 19-(0.420682,0.681292) 20-(0.4074,0.678807) 
500000#0-(0.30032,0.639629) 1-(0.315347,0.54316) 2-(0.352771,0.493453) 3-(0.391815,0.484855) 4-(0.41999,0.490903) 5-(0.37476,0.481196) 6-(0.447891,0.488199) 7-(0.491942,0.496773) 8-(0.524288,0.507383) 9-(0.376902,0.544994) 10-(0.458883,0.542119) 11-(0.507291,0.545342) 12-(0.543141,0.550904) 13-(0.37519,0.613207) 14-(0.446805,0.622914) 15-(0.434743,0.631294) 16-(0.416237,0.636173) 17-(0.371857,0.681267) 18-(0.42948,0.677823) 19-(0.422024,0.678005) 20-(0.407949,0.677706) 
533333#0-(0.302506,0.633664) 1-(0.316823,0.538857) 2-(0.353029,0.488328) 3-(0.391178,0.475017) 4-(0.420212,0.476767) 5-(0.376327,0.475108) 6-(0.448128,0.483549) 7-(0.491884,0.494994) 8-(0.523694,0.507586) 9-(0.377314,0.538043) 10-(0.458647,0.536887) 11-(0.505969,0.542507) 12-(0.540462,0.549039) 13-(0.375374,0.606686) 14-(0.44723,0.619653) 15-(0.435292,0.629574) 16-(0.416181,0.632255) 17-(0.372486,0.67549) 18-(0.431102,0.674473) 19-(0.423787,0.675308) 20-(0.408852,0.673527) 
566666#0-(0.30249,0.631764) 1-(0.317338,0.533259) 2-(0.352041,0.476656) 3-(0.389853,0.45501) 4-(0.417115,0.453232) 5-(0.37724,0.47327) 6-(0.44937,0.479468) 7-(0.493362,0.49165) 8-(0.524963,0.504559) 9-(0.379536,0.535415) 10-(0.460721,0.531981) 11-(0.507404,0.533777) 12-(0.541004,0.537734) 13-(0.377812,0.603055) 14-(0.449113,0.616018) 15-(0.43701,0.629239) 16-(0.417719,0.636195) 17-(0.374771,0.670689) 18-(0.432834,0.669913) 19-(0.425485,0.673514) 20-(0.411098,0.674878) 
600000#0-(0.305802,0.629897) 1-(0.320478,0.532363) 2-(0.356107,0.478526) 3-(0.393892,0.459979) 4-(0.422603,0.461063) 5-(0.377824,0.470919) 6-(0.45124,0.475315) 7-(0.496076,0.486598) 8-(0.527604,0.499189) 9-(0.379702,0.530961) 10-(0.462674,0.527523) 11-(0.510585,0.531092) 12-(0.544142,0.536386) 13-(0.378623,0.597581) 14-(0.451359,0.611435) 15-(0.439512,0.62764) 16-(0.419579,0.635463) 17-(0.376459,0.664338) 18-(0.434928,0.663899) 19-(0.427542,0.669018) 20-(0.413275,0.67028) 
633333#0-(0.306661,0.627716) 1-(0.320375,0.529738) 2-(0.355536,0.476181) 3-(0.392907,0.457013) 4-(0.421204,0.455178) 5-(0.380471,0.471331) 6-(0.452345,0.476319) 7-(0.496289,0.487347) 8-(0.527344,0.500842) 9-(0.381831,0.531319) 10-(0.462891,0.526856) 11-(0.510159,0.530516) 12-(0.54372,0.5368) 13-(0.379739,0.596211) 14-(0.450849,0.608792) 15-(0.440068,0.624197) 16-(0.421286,0.632768) 17-(0.376752,0.66134) 18-(0.434666,0.661287) 19-(0.428198,0.667039) 20-(0.414334,0.670228) 
