0#0-(0.37602,0.804338) 1-(0.421525,0.745224) 2-(0.43663,0.63742) 3-(0.446285,0.567517) 4-(0.454974,0.510577) 5-(0.397392,0.569748) 6-(0.420263,0.512242) 7-(0.444479,0.557805) 8-(0.456896,0.607932) 9-(0.381852,0.576166) 10-(0.41695,0.52165) 11-(0.439686,0.581509) 12-(0.444801,0.635095) 13-(0.36794,0.595134) 14-(0.405488,0.533403) 15-(0.433419,0.596674) 16-(0.443587,0.657008) 17-(0.35725,0.617938) 18-(0.363467,0.54434) 19-(0.372513,0.48662) 20-(0.379738,0.429113) 
33333#0-(0.38014,0.802946) 1-(0.425935,0.744274) 2-(0.43948,0.635461) 3-(0.446265,0.562498) 4-(0.455258,0.499544) 5-(0.400793,0.573505) 6-(0.427485,0.514485) 7-(0.450175,0.564571) 8-(0.459746,0.615815) 9-(0.385672,0.577233) 10-(0.418782,0.525588) 11-(0.441833,0.586001) 12-(0.448576,0.641546) 13-(0.371424,0.594691) 14-(0.41111,0.535332) 15-(0.438799,0.599019) 16-(0.447808,0.659187) 17-(0.360729,0.616842) 18-(0.367436,0.54437) 19-(0.375342,0.484976) 20-(0.382711,0.425732) 
66666#0-(0.377333,0.804024) 1-(0.42348,0.73843) 2-(0.438261,0.635552) 3-(0.447171,0.564978) 4-(0.455415,0.506123) 5-(0.398886,0.5779) 6-(0.424421,0.520318) 7-(0.449037,0.564168) 8-(0.461056,0.613414) 9-(0.384298,0.581451) 10-(0.420328,0.529562) 11-(0.444803,0.587927) 12-(0.45143,0.643351) 13-(0.370437,0.598006) 14-(0.41187,0.538634) 15-(0.440147,0.599257) 16-(0.449035,0.65719) 17-(0.360299,0.617046) 18-(0.366679,0.544596) 19-(0.374368,0.485704) 20-(0.380851,0.427222) 
100000#0-(0.375938,0.798868) 1-(0.421201,0.73423) 2-(0.433933,0.632777) 3-(0.442509,0.564191) 4-(0.452147,0.505951) 5-(0.39672,0.572776) 6-(0.423288,0.514308) 7-(0.446855,0.562067) 8-(0.458026,0.611549) 9-(0.382814,0.57802) 10-(0.416927,0.526879) 11-(0.440264,0.583485) 12-(0.449136,0.636182) 13-(0.370309,0.596824) 14-(0.410599,0.541979) 15-(0.437844,0.59968) 16-(0.448236,0.655156) 17-(0.361325,0.619891) 18-(0.366487,0.550113) 19-(0.373874,0.490595) 20-(0.381606,0.433735) 
133333#0-(0.377007,0.784402) 1-(0.419388,0.727995) 2-(0.436576,0.629024) 3-(0.446448,0.564918) 4-(0.455885,0.514925) 5-(0.403719,0.566406) 6-(0.425923,0.51533) 7-(0.447448,0.567227) 8-(0.457618,0.615997) 9-(0.388591,0.570854) 10-(0.416109,0.528424) 11-(0.43957,0.588643) 12-(0.449282,0.639966) 13-(0.374402,0.589517) 14-(0.406886,0.542496) 15-(0.434563,0.602324) 16-(0.447298,0.656708) 17-(0.361397,0.61487) 18-(0.36577,0.546229) 19-(0.372243,0.490141) 20-(0.379915,0.435919) 
166666#0-(0.371892,0.780302) 1-(0.414902,0.72456) 2-(0.431838,0.625426) 3-(0.442213,0.559021) 4-(0.452016,0.502576) 5-(0.4003,0.566354) 6-(0.421429,0.512797) 7-(0.442029,0.560948) 8-(0.451758,0.608699) 9-(0.386244,0.571518) 10-(0.413484,0.525317) 11-(0.435269,0.583661) 12-(0.442722,0.634326) 13-(0.372517,0.58922) 14-(0.404054,0.536214) 15-(0.429627,0.597341) 16-(0.440328,0.653407) 17-(0.359148,0.610512) 18-(0.365145,0.541426) 19-(0.373638,0.48748) 20-(0.382827,0.433722) 
200000#0-(0.368492,0.782194) 1-(0.411311,0.727502) 2-(0.430553,0.634091) 3-(0.442899,0.573649) 4-(0.452436,0.522841) 5-(0.395671,0.567824) 6-(0.419867,0.518773) 7-(0.440899,0.568197) 8-(0.449889,0.614333) 9-(0.380795,0.572778) 10-(0.409735,0.531913) 11-(0.433139,0.5883) 12-(0.440787,0.638532) 13-(0.367152,0.589626) 14-(0.400638,0.541347) 15-(0.427049,0.597481) 16-(0.436087,0.650454) 17-(0.355224,0.610788) 18-(0.359825,0.541352) 19-(0.365819,0.489453) 20-(0.370287,0.438785) 
233333#0-(0.374095,0.790345) 1-(0.415133,0.739896) 2-(0.435356,0.644623) 3-(0.443793,0.579518) 4-(0.450188,0.522806) 5-(0.401211,0.582657) 6-(0.421089,0.530697) 7-(0.439847,0.58196) 8-(0.448817,0.632935) 9-(0.38553,0.583841) 10-(0.40734,0.537829) 11-(0.431829,0.59847) 12-(0.44249,0.653815) 13-(0.368908,0.596513) 14-(0.396197,0.545827) 15-(0.424683,0.605748) 16-(0.437383,0.663974) 17-(0.352269,0.614174) 18-(0.355817,0.545966) 19-(0.363297,0.493877) 20-(0.37157,0.443932) 
266666#0-(0.371156,0.796629) 1-(0.412557,0.746887) 2-(0.434249,0.650119) 3-(0.443865,0.582411) 4-(0.45017,0.522504) 5-(0.401775,0.588171) 6-(0.421152,0.535106) 7-(0.438063,0.586164) 8-(0.445654,0.635857) 9-(0.385843,0.588895) 10-(0.407159,0.541206) 11-(0.429641,0.602392) 12-(0.439164,0.657038) 13-(0.368677,0.601885) 14-(0.395411,0.547682) 15-(0.422279,0.608873) 16-(0.43432,0.666343) 17-(0.351885,0.620124) 18-(0.356481,0.551526) 19-(0.363693,0.498526) 20-(0.372001,0.445673) 
300000#0-(0.370708,0.795622) 1-(0.41327,0.744728) 2-(0.434065,0.64972) 3-(0.444538,0.582174) 4-(0.453869,0.522142) 5-(0.401823,0.585292) 6-(0.420404,0.523871) 7-(0.438997,0.571227) 8-(0.447759,0.619122) 9-(0.385609,0.587788) 10-(0.407799,0.533246) 11-(0.431745,0.592934) 12-(0.440786,0.645785) 13-(0.368718,0.600984) 14-(0.396665,0.544611) 15-(0.424731,0.60641) 16-(0.435874,0.66345) 17-(0.351908,0.618056) 18-(0.356982,0.547914) 19-(0.365347,0.495729) 20-(0.373819,0.443815) 
333333#0-(0.371181,0.783899) 1-(0.41315,0.735031) 2-(0.435689,0.639739) 3-(0.447697,0.569815) 4-(0.459302,0.503818) 5-(0.401491,0.567669) 6-(0.415399,0.500526) 7-(0.433628,0.538342) 8-(0.442396,0.580813) 9-(0.383991,0.569941) 10-(0.409006,0.51871) 11-(0.431223,0.580192) 12-(0.436968,0.631423) 13-(0.36653,0.585849) 14-(0.39687,0.532235) 15-(0.424333,0.596308) 16-(0.433798,0.653885) 17-(0.349255,0.607061) 18-(0.356049,0.533029) 19-(0.366242,0.481344) 20-(0.375842,0.431658) 
366666#0-(0.373448,0.77779) 1-(0.411703,0.734137) 2-(0.433011,0.640248) 3-(0.444187,0.569769) 4-(0.455756,0.515383) 5-(0.399532,0.569296) 6-(0.402557,0.479815) 7-(0.418326,0.45668) 8-(0.430595,0.447966) 9-(0.382187,0.57194) 10-(0.408727,0.507944) 11-(0.43305,0.573447) 12-(0.439769,0.629044) 13-(0.365946,0.58857) 14-(0.39425,0.528842) 15-(0.422424,0.594268) 16-(0.432352,0.649922) 17-(0.349247,0.611248) 18-(0.35541,0.534694) 19-(0.367005,0.485171) 20-(0.375765,0.439082) 
400000#0-(0.372411,0.783063) 1-(0.413589,0.739091) 2-(0.43787,0.644036) 3-(0.447759,0.570967) 4-(0.449971,0.515913) 5-(0.404151,0.573502) 6-(0.406714,0.486746) 7-(0.422672,0.485017) 8-(0.434039,0.497919) 9-(0.385598,0.573138) 10-(0.40459,0.511773) 11-(0.428262,0.578247) 12-(0.435914,0.637013) 13-(0.366399,0.587571) 14-(0.388019,0.528729) 15-(0.416768,0.592667) 16-(0.428415,0.650502) 17-(0.346528,0.609847) 18-(0.355051,0.537116) 19-(0.36796,0.488578) 20-(0.37804,0.443539) 
433333#0-(0.369802,0.786564) 1-(0.411162,0.744693) 2-(0.436087,0.649883) 3-(0.446342,0.575602) 4-(0.449733,0.521116) 5-(0.402279,0.582826) 6-(0.40479,0.499736) 7-(0.418378,0.496221) 8-(0.428387,0.507244) 9-(0.384418,0.580112) 10-(0.403104,0.526417) 11-(0.4257,0.591777) 12-(0.433102,0.646316) 13-(0.365255,0.592299) 14-(0.386146,0.534063) 15-(0.413967,0.595961) 16-(0.425378,0.651533) 17-(0.344567,0.611131) 18-(0.353401,0.53945) 19-(0.366927,0.491779) 20-(0.378712,0.444082) 
