0#0-(0.312222,0.613121) 1-(0.367121,0.569888) 2-(0.403849,0.506397) 3-(0.415791,0.473313) 4-(0.404376,0.479091) 5-(0.356001,0.361244) 6-(0.396403,0.336409) 7-(0.414294,0.386625) 8-(0.411313,0.415195) 9-(0.328126,0.380867) 10-(0.381346,0.369927) 11-(0.403156,0.423764) 12-(0.397739,0.449707) 13-(0.311951,0.430949) 14-(0.364364,0.443295) 15-(0.383766,0.481416) 16-(0.379512,0.496571) 17-(0.306826,0.494049) 18-(0.351162,0.524944) 19-(0.362741,0.547897) 20-(0.354383,0.553506) 
33333#0-(0.298742,0.580092) 1-(0.325294,0.492923) 2-(0.358431,0.421951) 3-(0.381155,0.392596) 4-(0.399555,0.383316) 5-(0.33949,0.378043) 6-(0.40499,0.366027) 7-(0.426786,0.418018) 8-(0.429286,0.451417) 9-(0.324551,0.424918) 10-(0.400216,0.429944) 11-(0.420503,0.479585) 12-(0.421049,0.506264) 13-(0.316503,0.481499) 14-(0.385109,0.499032) 15-(0.405159,0.535407) 16-(0.407187,0.555927) 17-(0.314648,0.54061) 18-(0.372141,0.554264) 19-(0.409038,0.566298) 20-(0.432221,0.574163) 
66666#0-(0.294615,0.570431) 1-(0.299782,0.489388) 2-(0.330282,0.422432) 3-(0.360194,0.37956) 4-(0.38006,0.358987) 5-(0.323726,0.395132) 6-(0.390892,0.37304) 7-(0.41026,0.400206) 8-(0.409692,0.421436) 9-(0.325289,0.438888) 10-(0.39932,0.422467) 11-(0.414303,0.456124) 12-(0.408012,0.475665) 13-(0.328802,0.491888) 14-(0.391208,0.48426) 15-(0.401829,0.509825) 16-(0.395768,0.519626) 17-(0.336442,0.544039) 18-(0.384933,0.542182) 19-(0.414225,0.548656) 20-(0.432249,0.545438) 
100000#0-(0.300086,0.576704) 1-(0.306663,0.489725) 2-(0.332334,0.420959) 3-(0.355697,0.378604) 4-(0.372062,0.3614) 5-(0.320496,0.407193) 6-(0.376954,0.366941) 7-(0.401502,0.380001) 8-(0.408792,0.395534) 9-(0.321682,0.451584) 10-(0.386969,0.411404) 11-(0.411147,0.427398) 12-(0.41483,0.442656) 13-(0.326358,0.504046) 14-(0.383465,0.474786) 15-(0.405641,0.487124) 16-(0.40956,0.494816) 17-(0.33551,0.558203) 18-(0.377668,0.53913) 19-(0.40277,0.530643) 20-(0.414844,0.520012) 
133333#0-(0.303509,0.571651) 1-(0.311974,0.491341) 2-(0.338459,0.425104) 3-(0.363716,0.387648) 4-(0.380376,0.380186) 5-(0.323385,0.399406) 6-(0.380047,0.364198) 7-(0.406111,0.375577) 8-(0.412939,0.386348) 9-(0.323494,0.444678) 10-(0.385972,0.401183) 11-(0.413621,0.412919) 12-(0.419871,0.423918) 13-(0.329778,0.49937) 14-(0.38394,0.457754) 15-(0.412687,0.462218) 16-(0.421228,0.468249) 17-(0.342611,0.553311) 18-(0.384165,0.524644) 19-(0.413466,0.513435) 20-(0.429635,0.50202) 
166666#0-(0.307646,0.599253) 1-(0.314955,0.510973) 2-(0.344318,0.427386) 3-(0.377284,0.389651) 4-(0.396189,0.387307) 5-(0.319787,0.413497) 6-(0.381596,0.363967) 7-(0.40094,0.371941) 8-(0.399812,0.377699) 9-(0.321589,0.465747) 10-(0.393507,0.399897) 11-(0.417181,0.405338) 12-(0.418091,0.412359) 13-(0.333901,0.515394) 14-(0.392258,0.450613) 15-(0.418853,0.449021) 16-(0.424991,0.455426) 17-(0.353548,0.562072) 18-(0.397689,0.502777) 19-(0.427254,0.482515) 20-(0.445071,0.466329) 
200000#0-(0.322281,0.607166) 1-(0.311802,0.530622) 2-(0.324343,0.448683) 3-(0.346419,0.396647) 4-(0.361969,0.375923) 5-(0.312476,0.416098) 6-(0.359151,0.354647) 7-(0.378113,0.358987) 8-(0.381426,0.369337) 9-(0.325147,0.456177) 10-(0.383145,0.379446) 11-(0.405419,0.381763) 12-(0.41003,0.390396) 13-(0.345227,0.493824) 14-(0.398386,0.410784) 15-(0.429383,0.393615) 16-(0.444615,0.391164) 17-(0.368347,0.525131) 18-(0.40489,0.449473) 19-(0.432533,0.407224) 20-(0.451565,0.372994) 21-(0.327294,0.616325) 22-(0.325735,0.517176) 23-(0.336467,0.421212) 24-(0.365805,0.367825) 25-(0.392567,0.357621) 26-(0.314584,0.377921) 27-(0.372083,0.286415) 28-(0.386824,0.335302) 29-(0.37328,0.377968) 30-(0.324565,0.417404) 31-(0.394766,0.3374) 32-(0.407152,0.388531) 33-(0.392664,0.426463) 34-(0.344226,0.460735) 35-(0.402958,0.385107) 36-(0.412205,0.431832) 37-(0.399678,0.471188) 38-(0.368579,0.498771) 39-(0.40192,0.423417) 40-(0.426183,0.384985) 41-(0.441777,0.346929) 
233333#0-(0.3306,0.646388) 1-(0.336407,0.54128) 2-(0.348824,0.44362) 3-(0.381238,0.374406) 4-(0.404906,0.343406) 5-(0.295393,0.397945) 6-(0.363512,0.29933) 7-(0.385421,0.35306) 8-(0.377416,0.393549) 9-(0.306024,0.425802) 10-(0.381788,0.325434) 11-(0.401894,0.380143) 12-(0.394434,0.419085) 13-(0.330056,0.457748) 14-(0.394183,0.363808) 15-(0.411276,0.409342) 16-(0.406844,0.447444) 17-(0.362617,0.482806) 18-(0.395088,0.406215) 19-(0.411539,0.367549) 20-(0.421517,0.331578) 
266666#0-(0.350051,0.6584) 1-(0.37209,0.532296) 2-(0.377631,0.417641) 3-(0.391833,0.339109) 4-(0.404671,0.29377) 5-(0.29267,0.376476) 6-(0.360967,0.292748) 7-(0.381533,0.351479) 8-(0.363166,0.392183) 9-(0.288676,0.403296) 10-(0.370822,0.314564) 11-(0.386891,0.369568) 12-(0.3683,0.411462) 13-(0.302315,0.436885) 14-(0.37585,0.349443) 15-(0.388701,0.403112) 16-(0.371219,0.444452) 17-(0.326961,0.468361) 18-(0.370398,0.39456) 19-(0.38529,0.408769) 20-(0.382809,0.42105) 21-(0.334754,0.577633) 22-(0.333307,0.491385) 23-(0.344689,0.391156) 24-(0.368513,0.324748) 25-(0.391874,0.297508) 26-(0.298165,0.395398) 27-(0.356785,0.320394) 28-(0.375759,0.348146) 29-(0.368121,0.370429) 30-(0.306181,0.439663) 31-(0.369865,0.346955) 32-(0.391483,0.363257) 33-(0.387014,0.38067) 34-(0.326802,0.482698) 35-(0.377573,0.401379) 36-(0.401849,0.399577) 37-(0.406867,0.404782) 38-(0.354722,0.521203) 39-(0.37939,0.458) 40-(0.389726,0.423772) 41-(0.391257,0.394211) 
300000#0-(0.357795,0.668206) 1-(0.396881,0.516165) 2-(0.394122,0.404388) 3-(0.389683,0.329452) 4-(0.385285,0.272603) 5-(0.290542,0.377474) 6-(0.338112,0.286148) 7-(0.368049,0.337077) 8-(0.3679,0.391883) 9-(0.279775,0.40037) 10-(0.351979,0.290143) 11-(0.379002,0.346759) 12-(0.373858,0.3988) 13-(0.290382,0.425206) 14-(0.35841,0.308712) 15-(0.383504,0.359624) 16-(0.379248,0.410722) 17-(0.320478,0.443342) 18-(0.366103,0.35109) 19-(0.383576,0.379891) 20-(0.381801,0.41849) 21-(0.361372,0.606359) 22-(0.391817,0.516555) 23-(0.390347,0.418113) 24-(0.392629,0.347247) 25-(0.392283,0.287848) 26-(0.296209,0.396017) 27-(0.351463,0.323305) 28-(0.377219,0.343024) 29-(0.383212,0.373351) 30-(0.287126,0.412363) 31-(0.351611,0.33403) 32-(0.375593,0.34712) 33-(0.381613,0.370929) 34-(0.297213,0.434893) 35-(0.353486,0.349557) 36-(0.378548,0.355348) 37-(0.388497,0.371712) 38-(0.322523,0.45324) 39-(0.349213,0.375863) 40-(0.363886,0.330734) 41-(0.374201,0.295534) 
333333#0-(0.366095,0.631393) 1-(0.401406,0.518687) 2-(0.3972,0.41677) 3-(0.393277,0.345391) 4-(0.384406,0.28814) 5-(0.300639,0.388328) 6-(0.347575,0.307023) 7-(0.380744,0.341509) 8-(0.392159,0.391736) 9-(0.291016,0.406558) 10-(0.355475,0.315136) 11-(0.387759,0.355839) 12-(0.397718,0.401082) 13-(0.300464,0.430549) 14-(0.358533,0.330019) 15-(0.390953,0.366858) 16-(0.401305,0.408594) 17-(0.326735,0.447384) 18-(0.344604,0.350137) 19-(0.355926,0.293659) 20-(0.364077,0.25126) 
