0#0-(0.347407,0.709101) 1-(0.394227,0.630806) 2-(0.413819,0.527746) 3-(0.414144,0.450883) 4-(0.386691,0.423553) 5-(0.327399,0.424345) 6-(0.355059,0.348895) 7-(0.380888,0.380064) 8-(0.388276,0.414319) 9-(0.306169,0.439432) 10-(0.356844,0.360731) 11-(0.379983,0.435707) 12-(0.374755,0.496792) 13-(0.293806,0.467064) 14-(0.341203,0.384027) 15-(0.368462,0.463333) 16-(0.368149,0.534379) 17-(0.291891,0.49752) 18-(0.301383,0.383974) 19-(0.318124,0.310817) 20-(0.326461,0.254523) 
33333#0-(0.344598,0.699885) 1-(0.3902,0.62819) 2-(0.409696,0.527512) 3-(0.410503,0.454241) 4-(0.384596,0.423321) 5-(0.330951,0.416916) 6-(0.358816,0.34922) 7-(0.380899,0.402522) 8-(0.386753,0.447965) 9-(0.30841,0.43273) 10-(0.354429,0.353062) 11-(0.375916,0.433428) 12-(0.370983,0.493008) 13-(0.292999,0.459566) 14-(0.334942,0.375663) 15-(0.362002,0.457019) 16-(0.362461,0.525677) 17-(0.2873,0.490861) 18-(0.299245,0.380262) 19-(0.317598,0.308398) 20-(0.327407,0.249307) 
66666#0-(0.33935,0.705221) 1-(0.386754,0.628764) 2-(0.409125,0.527623) 3-(0.412412,0.452344) 4-(0.385539,0.422787) 5-(0.327723,0.417517) 6-(0.356532,0.343845) 7-(0.380519,0.386843) 8-(0.38682,0.429472) 9-(0.306718,0.429656) 10-(0.357685,0.35111) 11-(0.378483,0.430107) 12-(0.371007,0.492266) 13-(0.292841,0.453744) 14-(0.338029,0.371603) 15-(0.362833,0.454798) 16-(0.360835,0.527095) 17-(0.287992,0.480155) 18-(0.297348,0.364654) 19-(0.315668,0.292646) 20-(0.326893,0.235537) 
100000#0-(0.335555,0.706741) 1-(0.383346,0.626826) 2-(0.406971,0.526592) 3-(0.41265,0.449638) 4-(0.386061,0.420573) 5-(0.320165,0.417638) 6-(0.351783,0.335677) 7-(0.377076,0.365069) 8-(0.38512,0.398974) 9-(0.299674,0.428962) 10-(0.354333,0.342761) 11-(0.377565,0.418833) 12-(0.372383,0.482382) 13-(0.287428,0.452853) 14-(0.336509,0.366225) 15-(0.362756,0.443014) 16-(0.361405,0.51218) 17-(0.285562,0.478974) 18-(0.296241,0.364459) 19-(0.315976,0.29523) 20-(0.328253,0.245482) 
133333#0-(0.330859,0.693279) 1-(0.379809,0.620426) 2-(0.406279,0.517492) 3-(0.411085,0.447635) 4-(0.381646,0.42491) 5-(0.327569,0.397882) 6-(0.361578,0.330579) 7-(0.384008,0.382341) 8-(0.387051,0.432851) 9-(0.303795,0.413168) 10-(0.351733,0.342257) 11-(0.374355,0.420143) 12-(0.370746,0.483512) 13-(0.288093,0.441744) 14-(0.331342,0.362366) 15-(0.356955,0.438656) 16-(0.357168,0.508634) 17-(0.282436,0.472285) 18-(0.295372,0.36361) 19-(0.314966,0.291452) 20-(0.328053,0.237974) 
166666#0-(0.332786,0.680434) 1-(0.382016,0.61167) 2-(0.407197,0.518533) 3-(0.410823,0.448176) 4-(0.383509,0.416726) 5-(0.341538,0.401858) 6-(0.371123,0.34278) 7-(0.38809,0.406477) 8-(0.388029,0.456948) 9-(0.319343,0.413777) 10-(0.358645,0.34182) 11-(0.374473,0.425844) 12-(0.364646,0.487003) 13-(0.301032,0.436282) 14-(0.337249,0.360867) 15-(0.357823,0.44229) 16-(0.351263,0.509161) 17-(0.290421,0.461818) 18-(0.300653,0.348837) 19-(0.321639,0.279821) 20-(0.334885,0.22221) 
200000#0-(0.32697,0.668182) 1-(0.378342,0.613832) 2-(0.410654,0.525169) 3-(0.412449,0.453364) 4-(0.383965,0.41974) 5-(0.366049,0.389837) 6-(0.387693,0.335205) 7-(0.394291,0.407453) 8-(0.390969,0.461272) 9-(0.337768,0.397988) 10-(0.364361,0.344251) 11-(0.371974,0.437416) 12-(0.363753,0.497821) 13-(0.312586,0.423239) 14-(0.33541,0.373183) 15-(0.350099,0.459393) 16-(0.347037,0.522729) 17-(0.291704,0.456539) 18-(0.302279,0.354204) 19-(0.321662,0.285156) 20-(0.337296,0.221086) 
233333#0-(0.324862,0.65667) 1-(0.371897,0.631306) 2-(0.411718,0.548926) 3-(0.408201,0.477407) 4-(0.373518,0.446752) 5-(0.380195,0.403633) 6-(0.389859,0.329708) 7-(0.393296,0.395613) 8-(0.388762,0.455135) 9-(0.346935,0.407014) 10-(0.364591,0.338275) 11-(0.367761,0.429898) 12-(0.359039,0.490486) 13-(0.316464,0.430173) 14-(0.331396,0.372158) 15-(0.342821,0.458902) 16-(0.340303,0.519142) 17-(0.28796,0.463233) 18-(0.296723,0.380789) 19-(0.308452,0.328456) 20-(0.315349,0.276875) 
266666#0-(0.322448,0.636855) 1-(0.363835,0.620674) 2-(0.404306,0.569002) 3-(0.403003,0.519036) 4-(0.369637,0.479834) 5-(0.379638,0.377713) 6-(0.379751,0.31053) 7-(0.371499,0.404103) 8-(0.364016,0.473447) 9-(0.335585,0.384726) 10-(0.334647,0.360731) 11-(0.33191,0.470123) 12-(0.32965,0.536982) 13-(0.297173,0.420114) 14-(0.296085,0.446474) 15-(0.303163,0.543766) 16-(0.31089,0.598287) 17-(0.269889,0.465789) 18-(0.264895,0.492712) 19-(0.274842,0.554554) 20-(0.288331,0.59253) 
300000#0-(0.318732,0.648144) 1-(0.359624,0.633772) 2-(0.400735,0.585245) 3-(0.39154,0.551111) 4-(0.354173,0.52451) 5-(0.363534,0.364423) 6-(0.378828,0.360366) 7-(0.377162,0.467288) 8-(0.371047,0.537611) 9-(0.315227,0.365664) 10-(0.328346,0.383792) 11-(0.335522,0.503978) 12-(0.339629,0.571663) 13-(0.274567,0.405867) 14-(0.285019,0.460419) 15-(0.300084,0.564037) 16-(0.309078,0.616615) 17-(0.246131,0.465076) 18-(0.248418,0.509974) 19-(0.263615,0.574518) 20-(0.275448,0.609171) 
333333#0-(0.341121,0.543233) 1-(0.296565,0.6002) 2-(0.266107,0.622729) 3-(0.27148,0.659674) 4-(0.280271,0.674978) 5-(0.235239,0.449844) 6-(0.172079,0.480121) 7-(0.128386,0.491303) 8-(0.0840689,0.48367) 9-(0.27668,0.40063) 10-(0.265204,0.487288) 11-(0.280696,0.558349) 12-(0.285463,0.574566) 13-(0.325349,0.39617) 14-(0.33328,0.49731) 15-(0.338557,0.582859) 16-(0.333201,0.612854) 17-(0.369444,0.421064) 18-(0.383685,0.521331) 19-(0.37923,0.60513) 20-(0.369082,0.647137) 
