0#0-(0.306815,0.662216) 1-(0.335705,0.620533) 2-(0.346687,0.538184) 3-(0.338242,0.469026) 4-(0.339611,0.410787) 5-(0.341409,0.49876) 6-(0.354513,0.426604) 7-(0.361186,0.381599) 8-(0.366631,0.338498) 9-(0.315419,0.503887) 10-(0.312108,0.439843) 11-(0.308503,0.400523) 12-(0.308767,0.367197) 13-(0.290724,0.520069) 14-(0.292019,0.498941) 15-(0.300182,0.559015) 16-(0.306816,0.6013) 17-(0.267726,0.544278) 18-(0.266686,0.514563) 19-(0.277421,0.559493) 20-(0.28675,0.592599) 
33333#0-(0.30477,0.670901) 1-(0.335848,0.631162) 2-(0.348246,0.548387) 3-(0.339631,0.480365) 4-(0.338231,0.425252) 5-(0.337685,0.513121) 6-(0.351007,0.443457) 7-(0.35779,0.395942) 8-(0.362793,0.350125) 9-(0.311779,0.51728) 10-(0.309422,0.451721) 11-(0.305163,0.411109) 12-(0.303749,0.378303) 13-(0.287595,0.531255) 14-(0.290051,0.498605) 15-(0.297677,0.56173) 16-(0.303106,0.608268) 17-(0.264113,0.552849) 18-(0.265759,0.518692) 19-(0.275458,0.565943) 20-(0.282753,0.601371) 
66666#0-(0.304965,0.668254) 1-(0.334045,0.626333) 2-(0.344828,0.543955) 3-(0.335125,0.475596) 4-(0.334857,0.421877) 5-(0.33613,0.511913) 6-(0.348099,0.44588) 7-(0.355602,0.400172) 8-(0.360928,0.354773) 9-(0.310085,0.517023) 10-(0.307265,0.453225) 11-(0.302977,0.409385) 12-(0.300901,0.371737) 13-(0.285502,0.530948) 14-(0.286557,0.503913) 15-(0.293743,0.564741) 16-(0.299113,0.608401) 17-(0.26179,0.552541) 18-(0.261649,0.520155) 19-(0.271523,0.566056) 20-(0.279456,0.599966) 
100000#0-(0.302054,0.672518) 1-(0.332143,0.629655) 2-(0.34251,0.54118) 3-(0.33068,0.470478) 4-(0.329852,0.417526) 5-(0.333785,0.5109) 6-(0.345218,0.442701) 7-(0.351712,0.396806) 8-(0.356636,0.352937) 9-(0.306827,0.516561) 10-(0.302809,0.450695) 11-(0.298502,0.405708) 12-(0.296812,0.370086) 13-(0.282589,0.53108) 14-(0.279569,0.499495) 15-(0.288062,0.561885) 16-(0.296101,0.608602) 17-(0.259459,0.554781) 18-(0.256485,0.518631) 19-(0.266664,0.563032) 20-(0.276243,0.595888) 
133333#0-(0.299872,0.671789) 1-(0.329814,0.631651) 2-(0.34108,0.544229) 3-(0.33057,0.474392) 4-(0.331143,0.420224) 5-(0.330722,0.509685) 6-(0.34215,0.439785) 7-(0.349047,0.39314) 8-(0.353863,0.349148) 9-(0.304131,0.514665) 10-(0.298912,0.449057) 11-(0.294756,0.405218) 12-(0.292777,0.370256) 13-(0.280359,0.529186) 14-(0.280286,0.499553) 15-(0.288676,0.561092) 16-(0.295082,0.60557) 17-(0.257467,0.551679) 18-(0.257041,0.515984) 19-(0.267102,0.56004) 20-(0.275268,0.591885) 
166666#0-(0.299036,0.675949) 1-(0.33033,0.631144) 2-(0.340746,0.54552) 3-(0.329559,0.476128) 4-(0.329021,0.419155) 5-(0.329657,0.510497) 6-(0.341471,0.439629) 7-(0.349578,0.391621) 8-(0.355877,0.345279) 9-(0.302558,0.518206) 10-(0.296455,0.449924) 11-(0.292309,0.404717) 12-(0.291099,0.369005) 13-(0.278511,0.534715) 14-(0.277987,0.500161) 15-(0.28749,0.560939) 16-(0.294651,0.607028) 17-(0.255615,0.558092) 18-(0.253987,0.519879) 19-(0.264751,0.562513) 20-(0.273879,0.595665) 
200000#0-(0.297384,0.675005) 1-(0.327612,0.630477) 2-(0.338743,0.544962) 3-(0.329515,0.475088) 4-(0.331303,0.418951) 5-(0.328711,0.509612) 6-(0.340756,0.43975) 7-(0.348873,0.391424) 8-(0.354803,0.344035) 9-(0.302197,0.515992) 10-(0.298266,0.448323) 11-(0.293228,0.401864) 12-(0.291318,0.363113) 13-(0.278087,0.531753) 14-(0.277947,0.50013) 15-(0.286495,0.561629) 16-(0.293932,0.607772) 17-(0.254749,0.555234) 18-(0.252633,0.519633) 19-(0.263295,0.562914) 20-(0.273358,0.59619) 
233333#0-(0.296163,0.67671) 1-(0.32633,0.629094) 2-(0.337233,0.546779) 3-(0.327843,0.479199) 4-(0.329791,0.422477) 5-(0.328237,0.50776) 6-(0.340049,0.43553) 7-(0.34916,0.388209) 8-(0.356769,0.344031) 9-(0.301803,0.514301) 10-(0.297657,0.444924) 11-(0.292443,0.400386) 12-(0.290844,0.363589) 13-(0.277722,0.531496) 14-(0.277111,0.500085) 15-(0.28537,0.560349) 16-(0.292124,0.603713) 17-(0.254729,0.556303) 18-(0.251869,0.520778) 19-(0.262552,0.564236) 20-(0.27182,0.596935) 
266666#0-(0.296806,0.676599) 1-(0.32611,0.626944) 2-(0.337179,0.538843) 3-(0.328265,0.469495) 4-(0.331366,0.412527) 5-(0.325009,0.505514) 6-(0.336966,0.431933) 7-(0.3454,0.384045) 8-(0.352497,0.339735) 9-(0.298807,0.514397) 10-(0.295221,0.440842) 11-(0.291995,0.396352) 12-(0.292067,0.361463) 13-(0.275675,0.53325) 14-(0.278902,0.494356) 15-(0.287921,0.55507) 16-(0.294344,0.600862) 17-(0.253301,0.557482) 18-(0.254694,0.514253) 19-(0.265905,0.556231) 20-(0.274888,0.589737) 
300000#0-(0.29706,0.678329) 1-(0.32706,0.623436) 2-(0.336668,0.532452) 3-(0.325273,0.462782) 4-(0.324231,0.406871) 5-(0.32398,0.501654) 6-(0.335784,0.433355) 7-(0.342444,0.387129) 8-(0.347916,0.344874) 9-(0.298013,0.512138) 10-(0.294846,0.440286) 11-(0.293778,0.401239) 12-(0.295149,0.372832) 13-(0.274399,0.532949) 14-(0.27678,0.491324) 15-(0.287206,0.549348) 16-(0.294096,0.593904) 17-(0.251161,0.55902) 18-(0.253485,0.516108) 19-(0.265428,0.55765) 20-(0.274057,0.590418) 
