0#0-(0.295606,0.847501) 1-(0.334391,0.770329) 2-(0.337933,0.636212) 3-(0.318562,0.537729) 4-(0.309712,0.454783) 5-(0.318062,0.573881) 6-(0.320856,0.460957) 7-(0.316941,0.38211) 8-(0.309027,0.301816) 9-(0.282382,0.59755) 10-(0.262077,0.518544) 11-(0.266099,0.51651) 12-(0.27214,0.501041) 13-(0.251542,0.635415) 14-(0.254261,0.617196) 15-(0.273391,0.701871) 16-(0.278546,0.743811) 17-(0.224717,0.685369) 18-(0.227412,0.665053) 19-(0.249207,0.728746) 20-(0.255087,0.76602) 
33333#0-(0.290777,0.868911) 1-(0.329291,0.803311) 2-(0.330863,0.668164) 3-(0.308486,0.56798) 4-(0.29826,0.477074) 5-(0.309209,0.564857) 6-(0.315796,0.453329) 7-(0.318264,0.375985) 8-(0.316122,0.306056) 9-(0.267823,0.591079) 10-(0.242349,0.5088) 11-(0.232704,0.505844) 12-(0.225311,0.50112) 13-(0.235966,0.641202) 14-(0.239787,0.622658) 15-(0.261178,0.703697) 16-(0.268766,0.743521) 17-(0.211465,0.703201) 18-(0.220964,0.689255) 19-(0.245046,0.752529) 20-(0.252775,0.783484) 
66666#0-(0.281849,0.873569) 1-(0.318589,0.803107) 2-(0.320079,0.676565) 3-(0.300459,0.579434) 4-(0.298775,0.488237) 5-(0.30793,0.583843) 6-(0.320089,0.473342) 7-(0.328132,0.395649) 8-(0.332638,0.323586) 9-(0.269345,0.610178) 10-(0.248121,0.523573) 11-(0.241855,0.483524) 12-(0.238988,0.456588) 13-(0.237868,0.65616) 14-(0.238198,0.643844) 15-(0.260137,0.719977) 16-(0.26951,0.764107) 17-(0.213037,0.7141) 18-(0.216332,0.699493) 19-(0.240317,0.757463) 20-(0.249679,0.794819) 
100000#0-(0.274188,0.873913) 1-(0.311578,0.801811) 2-(0.314816,0.679083) 3-(0.295381,0.584409) 4-(0.289515,0.500353) 5-(0.297011,0.59941) 6-(0.301934,0.5017) 7-(0.301462,0.427589) 8-(0.296592,0.351592) 9-(0.257465,0.627003) 10-(0.238099,0.558285) 11-(0.24115,0.572492) 12-(0.244553,0.567269) 13-(0.224836,0.670083) 14-(0.224479,0.654918) 15-(0.246886,0.735141) 16-(0.255279,0.764643) 17-(0.199005,0.725158) 18-(0.20406,0.711518) 19-(0.228491,0.773221) 20-(0.236467,0.799132) 
133333#0-(0.26845,0.886297) 1-(0.304897,0.815283) 2-(0.309751,0.708959) 3-(0.291153,0.622991) 4-(0.287843,0.539961) 5-(0.295678,0.624448) 6-(0.301359,0.530097) 7-(0.303179,0.453763) 8-(0.300611,0.373756) 9-(0.255388,0.640671) 10-(0.237704,0.563906) 11-(0.230028,0.543848) 12-(0.222695,0.507683) 13-(0.221523,0.67637) 14-(0.218181,0.672696) 15-(0.239992,0.75045) 16-(0.249843,0.775035) 17-(0.194022,0.732685) 18-(0.19489,0.729873) 19-(0.219252,0.789407) 20-(0.229392,0.809187) 
166666#0-(0.263477,0.896688) 1-(0.299394,0.822926) 2-(0.302333,0.708289) 3-(0.28259,0.611196) 4-(0.28072,0.520092) 5-(0.289994,0.621755) 6-(0.295368,0.519317) 7-(0.29529,0.44426) 8-(0.289595,0.368495) 9-(0.24963,0.639944) 10-(0.230359,0.563186) 11-(0.221213,0.54705) 12-(0.213659,0.51819) 13-(0.215897,0.677009) 14-(0.210254,0.672441) 15-(0.22883,0.754676) 16-(0.239452,0.786986) 17-(0.188174,0.731429) 18-(0.183781,0.722613) 19-(0.204891,0.785614) 20-(0.215772,0.810636) 
200000#0-(0.26098,0.887033) 1-(0.301103,0.821856) 2-(0.304949,0.707294) 3-(0.286462,0.610081) 4-(0.284265,0.520697) 5-(0.283347,0.627999) 6-(0.287125,0.529521) 7-(0.284973,0.457057) 8-(0.276941,0.386891) 9-(0.244152,0.645779) 10-(0.227739,0.572661) 11-(0.220437,0.560891) 12-(0.211774,0.528811) 13-(0.210444,0.681572) 14-(0.204546,0.679478) 15-(0.221385,0.756015) 16-(0.229098,0.780096) 17-(0.183471,0.733805) 18-(0.179064,0.734551) 19-(0.199194,0.797984) 20-(0.207057,0.820742) 
233333#0-(0.258675,0.895893) 1-(0.295623,0.829906) 2-(0.300931,0.710886) 3-(0.279585,0.612804) 4-(0.274001,0.522363) 5-(0.282839,0.630634) 6-(0.287292,0.531851) 7-(0.288075,0.460217) 8-(0.284217,0.390787) 9-(0.24251,0.644756) 10-(0.227636,0.561105) 11-(0.213699,0.517866) 12-(0.201806,0.467715) 13-(0.207345,0.679562) 14-(0.204746,0.673024) 15-(0.221337,0.751216) 16-(0.231221,0.78519) 17-(0.178107,0.732887) 18-(0.177827,0.727253) 19-(0.197734,0.791194) 20-(0.208494,0.820457) 
266666#0-(0.252449,0.897939) 1-(0.292182,0.829199) 2-(0.297154,0.70657) 3-(0.278133,0.60466) 4-(0.273154,0.514986) 5-(0.277725,0.627512) 6-(0.281458,0.527225) 7-(0.28023,0.460428) 8-(0.273003,0.396206) 9-(0.237023,0.643757) 10-(0.220199,0.567747) 11-(0.209878,0.549713) 12-(0.200082,0.518416) 13-(0.202072,0.679634) 14-(0.198456,0.673708) 15-(0.213193,0.752903) 16-(0.220612,0.786264) 17-(0.173022,0.730758) 18-(0.168486,0.723235) 19-(0.185221,0.787025) 20-(0.193011,0.816174) 
300000#0-(0.250778,0.903249) 1-(0.287549,0.834803) 2-(0.2915,0.71503) 3-(0.272664,0.614402) 4-(0.273718,0.52152) 5-(0.277978,0.631468) 6-(0.285286,0.524975) 7-(0.289302,0.450591) 8-(0.287331,0.376338) 9-(0.237167,0.646575) 10-(0.220265,0.558348) 11-(0.203161,0.508078) 12-(0.188119,0.451703) 13-(0.202293,0.6827) 14-(0.199501,0.677358) 15-(0.215821,0.759617) 16-(0.225711,0.794818) 17-(0.17326,0.736745) 18-(0.17197,0.72766) 19-(0.190777,0.791842) 20-(0.201076,0.820052) 
333333#0-(0.251769,0.895148) 1-(0.287941,0.831201) 2-(0.291267,0.723279) 3-(0.273908,0.625998) 4-(0.275531,0.538056) 5-(0.278064,0.642971) 6-(0.285761,0.538538) 7-(0.289417,0.464682) 8-(0.289239,0.392837) 9-(0.240218,0.654217) 10-(0.223153,0.557741) 11-(0.203546,0.494988) 12-(0.188386,0.431934) 13-(0.206062,0.686893) 14-(0.195278,0.670722) 15-(0.211449,0.750367) 16-(0.226075,0.795305) 17-(0.176337,0.739206) 18-(0.164566,0.725908) 19-(0.183699,0.787926) 20-(0.200387,0.822826) 
