0#
33333#0-(0,0) 1-(0,0) 2-(0,0) 3-(0,0) 4-(0,0) 5-(0,0) 6-(0,0) 7-(0,0) 8-(0,0) 9-(0,0) 10-(0,0) 11-(0,0) 12-(0,0) 13-(0,0) 14-(0,0) 15-(0,0) 16-(0,0) 17-(0,0) 18-(0,0) 19-(0,0) 20-(0,0) 
66666#0-(0,0) 1-(0,0) 2-(0,0) 3-(0,0) 4-(0,0) 5-(0,0) 6-(0,0) 7-(0,0) 8-(0,0) 9-(0,0) 10-(0,0) 11-(0,0) 12-(0,0) 13-(0,0) 14-(0,0) 15-(0,0) 16-(0,0) 17-(0,0) 18-(0,0) 19-(0,0) 20-(0,0) 
100000#0-(0.178753,0.855494) 1-(0.24674,0.929199) 2-(0.28844,0.959934) 3-(0.325851,0.973956) 4-(0.366765,0.977496) 5-(0.22539,0.887733) 6-(0.221914,0.861455) 7-(0.215845,0.87691) 8-(0.205397,0.909801) 9-(0.178704,0.885544) 10-(0.161276,0.918042) 11-(0.162975,1.00881) 12-(0.166946,1.09109) 13-(0.138306,0.889328) 14-(0.112749,0.939329) 15-(0.110905,1.01221) 16-(0.120349,1.07582) 17-(0.104848,0.887226) 18-(0.0795518,0.918782) 19-(0.0682563,0.963899) 20-(0.0713708,1.00385) 
133333#0-(0.15748,0.961815) 1-(0.224975,0.992521) 2-(0.286039,0.949012) 3-(0.326033,0.910581) 4-(0.374261,0.882819) 5-(0.232709,0.798504) 6-(0.216014,0.698956) 7-(0.197465,0.646102) 8-(0.180341,0.618864) 9-(0.178773,0.7891) 10-(0.169578,0.856138) 11-(0.174856,0.994841) 12-(0.181315,1.08721) 13-(0.131965,0.819704) 14-(0.123591,0.944896) 15-(0.133646,1.05993) 16-(0.147926,1.12468) 17-(0.0933998,0.865554) 18-(0.0783159,0.961997) 19-(0.0733418,1.03692) 20-(0.074842,1.07578) 
166666#0-(0.131434,0.964469) 1-(0.218438,0.961976) 2-(0.282299,0.918795) 3-(0.334484,0.864207) 4-(0.383701,0.82234) 5-(0.232969,0.786786) 6-(0.229758,0.654454) 7-(0.222663,0.588175) 8-(0.214055,0.550236) 9-(0.17852,0.780732) 10-(0.164442,0.76293) 11-(0.169698,0.886858) 12-(0.180595,0.984244) 13-(0.131036,0.808317) 14-(0.10879,0.842273) 15-(0.110076,0.949945) 16-(0.122638,1.02647) 17-(0.0896592,0.84829) 18-(0.058839,0.894695) 19-(0.0564242,0.973678) 20-(0.0682361,1.03113) 
200000#0-(0.14703,0.959972) 1-(0.22656,0.945521) 2-(0.295427,0.864785) 3-(0.340797,0.800178) 4-(0.400223,0.76385) 5-(0.240776,0.687912) 6-(0.2249,0.567957) 7-(0.21329,0.498943) 8-(0.202531,0.451907) 9-(0.182734,0.695857) 10-(0.177632,0.738347) 11-(0.189026,0.874119) 12-(0.199836,0.946308) 13-(0.132053,0.73334) 14-(0.12964,0.792606) 15-(0.14638,0.909403) 16-(0.15793,0.970086) 17-(0.090002,0.787298) 18-(0.0795803,0.82526) 19-(0.0897726,0.905762) 20-(0.0965999,0.949952) 
233333#0-(0.164488,0.96573) 1-(0.239945,0.928845) 2-(0.301347,0.822303) 3-(0.343294,0.748151) 4-(0.399268,0.70903) 5-(0.248893,0.657366) 6-(0.227951,0.513487) 7-(0.220279,0.440948) 8-(0.210549,0.395326) 9-(0.189099,0.67715) 10-(0.18367,0.686265) 11-(0.198389,0.806336) 12-(0.205305,0.851345) 13-(0.136645,0.715719) 14-(0.132103,0.736546) 15-(0.154834,0.834398) 16-(0.16908,0.868654) 17-(0.0934034,0.765126) 18-(0.0812263,0.785458) 19-(0.100437,0.862398) 20-(0.11392,0.891145) 
266666#0-(0.166249,0.961075) 1-(0.238978,0.909562) 2-(0.298872,0.783324) 3-(0.346666,0.703356) 4-(0.408518,0.665888) 5-(0.245923,0.613001) 6-(0.233283,0.457557) 7-(0.239142,0.390708) 8-(0.241817,0.350442) 9-(0.190791,0.637661) 10-(0.201477,0.637223) 11-(0.212772,0.761547) 12-(0.210555,0.796453) 13-(0.140321,0.678777) 14-(0.143223,0.695725) 15-(0.163019,0.79928) 16-(0.170539,0.822494) 17-(0.0950031,0.720782) 18-(0.0878082,0.733994) 19-(0.109602,0.812985) 20-(0.120202,0.830072) 
300000#0-(0.191578,1.10006) 1-(0.261771,0.925136) 2-(0.310816,0.774238) 3-(0.358224,0.678192) 4-(0.423008,0.639828) 5-(0.241953,0.581187) 6-(0.220793,0.40349) 7-(0.227938,0.349357) 8-(0.236553,0.330004) 9-(0.189721,0.612995) 10-(0.189927,0.558088) 11-(0.203787,0.692235) 12-(0.202245,0.760922) 13-(0.149821,0.664392) 14-(0.141243,0.630679) 15-(0.163215,0.746099) 16-(0.170493,0.798425) 17-(0.114202,0.721868) 18-(0.102457,0.688232) 19-(0.122418,0.75589) 20-(0.12954,0.791827) 
333333#0-(0.176912,0.92098) 1-(0.248255,0.847328) 2-(0.304855,0.723216) 3-(0.355197,0.640993) 4-(0.417557,0.610576) 5-(0.251061,0.545624) 6-(0.248853,0.383988) 7-(0.257918,0.319578) 8-(0.261896,0.273567) 9-(0.199428,0.563189) 10-(0.221928,0.546751) 11-(0.228841,0.684407) 12-(0.221845,0.722995) 13-(0.152006,0.598947) 14-(0.167337,0.613679) 15-(0.181364,0.732869) 16-(0.179532,0.755574) 17-(0.104716,0.634561) 18-(0.111297,0.632242) 19-(0.131464,0.715939) 20-(0.133137,0.73249) 
