0#0-(0.203687,0.988974) 1-(0.285328,0.923992) 2-(0.338703,0.830218) 3-(0.374362,0.750595) 4-(0.407376,0.674365) 5-(0.270962,0.635921) 6-(0.260574,0.486868) 7-(0.251835,0.399475) 8-(0.238789,0.322066) 9-(0.221653,0.649083) 10-(0.213559,0.507197) 11-(0.229931,0.608891) 12-(0.23865,0.683695) 13-(0.174859,0.676876) 14-(0.161021,0.551858) 15-(0.18338,0.648392) 16-(0.192745,0.713228) 17-(0.127831,0.717872) 18-(0.113244,0.616764) 19-(0.134082,0.658402) 20-(0.146054,0.701875) 
33333#0-(0.203491,0.777772) 1-(0.26201,0.714992) 2-(0.285732,0.629226) 3-(0.28856,0.575379) 4-(0.287934,0.523883) 5-(0.236046,0.517171) 6-(0.249146,0.441333) 7-(0.263599,0.462973) 8-(0.262541,0.489377) 9-(0.189888,0.539374) 10-(0.202611,0.527472) 11-(0.217615,0.626884) 12-(0.217673,0.6808) 13-(0.150526,0.582755) 14-(0.16186,0.578265) 15-(0.182001,0.669999) 16-(0.186546,0.710425) 17-(0.114157,0.635788) 18-(0.106647,0.6239) 19-(0.115467,0.672991) 20-(0.114223,0.692466) 
66666#0-(0.191679,0.74166) 1-(0.246327,0.698565) 2-(0.281072,0.645416) 3-(0.285779,0.616375) 4-(0.273506,0.581889) 5-(0.250843,0.540833) 6-(0.257631,0.488369) 7-(0.256386,0.459977) 8-(0.248056,0.435433) 9-(0.204369,0.552209) 10-(0.199261,0.543694) 11-(0.208082,0.621) 12-(0.211959,0.668096) 13-(0.163358,0.590125) 14-(0.155123,0.580719) 15-(0.166834,0.652817) 16-(0.175194,0.689561) 17-(0.125754,0.638393) 18-(0.108575,0.631957) 19-(0.116657,0.685089) 20-(0.126358,0.712216) 21-(0.201722,0.988839) 22-(0.280025,0.928006) 23-(0.332654,0.826148) 24-(0.368188,0.737847) 25-(0.407078,0.664588) 26-(0.272166,0.635562) 27-(0.258222,0.493126) 28-(0.245287,0.41081) 29-(0.230177,0.33204) 30-(0.221046,0.644758) 31-(0.213444,0.522331) 32-(0.226628,0.633735) 33-(0.234553,0.696556) 34-(0.17289,0.671331) 35-(0.160432,0.557493) 36-(0.179274,0.660244) 37-(0.18805,0.71493) 38-(0.12495,0.712327) 39-(0.113614,0.620513) 40-(0.131855,0.672771) 41-(0.141442,0.712631) 
100000#0-(0.203415,0.743586) 1-(0.2502,0.68187) 2-(0.274581,0.634127) 3-(0.271685,0.603222) 4-(0.260434,0.578537) 5-(0.250527,0.57344) 6-(0.244979,0.498428) 7-(0.24704,0.519919) 8-(0.24459,0.527628) 9-(0.203876,0.605532) 10-(0.187709,0.543204) 11-(0.197439,0.617982) 12-(0.203912,0.655793) 13-(0.161365,0.654344) 14-(0.142563,0.598079) 15-(0.158884,0.666859) 16-(0.171066,0.703965) 17-(0.12434,0.70153) 18-(0.0997386,0.671425) 19-(0.106312,0.705216) 20-(0.112675,0.720302) 21-(0.205303,1.02474) 22-(0.27933,0.945027) 23-(0.328061,0.832947) 24-(0.36377,0.732924) 25-(0.410512,0.660976) 26-(0.272309,0.66239) 27-(0.260872,0.521118) 28-(0.248336,0.438203) 29-(0.232475,0.35518) 30-(0.221688,0.670075) 31-(0.211358,0.544392) 32-(0.222494,0.665421) 33-(0.231137,0.727794) 34-(0.173061,0.695279) 35-(0.156566,0.569288) 36-(0.174872,0.681252) 37-(0.186306,0.739238) 38-(0.125079,0.737154) 39-(0.108189,0.635661) 40-(0.126185,0.694448) 41-(0.139442,0.736673) 
133333#0-(0.201107,0.734876) 1-(0.243542,0.688286) 2-(0.264707,0.639558) 3-(0.264598,0.591145) 4-(0.25282,0.537865) 5-(0.248109,0.578801) 6-(0.249403,0.512904) 7-(0.252266,0.513588) 8-(0.250143,0.506757) 9-(0.206409,0.600774) 10-(0.195616,0.564856) 11-(0.205825,0.633078) 12-(0.212901,0.671477) 13-(0.167635,0.64336) 14-(0.152819,0.620572) 15-(0.166795,0.682567) 16-(0.175372,0.714647) 17-(0.131152,0.690855) 18-(0.110999,0.687374) 19-(0.12008,0.732304) 20-(0.127844,0.751075) 21-(0.205714,1.04232) 22-(0.278915,0.959406) 23-(0.328035,0.85084) 24-(0.365206,0.741125) 25-(0.412156,0.658863) 26-(0.278847,0.676961) 27-(0.267193,0.532154) 28-(0.256051,0.447132) 29-(0.242639,0.357574) 30-(0.226108,0.681037) 31-(0.209919,0.554185) 32-(0.215879,0.66907) 33-(0.222835,0.726329) 34-(0.175472,0.705808) 35-(0.154169,0.577922) 36-(0.167879,0.678122) 37-(0.178469,0.726969) 38-(0.127056,0.750244) 39-(0.103323,0.649715) 40-(0.117932,0.693258) 41-(0.131866,0.725123) 
166666#0-(0.205207,0.708848) 1-(0.243599,0.659264) 2-(0.262395,0.61974) 3-(0.250157,0.582812) 4-(0.22474,0.541692) 5-(0.246378,0.567223) 6-(0.245929,0.512401) 7-(0.245139,0.481387) 8-(0.238527,0.456277) 9-(0.204681,0.588313) 10-(0.184613,0.568071) 11-(0.195987,0.622742) 12-(0.207002,0.665453) 13-(0.165134,0.631755) 14-(0.144788,0.623805) 15-(0.161182,0.678469) 16-(0.175643,0.716123) 17-(0.129096,0.676781) 18-(0.106528,0.692546) 19-(0.116222,0.736248) 20-(0.1266,0.758586) 21-(0.205215,1.04322) 22-(0.280339,0.958108) 23-(0.331077,0.851415) 24-(0.368529,0.744496) 25-(0.413254,0.662565) 26-(0.275393,0.671316) 27-(0.26456,0.529143) 28-(0.25408,0.444613) 29-(0.241803,0.355809) 30-(0.222519,0.680595) 31-(0.20956,0.567224) 32-(0.218836,0.683652) 33-(0.228557,0.730714) 34-(0.172366,0.708423) 35-(0.153636,0.592388) 36-(0.170548,0.696193) 37-(0.183107,0.73909) 38-(0.124011,0.751409) 39-(0.102862,0.659729) 40-(0.119905,0.712207) 41-(0.134912,0.744098) 
200000#0-(0.216351,0.698759) 1-(0.237958,0.668076) 2-(0.245256,0.641699) 3-(0.234935,0.608702) 4-(0.219925,0.581564) 5-(0.223585,0.562705) 6-(0.221638,0.553507) 7-(0.229616,0.599043) 8-(0.230841,0.628013) 9-(0.1934,0.596461) 10-(0.183251,0.601783) 11-(0.204324,0.660632) 12-(0.216162,0.690194) 13-(0.166144,0.64119) 14-(0.15272,0.655654) 15-(0.180397,0.714196) 16-(0.199363,0.73805) 17-(0.142986,0.686183) 18-(0.116186,0.698763) 19-(0.119525,0.702877) 20-(0.122268,0.689568) 21-(0.206378,1.05079) 22-(0.278144,0.963883) 23-(0.327766,0.848693) 24-(0.363944,0.738466) 25-(0.412503,0.660135) 26-(0.277648,0.673209) 27-(0.265381,0.523232) 28-(0.253967,0.440701) 29-(0.240005,0.351678) 30-(0.224632,0.682082) 31-(0.214498,0.574292) 32-(0.226252,0.707907) 33-(0.234636,0.747572) 34-(0.173303,0.710128) 35-(0.157331,0.595395) 36-(0.177369,0.711953) 37-(0.188958,0.747508) 38-(0.122857,0.754439) 39-(0.104897,0.660589) 40-(0.124479,0.72364) 41-(0.138773,0.752421) 
233333#0-(0.180191,0.715795) 1-(0.213889,0.705079) 2-(0.244909,0.687225) 3-(0.250568,0.669017) 4-(0.248973,0.647167) 5-(0.22139,0.579065) 6-(0.239687,0.623574) 7-(0.241771,0.683837) 8-(0.237915,0.702987) 9-(0.186126,0.580043) 10-(0.198805,0.648109) 11-(0.208034,0.691782) 12-(0.205623,0.682146) 13-(0.155135,0.605617) 14-(0.160909,0.678098) 15-(0.168279,0.719144) 16-(0.165678,0.71238) 17-(0.127865,0.647458) 18-(0.128664,0.696841) 19-(0.1336,0.719741) 20-(0.133635,0.717064) 21-(0.208187,1.04957) 22-(0.279789,0.956281) 23-(0.32944,0.83734) 24-(0.365579,0.729847) 25-(0.415733,0.662048) 26-(0.274519,0.664465) 27-(0.260588,0.516789) 28-(0.249812,0.437425) 29-(0.236543,0.350431) 30-(0.221381,0.673386) 31-(0.215118,0.575378) 32-(0.230532,0.712665) 33-(0.236941,0.741545) 34-(0.169545,0.703531) 35-(0.156928,0.598796) 36-(0.180462,0.718916) 37-(0.1899,0.743735) 38-(0.117482,0.747912) 39-(0.103262,0.658529) 40-(0.124918,0.726078) 41-(0.137017,0.749397) 
266666#0-(0.19649,0.728124) 1-(0.232728,0.710528) 2-(0.246432,0.70269) 3-(0.228584,0.711836) 4-(0.210429,0.721853) 5-(0.228477,0.56138) 6-(0.231665,0.650378) 7-(0.224078,0.720729) 8-(0.213919,0.752306) 9-(0.191163,0.56449) 10-(0.195844,0.691512) 11-(0.198443,0.753932) 12-(0.193526,0.763455) 13-(0.159235,0.599695) 14-(0.164838,0.725829) 15-(0.172002,0.774271) 16-(0.169621,0.777467) 17-(0.132293,0.647593) 18-(0.139295,0.749736) 19-(0.147975,0.786071) 20-(0.14889,0.78438) 21-(0.195813,1.04684) 22-(0.27325,0.956805) 23-(0.325226,0.834433) 24-(0.359273,0.72283) 25-(0.40898,0.648672) 26-(0.274922,0.661029) 27-(0.256802,0.511882) 28-(0.243789,0.435767) 29-(0.229127,0.35283) 30-(0.220676,0.671698) 31-(0.216257,0.59047) 32-(0.233974,0.734623) 33-(0.241954,0.75488) 34-(0.168412,0.702278) 35-(0.159073,0.612644) 36-(0.183308,0.739058) 37-(0.193875,0.756632) 38-(0.115134,0.743761) 39-(0.105446,0.655364) 40-(0.126994,0.732255) 41-(0.138108,0.75371) 
300000#0-(0.190971,0.694716) 1-(0.226086,0.697677) 2-(0.247526,0.696081) 3-(0.238243,0.702169) 4-(0.227743,0.707689) 5-(0.232605,0.596327) 6-(0.232024,0.682236) 7-(0.223358,0.74684) 8-(0.214953,0.778919) 9-(0.198107,0.601025) 10-(0.196677,0.712515) 11-(0.196192,0.773844) 12-(0.192251,0.791851) 13-(0.168603,0.625546) 14-(0.169049,0.731802) 15-(0.175885,0.775907) 16-(0.176797,0.78018) 17-(0.14308,0.659282) 18-(0.146867,0.73376) 19-(0.157225,0.765368) 20-(0.161626,0.767847) 21-(0.21298,1.04246) 22-(0.281203,0.953449) 23-(0.327641,0.833461) 24-(0.359864,0.720327) 25-(0.407947,0.64741) 26-(0.276086,0.66377) 27-(0.258189,0.516047) 28-(0.246854,0.43744) 29-(0.233006,0.354202) 30-(0.22205,0.674453) 31-(0.220025,0.601046) 32-(0.233187,0.745932) 33-(0.237803,0.771522) 34-(0.170775,0.703192) 35-(0.163474,0.625852) 36-(0.184485,0.755046) 37-(0.192657,0.778724) 38-(0.118099,0.741502) 39-(0.108834,0.667867) 40-(0.13027,0.746255) 41-(0.140286,0.768129) 
333333#0-(0.209706,0.736743) 1-(0.233085,0.726942) 2-(0.23987,0.712523) 3-(0.230698,0.706744) 4-(0.228881,0.714628) 5-(0.232273,0.598755) 6-(0.215286,0.67629) 7-(0.211182,0.732982) 8-(0.210494,0.767577) 9-(0.203702,0.597818) 10-(0.19162,0.69637) 11-(0.195251,0.752432) 12-(0.198312,0.775556) 13-(0.180055,0.615205) 14-(0.173471,0.707543) 15-(0.182173,0.758535) 16-(0.186835,0.77697) 17-(0.159583,0.640636) 18-(0.155816,0.708641) 19-(0.163571,0.749913) 20-(0.16755,0.765634) 21-(0.198374,1.03926) 22-(0.268945,0.956523) 23-(0.32102,0.825744) 24-(0.356071,0.718725) 25-(0.407844,0.646513) 26-(0.272843,0.657594) 27-(0.254924,0.517319) 28-(0.243914,0.441215) 29-(0.229672,0.357041) 30-(0.217935,0.669061) 31-(0.218792,0.600985) 32-(0.237349,0.746913) 33-(0.242006,0.768804) 34-(0.165765,0.702628) 35-(0.162018,0.636509) 36-(0.187393,0.764795) 37-(0.194621,0.779872) 38-(0.112881,0.746768) 39-(0.10829,0.679826) 40-(0.132735,0.76253) 41-(0.141006,0.779376) 
