0#0-(0.386478,0.578591) 1-(0.423708,0.557267) 2-(0.440021,0.493698) 3-(0.427087,0.452376) 4-(0.410615,0.433665) 5-(0.424724,0.430893) 6-(0.440407,0.37046) 7-(0.449722,0.39093) 8-(0.451521,0.423178) 9-(0.398388,0.422217) 10-(0.411711,0.348401) 11-(0.42224,0.395747) 12-(0.424703,0.442921) 13-(0.371863,0.433019) 14-(0.382226,0.353728) 15-(0.397004,0.40778) 16-(0.401432,0.457819) 17-(0.34399,0.454529) 18-(0.362477,0.413619) 19-(0.380857,0.456035) 20-(0.387348,0.493667) 
33333#0-(0.386314,0.575858) 1-(0.422422,0.56191) 2-(0.441051,0.505974) 3-(0.432121,0.472114) 4-(0.418788,0.461037) 5-(0.424234,0.424078) 6-(0.438899,0.364181) 7-(0.449119,0.381359) 8-(0.451406,0.412633) 9-(0.397982,0.416531) 10-(0.408941,0.346197) 11-(0.422398,0.398306) 12-(0.425811,0.447172) 13-(0.371891,0.43141) 14-(0.379222,0.358838) 15-(0.396838,0.418954) 16-(0.402468,0.47055) 17-(0.344511,0.458891) 18-(0.357094,0.419674) 19-(0.376244,0.4594) 20-(0.383545,0.495145) 
66666#0-(0.385837,0.585124) 1-(0.423591,0.566709) 2-(0.442037,0.506753) 3-(0.434307,0.466917) 4-(0.423343,0.450868) 5-(0.423731,0.432444) 6-(0.4395,0.371234) 7-(0.44976,0.390135) 8-(0.452156,0.421544) 9-(0.397809,0.423279) 10-(0.409743,0.348117) 11-(0.422917,0.396506) 12-(0.426302,0.444673) 13-(0.371449,0.434979) 14-(0.381314,0.35648) 15-(0.398067,0.414506) 16-(0.402667,0.467932) 17-(0.343686,0.458949) 18-(0.359736,0.415538) 19-(0.377464,0.457727) 20-(0.383476,0.497051) 
100000#0-(0.385538,0.586039) 1-(0.423623,0.569436) 2-(0.443771,0.511628) 3-(0.43575,0.471775) 4-(0.422701,0.455294) 5-(0.424797,0.434789) 6-(0.441915,0.37242) 7-(0.452793,0.387992) 8-(0.455171,0.418439) 9-(0.398483,0.425065) 10-(0.412122,0.348238) 11-(0.424626,0.396918) 12-(0.427572,0.445857) 13-(0.371702,0.436492) 14-(0.381834,0.357745) 15-(0.398125,0.416519) 16-(0.402631,0.469967) 17-(0.343287,0.461137) 18-(0.359031,0.420458) 19-(0.377647,0.463158) 20-(0.384485,0.501422) 
133333#0-(0.386864,0.589983) 1-(0.424147,0.573953) 2-(0.44298,0.510014) 3-(0.431481,0.467319) 4-(0.416428,0.451794) 5-(0.427649,0.438479) 6-(0.444871,0.375189) 7-(0.45532,0.400219) 8-(0.457329,0.435197) 9-(0.401571,0.426912) 10-(0.416537,0.355511) 11-(0.427639,0.410085) 12-(0.428924,0.459646) 13-(0.374723,0.437015) 14-(0.386254,0.361393) 15-(0.401028,0.420879) 16-(0.404087,0.475008) 17-(0.345977,0.461353) 18-(0.363856,0.422871) 19-(0.382132,0.464784) 20-(0.38744,0.502453) 
166666#0-(0.38633,0.584275) 1-(0.424162,0.573395) 2-(0.44461,0.518483) 3-(0.43619,0.481051) 4-(0.422433,0.471043) 5-(0.429277,0.441824) 6-(0.442745,0.378739) 7-(0.450352,0.404249) 8-(0.45101,0.440254) 9-(0.402637,0.430196) 10-(0.415208,0.361537) 11-(0.424159,0.414116) 12-(0.425078,0.463159) 13-(0.37464,0.439948) 14-(0.384664,0.368033) 15-(0.39763,0.426056) 16-(0.400759,0.479995) 17-(0.344559,0.462853) 18-(0.35892,0.424147) 19-(0.374721,0.460772) 20-(0.380066,0.496171) 
200000#0-(0.389728,0.603854) 1-(0.427696,0.584913) 2-(0.445446,0.521318) 3-(0.436244,0.477616) 4-(0.425471,0.456639) 5-(0.429131,0.452506) 6-(0.443665,0.38679) 7-(0.45134,0.416394) 8-(0.451872,0.454967) 9-(0.403242,0.441089) 10-(0.416485,0.367216) 11-(0.426343,0.423431) 12-(0.427321,0.474154) 13-(0.375585,0.450158) 14-(0.38579,0.371259) 15-(0.39973,0.43116) 16-(0.402786,0.486744) 17-(0.345721,0.472387) 18-(0.360621,0.43045) 19-(0.378801,0.469836) 20-(0.38556,0.507495) 
233333#0-(0.389506,0.603323) 1-(0.424401,0.590636) 2-(0.44536,0.532549) 3-(0.440616,0.494915) 4-(0.432532,0.481013) 5-(0.426101,0.455308) 6-(0.443339,0.384694) 7-(0.451396,0.418446) 8-(0.450946,0.45976) 9-(0.400941,0.4464) 10-(0.416389,0.36915) 11-(0.425524,0.425315) 12-(0.426162,0.473055) 13-(0.37431,0.456568) 14-(0.386667,0.382111) 15-(0.39956,0.440098) 16-(0.402353,0.491681) 17-(0.345204,0.477965) 18-(0.361485,0.436171) 19-(0.377928,0.475653) 20-(0.383592,0.512277) 
266666#0-(0.392709,0.602087) 1-(0.428055,0.589952) 2-(0.447371,0.535418) 3-(0.441392,0.50053) 4-(0.433192,0.488852) 5-(0.428689,0.456327) 6-(0.444523,0.390257) 7-(0.451608,0.421638) 8-(0.450747,0.459983) 9-(0.402825,0.4471) 10-(0.416717,0.374823) 11-(0.424942,0.428361) 12-(0.424952,0.474244) 13-(0.375443,0.458069) 14-(0.386425,0.384787) 15-(0.398751,0.442375) 16-(0.401327,0.493609) 17-(0.345844,0.480774) 18-(0.361786,0.440143) 19-(0.377417,0.479383) 20-(0.382813,0.515889) 
300000#0-(0.392367,0.600407) 1-(0.427723,0.588949) 2-(0.448729,0.533165) 3-(0.442241,0.495531) 4-(0.430506,0.484496) 5-(0.432736,0.45086) 6-(0.444917,0.386158) 7-(0.453098,0.417384) 8-(0.453421,0.455696) 9-(0.40566,0.443163) 10-(0.417029,0.372155) 11-(0.427097,0.426309) 12-(0.428431,0.471416) 13-(0.377716,0.455743) 14-(0.386276,0.385195) 15-(0.400843,0.443493) 16-(0.405257,0.494184) 17-(0.347991,0.480657) 18-(0.361668,0.441828) 19-(0.378001,0.478903) 20-(0.383987,0.51355) 
333333#0-(0.393261,0.600308) 1-(0.429011,0.586737) 2-(0.449605,0.527754) 3-(0.442432,0.489231) 4-(0.430793,0.479712) 5-(0.433788,0.447333) 6-(0.447376,0.385906) 7-(0.454578,0.418019) 8-(0.454634,0.456547) 9-(0.406593,0.439893) 10-(0.417954,0.371212) 11-(0.4274,0.425139) 12-(0.429063,0.470058) 13-(0.378634,0.453054) 14-(0.387252,0.384048) 15-(0.401514,0.442351) 16-(0.405801,0.49368) 17-(0.348996,0.478833) 18-(0.36235,0.440376) 19-(0.378443,0.478708) 20-(0.383945,0.51421) 
