0#0-(0.37414,0.629506) 1-(0.411938,0.617602) 2-(0.432023,0.499854) 3-(0.408988,0.427918) 4-(0.377457,0.380463) 5-(0.395682,0.379855) 6-(0.420012,0.286727) 7-(0.435226,0.218066) 8-(0.450703,0.145561) 9-(0.362386,0.384931) 10-(0.378884,0.269447) 11-(0.397387,0.181406) 12-(0.413557,0.0953094) 13-(0.332416,0.420047) 14-(0.358776,0.343674) 15-(0.388859,0.315981) 16-(0.408543,0.295241) 17-(0.307386,0.471934) 18-(0.343416,0.449929) 19-(0.377625,0.495903) 20-(0.39748,0.545554) 
33333#0-(0.377251,0.614162) 1-(0.414537,0.607223) 2-(0.434352,0.487951) 3-(0.409317,0.417128) 4-(0.376836,0.371808) 5-(0.403159,0.375166) 6-(0.426307,0.280306) 7-(0.444113,0.21716) 8-(0.462856,0.152094) 9-(0.370367,0.37105) 10-(0.390889,0.25207) 11-(0.413687,0.172072) 12-(0.433233,0.10051) 13-(0.338555,0.399969) 14-(0.358764,0.30988) 15-(0.383558,0.254929) 16-(0.402552,0.214739) 17-(0.310302,0.449733) 18-(0.345817,0.431126) 19-(0.379097,0.477246) 20-(0.398639,0.524255) 
66666#0-(0.377964,0.61194) 1-(0.416482,0.600712) 2-(0.431355,0.471309) 3-(0.400302,0.395603) 4-(0.366205,0.347771) 5-(0.404104,0.375706) 6-(0.428013,0.283452) 7-(0.445574,0.22175) 8-(0.464028,0.157814) 9-(0.37108,0.368289) 10-(0.395365,0.254861) 11-(0.418518,0.17988) 12-(0.437949,0.113867) 13-(0.338326,0.391947) 14-(0.357932,0.296117) 15-(0.380942,0.242566) 16-(0.397626,0.203885) 17-(0.309209,0.436141) 18-(0.346321,0.416154) 19-(0.379393,0.4698) 20-(0.397884,0.522587) 
100000#0-(0.374565,0.608478) 1-(0.414293,0.592797) 2-(0.431537,0.468002) 3-(0.399922,0.396354) 4-(0.365461,0.355754) 5-(0.403508,0.375764) 6-(0.426557,0.287085) 7-(0.443954,0.228647) 8-(0.462567,0.16559) 9-(0.371388,0.369198) 10-(0.395917,0.258436) 11-(0.416834,0.185413) 12-(0.435641,0.117378) 13-(0.339485,0.392406) 14-(0.359554,0.294223) 15-(0.381126,0.240598) 16-(0.399657,0.201354) 17-(0.310459,0.436286) 18-(0.345591,0.409343) 19-(0.377062,0.45737) 20-(0.397068,0.506993) 
133333#0-(0.375465,0.604334) 1-(0.410586,0.583376) 2-(0.429559,0.451167) 3-(0.398798,0.376489) 4-(0.368063,0.33602) 5-(0.401646,0.37685) 6-(0.420949,0.300468) 7-(0.442268,0.242905) 8-(0.464165,0.185746) 9-(0.370881,0.371837) 10-(0.392864,0.282477) 11-(0.417165,0.219324) 12-(0.439208,0.164249) 13-(0.341018,0.391731) 14-(0.366574,0.312007) 15-(0.39836,0.313139) 16-(0.421143,0.324356) 17-(0.313596,0.432768) 18-(0.345379,0.398449) 19-(0.373863,0.451036) 20-(0.390643,0.50228) 
166666#0-(0.378601,0.599268) 1-(0.412764,0.571301) 2-(0.42977,0.431918) 3-(0.400403,0.356513) 4-(0.371928,0.316872) 5-(0.400096,0.375576) 6-(0.414136,0.309039) 7-(0.43596,0.27158) 8-(0.459372,0.246597) 9-(0.370112,0.374777) 10-(0.387737,0.291225) 11-(0.413936,0.261423) 12-(0.43782,0.248939) 13-(0.341219,0.393358) 14-(0.359154,0.305948) 15-(0.386587,0.303153) 16-(0.407199,0.309239) 17-(0.315345,0.42987) 18-(0.341813,0.389632) 19-(0.36569,0.442756) 20-(0.378852,0.486977) 
200000#0-(0.372711,0.5943) 1-(0.412371,0.567773) 2-(0.432764,0.44022) 3-(0.40096,0.371861) 4-(0.36553,0.334614) 5-(0.399723,0.36578) 6-(0.409865,0.286856) 7-(0.43358,0.289303) 8-(0.454837,0.317044) 9-(0.367561,0.36622) 10-(0.379072,0.275318) 11-(0.411429,0.274534) 12-(0.43501,0.301102) 13-(0.338017,0.387499) 14-(0.356803,0.297419) 15-(0.388922,0.306312) 16-(0.409462,0.330517) 17-(0.312128,0.423833) 18-(0.340793,0.382206) 19-(0.364168,0.436735) 20-(0.372762,0.482947) 
233333#0-(0.380828,0.573824) 1-(0.414639,0.542792) 2-(0.425766,0.433326) 3-(0.396652,0.375834) 4-(0.369689,0.352713) 5-(0.397041,0.363579) 6-(0.404358,0.299272) 7-(0.428812,0.311294) 8-(0.448121,0.344124) 9-(0.368058,0.367576) 10-(0.374303,0.281545) 11-(0.403894,0.299933) 12-(0.423046,0.335747) 13-(0.340049,0.39197) 14-(0.348953,0.30532) 15-(0.380726,0.338159) 16-(0.396667,0.381227) 17-(0.315239,0.431444) 18-(0.337172,0.390946) 19-(0.366021,0.437511) 20-(0.377689,0.48011) 
266666#0-(0.387254,0.578501) 1-(0.427079,0.541507) 2-(0.43541,0.438026) 3-(0.399959,0.391823) 4-(0.370098,0.383703) 5-(0.407321,0.360928) 6-(0.413032,0.279527) 7-(0.433987,0.317789) 8-(0.444541,0.36634) 9-(0.376635,0.366845) 10-(0.379633,0.270584) 11-(0.406666,0.321556) 12-(0.417313,0.373917) 13-(0.345093,0.394208) 14-(0.347954,0.302486) 15-(0.378023,0.351937) 16-(0.388041,0.401471) 17-(0.315378,0.436011) 18-(0.337646,0.394645) 19-(0.370375,0.43653) 20-(0.381932,0.472181) 
300000#0-(0.37855,0.584549) 1-(0.4185,0.557689) 2-(0.434442,0.463832) 3-(0.412619,0.415704) 4-(0.39068,0.393334) 5-(0.407382,0.369178) 6-(0.4164,0.279589) 7-(0.438277,0.319843) 8-(0.446543,0.371903) 9-(0.377452,0.367278) 10-(0.385785,0.264391) 11-(0.415042,0.321971) 12-(0.422738,0.380093) 13-(0.346703,0.387198) 14-(0.354242,0.288249) 15-(0.384318,0.340571) 16-(0.392227,0.395839) 17-(0.316394,0.420344) 18-(0.341321,0.376981) 19-(0.372056,0.421995) 20-(0.381545,0.462013) 
