0#0-(0.350212,0.891509) 1-(0.374106,0.826738) 2-(0.372619,0.747463) 3-(0.345106,0.731328) 4-(0.308806,0.745507) 5-(0.285574,0.640503) 6-(0.234412,0.563396) 7-(0.239114,0.591064) 8-(0.249837,0.615907) 9-(0.257828,0.695615) 10-(0.219323,0.646102) 11-(0.248623,0.697483) 12-(0.270154,0.723816) 13-(0.244034,0.763126) 14-(0.211839,0.737881) 15-(0.242753,0.774112) 16-(0.267885,0.790422) 17-(0.243437,0.836608) 18-(0.219542,0.821612) 19-(0.24755,0.834538) 20-(0.270543,0.836277) 
33333#0-(0.372997,0.772836) 1-(0.400196,0.724321) 2-(0.391037,0.62447) 3-(0.354589,0.587679) 4-(0.324211,0.569066) 5-(0.339753,0.529942) 6-(0.335261,0.44853) 7-(0.335871,0.375892) 8-(0.340049,0.302712) 9-(0.308489,0.563793) 10-(0.307933,0.49386) 11-(0.326308,0.487845) 12-(0.340083,0.484174) 13-(0.287083,0.615717) 14-(0.298012,0.578268) 15-(0.321978,0.611386) 16-(0.33234,0.636114) 17-(0.274781,0.680824) 18-(0.286842,0.65828) 19-(0.313513,0.674283) 20-(0.325064,0.691529) 
66666#0-(0.382444,0.720802) 1-(0.414479,0.682549) 2-(0.413769,0.597885) 3-(0.373822,0.563882) 4-(0.339958,0.55372) 5-(0.377929,0.50131) 6-(0.378037,0.407882) 7-(0.380568,0.340263) 8-(0.382914,0.281493) 9-(0.343646,0.520091) 10-(0.33855,0.419694) 11-(0.343704,0.351948) 12-(0.346039,0.29238) 13-(0.315783,0.567318) 14-(0.313241,0.518767) 15-(0.344406,0.567411) 16-(0.362479,0.602236) 17-(0.295655,0.633747) 18-(0.295982,0.60235) 19-(0.32367,0.632401) 20-(0.340133,0.662171) 
100000#0-(0.388442,0.710348) 1-(0.424927,0.673712) 2-(0.433409,0.566031) 3-(0.402638,0.490609) 4-(0.37804,0.443388) 5-(0.408646,0.488771) 6-(0.413175,0.403593) 7-(0.414518,0.344312) 8-(0.415442,0.287241) 9-(0.372522,0.492247) 10-(0.37229,0.399378) 11-(0.380188,0.334055) 12-(0.390418,0.280528) 13-(0.338075,0.522496) 14-(0.338527,0.46797) 15-(0.358482,0.531506) 16-(0.368194,0.584748) 17-(0.306304,0.575326) 18-(0.307091,0.524777) 19-(0.329493,0.570714) 20-(0.342016,0.616893) 
133333#0-(0.405602,0.701313) 1-(0.439786,0.653213) 2-(0.445004,0.529302) 3-(0.418522,0.442756) 4-(0.405559,0.374803) 5-(0.417089,0.485961) 6-(0.417411,0.413974) 7-(0.427005,0.358952) 8-(0.437196,0.323815) 9-(0.384922,0.491638) 10-(0.38046,0.399413) 11-(0.396941,0.36128) 12-(0.412309,0.352484) 13-(0.354504,0.517665) 14-(0.355207,0.438327) 15-(0.378736,0.503974) 16-(0.389101,0.564765) 17-(0.323306,0.563385) 18-(0.325793,0.479985) 19-(0.346499,0.529622) 20-(0.35355,0.585208) 
166666#0-(0.405379,0.6909) 1-(0.443299,0.647358) 2-(0.457958,0.549008) 3-(0.433681,0.473866) 4-(0.397252,0.436119) 5-(0.425201,0.4793) 6-(0.424305,0.400661) 7-(0.444054,0.368869) 8-(0.464934,0.371117) 9-(0.392629,0.483027) 10-(0.388567,0.388386) 11-(0.413192,0.384699) 12-(0.435933,0.418528) 13-(0.362084,0.503421) 14-(0.36593,0.425415) 15-(0.387898,0.488361) 16-(0.39773,0.555219) 17-(0.330795,0.537113) 18-(0.337281,0.462586) 19-(0.357144,0.50963) 20-(0.364143,0.565813) 
200000#0-(0.406183,0.671667) 1-(0.445372,0.633481) 2-(0.463202,0.534668) 3-(0.438648,0.461754) 4-(0.400355,0.435036) 5-(0.42798,0.468424) 6-(0.432084,0.395009) 7-(0.450844,0.38972) 8-(0.465669,0.412528) 9-(0.39767,0.465349) 10-(0.400091,0.375468) 11-(0.423205,0.388044) 12-(0.438703,0.427089) 13-(0.368626,0.482209) 14-(0.373806,0.406067) 15-(0.396119,0.471517) 16-(0.403982,0.536616) 17-(0.336265,0.513713) 18-(0.345083,0.441854) 19-(0.365036,0.486999) 20-(0.370188,0.538954) 
233333#0-(0.410235,0.660953) 1-(0.448152,0.625619) 2-(0.465868,0.52759) 3-(0.443555,0.461508) 4-(0.410418,0.444053) 5-(0.431319,0.454698) 6-(0.440369,0.373175) 7-(0.452129,0.397683) 8-(0.457716,0.436258) 9-(0.400728,0.456727) 10-(0.40555,0.36457) 11-(0.421906,0.400949) 12-(0.429203,0.448848) 13-(0.371965,0.478811) 14-(0.375141,0.404962) 15-(0.399404,0.470499) 16-(0.409345,0.53424) 17-(0.340409,0.512715) 18-(0.348292,0.443786) 19-(0.369602,0.485565) 20-(0.377484,0.532228) 
266666#0-(0.408417,0.651581) 1-(0.446602,0.62116) 2-(0.462093,0.524011) 3-(0.436484,0.465438) 4-(0.405476,0.446831) 5-(0.429516,0.452403) 6-(0.444094,0.371128) 7-(0.453841,0.408607) 8-(0.455437,0.453851) 9-(0.39973,0.453123) 10-(0.409099,0.363185) 11-(0.42481,0.413405) 12-(0.429051,0.46511) 13-(0.37057,0.473964) 14-(0.376183,0.397091) 15-(0.397431,0.462661) 16-(0.405676,0.523277) 17-(0.33905,0.507606) 18-(0.351419,0.44449) 19-(0.370348,0.488587) 20-(0.375401,0.533171) 
300000#0-(0.406535,0.653971) 1-(0.444154,0.617881) 2-(0.460865,0.519205) 3-(0.433562,0.462185) 4-(0.402747,0.447049) 5-(0.431488,0.460075) 6-(0.446052,0.381185) 7-(0.455994,0.412553) 8-(0.459719,0.455136) 9-(0.4004,0.456587) 10-(0.409421,0.369944) 11-(0.423115,0.414214) 12-(0.42984,0.464319) 13-(0.369449,0.474834) 14-(0.37541,0.398315) 15-(0.396025,0.463786) 16-(0.406471,0.527932) 17-(0.335509,0.506601) 18-(0.346325,0.442903) 19-(0.365155,0.485189) 20-(0.373574,0.529367) 
