0#0-(0.265368,0.563711) 1-(0.349213,0.556067) 2-(0.396624,0.49854) 3-(0.431446,0.459149) 4-(0.470717,0.437164) 5-(0.357633,0.3183) 6-(0.411698,0.235937) 7-(0.44567,0.287081) 8-(0.45076,0.340711) 9-(0.33706,0.31161) 10-(0.408332,0.242553) 11-(0.448315,0.318348) 12-(0.446956,0.377053) 13-(0.326956,0.334118) 14-(0.396122,0.283643) 15-(0.437665,0.35541) 16-(0.440873,0.411587) 17-(0.326321,0.380863) 18-(0.387365,0.356085) 19-(0.416655,0.408542) 20-(0.41667,0.449822) 
33333#0-(0.262444,0.562109) 1-(0.344858,0.562799) 2-(0.392658,0.510212) 3-(0.428057,0.467572) 4-(0.465064,0.439799) 5-(0.358,0.313557) 6-(0.410241,0.225594) 7-(0.441943,0.275148) 8-(0.445172,0.328696) 9-(0.338524,0.303801) 10-(0.409006,0.229966) 11-(0.445698,0.306852) 12-(0.440202,0.366454) 13-(0.328734,0.323889) 14-(0.39796,0.269497) 15-(0.434073,0.342549) 16-(0.431881,0.398702) 17-(0.328128,0.368056) 18-(0.390545,0.344598) 19-(0.413858,0.400825) 20-(0.406281,0.444157) 
66666#0-(0.2662,0.565166) 1-(0.353598,0.559725) 2-(0.397674,0.500863) 3-(0.428712,0.453278) 4-(0.458412,0.429892) 5-(0.360528,0.302895) 6-(0.415957,0.227023) 7-(0.443706,0.287754) 8-(0.441481,0.343189) 9-(0.338429,0.293597) 10-(0.411421,0.223142) 11-(0.44534,0.306587) 12-(0.43667,0.365918) 13-(0.326759,0.315493) 14-(0.398834,0.264862) 15-(0.433403,0.341475) 16-(0.429316,0.395305) 17-(0.326214,0.363278) 18-(0.394469,0.340068) 19-(0.418408,0.396506) 20-(0.411202,0.437681) 
100000#0-(0.266009,0.558032) 1-(0.350494,0.556465) 2-(0.396188,0.49914) 3-(0.426707,0.450502) 4-(0.457141,0.423606) 5-(0.362216,0.304013) 6-(0.418515,0.230418) 7-(0.446597,0.291082) 8-(0.444385,0.343795) 9-(0.341868,0.292469) 10-(0.415951,0.227547) 11-(0.447849,0.313374) 12-(0.436572,0.37138) 13-(0.329923,0.31151) 14-(0.403327,0.264287) 15-(0.435323,0.345447) 16-(0.428414,0.40174) 17-(0.326888,0.355653) 18-(0.39357,0.333814) 19-(0.415923,0.394232) 20-(0.407364,0.438001) 
133333#0-(0.26486,0.564826) 1-(0.353248,0.561831) 2-(0.39924,0.501492) 3-(0.430117,0.449519) 4-(0.46179,0.420798) 5-(0.358782,0.307756) 6-(0.414668,0.229835) 7-(0.443456,0.2867) 8-(0.442118,0.339683) 9-(0.337941,0.295537) 10-(0.41169,0.224894) 11-(0.444539,0.306655) 12-(0.434377,0.365792) 13-(0.326678,0.313455) 14-(0.401581,0.262109) 15-(0.434249,0.339845) 16-(0.427816,0.396161) 17-(0.325923,0.355119) 18-(0.395012,0.333995) 19-(0.4172,0.392897) 20-(0.407746,0.436419) 
166666#0-(0.258321,0.560916) 1-(0.345084,0.557998) 2-(0.393604,0.49772) 3-(0.427299,0.45114) 4-(0.463712,0.424435) 5-(0.361687,0.305585) 6-(0.412059,0.216713) 7-(0.443654,0.268429) 8-(0.446981,0.321965) 9-(0.340756,0.29928) 10-(0.408593,0.220444) 11-(0.44329,0.298033) 12-(0.438076,0.356624) 13-(0.328494,0.319875) 14-(0.395936,0.259571) 15-(0.431584,0.333775) 16-(0.431129,0.389295) 17-(0.325515,0.363532) 18-(0.386114,0.337427) 19-(0.411355,0.393623) 20-(0.406693,0.435708) 
200000#0-(0.263302,0.54716) 1-(0.348978,0.547854) 2-(0.394753,0.490763) 3-(0.427412,0.44491) 4-(0.460575,0.41905) 5-(0.361829,0.301662) 6-(0.415753,0.222478) 7-(0.445134,0.27695) 8-(0.44657,0.327674) 9-(0.341115,0.291787) 10-(0.411963,0.221109) 11-(0.444989,0.300743) 12-(0.438415,0.356776) 13-(0.328766,0.309322) 14-(0.39855,0.255202) 15-(0.432507,0.33188) 16-(0.430039,0.38687) 17-(0.324891,0.35037) 18-(0.388212,0.327831) 19-(0.412206,0.384667) 20-(0.406909,0.426156) 
233333#0-(0.262118,0.538999) 1-(0.343597,0.542083) 2-(0.392001,0.484285) 3-(0.424922,0.439313) 4-(0.459773,0.41003) 5-(0.363861,0.291951) 6-(0.411349,0.203154) 7-(0.443994,0.248607) 8-(0.448365,0.298111) 9-(0.344181,0.283678) 10-(0.408296,0.205438) 11-(0.444714,0.283359) 12-(0.439346,0.341058) 13-(0.330976,0.302168) 14-(0.393932,0.248212) 15-(0.430113,0.323111) 16-(0.429298,0.378151) 17-(0.323608,0.341278) 18-(0.380853,0.326442) 19-(0.40345,0.386273) 20-(0.396307,0.428359) 
266666#0-(0.260031,0.538668) 1-(0.341159,0.534065) 2-(0.387629,0.480928) 3-(0.421426,0.438581) 4-(0.456642,0.406457) 5-(0.354907,0.300285) 6-(0.404493,0.221115) 7-(0.435809,0.263479) 8-(0.441384,0.309661) 9-(0.334931,0.291457) 10-(0.400382,0.220362) 11-(0.437234,0.284424) 12-(0.436487,0.33986) 13-(0.322518,0.307691) 14-(0.386076,0.250913) 15-(0.425873,0.314244) 16-(0.430852,0.36958) 17-(0.319215,0.346632) 18-(0.37589,0.321294) 19-(0.404084,0.367965) 20-(0.405134,0.409394) 
300000#0-(0.258713,0.536556) 1-(0.337653,0.534591) 2-(0.386543,0.478051) 3-(0.423002,0.432392) 4-(0.460602,0.393534) 5-(0.353197,0.290735) 6-(0.400558,0.207769) 7-(0.433447,0.2419) 8-(0.439946,0.285964) 9-(0.334736,0.281646) 10-(0.398967,0.205033) 11-(0.436092,0.270906) 12-(0.435531,0.327884) 13-(0.323202,0.297582) 14-(0.38467,0.242118) 15-(0.423236,0.306518) 16-(0.427598,0.360919) 17-(0.320588,0.334043) 18-(0.375921,0.313833) 19-(0.40089,0.364751) 20-(0.398795,0.406524) 
333333#0-(0.256303,0.530282) 1-(0.332997,0.52504) 2-(0.380025,0.474482) 3-(0.416246,0.43709) 4-(0.451003,0.40409) 5-(0.353706,0.289866) 6-(0.401905,0.217817) 7-(0.431555,0.262399) 8-(0.436831,0.309043) 9-(0.334688,0.278892) 10-(0.396604,0.21569) 11-(0.432931,0.281616) 12-(0.433693,0.33737) 13-(0.322068,0.291979) 14-(0.38198,0.244161) 15-(0.42197,0.309519) 16-(0.428338,0.364393) 17-(0.317504,0.327664) 18-(0.371733,0.305481) 19-(0.400337,0.354395) 20-(0.40286,0.397275) 
366666#0-(0.25421,0.535101) 1-(0.330503,0.527053) 2-(0.375892,0.47588) 3-(0.410891,0.439194) 4-(0.445087,0.405567) 5-(0.347126,0.297852) 6-(0.394145,0.218036) 7-(0.42511,0.260302) 8-(0.431678,0.307544) 9-(0.329135,0.288063) 10-(0.390826,0.214654) 11-(0.428087,0.277887) 12-(0.429412,0.334598) 13-(0.317274,0.301668) 14-(0.376804,0.241717) 15-(0.417606,0.304175) 16-(0.425133,0.359738) 17-(0.31432,0.337423) 18-(0.367683,0.307488) 19-(0.396548,0.354229) 20-(0.399718,0.39659) 
