0#0-(0.368059,0.646631) 1-(0.411668,0.601653) 2-(0.437415,0.526072) 3-(0.453734,0.467634) 4-(0.471229,0.408362) 5-(0.398409,0.413023) 6-(0.410977,0.329111) 7-(0.441479,0.337094) 8-(0.459168,0.359066) 9-(0.379421,0.41564) 10-(0.401299,0.323408) 11-(0.440783,0.352991) 12-(0.453798,0.395766) 13-(0.365323,0.434176) 14-(0.389114,0.345993) 15-(0.431062,0.376235) 16-(0.447487,0.418261) 17-(0.35815,0.464648) 18-(0.387836,0.398694) 19-(0.418072,0.41302) 20-(0.429827,0.443347) 
33333#0-(0.363606,0.638257) 1-(0.405392,0.595343) 2-(0.430818,0.515322) 3-(0.445495,0.450739) 4-(0.460747,0.389825) 5-(0.393684,0.40318) 6-(0.407739,0.319885) 7-(0.438755,0.327216) 8-(0.457753,0.348133) 9-(0.373253,0.40543) 10-(0.392125,0.312079) 11-(0.431663,0.339893) 12-(0.446782,0.381202) 13-(0.357538,0.424836) 14-(0.377606,0.335563) 15-(0.419909,0.363231) 16-(0.437867,0.403927) 17-(0.348305,0.455834) 18-(0.376537,0.393817) 19-(0.408233,0.406048) 20-(0.422619,0.433129) 
66666#0-(0.358694,0.637356) 1-(0.401686,0.602888) 2-(0.4282,0.522449) 3-(0.440491,0.457676) 4-(0.453144,0.393025) 5-(0.389481,0.418493) 6-(0.400951,0.338087) 7-(0.430366,0.338383) 8-(0.447659,0.353923) 9-(0.370722,0.414696) 10-(0.383556,0.318348) 11-(0.423407,0.336634) 12-(0.44106,0.374544) 13-(0.354537,0.429556) 14-(0.36948,0.339092) 15-(0.413159,0.360001) 16-(0.433962,0.400019) 17-(0.344296,0.455913) 18-(0.370245,0.395984) 19-(0.404453,0.406449) 20-(0.422552,0.43324) 
100000#0-(0.352079,0.625247) 1-(0.397325,0.590446) 2-(0.422929,0.511765) 3-(0.436099,0.44682) 4-(0.446594,0.385913) 5-(0.388192,0.399056) 6-(0.395489,0.316437) 7-(0.425013,0.320194) 8-(0.441402,0.339977) 9-(0.369758,0.402841) 10-(0.38037,0.30915) 11-(0.41945,0.328362) 12-(0.435654,0.363143) 13-(0.354395,0.42229) 14-(0.364776,0.340348) 15-(0.407772,0.360177) 16-(0.427525,0.396368) 17-(0.344758,0.452486) 18-(0.366106,0.399038) 19-(0.401093,0.407509) 20-(0.418773,0.430736) 
133333#0-(0.344655,0.617637) 1-(0.389793,0.587361) 2-(0.414292,0.518177) 3-(0.427617,0.456892) 4-(0.429974,0.40087) 5-(0.377168,0.392742) 6-(0.388129,0.304708) 7-(0.417204,0.31557) 8-(0.430152,0.346963) 9-(0.361145,0.395699) 10-(0.377126,0.301736) 11-(0.412471,0.326207) 12-(0.423409,0.366369) 13-(0.348457,0.413284) 14-(0.36485,0.330067) 15-(0.402773,0.355579) 16-(0.416976,0.394478) 17-(0.34003,0.442381) 18-(0.364109,0.385115) 19-(0.394644,0.398574) 20-(0.405786,0.426601) 
166666#0-(0.34459,0.623352) 1-(0.386934,0.596587) 2-(0.411463,0.525667) 3-(0.42377,0.466607) 4-(0.432508,0.409142) 5-(0.385532,0.40653) 6-(0.391443,0.325794) 7-(0.419615,0.320037) 8-(0.43512,0.334912) 9-(0.366851,0.406776) 10-(0.371359,0.308397) 11-(0.408902,0.324109) 12-(0.425244,0.36107) 13-(0.350271,0.423862) 14-(0.35523,0.332975) 15-(0.395213,0.352476) 16-(0.413036,0.391262) 17-(0.337601,0.450185) 18-(0.354943,0.388434) 19-(0.386598,0.39893) 20-(0.401991,0.426857) 
200000#0-(0.346349,0.623235) 1-(0.386673,0.594484) 2-(0.409524,0.523999) 3-(0.421315,0.465191) 4-(0.429177,0.405423) 5-(0.38268,0.408773) 6-(0.386164,0.325367) 7-(0.413821,0.316275) 8-(0.429694,0.328771) 9-(0.363436,0.408668) 10-(0.366331,0.308421) 11-(0.4024,0.326478) 12-(0.418277,0.363764) 13-(0.346201,0.42504) 14-(0.351242,0.332513) 15-(0.389303,0.355259) 16-(0.405241,0.393888) 17-(0.333082,0.450817) 18-(0.349623,0.387744) 19-(0.379632,0.400016) 20-(0.39322,0.428642) 
233333#0-(0.343689,0.619386) 1-(0.38487,0.58829) 2-(0.406347,0.518981) 3-(0.416258,0.463271) 4-(0.424767,0.407644) 5-(0.378471,0.407454) 6-(0.384722,0.330597) 7-(0.412648,0.321) 8-(0.428479,0.333547) 9-(0.360195,0.406838) 10-(0.365389,0.307867) 11-(0.401957,0.325667) 12-(0.417826,0.364378) 13-(0.344261,0.422719) 14-(0.351569,0.329793) 15-(0.390308,0.353963) 16-(0.406722,0.393132) 17-(0.332705,0.448765) 18-(0.351752,0.383925) 19-(0.381933,0.396961) 20-(0.395241,0.426096) 
266666#0-(0.340929,0.636836) 1-(0.381616,0.602507) 2-(0.403973,0.525341) 3-(0.415733,0.464742) 4-(0.426608,0.404256) 5-(0.375103,0.424732) 6-(0.3817,0.340393) 7-(0.411174,0.329105) 8-(0.429417,0.341931) 9-(0.356001,0.421604) 10-(0.360405,0.312549) 11-(0.399369,0.328962) 12-(0.418996,0.369315) 13-(0.338487,0.436535) 14-(0.343914,0.331652) 15-(0.385134,0.351728) 16-(0.404825,0.392503) 17-(0.326022,0.461302) 18-(0.342829,0.389907) 19-(0.375343,0.396898) 20-(0.392404,0.424204) 
300000#0-(0.339667,0.638304) 1-(0.379995,0.601857) 2-(0.401362,0.527294) 3-(0.413561,0.467738) 4-(0.423214,0.407909) 5-(0.3732,0.424592) 6-(0.37917,0.339649) 7-(0.408204,0.333247) 8-(0.424908,0.350509) 9-(0.354586,0.423003) 10-(0.358759,0.312946) 11-(0.396893,0.328289) 12-(0.415045,0.368326) 13-(0.337543,0.436738) 14-(0.343228,0.332319) 15-(0.383274,0.353091) 16-(0.401569,0.39367) 17-(0.325374,0.46004) 18-(0.343163,0.388724) 19-(0.373502,0.399412) 20-(0.388061,0.428281) 
333333#0-(0.336976,0.616205) 1-(0.379537,0.580859) 2-(0.401847,0.509075) 3-(0.413834,0.452241) 4-(0.422517,0.397766) 5-(0.361159,0.393101) 6-(0.372241,0.313626) 7-(0.401929,0.32298) 8-(0.417982,0.346805) 9-(0.3427,0.396191) 10-(0.357641,0.307106) 11-(0.39485,0.331842) 12-(0.407314,0.369323) 13-(0.329512,0.414958) 14-(0.348597,0.331884) 15-(0.387108,0.359513) 16-(0.400424,0.397045) 17-(0.323682,0.444816) 18-(0.350673,0.383738) 19-(0.380042,0.397916) 20-(0.390767,0.426394) 
