0#0-(0.308438,0.38774) 1-(0.357738,0.394266) 2-(0.394073,0.449442) 3-(0.410968,0.522303) 4-(0.409685,0.568821) 5-(0.396107,0.414366) 6-(0.409126,0.55969) 7-(0.409059,0.641372) 8-(0.406877,0.696435) 9-(0.346583,0.425597) 10-(0.359866,0.605523) 11-(0.368363,0.702302) 12-(0.374324,0.768481) 13-(0.304228,0.440881) 14-(0.319711,0.598313) 15-(0.322009,0.576104) 16-(0.322116,0.538541) 17-(0.270483,0.458736) 18-(0.28782,0.570476) 19-(0.291871,0.56532) 20-(0.291625,0.548558) 
33333#0-(0.29487,0.378862) 1-(0.344841,0.385689) 2-(0.387527,0.435471) 3-(0.403773,0.502734) 4-(0.400688,0.555358) 5-(0.389335,0.385704) 6-(0.408548,0.51341) 7-(0.415705,0.604056) 8-(0.418623,0.668993) 9-(0.342853,0.398821) 10-(0.363405,0.57343) 11-(0.375352,0.677326) 12-(0.38789,0.74954) 13-(0.298958,0.42463) 14-(0.322723,0.594805) 15-(0.320772,0.5647) 16-(0.319625,0.514487) 17-(0.261478,0.459148) 18-(0.287327,0.592431) 19-(0.28993,0.56479) 20-(0.289602,0.525447) 21-(0.332098,0.363015) 22-(0.305746,0.348897) 23-(0.300284,0.359963) 24-(0.296817,0.378116) 25-(0.292868,0.403526) 26-(0.313479,0.374286) 27-(0.333154,0.451783) 28-(0.333682,0.513896) 29-(0.330281,0.553526) 30-(0.335614,0.389764) 31-(0.35498,0.491593) 32-(0.351286,0.559145) 33-(0.346315,0.598175) 34-(0.357032,0.405527) 35-(0.371496,0.502559) 36-(0.361752,0.564852) 37-(0.354521,0.605208) 38-(0.374693,0.410881) 39-(0.378171,0.484235) 40-(0.372877,0.528359) 41-(0.368926,0.55939) 
66666#0-(0.28109,0.363605) 1-(0.33807,0.373018) 2-(0.382308,0.426185) 3-(0.407573,0.492314) 4-(0.417977,0.548926) 5-(0.389243,0.376008) 6-(0.404678,0.507048) 7-(0.410205,0.587681) 8-(0.412937,0.651078) 9-(0.346247,0.386175) 10-(0.358291,0.583467) 11-(0.367727,0.690035) 12-(0.378192,0.759318) 13-(0.303046,0.408641) 14-(0.324642,0.584516) 15-(0.320301,0.562298) 16-(0.318608,0.513807) 17-(0.266608,0.443193) 18-(0.289267,0.575639) 19-(0.287298,0.553611) 20-(0.286066,0.515662) 
100000#0-(0.361415,0.341659) 1-(0.316839,0.342267) 2-(0.29148,0.365907) 3-(0.265622,0.388632) 4-(0.245379,0.416324) 5-(0.311591,0.37253) 6-(0.318903,0.453749) 7-(0.320875,0.526017) 8-(0.319005,0.576684) 9-(0.335354,0.387407) 10-(0.343338,0.483733) 11-(0.342414,0.55847) 12-(0.338981,0.605302) 13-(0.359057,0.398036) 14-(0.366481,0.473108) 15-(0.358469,0.544929) 16-(0.351594,0.596855) 17-(0.380577,0.395981) 18-(0.383164,0.457103) 19-(0.376763,0.506718) 20-(0.370285,0.544009) 
133333#0-(0.304839,0.408303) 1-(0.343937,0.388975) 2-(0.375621,0.39854) 3-(0.395965,0.410661) 4-(0.41309,0.419587) 5-(0.362612,0.382471) 6-(0.377436,0.47023) 7-(0.383278,0.530764) 8-(0.389459,0.573455) 9-(0.322838,0.394366) 10-(0.339458,0.507635) 11-(0.345694,0.561815) 12-(0.351701,0.594526) 13-(0.288382,0.407033) 14-(0.297008,0.50693) 15-(0.302672,0.560372) 16-(0.308878,0.597816) 17-(0.257857,0.416736) 18-(0.258869,0.489873) 19-(0.260259,0.525398) 20-(0.263367,0.553742) 
166666#0-(0.291314,0.37134) 1-(0.348649,0.378927) 2-(0.389594,0.414287) 3-(0.412252,0.458335) 4-(0.424534,0.482884) 5-(0.38361,0.410935) 6-(0.394198,0.541126) 7-(0.396345,0.625964) 8-(0.396233,0.691547) 9-(0.337294,0.410655) 10-(0.354918,0.568949) 11-(0.359727,0.641087) 12-(0.364939,0.67634) 13-(0.296485,0.415037) 14-(0.313872,0.545061) 15-(0.318364,0.580126) 16-(0.324833,0.58892) 17-(0.263759,0.425867) 18-(0.278823,0.522897) 19-(0.286892,0.541695) 20-(0.294796,0.545424) 
200000#0-(0.289762,0.361038) 1-(0.352191,0.381722) 2-(0.392899,0.458661) 3-(0.409464,0.55126) 4-(0.408521,0.61674) 5-(0.391535,0.408093) 6-(0.406513,0.546011) 7-(0.404521,0.620352) 8-(0.401203,0.66315) 9-(0.348059,0.40226) 10-(0.358289,0.554676) 11-(0.35753,0.631023) 12-(0.361776,0.666556) 13-(0.308251,0.405851) 14-(0.315309,0.529004) 15-(0.321044,0.590872) 16-(0.329062,0.62466) 17-(0.275135,0.415327) 18-(0.280553,0.505801) 19-(0.285272,0.541102) 20-(0.289605,0.563651) 
233333#0-(0.289286,0.363834) 1-(0.352119,0.385764) 2-(0.396596,0.464928) 3-(0.415217,0.560409) 4-(0.412057,0.627158) 5-(0.395499,0.417412) 6-(0.41086,0.565267) 7-(0.410759,0.641193) 8-(0.410063,0.685735) 9-(0.349622,0.413447) 10-(0.360932,0.576396) 11-(0.361366,0.652201) 12-(0.366929,0.6882) 13-(0.307244,0.41871) 14-(0.315611,0.55372) 15-(0.320745,0.611285) 16-(0.329166,0.64147) 17-(0.272204,0.429163) 18-(0.280542,0.525926) 19-(0.286269,0.55578) 20-(0.291692,0.572647) 
266666#0-(0.289502,0.379245) 1-(0.350571,0.387312) 2-(0.38742,0.448346) 3-(0.402341,0.523059) 4-(0.400553,0.584717) 5-(0.39212,0.431073) 6-(0.412468,0.559207) 7-(0.413684,0.635678) 8-(0.411846,0.687339) 9-(0.351978,0.427675) 10-(0.366128,0.570952) 11-(0.362834,0.648723) 12-(0.364435,0.690938) 13-(0.316574,0.429644) 14-(0.322045,0.552693) 15-(0.320374,0.614319) 16-(0.32247,0.649768) 17-(0.284688,0.433648) 18-(0.283058,0.526872) 19-(0.281765,0.568377) 20-(0.283656,0.595056) 
300000#0-(0.302793,0.385008) 1-(0.359585,0.387503) 2-(0.393527,0.445) 3-(0.404345,0.519081) 4-(0.397466,0.578368) 5-(0.393196,0.436983) 6-(0.410963,0.570971) 7-(0.413636,0.646351) 8-(0.411981,0.696258) 9-(0.351704,0.438004) 10-(0.365725,0.585483) 11-(0.365729,0.660253) 12-(0.369224,0.701353) 13-(0.316807,0.442375) 14-(0.322807,0.566284) 15-(0.325148,0.626482) 16-(0.330336,0.662765) 17-(0.287626,0.447097) 18-(0.287743,0.540406) 19-(0.287331,0.578381) 20-(0.289981,0.603514) 
333333#0-(0.301097,0.383848) 1-(0.358733,0.415301) 2-(0.394404,0.49118) 3-(0.407011,0.582952) 4-(0.408385,0.638377) 5-(0.399914,0.426999) 6-(0.407102,0.57298) 7-(0.406397,0.649469) 8-(0.403309,0.69595) 9-(0.354116,0.418221) 10-(0.362298,0.585172) 11-(0.367712,0.661397) 12-(0.374121,0.702959) 13-(0.312292,0.419114) 14-(0.317291,0.56018) 15-(0.324853,0.602883) 16-(0.331323,0.620743) 17-(0.277714,0.430917) 18-(0.2844,0.537305) 19-(0.294455,0.566894) 20-(0.301256,0.582155) 
