0#0-(0.352428,0.489681) 1-(0.395497,0.520819) 2-(0.424469,0.562757) 3-(0.443335,0.62034) 4-(0.458227,0.678357) 5-(0.410998,0.466288) 6-(0.430903,0.573299) 7-(0.437361,0.658407) 8-(0.440446,0.718083) 9-(0.369769,0.475244) 10-(0.388653,0.616796) 11-(0.403057,0.70945) 12-(0.406343,0.75238) 13-(0.332614,0.494539) 14-(0.342208,0.613771) 15-(0.359642,0.687538) 16-(0.367241,0.718566) 17-(0.301348,0.513896) 18-(0.301697,0.598408) 19-(0.311949,0.651487) 20-(0.314728,0.674737) 
33333#0-(0.375666,0.446081) 1-(0.412131,0.48529) 2-(0.435808,0.540131) 3-(0.449716,0.609576) 4-(0.459024,0.668992) 5-(0.421695,0.500675) 6-(0.433504,0.612385) 7-(0.438092,0.697514) 8-(0.443791,0.755354) 9-(0.380367,0.512447) 10-(0.391991,0.636718) 11-(0.402395,0.716808) 12-(0.406587,0.757131) 13-(0.343646,0.523151) 14-(0.349398,0.630122) 15-(0.361913,0.705573) 16-(0.365914,0.74616) 17-(0.312805,0.528709) 18-(0.309621,0.608267) 19-(0.312571,0.661226) 20-(0.307871,0.692205) 
66666#0-(0.372997,0.465389) 1-(0.412594,0.506523) 2-(0.436377,0.560373) 3-(0.449001,0.631948) 4-(0.457057,0.694277) 5-(0.424671,0.51274) 6-(0.440028,0.619063) 7-(0.446158,0.703589) 8-(0.449867,0.761287) 9-(0.383406,0.519631) 10-(0.398358,0.641198) 11-(0.40867,0.723998) 12-(0.40933,0.763883) 13-(0.346281,0.528168) 14-(0.353437,0.628577) 15-(0.366819,0.707521) 16-(0.370084,0.748538) 17-(0.31469,0.532127) 18-(0.313272,0.612101) 19-(0.318367,0.667025) 20-(0.315697,0.697656) 
100000#0-(0.380511,0.45158) 1-(0.421387,0.500953) 2-(0.446832,0.56102) 3-(0.458512,0.636139) 4-(0.467383,0.704165) 5-(0.430544,0.521137) 6-(0.439431,0.628387) 7-(0.446242,0.70426) 8-(0.451806,0.761987) 9-(0.388321,0.521673) 10-(0.398202,0.646207) 11-(0.408184,0.720805) 12-(0.410125,0.761104) 13-(0.350918,0.524788) 14-(0.352627,0.623953) 15-(0.364117,0.703383) 16-(0.368381,0.749945) 17-(0.319456,0.523574) 18-(0.313482,0.605403) 19-(0.315643,0.66235) 20-(0.314011,0.693105) 
133333#0-(0.385388,0.445586) 1-(0.425812,0.491923) 2-(0.448855,0.549865) 3-(0.456537,0.625383) 4-(0.463152,0.690899) 5-(0.431744,0.513379) 6-(0.439979,0.62922) 7-(0.445001,0.705531) 8-(0.451379,0.765264) 9-(0.388126,0.516852) 10-(0.399361,0.641551) 11-(0.406368,0.71847) 12-(0.409583,0.767347) 13-(0.350756,0.521225) 14-(0.353581,0.620668) 15-(0.363033,0.70182) 16-(0.370174,0.757451) 17-(0.320302,0.520024) 18-(0.313827,0.602871) 19-(0.31351,0.659416) 20-(0.313708,0.694108) 
166666#0-(0.38358,0.446112) 1-(0.424639,0.492539) 2-(0.449486,0.553681) 3-(0.459123,0.633738) 4-(0.465886,0.700309) 5-(0.431287,0.517287) 6-(0.440976,0.629629) 7-(0.444943,0.710012) 8-(0.449122,0.772929) 9-(0.388466,0.518735) 10-(0.400208,0.642425) 11-(0.406136,0.725322) 12-(0.408132,0.77715) 13-(0.351318,0.522233) 14-(0.355309,0.623783) 15-(0.362864,0.705989) 16-(0.368142,0.761137) 17-(0.320345,0.520629) 18-(0.314981,0.604261) 19-(0.31444,0.660482) 20-(0.314194,0.694404) 
200000#0-(0.385768,0.439844) 1-(0.426412,0.478427) 2-(0.451626,0.531666) 3-(0.460212,0.603227) 4-(0.467589,0.667726) 5-(0.429802,0.511615) 6-(0.437947,0.624059) 7-(0.440569,0.705322) 8-(0.444543,0.771877) 9-(0.386801,0.513493) 10-(0.394992,0.636921) 11-(0.399552,0.717975) 12-(0.402508,0.772745) 13-(0.349052,0.517419) 14-(0.349145,0.6172) 15-(0.355714,0.698972) 16-(0.362042,0.760175) 17-(0.318397,0.515502) 18-(0.310899,0.601206) 19-(0.308798,0.660006) 20-(0.309014,0.696954) 
233333#0-(0.378083,0.437719) 1-(0.417819,0.482219) 2-(0.441985,0.538255) 3-(0.451217,0.609812) 4-(0.458555,0.674095) 5-(0.418865,0.516192) 6-(0.426164,0.634049) 7-(0.430711,0.710107) 8-(0.436879,0.767625) 9-(0.376914,0.518865) 10-(0.387383,0.651148) 11-(0.394678,0.729539) 12-(0.398302,0.775228) 13-(0.340716,0.524679) 14-(0.342718,0.63232) 15-(0.35092,0.711313) 16-(0.356946,0.763716) 17-(0.311508,0.527911) 18-(0.30482,0.612213) 19-(0.302924,0.669273) 20-(0.301311,0.701622) 
266666#0-(0.369472,0.442799) 1-(0.413205,0.490113) 2-(0.43768,0.549629) 3-(0.450703,0.626238) 4-(0.458397,0.691339) 5-(0.415333,0.514084) 6-(0.432167,0.640874) 7-(0.440096,0.721621) 8-(0.445498,0.780103) 9-(0.373387,0.522642) 10-(0.388779,0.659874) 11-(0.399335,0.733379) 12-(0.401237,0.777799) 13-(0.336555,0.535076) 14-(0.34333,0.645642) 15-(0.354471,0.716151) 16-(0.358335,0.765207) 17-(0.306502,0.544414) 18-(0.300546,0.627374) 19-(0.30099,0.677408) 20-(0.298649,0.710866) 
300000#0-(0.371046,0.424491) 1-(0.415071,0.480591) 2-(0.438426,0.550973) 3-(0.448948,0.631567) 4-(0.453638,0.695006) 5-(0.412436,0.512995) 6-(0.431723,0.646115) 7-(0.438313,0.723727) 8-(0.44255,0.776857) 9-(0.370499,0.519853) 10-(0.39093,0.660522) 11-(0.401989,0.735853) 12-(0.40467,0.782725) 13-(0.33556,0.531162) 14-(0.346336,0.648997) 15-(0.358861,0.723714) 16-(0.366084,0.775272) 17-(0.30689,0.541711) 18-(0.301441,0.626376) 19-(0.303832,0.680749) 20-(0.303911,0.720896) 
