0#0-(0.370742,0.524223) 1-(0.411654,0.470122) 2-(0.435647,0.38838) 3-(0.45908,0.343614) 4-(0.488701,0.32468) 5-(0.407339,0.287092) 6-(0.412548,0.227631) 7-(0.432487,0.215145) 8-(0.45041,0.211532) 9-(0.368539,0.309812) 10-(0.392449,0.323224) 11-(0.411188,0.383593) 12-(0.416062,0.409422) 13-(0.338038,0.364272) 14-(0.360602,0.402946) 15-(0.377836,0.442977) 16-(0.378708,0.442258) 17-(0.317009,0.425669) 18-(0.339823,0.462097) 19-(0.355864,0.484373) 20-(0.357325,0.481239) 
33333#0-(0.361172,0.414757) 1-(0.403607,0.375044) 2-(0.43731,0.32733) 3-(0.459828,0.319775) 4-(0.467129,0.335152) 5-(0.376893,0.202879) 6-(0.414121,0.219198) 7-(0.446204,0.270613) 8-(0.460734,0.308236) 9-(0.331653,0.242694) 10-(0.389972,0.32531) 11-(0.416478,0.384523) 12-(0.412281,0.387606) 13-(0.30457,0.311381) 14-(0.35757,0.391334) 15-(0.383081,0.431832) 16-(0.376784,0.429141) 17-(0.291436,0.383811) 18-(0.323086,0.442322) 19-(0.342537,0.478346) 20-(0.340904,0.492276) 
66666#0-(0.351533,0.325879) 1-(0.392482,0.285684) 2-(0.432181,0.258491) 3-(0.457393,0.275333) 4-(0.457685,0.303927) 5-(0.364722,0.179888) 6-(0.403292,0.229934) 7-(0.431344,0.285674) 8-(0.441043,0.318656) 9-(0.326448,0.2276) 10-(0.375003,0.318405) 11-(0.407645,0.369952) 12-(0.410899,0.369813) 13-(0.30155,0.291207) 14-(0.34566,0.372648) 15-(0.379791,0.411401) 16-(0.381403,0.411739) 17-(0.288597,0.354142) 18-(0.29713,0.417511) 19-(0.30095,0.447155) 20-(0.288942,0.457933) 
100000#0-(0.354112,0.301337) 1-(0.39946,0.284594) 2-(0.444063,0.273719) 3-(0.47147,0.308681) 4-(0.47349,0.351059) 5-(0.387049,0.168326) 6-(0.418893,0.214108) 7-(0.443921,0.281493) 8-(0.450488,0.317933) 9-(0.342121,0.203635) 10-(0.379154,0.295091) 11-(0.409767,0.362354) 12-(0.409607,0.369279) 13-(0.309627,0.259984) 14-(0.337759,0.344978) 15-(0.372628,0.398994) 16-(0.375342,0.403086) 17-(0.287998,0.319599) 18-(0.302582,0.394403) 19-(0.325217,0.437567) 20-(0.326605,0.450749) 
133333#0-(0.344015,0.317345) 1-(0.389567,0.293338) 2-(0.437672,0.286285) 3-(0.465794,0.328082) 4-(0.464413,0.384944) 5-(0.383433,0.174572) 6-(0.425025,0.259886) 7-(0.446738,0.322531) 8-(0.448899,0.340909) 9-(0.337922,0.212102) 10-(0.384982,0.325024) 11-(0.409781,0.384369) 12-(0.405759,0.379831) 13-(0.306219,0.269678) 14-(0.344548,0.376126) 15-(0.373818,0.42447) 16-(0.374102,0.420936) 17-(0.28609,0.332622) 18-(0.302959,0.417858) 19-(0.320412,0.456438) 20-(0.32005,0.468689) 
166666#0-(0.340785,0.218746) 1-(0.396483,0.22685) 2-(0.441195,0.263188) 3-(0.464512,0.335236) 4-(0.470348,0.410533) 5-(0.385475,0.192665) 6-(0.42566,0.268981) 7-(0.449796,0.329795) 8-(0.456554,0.371263) 9-(0.339134,0.23001) 10-(0.380305,0.333351) 11-(0.40723,0.386204) 12-(0.410095,0.403614) 13-(0.306562,0.278216) 14-(0.336235,0.379725) 15-(0.36189,0.424495) 16-(0.363394,0.440203) 17-(0.283358,0.325528) 18-(0.30029,0.417394) 19-(0.313497,0.459754) 20-(0.311849,0.486825) 
200000#0-(0.328462,0.335725) 1-(0.385952,0.309853) 2-(0.42878,0.311997) 3-(0.458412,0.349501) 4-(0.458252,0.404452) 5-(0.374403,0.229099) 6-(0.434592,0.315499) 7-(0.453442,0.376782) 8-(0.452127,0.395124) 9-(0.3384,0.262519) 10-(0.392062,0.374431) 11-(0.404885,0.412471) 12-(0.39182,0.40388) 13-(0.310393,0.311636) 14-(0.355809,0.415565) 15-(0.369931,0.43562) 16-(0.361693,0.424988) 17-(0.286886,0.36246) 18-(0.299684,0.460833) 19-(0.288037,0.471964) 20-(0.267732,0.465842) 
233333#0-(0.34488,0.41751) 1-(0.387806,0.407065) 2-(0.430676,0.411286) 3-(0.459709,0.468838) 4-(0.482233,0.516976) 5-(0.410634,0.271395) 6-(0.445136,0.393802) 7-(0.461175,0.484184) 8-(0.470057,0.526769) 9-(0.362695,0.28814) 10-(0.404714,0.449496) 11-(0.41526,0.524687) 12-(0.415206,0.534997) 13-(0.322641,0.339018) 14-(0.36142,0.497058) 15-(0.364287,0.540415) 16-(0.358621,0.532657) 17-(0.286206,0.398395) 18-(0.317028,0.514064) 19-(0.319723,0.549978) 20-(0.313115,0.551215) 21-(0,0) 22-(0,0) 23-(0,0) 24-(0,0) 25-(0,0) 26-(0,0) 27-(0,0) 28-(0,0) 29-(0,0) 30-(0,0) 31-(0,0) 32-(0,0) 33-(0,0) 34-(0,0) 35-(0,0) 36-(0,0) 37-(0,0) 38-(0,0) 39-(0,0) 40-(0,0) 41-(0,0) 
266666#0-(0.345736,0.497479) 1-(0.386517,0.491594) 2-(0.43159,0.46181) 3-(0.451058,0.47899) 4-(0.467144,0.49448) 5-(0.414162,0.341776) 6-(0.4535,0.425901) 7-(0.472484,0.510075) 8-(0.484378,0.557119) 9-(0.367691,0.34256) 10-(0.409382,0.529395) 11-(0.422303,0.616843) 12-(0.422137,0.628799) 13-(0.32527,0.385071) 14-(0.363084,0.561848) 15-(0.370261,0.619118) 16-(0.36287,0.617745) 17-(0.287096,0.436562) 18-(0.322131,0.573271) 19-(0.329586,0.621999) 20-(0.322226,0.625602) 
300000#0-(0.352437,0.508986) 1-(0.397935,0.517595) 2-(0.439854,0.519894) 3-(0.457531,0.555846) 4-(0.476013,0.588171) 5-(0.410998,0.414935) 6-(0.441423,0.515656) 7-(0.453155,0.607457) 8-(0.460129,0.671727) 9-(0.362873,0.423254) 10-(0.401043,0.575316) 11-(0.414613,0.666769) 12-(0.415009,0.706174) 13-(0.323989,0.458946) 14-(0.350845,0.605663) 15-(0.364112,0.67283) 16-(0.361707,0.704674) 17-(0.291692,0.49702) 18-(0.304693,0.606423) 19-(0.315104,0.659635) 20-(0.314991,0.686294) 21-(0,0) 22-(0,0) 23-(0,0) 24-(0,0) 25-(0,0) 26-(0,0) 27-(0,0) 28-(0,0) 29-(0,0) 30-(0,0) 31-(0,0) 32-(0,0) 33-(0,0) 34-(0,0) 35-(0,0) 36-(0,0) 37-(0,0) 38-(0,0) 39-(0,0) 40-(0,0) 41-(0,0) 
333333#0-(0.377791,0.455146) 1-(0.415308,0.496856) 2-(0.438529,0.550189) 3-(0.447127,0.62647) 4-(0.448873,0.676157) 5-(0.393817,0.494578) 6-(0.406577,0.621521) 7-(0.414414,0.703628) 8-(0.419855,0.765541) 9-(0.355942,0.516378) 10-(0.370179,0.66651) 11-(0.386094,0.747536) 12-(0.397805,0.789323) 13-(0.330616,0.543814) 14-(0.34076,0.692666) 15-(0.359178,0.767345) 16-(0.371409,0.811956) 17-(0.313902,0.568144) 18-(0.314094,0.690233) 19-(0.324106,0.751873) 20-(0.331326,0.792984) 
366666#0-(0.371053,0.515138) 1-(0.379707,0.542832) 2-(0.384318,0.582143) 3-(0.395314,0.622077) 4-(0.408121,0.653431) 5-(0.366958,0.54732) 6-(0.38517,0.635614) 7-(0.399806,0.711824) 8-(0.409066,0.778116) 9-(0.354784,0.546399) 10-(0.382185,0.662787) 11-(0.396467,0.753236) 12-(0.405726,0.827321) 13-(0.349435,0.553533) 14-(0.373863,0.673271) 15-(0.386454,0.762707) 16-(0.396403,0.831771) 17-(0.348906,0.563568) 18-(0.362305,0.657781) 19-(0.368275,0.718635) 20-(0.373772,0.765693) 21-(0.313566,0.58398) 22-(0.322384,0.52314) 23-(0.340482,0.524144) 24-(0.355838,0.560524) 25-(0.374731,0.592086) 26-(0.353495,0.5226) 27-(0.382501,0.614623) 28-(0.403395,0.673689) 29-(0.420867,0.714462) 30-(0.344519,0.55086) 31-(0.375241,0.681292) 32-(0.401274,0.748495) 33-(0.41853,0.785804) 34-(0.333037,0.585513) 35-(0.354438,0.706967) 36-(0.374891,0.771818) 37-(0.386893,0.805509) 38-(0.320504,0.621847) 39-(0.333742,0.697719) 40-(0.346492,0.74728) 41-(0.35407,0.777586) 
400000#
433333#0-(0.341079,0.628714) 1-(0.397571,0.614909) 2-(0.434622,0.656612) 3-(0.454493,0.718673) 4-(0.462016,0.765848) 5-(0.39089,0.634069) 6-(0.438731,0.800813) 7-(0.45544,0.80575) 8-(0.455407,0.781099) 9-(0.346443,0.674146) 10-(0.406439,0.864483) 11-(0.427368,0.851462) 12-(0.424543,0.81506) 13-(0.313948,0.715758) 14-(0.368871,0.893125) 15-(0.39063,0.882522) 16-(0.390495,0.854078) 17-(0.289166,0.754459) 18-(0.33361,0.898738) 19-(0.356089,0.897479) 20-(0.360158,0.875511) 
466666#0-(0.361702,0.610795) 1-(0.426753,0.618936) 2-(0.477533,0.702154) 3-(0.49847,0.817128) 4-(0.501814,0.904441) 5-(0.42911,0.64274) 6-(0.48082,0.837245) 7-(0.502828,0.933025) 8-(0.509432,0.999419) 9-(0.372729,0.685635) 10-(0.43689,0.915153) 11-(0.442229,0.874111) 12-(0.42591,0.803234) 13-(0.329313,0.738014) 14-(0.391965,0.945351) 15-(0.403647,0.893828) 16-(0.396889,0.831911) 17-(0.298738,0.788082) 18-(0.348782,0.931628) 19-(0.364318,0.898548) 20-(0.361593,0.853401) 
500000#0-(0.356886,0.624994) 1-(0.425317,0.613974) 2-(0.479684,0.687777) 3-(0.500262,0.794985) 4-(0.502128,0.87612) 5-(0.43304,0.64916) 6-(0.487056,0.833397) 7-(0.506991,0.906388) 8-(0.513608,0.94574) 9-(0.377276,0.69709) 10-(0.443908,0.920288) 11-(0.450032,0.876378) 12-(0.4343,0.807481) 13-(0.332589,0.751891) 14-(0.399771,0.953461) 15-(0.408847,0.900391) 16-(0.398367,0.841107) 17-(0.300385,0.800182) 18-(0.34942,0.943067) 19-(0.363734,0.90971) 20-(0.359599,0.864484) 
533333#0-(0.354227,0.620661) 1-(0.423481,0.613843) 2-(0.477128,0.688199) 3-(0.50089,0.798092) 4-(0.502171,0.888033) 5-(0.436243,0.643345) 6-(0.486066,0.83437) 7-(0.498558,0.89065) 8-(0.50273,0.921739) 9-(0.37847,0.684172) 10-(0.444877,0.913972) 11-(0.449545,0.882689) 12-(0.437549,0.821058) 13-(0.333936,0.735828) 14-(0.398256,0.951136) 15-(0.408842,0.90867) 16-(0.402604,0.84308) 17-(0.301617,0.7825) 18-(0.349815,0.937174) 19-(0.365725,0.909365) 20-(0.366379,0.859063) 
566666#0-(0.34903,0.636731) 1-(0.418418,0.608091) 2-(0.46912,0.663399) 3-(0.48344,0.773048) 4-(0.482028,0.8595) 5-(0.441507,0.615804) 6-(0.4924,0.803607) 7-(0.517161,0.914308) 8-(0.534499,0.99555) 9-(0.384214,0.663174) 10-(0.450788,0.891436) 11-(0.459683,0.878653) 12-(0.451034,0.822154) 13-(0.339789,0.721794) 14-(0.402596,0.940323) 15-(0.420096,0.908973) 16-(0.418601,0.842413) 17-(0.30664,0.777138) 18-(0.354964,0.941549) 19-(0.374651,0.918934) 20-(0.379039,0.863493) 
