0#
33333#
66666#
100000#
133333#
166666#
200000#
233333#0-(0.254817,1.03907) 1-(0.319299,1.04644) 2-(0.361062,0.994704) 3-(0.37385,0.934268) 4-(0.39444,0.879065) 5-(0.32149,0.835365) 6-(0.31219,0.753945) 7-(0.310753,0.750033) 8-(0.306216,0.769365) 9-(0.274475,0.832646) 10-(0.248078,0.804126) 11-(0.249611,0.862631) 12-(0.25891,0.892716) 13-(0.233912,0.865353) 14-(0.20327,0.876419) 15-(0.211804,0.950885) 16-(0.221628,0.972686) 17-(0.199313,0.902066) 18-(0.167362,0.926737) 19-(0.175155,0.992712) 20-(0.185337,1.01758) 
266666#0-(0.303831,0.983657) 1-(0.364004,0.919426) 2-(0.386398,0.841592) 3-(0.389977,0.789077) 4-(0.389203,0.739094) 5-(0.298964,0.723419) 6-(0.324528,0.658908) 7-(0.351056,0.692037) 8-(0.361487,0.722205) 9-(0.259225,0.762129) 10-(0.31079,0.723178) 11-(0.342127,0.788838) 12-(0.346349,0.823683) 13-(0.231679,0.819737) 14-(0.27885,0.818138) 15-(0.307254,0.878579) 16-(0.30673,0.900799) 17-(0.211048,0.875977) 18-(0.240132,0.867573) 19-(0.265118,0.905613) 20-(0.269109,0.926519) 
300000#0-(0.354964,0.994054) 1-(0.400946,0.907386) 2-(0.407634,0.803068) 3-(0.394437,0.717957) 4-(0.388307,0.640871) 5-(0.329996,0.718279) 6-(0.343618,0.642101) 7-(0.364708,0.671356) 8-(0.372558,0.693933) 9-(0.29166,0.750599) 10-(0.326332,0.696608) 11-(0.351998,0.770513) 12-(0.347141,0.791042) 13-(0.264028,0.797635) 14-(0.297874,0.761954) 15-(0.328615,0.825569) 16-(0.324661,0.838724) 17-(0.241832,0.855155) 18-(0.266665,0.824652) 19-(0.297548,0.863393) 20-(0.29825,0.878638) 
333333#0-(0.361453,0.955899) 1-(0.411246,0.895588) 2-(0.420329,0.792354) 3-(0.413434,0.713674) 4-(0.414818,0.637051) 5-(0.350365,0.700468) 6-(0.35684,0.619054) 7-(0.378932,0.60364) 8-(0.394184,0.592857) 9-(0.314081,0.722064) 10-(0.345784,0.660296) 11-(0.372384,0.747488) 12-(0.361725,0.771582) 13-(0.285695,0.75996) 14-(0.319027,0.71568) 15-(0.351378,0.790496) 16-(0.34282,0.806151) 17-(0.262872,0.80858) 18-(0.296411,0.777362) 19-(0.328796,0.824954) 20-(0.324435,0.842661) 
366666#0-(0.37718,0.94462) 1-(0.42388,0.88882) 2-(0.433223,0.771777) 3-(0.42294,0.682369) 4-(0.42309,0.60066) 5-(0.374381,0.677722) 6-(0.382664,0.587783) 7-(0.403476,0.582612) 8-(0.416638,0.575067) 9-(0.339857,0.691668) 10-(0.372804,0.634751) 11-(0.395385,0.732828) 12-(0.38474,0.756782) 13-(0.311315,0.723439) 14-(0.344606,0.681418) 15-(0.372124,0.765316) 16-(0.363535,0.784763) 17-(0.288172,0.767659) 18-(0.319131,0.730496) 19-(0.34667,0.782804) 20-(0.341841,0.801286) 
400000#0-(0.391366,0.914518) 1-(0.433636,0.873674) 2-(0.449536,0.761485) 3-(0.44336,0.674195) 4-(0.44693,0.604345) 5-(0.405949,0.661514) 6-(0.40489,0.569119) 7-(0.414914,0.537804) 8-(0.420601,0.505543) 9-(0.373765,0.672561) 10-(0.387192,0.605311) 11-(0.408334,0.6961) 12-(0.399259,0.717787) 13-(0.344398,0.699955) 14-(0.355269,0.65406) 15-(0.379395,0.734789) 16-(0.372993,0.751939) 17-(0.31568,0.740137) 18-(0.325142,0.696854) 19-(0.347076,0.750726) 20-(0.341879,0.772389) 
433333#0-(0.406839,0.896748) 1-(0.445516,0.847406) 2-(0.457694,0.735141) 3-(0.453239,0.646976) 4-(0.461245,0.578151) 5-(0.420097,0.647147) 6-(0.419489,0.566579) 7-(0.426783,0.532535) 8-(0.429712,0.491516) 9-(0.389005,0.658107) 10-(0.393185,0.591263) 11-(0.413775,0.680919) 12-(0.410199,0.70225) 13-(0.359865,0.686714) 14-(0.36318,0.639783) 15-(0.389607,0.719269) 16-(0.387088,0.732751) 17-(0.332248,0.730307) 18-(0.339021,0.692582) 19-(0.363919,0.741604) 20-(0.362831,0.755593) 
466666#0-(0.414306,0.877054) 1-(0.451888,0.831213) 2-(0.464212,0.722149) 3-(0.459909,0.633674) 4-(0.469971,0.56159) 5-(0.430362,0.63145) 6-(0.42928,0.55156) 7-(0.437071,0.515781) 8-(0.441269,0.476174) 9-(0.400214,0.643461) 10-(0.406046,0.580359) 11-(0.424659,0.672172) 12-(0.418571,0.689539) 13-(0.371543,0.671447) 14-(0.375473,0.625259) 15-(0.400393,0.706606) 16-(0.395717,0.716848) 17-(0.344002,0.715044) 18-(0.349779,0.674144) 19-(0.373466,0.725635) 20-(0.370699,0.738542) 
500000#0-(0.424169,0.87684) 1-(0.459967,0.820874) 2-(0.471524,0.70942) 3-(0.467529,0.618033) 4-(0.478659,0.545381) 5-(0.439058,0.623025) 6-(0.43867,0.542243) 7-(0.44659,0.500387) 8-(0.451196,0.455359) 9-(0.409968,0.633917) 10-(0.415906,0.562102) 11-(0.433445,0.655405) 12-(0.427426,0.677577) 13-(0.381564,0.659215) 14-(0.38567,0.602172) 15-(0.409791,0.687967) 16-(0.404198,0.705444) 17-(0.353491,0.702637) 18-(0.361467,0.652392) 19-(0.385106,0.705555) 20-(0.3813,0.724278) 
533333#0-(0.432163,0.869325) 1-(0.467859,0.806999) 2-(0.477259,0.697523) 3-(0.473131,0.6083) 4-(0.486646,0.538544) 5-(0.444785,0.614042) 6-(0.441203,0.532075) 7-(0.44816,0.48959) 8-(0.451637,0.443282) 9-(0.416807,0.627864) 10-(0.420346,0.553035) 11-(0.439915,0.642851) 12-(0.435382,0.663951) 13-(0.390099,0.654795) 14-(0.392243,0.59417) 15-(0.41667,0.676706) 16-(0.411936,0.693829) 17-(0.362716,0.69813) 18-(0.36717,0.642463) 19-(0.390411,0.692763) 20-(0.387611,0.712406) 
566666#0-(0.435712,0.858268) 1-(0.471553,0.801312) 2-(0.482858,0.690928) 3-(0.480194,0.602847) 4-(0.492564,0.533394) 5-(0.447755,0.605228) 6-(0.445208,0.525728) 7-(0.452908,0.485049) 8-(0.456029,0.438385) 9-(0.42029,0.617741) 10-(0.423989,0.538886) 11-(0.444816,0.629278) 12-(0.439574,0.652529) 13-(0.39373,0.644729) 14-(0.397233,0.582924) 15-(0.4232,0.667377) 16-(0.417305,0.686533) 17-(0.36627,0.688648) 18-(0.373265,0.635027) 19-(0.396758,0.686382) 20-(0.392124,0.707669) 
600000#0-(0.439514,0.845961) 1-(0.473583,0.789539) 2-(0.484861,0.68108) 3-(0.482549,0.594417) 4-(0.493021,0.523187) 5-(0.447251,0.593247) 6-(0.444693,0.514834) 7-(0.45361,0.476037) 8-(0.45816,0.431107) 9-(0.419224,0.607843) 10-(0.424798,0.533337) 11-(0.446368,0.626156) 12-(0.44087,0.650073) 13-(0.392508,0.636726) 14-(0.398053,0.578099) 15-(0.424673,0.663798) 16-(0.418576,0.68317) 17-(0.365983,0.682343) 18-(0.374374,0.631677) 19-(0.398941,0.684134) 20-(0.394627,0.705565) 
