0#0-(0.232129,0.26306) 1-(0.266169,0.236461) 2-(0.288039,0.192336) 3-(0.299649,0.187975) 4-(0.296047,0.184576) 5-(0.251049,0.0147875) 6-(0.246534,-0.0164857) 7-(0.248881,-0.00266699) 8-(0.247537,0.0171641) 9-(0.202358,0.0280143) 10-(0.206205,0.073471) 11-(0.234421,0.149842) 12-(0.252772,0.177719) 13-(0.165384,0.0775552) 14-(0.177922,0.159102) 15-(0.210236,0.211748) 16-(0.226372,0.214602) 17-(0.13946,0.140858) 18-(0.153049,0.208299) 19-(0.183655,0.243648) 20-(0.201151,0.239559) 
33333#0-(0.190715,0.202653) 1-(0.235253,0.191092) 2-(0.266677,0.185998) 3-(0.2836,0.213288) 4-(0.293645,0.243096) 5-(0.236238,0.00599965) 6-(0.236,0.107591) 7-(0.239894,0.176634) 8-(0.240669,0.179836) 9-(0.186636,0.0178734) 10-(0.202454,0.133538) 11-(0.209645,0.194104) 12-(0.209284,0.175306) 13-(0.148955,0.0586877) 14-(0.165849,0.169676) 15-(0.181784,0.208933) 16-(0.185784,0.184773) 17-(0.120712,0.108849) 18-(0.137081,0.197325) 19-(0.15342,0.229444) 20-(0.157512,0.21141) 
66666#0-(0.192781,0.151066) 1-(0.233774,0.176501) 2-(0.267994,0.188606) 3-(0.286253,0.227333) 4-(0.2981,0.267645) 5-(0.238279,0.035866) 6-(0.235927,0.0790367) 7-(0.249171,0.171657) 8-(0.261836,0.221943) 9-(0.188478,0.0507865) 10-(0.185384,0.0890276) 11-(0.204481,0.191343) 12-(0.216486,0.233714) 13-(0.1498,0.0863018) 14-(0.140382,0.131223) 15-(0.165078,0.216644) 16-(0.178546,0.246734) 17-(0.122636,0.129451) 18-(0.109802,0.180303) 19-(0.130859,0.24201) 20-(0.14658,0.268602) 21-(0.194801,0.307523) 22-(0.238865,0.270812) 23-(0.263245,0.251197) 24-(0.278629,0.260268) 25-(0.290226,0.292309) 26-(0.23223,0.196101) 27-(0.220334,0.194914) 28-(0.215361,0.212631) 29-(0.211347,0.228482) 30-(0.194165,0.1985) 31-(0.183708,0.204428) 32-(0.186446,0.218604) 33-(0.189799,0.234157) 34-(0.16124,0.217819) 35-(0.157572,0.224933) 36-(0.167111,0.244995) 37-(0.170745,0.26663) 38-(0.133305,0.247549) 39-(0.131807,0.250221) 40-(0.140862,0.271795) 41-(0.143002,0.293207) 
100000#0-(0.192005,0.327132) 1-(0.226132,0.30896) 2-(0.255618,0.300828) 3-(0.270244,0.33024) 4-(0.28299,0.356876) 5-(0.229124,0.123228) 6-(0.229381,0.218435) 7-(0.228334,0.289085) 8-(0.2252,0.307129) 9-(0.183211,0.112131) 10-(0.179232,0.235754) 11-(0.182223,0.284509) 12-(0.184067,0.274355) 13-(0.146275,0.139515) 14-(0.150226,0.264457) 15-(0.164929,0.298033) 16-(0.171649,0.279991) 17-(0.117773,0.18484) 18-(0.120842,0.283662) 19-(0.137025,0.307218) 20-(0.1456,0.288967) 
133333#0-(0.182806,0.314612) 1-(0.224994,0.287783) 2-(0.251465,0.288854) 3-(0.266428,0.328779) 4-(0.281841,0.377825) 5-(0.21245,0.0932052) 6-(0.230964,0.242539) 7-(0.249064,0.353857) 8-(0.257158,0.404795) 9-(0.159882,0.10878) 10-(0.193942,0.278051) 11-(0.213827,0.337086) 12-(0.219542,0.339482) 13-(0.123431,0.162954) 14-(0.157603,0.310633) 15-(0.177427,0.341215) 16-(0.180601,0.32846) 17-(0.100371,0.234097) 18-(0.126531,0.341951) 19-(0.144419,0.365935) 20-(0.14657,0.356719) 21-(0.195268,0.34788) 22-(0.246363,0.356484) 23-(0.285701,0.348316) 24-(0.309283,0.366663) 25-(0.329721,0.384637) 26-(0.210645,0.194662) 27-(0.217482,0.206529) 28-(0.22481,0.22006) 29-(0.226133,0.225686) 30-(0.159442,0.191773) 31-(0.170191,0.274344) 32-(0.192071,0.322554) 33-(0.205204,0.331487) 34-(0.124878,0.224125) 35-(0.132966,0.307202) 36-(0.156848,0.339172) 37-(0.175375,0.336927) 38-(0.0998026,0.282126) 39-(0.0892102,0.343859) 40-(0.0950286,0.39176) 41-(0.101015,0.413224) 
166666#0-(0.192935,0.407371) 1-(0.247416,0.404571) 2-(0.290075,0.377245) 3-(0.325242,0.369819) 4-(0.365674,0.359836) 5-(0.214122,0.163355) 6-(0.224147,0.344816) 7-(0.241997,0.409033) 8-(0.251286,0.412854) 9-(0.159355,0.17025) 10-(0.169203,0.358394) 11-(0.198194,0.411107) 12-(0.213015,0.400363) 13-(0.118646,0.214133) 14-(0.128332,0.382201) 15-(0.157765,0.422018) 16-(0.173397,0.406492) 17-(0.0954505,0.27916) 18-(0.0962386,0.393493) 19-(0.114749,0.446168) 20-(0.123566,0.459031) 
200000#0-(0.17665,0.409728) 1-(0.231387,0.416071) 2-(0.282602,0.408608) 3-(0.320763,0.433753) 4-(0.356851,0.448349) 5-(0.218018,0.221818) 6-(0.221083,0.377272) 7-(0.228872,0.484181) 8-(0.234887,0.526699) 9-(0.160262,0.223729) 10-(0.165349,0.403637) 11-(0.176751,0.487011) 12-(0.185678,0.49396) 13-(0.115957,0.258288) 14-(0.128633,0.440338) 15-(0.14642,0.507047) 16-(0.15797,0.504151) 17-(0.0874097,0.312521) 18-(0.0997095,0.436665) 19-(0.115146,0.494495) 20-(0.122159,0.500409) 21-(0.136374,0.385276) 22-(0.211147,0.396088) 23-(0.248206,0.425625) 24-(0.255914,0.481256) 25-(0.254969,0.542265) 26-(0.177567,0.314467) 27-(0.180655,0.402575) 28-(0.201395,0.444698) 29-(0.206951,0.454408) 30-(0.130463,0.320111) 31-(0.13692,0.443886) 32-(0.165733,0.477237) 33-(0.175581,0.47467) 34-(0.0989731,0.352844) 35-(0.106022,0.469581) 36-(0.137138,0.490562) 37-(0.148774,0.487152) 38-(0.0737832,0.398067) 39-(0.0798567,0.471141) 40-(0.104473,0.485589) 41-(0.117998,0.479641) 
233333#0-(0.165711,0.403115) 1-(0.218974,0.394077) 2-(0.248688,0.437467) 3-(0.244729,0.536668) 4-(0.226455,0.626757) 5-(0.192661,0.271277) 6-(0.213783,0.460257) 7-(0.23834,0.596814) 8-(0.249677,0.673369) 9-(0.134692,0.300176) 10-(0.172624,0.508952) 11-(0.189236,0.543995) 12-(0.191379,0.53071) 13-(0.0958618,0.354971) 14-(0.137986,0.538061) 15-(0.159451,0.537513) 16-(0.158796,0.492985) 17-(0.0729309,0.417431) 18-(0.108471,0.543443) 19-(0.13044,0.5408) 20-(0.129804,0.4995) 
266666#0-(0.131006,0.421933) 1-(0.188247,0.431218) 2-(0.21616,0.44634) 3-(0.216761,0.500103) 4-(0.210537,0.569051) 5-(0.168455,0.298445) 6-(0.197342,0.364429) 7-(0.221094,0.487506) 8-(0.232596,0.588694) 9-(0.124135,0.321526) 10-(0.143957,0.444216) 11-(0.168866,0.542572) 12-(0.181215,0.589388) 13-(0.0897853,0.373964) 14-(0.103357,0.529637) 15-(0.12612,0.605962) 16-(0.135695,0.626332) 17-(0.0611816,0.431846) 18-(0.0625139,0.538698) 19-(0.082309,0.588059) 20-(0.0903816,0.594851) 
300000#0-(0.140283,0.471408) 1-(0.185883,0.470912) 2-(0.211399,0.468882) 3-(0.205639,0.494533) 4-(0.192884,0.516139) 5-(0.173121,0.343273) 6-(0.200102,0.41758) 7-(0.214502,0.519884) 8-(0.216041,0.585155) 9-(0.129934,0.364735) 10-(0.144657,0.478053) 11-(0.160292,0.570906) 12-(0.163789,0.620621) 13-(0.096371,0.418425) 14-(0.102471,0.555502) 15-(0.117518,0.618663) 16-(0.116161,0.641951) 17-(0.0718384,0.479742) 18-(0.0740382,0.568312) 19-(0.08619,0.612587) 20-(0.0873063,0.633425) 21-(0.129205,0.501308) 22-(0.185805,0.51983) 23-(0.237342,0.522665) 24-(0.273838,0.581791) 25-(0.300263,0.637645) 26-(0.183693,0.34855) 27-(0.194633,0.279141) 28-(0.218456,0.248598) 29-(0.241337,0.236115) 30-(0.126813,0.346506) 31-(0.147554,0.424314) 32-(0.176537,0.558076) 33-(0.194215,0.647647) 34-(0.0830162,0.397234) 35-(0.103775,0.542239) 36-(0.135965,0.652012) 37-(0.157369,0.711651) 38-(0.0478703,0.462891) 39-(0.065173,0.57834) 40-(0.100175,0.661047) 41-(0.124075,0.703924) 
333333#0-(0.136811,0.515965) 1-(0.172628,0.504041) 2-(0.19556,0.489571) 3-(0.202223,0.507184) 4-(0.20923,0.523774) 5-(0.154378,0.381929) 6-(0.165799,0.430342) 7-(0.170036,0.496542) 8-(0.166643,0.54005) 9-(0.121185,0.407857) 10-(0.124357,0.514725) 11-(0.138957,0.597414) 12-(0.15144,0.646161) 13-(0.0990881,0.459781) 14-(0.104482,0.591654) 15-(0.116557,0.653141) 16-(0.124314,0.681014) 17-(0.0863057,0.514511) 18-(0.0897101,0.598055) 19-(0.0984651,0.645108) 20-(0.105363,0.676561) 21-(0.140448,0.470227) 22-(0.203299,0.484836) 23-(0.239463,0.52752) 24-(0.251401,0.615325) 25-(0.248289,0.696469) 26-(0.174568,0.386647) 27-(0.183007,0.494296) 28-(0.207698,0.639157) 29-(0.229037,0.738965) 30-(0.119979,0.43027) 31-(0.132544,0.534369) 32-(0.15674,0.625769) 33-(0.175083,0.669421) 34-(0.0826802,0.484005) 35-(0.0922326,0.611124) 36-(0.111367,0.681589) 37-(0.125878,0.709381) 38-(0.0593812,0.539879) 39-(0.0705871,0.644907) 40-(0.0903036,0.68551) 41-(0.106812,0.69247) 
366666#0-(0.16699,0.508966) 1-(0.212579,0.497033) 2-(0.231747,0.532598) 3-(0.224114,0.59239) 4-(0.208593,0.628226) 5-(0.192548,0.424179) 6-(0.200375,0.578392) 7-(0.217362,0.693423) 8-(0.226397,0.770662) 9-(0.138954,0.427366) 10-(0.140942,0.650011) 11-(0.153826,0.754227) 12-(0.161533,0.816964) 13-(0.0984093,0.464265) 14-(0.100301,0.690149) 15-(0.120353,0.746596) 16-(0.13271,0.759862) 17-(0.0706509,0.519781) 18-(0.0772665,0.691424) 19-(0.0976538,0.724536) 20-(0.11118,0.721508) 
400000#
433333#0-(0.143677,0.487194) 1-(0.201809,0.533528) 2-(0.233391,0.653381) 3-(0.233888,0.780212) 4-(0.246148,0.878611) 5-(0.161465,0.572717) 6-(0.199853,0.778231) 7-(0.232567,0.894694) 8-(0.25031,0.990512) 9-(0.10478,0.600911) 10-(0.146708,0.849333) 11-(0.175282,0.811605) 12-(0.17893,0.751775) 13-(0.0675613,0.641151) 14-(0.109607,0.863439) 15-(0.137435,0.810146) 16-(0.140611,0.754001) 17-(0.0408681,0.684573) 18-(0.0814633,0.824725) 19-(0.107718,0.793327) 20-(0.110129,0.750593) 
466666#0-(0.12803,0.504379) 1-(0.189915,0.530252) 2-(0.219776,0.624951) 3-(0.22337,0.740177) 4-(0.222828,0.839267) 5-(0.149538,0.600385) 6-(0.195606,0.817605) 7-(0.224177,0.898191) 8-(0.236277,0.941479) 9-(0.0940209,0.625928) 10-(0.148823,0.874097) 11-(0.1842,0.860349) 12-(0.191141,0.814007) 13-(0.0563182,0.65828) 14-(0.113346,0.868637) 15-(0.151858,0.866362) 16-(0.160556,0.845348) 17-(0.0322634,0.687353) 18-(0.0827288,0.84844) 19-(0.117158,0.84997) 20-(0.127587,0.829666) 
500000#0-(0.126392,0.513115) 1-(0.17467,0.549283) 2-(0.203516,0.637337) 3-(0.210071,0.73543) 4-(0.212903,0.813634) 5-(0.132523,0.623158) 6-(0.172884,0.826459) 7-(0.19861,0.838226) 8-(0.20218,0.823097) 9-(0.084088,0.640604) 10-(0.136066,0.873246) 11-(0.165848,0.861404) 12-(0.165669,0.824897) 13-(0.0527116,0.668602) 14-(0.0969055,0.885776) 15-(0.128553,0.877361) 16-(0.134653,0.842944) 17-(0.0323938,0.693229) 18-(0.061857,0.852774) 19-(0.0902839,0.863499) 20-(0.10162,0.84244) 
533333#0-(0.126549,0.528206) 1-(0.172999,0.557894) 2-(0.203384,0.64218) 3-(0.213339,0.738265) 4-(0.221879,0.81254) 5-(0.128112,0.620114) 6-(0.16793,0.813958) 7-(0.197425,0.839429) 8-(0.206212,0.839023) 9-(0.0812206,0.642084) 10-(0.13426,0.866718) 11-(0.165826,0.86649) 12-(0.16903,0.838868) 13-(0.0517071,0.673835) 14-(0.096404,0.882782) 15-(0.128569,0.881585) 16-(0.137326,0.853386) 17-(0.0335879,0.700528) 18-(0.0631445,0.850469) 19-(0.0906957,0.865158) 20-(0.103338,0.849064) 
