0#0-(0.346007,0.747293) 1-(0.381456,0.698313) 2-(0.387873,0.575322) 3-(0.38058,0.492454) 4-(0.390628,0.419377) 5-(0.353373,0.478802) 6-(0.351246,0.404622) 7-(0.3603,0.364264) 8-(0.365766,0.322806) 9-(0.321209,0.499675) 10-(0.327131,0.418344) 11-(0.35187,0.509723) 12-(0.350444,0.541556) 13-(0.290151,0.532552) 14-(0.296905,0.479917) 15-(0.327261,0.573163) 16-(0.324963,0.596893) 17-(0.257776,0.582758) 18-(0.267546,0.530596) 19-(0.295731,0.588299) 20-(0.293682,0.611706) 
33333#0-(0.34483,0.728028) 1-(0.377255,0.680669) 2-(0.386619,0.558754) 3-(0.382056,0.477464) 4-(0.391941,0.410215) 5-(0.352647,0.472026) 6-(0.350153,0.389397) 7-(0.356949,0.348011) 8-(0.359089,0.310302) 9-(0.32206,0.49214) 10-(0.329748,0.414773) 11-(0.351269,0.500846) 12-(0.347722,0.53102) 13-(0.291125,0.522115) 14-(0.299698,0.478088) 15-(0.325809,0.565225) 16-(0.322114,0.586662) 17-(0.257434,0.567008) 18-(0.266749,0.519263) 19-(0.291938,0.575824) 20-(0.28906,0.598775) 
66666#0-(0.341667,0.713277) 1-(0.374397,0.668354) 2-(0.383595,0.553553) 3-(0.377529,0.471995) 4-(0.388937,0.405057) 5-(0.350387,0.464211) 6-(0.349459,0.394169) 7-(0.35184,0.349124) 8-(0.3491,0.297746) 9-(0.318887,0.480047) 10-(0.324093,0.408728) 11-(0.34644,0.501885) 12-(0.343182,0.530984) 13-(0.287099,0.508972) 14-(0.291899,0.461837) 15-(0.319321,0.555091) 16-(0.316468,0.577116) 17-(0.254974,0.55606) 18-(0.263067,0.510338) 19-(0.288503,0.570377) 20-(0.285988,0.592361) 
100000#0-(0.338399,0.704863) 1-(0.373531,0.656017) 2-(0.381579,0.541472) 3-(0.374125,0.457455) 4-(0.383291,0.386604) 5-(0.347578,0.448018) 6-(0.347458,0.384434) 7-(0.349526,0.343419) 8-(0.345248,0.296904) 9-(0.315275,0.461484) 10-(0.320894,0.399364) 11-(0.341224,0.49274) 12-(0.335994,0.520968) 13-(0.283199,0.490027) 14-(0.288037,0.453729) 15-(0.313745,0.545788) 16-(0.309965,0.565523) 17-(0.251326,0.53718) 18-(0.259462,0.504294) 19-(0.2838,0.563902) 20-(0.280566,0.582537) 
133333#0-(0.337477,0.693947) 1-(0.371521,0.644394) 2-(0.380007,0.531675) 3-(0.373923,0.448789) 4-(0.385146,0.381407) 5-(0.346259,0.43376) 6-(0.346035,0.374623) 7-(0.349068,0.339654) 8-(0.344765,0.294048) 9-(0.312204,0.445189) 10-(0.317231,0.385104) 11-(0.33848,0.484097) 12-(0.332666,0.506299) 13-(0.278789,0.474279) 14-(0.283499,0.438056) 15-(0.311552,0.53503) 16-(0.307635,0.547618) 17-(0.246289,0.522139) 18-(0.257459,0.492751) 19-(0.285292,0.55588) 20-(0.28283,0.567464) 
166666#0-(0.330603,0.675227) 1-(0.365658,0.632912) 2-(0.375203,0.520537) 3-(0.368999,0.435767) 4-(0.378889,0.361134) 5-(0.341404,0.420973) 6-(0.343058,0.355487) 7-(0.345795,0.318848) 8-(0.342096,0.277248) 9-(0.308035,0.433847) 10-(0.313764,0.368098) 11-(0.337396,0.467715) 12-(0.333647,0.492516) 13-(0.275971,0.463847) 14-(0.281782,0.425045) 15-(0.311225,0.521096) 16-(0.307764,0.536007) 17-(0.244685,0.512384) 18-(0.255982,0.479756) 19-(0.283642,0.541012) 20-(0.281142,0.554794) 
200000#0-(0.327931,0.663198) 1-(0.362536,0.61677) 2-(0.372881,0.507914) 3-(0.368944,0.425348) 4-(0.380611,0.357043) 5-(0.339894,0.409892) 6-(0.340883,0.346425) 7-(0.343396,0.304168) 8-(0.341207,0.25634) 9-(0.305977,0.419786) 10-(0.311405,0.358996) 11-(0.333811,0.455512) 12-(0.33067,0.47903) 13-(0.273682,0.450413) 14-(0.278952,0.412577) 15-(0.307237,0.504745) 16-(0.305099,0.519278) 17-(0.242491,0.49936) 18-(0.25472,0.469713) 19-(0.281885,0.526567) 20-(0.280888,0.539697) 
233333#0-(0.326968,0.642953) 1-(0.361023,0.597508) 2-(0.369618,0.491597) 3-(0.367571,0.414037) 4-(0.382256,0.347508) 5-(0.334347,0.395674) 6-(0.334298,0.330123) 7-(0.338334,0.291261) 8-(0.337655,0.244662) 9-(0.302252,0.407762) 10-(0.306753,0.352813) 11-(0.328171,0.447921) 12-(0.323887,0.461241) 13-(0.272284,0.438687) 14-(0.27769,0.40944) 15-(0.303245,0.496304) 16-(0.298083,0.499896) 17-(0.243796,0.485564) 18-(0.252675,0.460787) 19-(0.276236,0.516719) 20-(0.272199,0.52385) 
266666#0-(0.325515,0.612845) 1-(0.360344,0.56907) 2-(0.36967,0.471981) 3-(0.366521,0.403817) 4-(0.37584,0.34361) 5-(0.333715,0.363626) 6-(0.328882,0.28339) 7-(0.330967,0.249048) 8-(0.330079,0.218258) 9-(0.300005,0.384194) 10-(0.305377,0.329692) 11-(0.326697,0.418182) 12-(0.327868,0.431814) 13-(0.270221,0.421504) 14-(0.273976,0.394702) 15-(0.302042,0.472075) 16-(0.305515,0.473575) 17-(0.24348,0.471057) 18-(0.251344,0.455922) 19-(0.276158,0.505906) 20-(0.279088,0.50499) 
300000#0-(0.32094,0.598028) 1-(0.354316,0.549068) 2-(0.363777,0.448114) 3-(0.358981,0.375074) 4-(0.368356,0.312377) 5-(0.330355,0.340077) 6-(0.326196,0.250032) 7-(0.332636,0.223653) 8-(0.336897,0.204817) 9-(0.296972,0.362243) 10-(0.301747,0.300788) 11-(0.321344,0.396082) 12-(0.32236,0.40872) 13-(0.266282,0.394792) 14-(0.265935,0.359938) 15-(0.291081,0.443805) 16-(0.293884,0.447641) 17-(0.236463,0.436786) 18-(0.234006,0.396142) 19-(0.255947,0.446698) 20-(0.259604,0.455688) 
