0#0-(0.303193,0.581292) 1-(0.34359,0.576512) 2-(0.378329,0.512195) 3-(0.405402,0.461288) 4-(0.43414,0.424638) 5-(0.341414,0.405451) 6-(0.339369,0.337585) 7-(0.344655,0.278795) 8-(0.349505,0.225704) 9-(0.315362,0.408163) 10-(0.32036,0.344184) 11-(0.329243,0.399976) 12-(0.330149,0.438003) 13-(0.289745,0.421289) 14-(0.295252,0.360282) 15-(0.309095,0.4228) 16-(0.310058,0.462027) 17-(0.263339,0.444638) 18-(0.272287,0.400612) 19-(0.288512,0.438732) 20-(0.292241,0.471054) 
33333#0-(0.303155,0.578102) 1-(0.342439,0.576786) 2-(0.378081,0.513081) 3-(0.406478,0.466995) 4-(0.43783,0.435828) 5-(0.3452,0.406556) 6-(0.34175,0.340183) 7-(0.344955,0.283007) 8-(0.348114,0.230582) 9-(0.318152,0.409097) 10-(0.32104,0.344798) 11-(0.328526,0.4044) 12-(0.329385,0.446115) 13-(0.29154,0.421537) 14-(0.295083,0.360664) 15-(0.309019,0.425648) 16-(0.311804,0.467367) 17-(0.264736,0.444351) 18-(0.272691,0.40086) 19-(0.288695,0.440874) 20-(0.293825,0.474364) 
66666#0-(0.302193,0.58275) 1-(0.342773,0.579284) 2-(0.376933,0.519897) 3-(0.403545,0.473043) 4-(0.432747,0.442088) 5-(0.345365,0.412077) 6-(0.342675,0.342965) 7-(0.34654,0.284545) 8-(0.350506,0.230619) 9-(0.319057,0.412358) 10-(0.321719,0.348301) 11-(0.328796,0.398499) 12-(0.330161,0.437606) 13-(0.292888,0.424162) 14-(0.296706,0.363001) 15-(0.309419,0.423911) 16-(0.311226,0.468136) 17-(0.266047,0.448118) 18-(0.274812,0.403029) 19-(0.289886,0.43876) 20-(0.293966,0.473412) 
100000#0-(0.301663,0.584982) 1-(0.341603,0.581077) 2-(0.37556,0.523034) 3-(0.402172,0.478244) 4-(0.431009,0.447726) 5-(0.344647,0.413161) 6-(0.341377,0.342648) 7-(0.345056,0.284399) 8-(0.348899,0.230765) 9-(0.318401,0.414406) 10-(0.322813,0.347485) 11-(0.330891,0.398194) 12-(0.33248,0.43791) 13-(0.292281,0.426757) 14-(0.297988,0.364316) 15-(0.310806,0.424775) 16-(0.311599,0.467351) 17-(0.265562,0.450623) 18-(0.275868,0.405127) 19-(0.290637,0.442415) 20-(0.293053,0.476159) 
133333#0-(0.301304,0.581125) 1-(0.342092,0.577132) 2-(0.374614,0.520664) 3-(0.400475,0.477934) 4-(0.429758,0.450179) 5-(0.344917,0.412745) 6-(0.340961,0.343042) 7-(0.343465,0.287004) 8-(0.34578,0.235078) 9-(0.318977,0.41402) 10-(0.322409,0.348885) 11-(0.329161,0.40168) 12-(0.329552,0.440867) 13-(0.29309,0.426243) 14-(0.297274,0.364799) 15-(0.309724,0.425054) 16-(0.311066,0.466204) 17-(0.266609,0.450368) 18-(0.275583,0.405249) 19-(0.290276,0.441914) 20-(0.293604,0.474572) 
166666#0-(0.301122,0.577898) 1-(0.341306,0.574071) 2-(0.375109,0.518352) 3-(0.401422,0.474591) 4-(0.430026,0.445435) 5-(0.345018,0.410937) 6-(0.342003,0.343531) 7-(0.345651,0.285778) 8-(0.348946,0.233293) 9-(0.319262,0.410556) 10-(0.322887,0.348449) 11-(0.329785,0.398379) 12-(0.330824,0.435519) 13-(0.293374,0.421265) 14-(0.298256,0.360647) 15-(0.310544,0.420716) 16-(0.311971,0.462258) 17-(0.266397,0.44333) 18-(0.275989,0.39815) 19-(0.290346,0.434209) 20-(0.293675,0.467662) 
200000#0-(0.30233,0.574893) 1-(0.342483,0.572241) 2-(0.37602,0.516891) 3-(0.401853,0.472256) 4-(0.430369,0.442577) 5-(0.346833,0.412125) 6-(0.343621,0.344712) 7-(0.346053,0.286794) 8-(0.347848,0.232161) 9-(0.321282,0.411312) 10-(0.325733,0.34796) 11-(0.332511,0.397543) 12-(0.333158,0.433444) 13-(0.295222,0.421689) 14-(0.299931,0.359458) 15-(0.311696,0.418925) 16-(0.312906,0.458952) 17-(0.267955,0.443766) 18-(0.276538,0.398133) 19-(0.2906,0.434266) 20-(0.293979,0.466585) 
233333#0-(0.302059,0.573643) 1-(0.341805,0.572165) 2-(0.375662,0.516648) 3-(0.401121,0.471615) 4-(0.430208,0.441881) 5-(0.347872,0.411941) 6-(0.344539,0.345589) 7-(0.346339,0.287333) 8-(0.347594,0.232095) 9-(0.322497,0.409745) 10-(0.326998,0.347553) 11-(0.333864,0.384747) 12-(0.336176,0.410147) 13-(0.296467,0.419249) 14-(0.300901,0.359115) 15-(0.311661,0.418998) 16-(0.313079,0.458576) 17-(0.26885,0.440348) 18-(0.277567,0.397152) 19-(0.290767,0.434454) 20-(0.294073,0.466534) 
266666#0-(0.303613,0.572142) 1-(0.342826,0.57239) 2-(0.376496,0.515769) 3-(0.401885,0.470026) 4-(0.430669,0.44087) 5-(0.348319,0.410785) 6-(0.34569,0.34575) 7-(0.347487,0.287616) 8-(0.348816,0.233184) 9-(0.322317,0.408923) 10-(0.326054,0.35163) 11-(0.331626,0.401257) 12-(0.332418,0.434738) 13-(0.296072,0.418796) 14-(0.300454,0.362008) 15-(0.311492,0.421582) 16-(0.312984,0.459667) 17-(0.268764,0.440059) 18-(0.277851,0.400461) 19-(0.291594,0.436977) 20-(0.295116,0.467208) 
300000#0-(0.30322,0.570489) 1-(0.342882,0.57077) 2-(0.377267,0.515012) 3-(0.402968,0.469641) 4-(0.431769,0.441104) 5-(0.350043,0.409652) 6-(0.346301,0.345224) 7-(0.347875,0.288755) 8-(0.349491,0.234475) 9-(0.324241,0.408205) 10-(0.329487,0.348361) 11-(0.335167,0.397621) 12-(0.335943,0.429768) 13-(0.297877,0.417721) 14-(0.303097,0.358871) 15-(0.313517,0.419988) 16-(0.314895,0.458209) 17-(0.270124,0.439094) 18-(0.279956,0.398016) 19-(0.293197,0.436376) 20-(0.296104,0.467662) 
