0#
33333#
66666#
100000#
133333#
166666#
200000#0-(0,0) 1-(0,0) 2-(0,0) 3-(0,0) 4-(0,0) 5-(0,0) 6-(0,0) 7-(0,0) 8-(0,0) 9-(0,0) 10-(0,0) 11-(0,0) 12-(0,0) 13-(0,0) 14-(0,0) 15-(0,0) 16-(0,0) 17-(0,0) 18-(0,0) 19-(0,0) 20-(0,0) 
233333#
266666#0-(0.306896,0.711194) 1-(0.266816,0.738833) 2-(0.237761,0.743567) 3-(0.21574,0.763627) 4-(0.2056,0.778477) 5-(0.249268,0.625404) 6-(0.227121,0.62708) 7-(0.229684,0.67505) 8-(0.236466,0.717219) 9-(0.277294,0.609488) 10-(0.268131,0.608052) 11-(0.275187,0.668279) 12-(0.279816,0.707807) 13-(0.307311,0.617746) 14-(0.313799,0.632972) 15-(0.316215,0.694898) 16-(0.313528,0.731225) 17-(0.331931,0.636713) 18-(0.344184,0.659425) 19-(0.341598,0.700633) 20-(0.331813,0.725043) 
300000#0-(0.306949,0.764707) 1-(0.299667,0.78086) 2-(0.293525,0.777316) 3-(0.274025,0.789957) 4-(0.256958,0.785944) 5-(0.288276,0.632072) 6-(0.288523,0.582445) 7-(0.292594,0.536071) 8-(0.28856,0.487368) 9-(0.276614,0.614286) 10-(0.269603,0.570132) 11-(0.271609,0.54686) 12-(0.262463,0.503217) 13-(0.266159,0.618019) 14-(0.25164,0.633378) 15-(0.260728,0.680142) 16-(0.264378,0.699364) 17-(0.260181,0.64597) 18-(0.244598,0.675433) 19-(0.252628,0.72274) 20-(0.261232,0.750161) 21-(0.367382,0.429491) 22-(0.366317,0.463213) 23-(0.35308,0.49844) 24-(0.337469,0.514481) 25-(0.32702,0.52989) 26-(0.289919,0.51008) 27-(0.259448,0.554151) 28-(0.245006,0.582835) 29-(0.236352,0.608562) 30-(0.274045,0.47327) 31-(0.248723,0.494974) 32-(0.240282,0.510626) 33-(0.233912,0.531365) 34-(0.26872,0.430629) 35-(0.264175,0.42874) 36-(0.283332,0.413532) 37-(0.300452,0.409129) 38-(0.272224,0.390951) 39-(0.262259,0.391972) 40-(0.269106,0.3887) 41-(0.276903,0.387957) 
333333#0-(0.256536,0.792631) 1-(0.290053,0.737391) 2-(0.313448,0.691053) 3-(0.316375,0.665979) 4-(0.306661,0.651895) 5-(0.279762,0.6121) 6-(0.278768,0.547496) 7-(0.287092,0.518997) 8-(0.295078,0.504979) 9-(0.253926,0.62984) 10-(0.252329,0.569827) 11-(0.264869,0.592487) 12-(0.272243,0.622758) 13-(0.232803,0.659673) 14-(0.232047,0.608557) 15-(0.24703,0.636459) 16-(0.254251,0.668684) 17-(0.216531,0.700664) 18-(0.217559,0.658663) 19-(0.22888,0.677276) 20-(0.234851,0.704301) 21-(0.353763,0.430385) 22-(0.343788,0.39338) 23-(0.333746,0.374232) 24-(0.329239,0.361934) 25-(0.328536,0.34296) 26-(0.296323,0.458729) 27-(0.285383,0.481407) 28-(0.275629,0.498599) 29-(0.267053,0.517057) 30-(0.298304,0.48965) 31-(0.288356,0.539714) 32-(0.278951,0.569421) 33-(0.26803,0.596195) 34-(0.30578,0.50795) 35-(0.298221,0.550576) 36-(0.2928,0.569441) 37-(0.284921,0.584813) 38-(0.314816,0.512811) 39-(0.313029,0.54409) 40-(0.308631,0.565339) 41-(0.303935,0.586706) 
366666#0-(0.274542,0.804035) 1-(0.29843,0.740547) 2-(0.308868,0.670214) 3-(0.310867,0.614403) 4-(0.309856,0.573067) 5-(0.267896,0.630768) 6-(0.265799,0.557145) 7-(0.276601,0.516026) 8-(0.286674,0.490431) 9-(0.251703,0.637758) 10-(0.25259,0.560916) 11-(0.267791,0.521178) 12-(0.280336,0.502406) 13-(0.240682,0.65402) 14-(0.242549,0.588008) 15-(0.258417,0.558511) 16-(0.272279,0.55188) 17-(0.233385,0.677919) 18-(0.234633,0.625498) 19-(0.246104,0.594941) 20-(0.257726,0.581984) 21-(0.327444,0.43942) 22-(0.330512,0.395235) 23-(0.331549,0.369273) 24-(0.340954,0.348944) 25-(0.347476,0.31767) 26-(0.314358,0.451851) 27-(0.30576,0.464747) 28-(0.299028,0.475937) 29-(0.29522,0.495841) 30-(0.307131,0.487522) 31-(0.303479,0.515778) 32-(0.299358,0.540115) 33-(0.296154,0.569897) 34-(0.303339,0.509264) 35-(0.306846,0.522471) 36-(0.309272,0.526246) 37-(0.310837,0.534131) 38-(0.301968,0.517376) 39-(0.306691,0.532905) 40-(0.309295,0.544422) 41-(0.312503,0.556781) 
400000#0-(0.281458,0.821777) 1-(0.276775,0.73685) 2-(0.279163,0.663298) 3-(0.291472,0.614427) 4-(0.306906,0.571762) 5-(0.248339,0.634875) 6-(0.25828,0.572583) 7-(0.280194,0.531543) 8-(0.300564,0.505105) 9-(0.256014,0.653109) 10-(0.269185,0.580404) 11-(0.290526,0.532799) 12-(0.308359,0.499366) 13-(0.270275,0.674341) 14-(0.285255,0.602763) 15-(0.307577,0.560639) 16-(0.326643,0.533567) 17-(0.289847,0.700671) 18-(0.302201,0.638252) 19-(0.318625,0.599026) 20-(0.332996,0.569008) 21-(0.336413,0.389961) 22-(0.336227,0.423763) 23-(0.33728,0.452768) 24-(0.335024,0.46377) 25-(0.330978,0.460303) 26-(0.319969,0.462251) 27-(0.320091,0.491853) 28-(0.322425,0.518198) 29-(0.324513,0.539278) 30-(0.309858,0.454093) 31-(0.305138,0.495161) 32-(0.302162,0.529428) 33-(0.299603,0.560638) 34-(0.302874,0.437342) 35-(0.309687,0.471247) 36-(0.322669,0.489135) 37-(0.331115,0.50658) 38-(0.30386,0.420248) 39-(0.313928,0.436632) 40-(0.325599,0.441001) 41-(0.333922,0.445347) 
433333#0-(0.300416,0.836482) 1-(0.275215,0.778111) 2-(0.27288,0.708752) 3-(0.275276,0.653774) 4-(0.285142,0.602233) 5-(0.260405,0.656153) 6-(0.268336,0.585193) 7-(0.284813,0.541203) 8-(0.303718,0.498853) 9-(0.273323,0.657661) 10-(0.282386,0.583069) 11-(0.29962,0.53269) 12-(0.317076,0.491387) 13-(0.289341,0.667087) 14-(0.30153,0.60268) 15-(0.318405,0.556207) 16-(0.335453,0.519055) 17-(0.3069,0.687138) 18-(0.322553,0.637614) 19-(0.332846,0.601375) 20-(0.34295,0.57244) 21-(0.337587,0.40326) 22-(0.33157,0.415783) 23-(0.323945,0.430709) 24-(0.320735,0.439642) 25-(0.317274,0.443742) 26-(0.314298,0.454638) 27-(0.306822,0.477095) 28-(0.298112,0.491733) 29-(0.289711,0.506657) 30-(0.313845,0.448926) 31-(0.309645,0.466456) 32-(0.302715,0.474526) 33-(0.295579,0.483513) 34-(0.317513,0.43731) 35-(0.320925,0.44818) 36-(0.326973,0.442927) 37-(0.332684,0.440902) 38-(0.323221,0.424584) 39-(0.325274,0.433063) 40-(0.329248,0.429592) 41-(0.332785,0.427023) 
466666#0-(0.310172,0.842889) 1-(0.291517,0.810373) 2-(0.289906,0.760634) 3-(0.294768,0.716591) 4-(0.305064,0.66673) 5-(0.272594,0.673353) 6-(0.277547,0.599214) 7-(0.292064,0.55512) 8-(0.307918,0.51582) 9-(0.287617,0.666369) 10-(0.291402,0.58981) 11-(0.306453,0.538836) 12-(0.321226,0.496385) 13-(0.306883,0.668776) 14-(0.312523,0.604385) 15-(0.328511,0.56006) 16-(0.344153,0.525347) 17-(0.328034,0.681864) 18-(0.339855,0.633112) 19-(0.35044,0.599156) 20-(0.359338,0.570916) 
500000#0-(0.321064,0.827977) 1-(0.302638,0.788717) 2-(0.29643,0.743863) 3-(0.298475,0.707802) 4-(0.307824,0.674883) 5-(0.28489,0.671572) 6-(0.283386,0.606391) 7-(0.297965,0.563469) 8-(0.312849,0.53124) 9-(0.300057,0.662804) 10-(0.299671,0.590655) 11-(0.315663,0.543458) 12-(0.329141,0.510248) 13-(0.319761,0.664226) 14-(0.323103,0.59765) 15-(0.339333,0.557619) 16-(0.353263,0.530564) 17-(0.342078,0.675893) 18-(0.352031,0.62704) 19-(0.362775,0.593755) 20-(0.370401,0.565852) 21-(0.349058,0.751659) 22-(0.394247,0.740378) 23-(0.437186,0.662942) 24-(0.470344,0.602272) 25-(0.502315,0.564083) 26-(0.392224,0.517437) 27-(0.385885,0.416925) 28-(0.385257,0.34004) 29-(0.38468,0.273873) 30-(0.361351,0.516419) 31-(0.359744,0.404812) 32-(0.380693,0.414789) 33-(0.396021,0.452407) 34-(0.33101,0.531629) 35-(0.325874,0.427302) 36-(0.349141,0.468881) 37-(0.362332,0.531567) 38-(0.299425,0.560195) 39-(0.298937,0.480727) 40-(0.31959,0.489712) 41-(0.333725,0.528787) 
533333#0-(0.314849,0.834751) 1-(0.34371,0.797789) 2-(0.356003,0.757992) 3-(0.36545,0.722561) 4-(0.377686,0.685961) 5-(0.322296,0.680223) 6-(0.336113,0.609019) 7-(0.354308,0.56537) 8-(0.370373,0.535686) 9-(0.309713,0.671629) 10-(0.317597,0.590603) 11-(0.333483,0.539973) 12-(0.347796,0.509366) 13-(0.303594,0.66959) 14-(0.308521,0.591649) 15-(0.323118,0.545071) 16-(0.336313,0.513942) 17-(0.302077,0.673633) 18-(0.303436,0.608019) 19-(0.311673,0.570016) 20-(0.320762,0.539642) 21-(0.345309,0.780325) 22-(0.391933,0.74812) 23-(0.434384,0.664554) 24-(0.468916,0.604065) 25-(0.503647,0.568301) 26-(0.396708,0.524793) 27-(0.389921,0.421327) 28-(0.383918,0.347228) 29-(0.376699,0.283811) 30-(0.364845,0.52332) 31-(0.35881,0.408165) 32-(0.378916,0.394617) 33-(0.397767,0.412233) 34-(0.33363,0.536736) 35-(0.321758,0.428469) 36-(0.345097,0.458515) 37-(0.363537,0.513398) 38-(0.301083,0.562237) 39-(0.296291,0.476755) 40-(0.313599,0.481649) 41-(0.329815,0.517374) 
566666#0-(0.319986,0.819823) 1-(0.347899,0.773264) 2-(0.359585,0.717246) 3-(0.370332,0.670714) 4-(0.375072,0.63868) 5-(0.323621,0.665034) 6-(0.33681,0.602557) 7-(0.355743,0.559379) 8-(0.374488,0.525635) 9-(0.316535,0.654009) 10-(0.330248,0.586334) 11-(0.352654,0.54831) 12-(0.373878,0.523518) 13-(0.315484,0.648446) 14-(0.327579,0.585346) 15-(0.347877,0.555637) 16-(0.3654,0.53752) 17-(0.316293,0.649903) 18-(0.328701,0.598211) 19-(0.342621,0.572187) 20-(0.355002,0.554068) 21-(0.344362,0.792684) 22-(0.391378,0.751817) 23-(0.431792,0.662489) 24-(0.462474,0.598968) 25-(0.500912,0.560422) 26-(0.400281,0.520333) 27-(0.391986,0.416253) 28-(0.384064,0.346527) 29-(0.375856,0.282075) 30-(0.370188,0.515686) 31-(0.370731,0.397065) 32-(0.396141,0.362092) 33-(0.418415,0.352138) 34-(0.339422,0.527394) 35-(0.330547,0.411577) 36-(0.351327,0.458234) 37-(0.365308,0.521927) 38-(0.3052,0.552137) 39-(0.301557,0.462749) 40-(0.319139,0.47835) 41-(0.333505,0.517896) 
600000#0-(0.330975,0.805926) 1-(0.316577,0.727748) 2-(0.320851,0.651408) 3-(0.334837,0.595955) 4-(0.343548,0.552348) 5-(0.308322,0.625482) 6-(0.320494,0.575744) 7-(0.336099,0.540239) 8-(0.351854,0.511258) 9-(0.326235,0.634466) 10-(0.339195,0.585255) 11-(0.356635,0.551072) 12-(0.372205,0.526765) 13-(0.345517,0.648722) 14-(0.358115,0.597539) 15-(0.375082,0.57147) 16-(0.387845,0.554288) 17-(0.361812,0.66922) 18-(0.377494,0.625104) 19-(0.389423,0.607971) 20-(0.396967,0.595414) 21-(0.335494,0.80313) 22-(0.387567,0.744106) 23-(0.428048,0.657535) 24-(0.460971,0.596095) 25-(0.497711,0.560576) 26-(0.390418,0.513814) 27-(0.38098,0.414417) 28-(0.379799,0.341998) 29-(0.378234,0.275774) 30-(0.3625,0.517011) 31-(0.36725,0.394814) 32-(0.393806,0.410259) 33-(0.409348,0.443349) 34-(0.335263,0.528368) 35-(0.332897,0.411923) 36-(0.354381,0.463032) 37-(0.361356,0.523446) 38-(0.303718,0.549765) 39-(0.305598,0.454893) 40-(0.324378,0.480409) 41-(0.331955,0.527748) 
