0#0-(0.337294,0.579862) 1-(0.372266,0.530011) 2-(0.394547,0.451498) 3-(0.414068,0.398692) 4-(0.421893,0.369945) 5-(0.33946,0.341436) 6-(0.398988,0.290133) 7-(0.414699,0.328866) 8-(0.41073,0.353922) 9-(0.327839,0.353537) 10-(0.408824,0.343629) 11-(0.411573,0.402011) 12-(0.393114,0.41057) 13-(0.331858,0.386933) 14-(0.410018,0.390864) 15-(0.406714,0.447779) 16-(0.389799,0.455119) 17-(0.345104,0.430913) 18-(0.409026,0.446489) 19-(0.404711,0.491979) 20-(0.386683,0.497891) 
33333#0-(0.339671,0.572078) 1-(0.375251,0.522111) 2-(0.398825,0.452506) 3-(0.419381,0.399114) 4-(0.426279,0.368086) 5-(0.345633,0.334337) 6-(0.408624,0.294602) 7-(0.416559,0.34053) 8-(0.40428,0.360644) 9-(0.333216,0.344992) 10-(0.41429,0.333622) 11-(0.414902,0.393526) 12-(0.394916,0.398743) 13-(0.335532,0.376487) 14-(0.414888,0.38733) 15-(0.411718,0.443813) 16-(0.394351,0.443636) 17-(0.34614,0.422062) 18-(0.413347,0.443749) 19-(0.407847,0.488184) 20-(0.388666,0.488825) 
66666#0-(0.341649,0.572701) 1-(0.379054,0.522788) 2-(0.400868,0.453413) 3-(0.421342,0.400272) 4-(0.430166,0.37273) 5-(0.347434,0.337066) 6-(0.409548,0.292884) 7-(0.419791,0.337626) 8-(0.409821,0.363888) 9-(0.336008,0.345946) 10-(0.41549,0.332795) 11-(0.419177,0.394444) 12-(0.400637,0.404558) 13-(0.33924,0.376561) 14-(0.416252,0.381671) 15-(0.416072,0.440083) 16-(0.400517,0.446245) 17-(0.350984,0.420943) 18-(0.416489,0.439148) 19-(0.413195,0.484803) 20-(0.394936,0.489513) 
100000#0-(0.341006,0.570117) 1-(0.378531,0.522803) 2-(0.401962,0.454235) 3-(0.423721,0.40127) 4-(0.433236,0.368482) 5-(0.349582,0.334348) 6-(0.409724,0.292435) 7-(0.421164,0.334734) 8-(0.413854,0.358828) 9-(0.337649,0.343661) 10-(0.416923,0.336916) 11-(0.418927,0.397063) 12-(0.400268,0.404465) 13-(0.340357,0.374429) 14-(0.417473,0.384631) 15-(0.415325,0.442037) 16-(0.399596,0.446748) 17-(0.351066,0.420668) 18-(0.417372,0.440598) 19-(0.412937,0.486061) 20-(0.394661,0.490007) 
133333#0-(0.341196,0.560879) 1-(0.373449,0.514322) 2-(0.398301,0.446205) 3-(0.42296,0.394565) 4-(0.43323,0.360039) 5-(0.351265,0.338277) 6-(0.410857,0.298027) 7-(0.426351,0.331199) 8-(0.426965,0.352627) 9-(0.341147,0.347902) 10-(0.420775,0.348396) 11-(0.421156,0.4091) 12-(0.403666,0.415596) 13-(0.343491,0.37844) 14-(0.421042,0.390627) 15-(0.416339,0.448767) 16-(0.399628,0.455871) 17-(0.353084,0.420275) 18-(0.418366,0.440309) 19-(0.41369,0.485864) 20-(0.396454,0.491271) 
166666#0-(0.340836,0.558567) 1-(0.372901,0.511675) 2-(0.398505,0.444117) 3-(0.423169,0.393587) 4-(0.43362,0.359376) 5-(0.354016,0.331878) 6-(0.414569,0.298312) 7-(0.426789,0.334074) 8-(0.424259,0.354269) 9-(0.34413,0.341034) 10-(0.422621,0.346369) 11-(0.420784,0.406172) 12-(0.403304,0.410678) 13-(0.346154,0.371863) 14-(0.421343,0.387434) 15-(0.41485,0.444598) 16-(0.398997,0.449992) 17-(0.355124,0.41453) 18-(0.4184,0.436549) 19-(0.412553,0.481076) 20-(0.395984,0.48623) 
200000#0-(0.344196,0.558876) 1-(0.376088,0.510295) 2-(0.400381,0.444205) 3-(0.425043,0.394103) 4-(0.434823,0.36223) 5-(0.353669,0.339239) 6-(0.413365,0.299478) 7-(0.427711,0.333131) 8-(0.426661,0.35517) 9-(0.343466,0.348647) 10-(0.422,0.349959) 11-(0.423022,0.40977) 12-(0.406383,0.417087) 13-(0.345705,0.379052) 14-(0.421196,0.389099) 15-(0.417933,0.446436) 16-(0.402274,0.45515) 17-(0.35554,0.42144) 18-(0.418683,0.438563) 19-(0.415692,0.482861) 20-(0.400054,0.489635) 
233333#0-(0.343176,0.567349) 1-(0.377723,0.518711) 2-(0.40308,0.448949) 3-(0.426414,0.395448) 4-(0.433457,0.366325) 5-(0.35447,0.339137) 6-(0.415004,0.296911) 7-(0.428378,0.331123) 8-(0.425798,0.352743) 9-(0.342908,0.34743) 10-(0.421414,0.342226) 11-(0.422952,0.400476) 12-(0.406292,0.407227) 13-(0.344983,0.376953) 14-(0.422412,0.38955) 15-(0.418443,0.444627) 16-(0.40269,0.447989) 17-(0.354324,0.420159) 18-(0.421091,0.443437) 19-(0.415762,0.487521) 20-(0.397488,0.489162) 
266666#0-(0.342796,0.56832) 1-(0.373418,0.516506) 2-(0.395879,0.447332) 3-(0.421255,0.39508) 4-(0.434923,0.359506) 5-(0.352001,0.345339) 6-(0.419666,0.315582) 7-(0.426996,0.361126) 8-(0.416956,0.383474) 9-(0.343909,0.35797) 10-(0.423726,0.352922) 11-(0.423162,0.412611) 12-(0.407843,0.424595) 13-(0.347423,0.389389) 14-(0.42317,0.39475) 15-(0.420389,0.453045) 16-(0.405532,0.466076) 17-(0.357853,0.432871) 18-(0.420535,0.442405) 19-(0.419101,0.484209) 20-(0.405883,0.495062) 
300000#0-(0.341176,0.574385) 1-(0.377668,0.524264) 2-(0.404506,0.459678) 3-(0.429539,0.40847) 4-(0.436578,0.377132) 5-(0.353154,0.344654) 6-(0.418856,0.310861) 7-(0.429847,0.351899) 8-(0.423654,0.372294) 9-(0.34204,0.356761) 10-(0.424005,0.352615) 11-(0.423336,0.415068) 12-(0.404785,0.422358) 13-(0.344141,0.390292) 14-(0.422139,0.397345) 15-(0.417821,0.456576) 16-(0.401333,0.464826) 17-(0.353385,0.43652) 18-(0.418683,0.45121) 19-(0.414065,0.49691) 20-(0.396585,0.503982) 
