0#0-(0.40521,0.659347) 1-(0.439723,0.600734) 2-(0.442976,0.49569) 3-(0.435254,0.422287) 4-(0.437398,0.3529) 5-(0.393767,0.43841) 6-(0.414472,0.356433) 7-(0.432181,0.295293) 8-(0.444801,0.242586) 9-(0.371378,0.452293) 10-(0.426328,0.40485) 11-(0.441836,0.471874) 12-(0.437439,0.523518) 13-(0.357882,0.480781) 14-(0.415073,0.451916) 15-(0.428726,0.518906) 16-(0.422347,0.562688) 17-(0.351226,0.516199) 18-(0.397642,0.494842) 19-(0.413528,0.537046) 20-(0.408728,0.572086) 
33333#0-(0.401279,0.67694) 1-(0.43714,0.608271) 2-(0.437731,0.500767) 3-(0.43118,0.428645) 4-(0.434799,0.364603) 5-(0.384196,0.442895) 6-(0.409248,0.365969) 7-(0.43195,0.313461) 8-(0.451389,0.267394) 9-(0.362476,0.456249) 10-(0.423914,0.414804) 11-(0.433664,0.487442) 12-(0.425099,0.529455) 13-(0.351417,0.48493) 14-(0.41912,0.456907) 15-(0.427407,0.525824) 16-(0.416305,0.561444) 17-(0.349083,0.520383) 18-(0.404452,0.49973) 19-(0.416856,0.542282) 20-(0.409029,0.57059) 
66666#0-(0.402456,0.672843) 1-(0.435541,0.606308) 2-(0.436407,0.500181) 3-(0.431498,0.431431) 4-(0.435678,0.36728) 5-(0.382089,0.443821) 6-(0.40568,0.370089) 7-(0.429174,0.323034) 8-(0.450601,0.284903) 9-(0.361439,0.458207) 10-(0.423049,0.416746) 11-(0.436282,0.493539) 12-(0.427384,0.534396) 13-(0.35171,0.486782) 14-(0.416481,0.454303) 15-(0.42813,0.524271) 16-(0.417941,0.558884) 17-(0.350493,0.52149) 18-(0.403204,0.495795) 19-(0.416942,0.540553) 20-(0.408585,0.570125) 
100000#0-(0.403082,0.668903) 1-(0.436203,0.606731) 2-(0.436393,0.500067) 3-(0.430616,0.431386) 4-(0.435143,0.368064) 5-(0.382517,0.44322) 6-(0.405278,0.371251) 7-(0.430057,0.324327) 8-(0.452552,0.287773) 9-(0.36294,0.460993) 10-(0.424567,0.418454) 11-(0.437305,0.497168) 12-(0.426931,0.535187) 13-(0.353285,0.489689) 14-(0.416968,0.455236) 15-(0.427583,0.526555) 16-(0.415869,0.559581) 17-(0.351108,0.522719) 18-(0.402062,0.497132) 19-(0.415194,0.543348) 20-(0.405316,0.571734) 
133333#0-(0.403401,0.667525) 1-(0.437601,0.608505) 2-(0.437481,0.499113) 3-(0.429813,0.428356) 4-(0.432187,0.361666) 5-(0.383556,0.439806) 6-(0.405562,0.370552) 7-(0.430953,0.322541) 8-(0.454741,0.283622) 9-(0.36343,0.457769) 10-(0.424337,0.417419) 11-(0.439961,0.497687) 12-(0.430216,0.534253) 13-(0.353575,0.487329) 14-(0.415393,0.454168) 15-(0.428216,0.526986) 16-(0.416717,0.559608) 17-(0.351098,0.521774) 18-(0.401538,0.496675) 19-(0.415585,0.543974) 20-(0.405218,0.57296) 
166666#0-(0.403508,0.668279) 1-(0.436549,0.60951) 2-(0.435917,0.500497) 3-(0.427728,0.428941) 4-(0.42784,0.361027) 5-(0.384327,0.443854) 6-(0.405534,0.375975) 7-(0.429562,0.331322) 8-(0.451924,0.292905) 9-(0.364026,0.460265) 10-(0.421807,0.420466) 11-(0.435787,0.501653) 12-(0.426753,0.536022) 13-(0.354002,0.488215) 14-(0.413819,0.455408) 15-(0.42541,0.528919) 16-(0.41489,0.560718) 17-(0.35223,0.520919) 18-(0.402962,0.497041) 19-(0.41603,0.544393) 20-(0.406309,0.573013) 
200000#0-(0.404879,0.664399) 1-(0.435937,0.610427) 2-(0.4358,0.497978) 3-(0.428131,0.425699) 4-(0.427562,0.356414) 5-(0.386333,0.442264) 6-(0.405217,0.377263) 7-(0.426877,0.338678) 8-(0.44712,0.308708) 9-(0.365767,0.45823) 10-(0.421864,0.420245) 11-(0.434617,0.500337) 12-(0.425023,0.534169) 13-(0.353985,0.485008) 14-(0.412673,0.456065) 15-(0.422437,0.52699) 16-(0.411573,0.556075) 17-(0.350061,0.516607) 18-(0.401394,0.498016) 19-(0.414136,0.54459) 20-(0.4041,0.570821) 
233333#0-(0.403876,0.664946) 1-(0.436353,0.607816) 2-(0.437201,0.497291) 3-(0.429287,0.424513) 4-(0.426747,0.359404) 5-(0.381536,0.444362) 6-(0.401115,0.377172) 7-(0.425521,0.334017) 8-(0.449097,0.299033) 9-(0.362988,0.461769) 10-(0.422787,0.42091) 11-(0.438813,0.49869) 12-(0.430045,0.529895) 13-(0.354524,0.488213) 14-(0.415948,0.454549) 15-(0.427985,0.526749) 16-(0.417121,0.556583) 17-(0.354191,0.518237) 18-(0.405078,0.49377) 19-(0.418207,0.541666) 20-(0.408027,0.569847) 
266666#0-(0.407023,0.66074) 1-(0.43994,0.604635) 2-(0.440118,0.494996) 3-(0.430313,0.42367) 4-(0.427283,0.363447) 5-(0.387336,0.442494) 6-(0.405347,0.374465) 7-(0.42849,0.330272) 8-(0.451117,0.295243) 9-(0.365768,0.458827) 10-(0.423113,0.418449) 11-(0.440273,0.49797) 12-(0.433483,0.53203) 13-(0.354482,0.485165) 14-(0.414939,0.451884) 15-(0.428247,0.525348) 16-(0.418418,0.557393) 17-(0.351686,0.51603) 18-(0.40256,0.49238) 19-(0.416919,0.54024) 20-(0.407385,0.5686) 
300000#0-(0.40619,0.655964) 1-(0.437575,0.600527) 2-(0.438477,0.48901) 3-(0.430612,0.418739) 4-(0.427936,0.357445) 5-(0.386546,0.441649) 6-(0.40178,0.375428) 7-(0.422718,0.335439) 8-(0.443666,0.307516) 9-(0.366015,0.458514) 10-(0.422334,0.420279) 11-(0.43977,0.496568) 12-(0.434029,0.531838) 13-(0.354946,0.485193) 14-(0.414135,0.453554) 15-(0.427001,0.523456) 16-(0.418301,0.556264) 17-(0.351651,0.516447) 18-(0.401098,0.493619) 19-(0.416158,0.537824) 20-(0.408577,0.566478) 
