0#0-(0.27739,0.750498) 1-(0.312343,0.722781) 2-(0.317868,0.637123) 3-(0.287856,0.565334) 4-(0.262106,0.518433) 5-(0.303658,0.546366) 6-(0.308068,0.460969) 7-(0.307653,0.400111) 8-(0.30384,0.343374) 9-(0.272661,0.545645) 10-(0.273799,0.451446) 11-(0.275171,0.379661) 12-(0.273325,0.316743) 13-(0.244017,0.566964) 14-(0.238066,0.497848) 15-(0.254514,0.561409) 16-(0.262633,0.614772) 17-(0.214823,0.607363) 18-(0.209217,0.541872) 19-(0.22563,0.57255) 20-(0.237114,0.610025) 
33333#0-(0.277978,0.753831) 1-(0.312975,0.720648) 2-(0.316742,0.636661) 3-(0.286102,0.567619) 4-(0.262461,0.519236) 5-(0.302454,0.549013) 6-(0.308219,0.4617) 7-(0.308909,0.401247) 8-(0.305603,0.345058) 9-(0.271386,0.548914) 10-(0.272493,0.452348) 11-(0.274249,0.380198) 12-(0.272775,0.315035) 13-(0.242942,0.570766) 14-(0.236605,0.501832) 15-(0.25424,0.562986) 16-(0.263947,0.614222) 17-(0.214636,0.60982) 18-(0.207253,0.545452) 19-(0.222265,0.57055) 20-(0.233851,0.603155) 
66666#0-(0.277385,0.754541) 1-(0.312894,0.722803) 2-(0.317746,0.638428) 3-(0.285903,0.572231) 4-(0.259286,0.533086) 5-(0.301047,0.549128) 6-(0.308056,0.462921) 7-(0.308904,0.401969) 8-(0.305995,0.345853) 9-(0.270235,0.548695) 10-(0.2718,0.452357) 11-(0.273299,0.380932) 12-(0.27228,0.31785) 13-(0.242484,0.571409) 14-(0.234967,0.500998) 15-(0.252968,0.563244) 16-(0.263514,0.615898) 17-(0.214969,0.611679) 18-(0.206649,0.544674) 19-(0.222346,0.571575) 20-(0.234493,0.607273) 
100000#0-(0.277904,0.753667) 1-(0.312622,0.721494) 2-(0.317547,0.637208) 3-(0.285858,0.571735) 4-(0.25933,0.531172) 5-(0.30167,0.546944) 6-(0.308213,0.461025) 7-(0.308282,0.400504) 8-(0.30449,0.343265) 9-(0.270712,0.54707) 10-(0.272109,0.451372) 11-(0.273025,0.379356) 12-(0.271484,0.314614) 13-(0.242857,0.570426) 14-(0.234877,0.49928) 15-(0.253226,0.562359) 16-(0.264036,0.61573) 17-(0.21505,0.611606) 18-(0.206962,0.543744) 19-(0.223466,0.5738) 20-(0.236384,0.612217) 
133333#0-(0.27693,0.752797) 1-(0.312138,0.721783) 2-(0.316942,0.636673) 3-(0.284788,0.570566) 4-(0.257675,0.530844) 5-(0.300818,0.547166) 6-(0.307627,0.461234) 7-(0.30811,0.400917) 8-(0.304784,0.345157) 9-(0.269992,0.547143) 10-(0.271453,0.45182) 11-(0.272843,0.380515) 12-(0.271596,0.317041) 13-(0.241946,0.569868) 14-(0.234407,0.500792) 15-(0.252473,0.563577) 16-(0.263137,0.616073) 17-(0.213967,0.610429) 18-(0.206142,0.544026) 19-(0.222028,0.571649) 20-(0.234358,0.60729) 
166666#0-(0.275903,0.752956) 1-(0.310698,0.721229) 2-(0.315438,0.639323) 3-(0.283909,0.570342) 4-(0.257418,0.524086) 5-(0.300943,0.549178) 6-(0.305698,0.461908) 7-(0.30527,0.401422) 8-(0.300721,0.344749) 9-(0.270088,0.549866) 10-(0.270343,0.452376) 11-(0.271781,0.379921) 12-(0.270332,0.315599) 13-(0.241756,0.57205) 14-(0.234467,0.502948) 15-(0.251847,0.566278) 16-(0.261444,0.619244) 17-(0.213161,0.612194) 18-(0.204748,0.544795) 19-(0.220676,0.574405) 20-(0.233045,0.61277) 
200000#0-(0.274728,0.753883) 1-(0.309445,0.725089) 2-(0.313978,0.643205) 3-(0.2844,0.573328) 4-(0.2605,0.523867) 5-(0.30123,0.553944) 6-(0.305206,0.464579) 7-(0.304901,0.403548) 8-(0.300939,0.346687) 9-(0.270359,0.553285) 10-(0.27027,0.453254) 11-(0.270921,0.37968) 12-(0.269154,0.314139) 13-(0.241628,0.574989) 14-(0.232604,0.50099) 15-(0.249514,0.563963) 16-(0.259678,0.617914) 17-(0.212819,0.615228) 18-(0.203781,0.545954) 19-(0.220362,0.576753) 20-(0.234206,0.616782) 
233333#0-(0.274446,0.754467) 1-(0.309355,0.72671) 2-(0.313669,0.641099) 3-(0.28232,0.570452) 4-(0.256576,0.52316) 5-(0.300787,0.552436) 6-(0.304549,0.4665) 7-(0.303341,0.405272) 8-(0.298796,0.34696) 9-(0.269872,0.550824) 10-(0.272031,0.456966) 11-(0.272854,0.384895) 12-(0.271318,0.32) 13-(0.240888,0.571057) 14-(0.233718,0.500211) 15-(0.249305,0.565513) 16-(0.258489,0.620401) 17-(0.211498,0.610727) 18-(0.205461,0.544112) 19-(0.221958,0.580075) 20-(0.234792,0.623291) 
266666#0-(0.275927,0.760213) 1-(0.310797,0.72871) 2-(0.314156,0.642102) 3-(0.28239,0.571988) 4-(0.256847,0.528046) 5-(0.299117,0.555563) 6-(0.302281,0.470401) 7-(0.301746,0.408043) 8-(0.298456,0.349678) 9-(0.268248,0.554473) 10-(0.269535,0.463599) 11-(0.269881,0.392015) 12-(0.267962,0.328469) 13-(0.239747,0.576629) 14-(0.229547,0.502379) 15-(0.245342,0.562153) 16-(0.255403,0.613419) 17-(0.21131,0.618262) 18-(0.203448,0.553537) 19-(0.219372,0.586942) 20-(0.231679,0.627701) 
300000#0-(0.275444,0.758089) 1-(0.30944,0.731349) 2-(0.313648,0.644111) 3-(0.282002,0.571337) 4-(0.254553,0.526653) 5-(0.298156,0.553745) 6-(0.300873,0.468165) 7-(0.299352,0.405662) 8-(0.294833,0.346543) 9-(0.267489,0.552899) 10-(0.26958,0.459708) 11-(0.270495,0.386778) 12-(0.268484,0.322485) 13-(0.239008,0.574196) 14-(0.230649,0.501375) 15-(0.246061,0.563847) 16-(0.254993,0.616972) 17-(0.210599,0.615447) 18-(0.20368,0.550303) 19-(0.21946,0.583991) 20-(0.231317,0.624486) 
