0#0-(0.313955,0.781593) 1-(0.344583,0.778566) 2-(0.363269,0.702395) 3-(0.3394,0.652158) 4-(0.308103,0.619584) 5-(0.350016,0.563428) 6-(0.367746,0.473677) 7-(0.375527,0.413579) 8-(0.37792,0.359626) 9-(0.309855,0.560259) 10-(0.294283,0.455405) 11-(0.281139,0.376195) 12-(0.267043,0.305605) 13-(0.279117,0.589021) 14-(0.270436,0.542692) 15-(0.288706,0.604968) 16-(0.29978,0.656208) 17-(0.253376,0.632941) 18-(0.244402,0.582299) 19-(0.259478,0.614696) 20-(0.274186,0.652031) 
33333#0-(0.312816,0.779942) 1-(0.342538,0.775931) 2-(0.359646,0.698958) 3-(0.336903,0.646009) 4-(0.307092,0.612918) 5-(0.347947,0.556627) 6-(0.365408,0.466871) 7-(0.373152,0.407342) 8-(0.375598,0.354543) 9-(0.307486,0.553478) 10-(0.290836,0.448869) 11-(0.277044,0.368472) 12-(0.262116,0.297271) 13-(0.276871,0.58276) 14-(0.267034,0.537252) 15-(0.284494,0.599463) 16-(0.295056,0.650014) 17-(0.251579,0.627036) 18-(0.242579,0.578591) 19-(0.257404,0.612366) 20-(0.271921,0.64949) 
66666#0-(0.314483,0.782866) 1-(0.345324,0.777254) 2-(0.361231,0.697534) 3-(0.335856,0.645209) 4-(0.307123,0.611939) 5-(0.349584,0.556047) 6-(0.366943,0.466216) 7-(0.374986,0.405485) 8-(0.377545,0.350433) 9-(0.309001,0.553249) 10-(0.292217,0.449021) 11-(0.278359,0.368715) 12-(0.263242,0.297078) 13-(0.278469,0.582241) 14-(0.268191,0.535919) 15-(0.285861,0.599283) 16-(0.296893,0.651199) 17-(0.25327,0.626094) 18-(0.243124,0.577295) 19-(0.258319,0.612563) 20-(0.273742,0.652032) 
100000#0-(0.314996,0.782707) 1-(0.346662,0.775751) 2-(0.363855,0.69468) 3-(0.338359,0.638976) 4-(0.307718,0.605443) 5-(0.351446,0.557736) 6-(0.368714,0.467269) 7-(0.37653,0.406827) 8-(0.378754,0.352566) 9-(0.310826,0.554149) 10-(0.293722,0.450245) 11-(0.279317,0.371201) 12-(0.264013,0.301207) 13-(0.279971,0.58229) 14-(0.271724,0.536235) 15-(0.29016,0.600762) 16-(0.301395,0.652904) 17-(0.254528,0.625572) 18-(0.24509,0.575313) 19-(0.25922,0.606972) 20-(0.27331,0.642957) 
133333#0-(0.314969,0.784113) 1-(0.346089,0.777811) 2-(0.364623,0.694088) 3-(0.340798,0.636577) 4-(0.309529,0.603818) 5-(0.352624,0.557589) 6-(0.370269,0.468502) 7-(0.378432,0.407922) 8-(0.380818,0.353946) 9-(0.312254,0.553143) 10-(0.296099,0.448768) 11-(0.283066,0.369459) 12-(0.26883,0.300454) 13-(0.28176,0.581432) 14-(0.274562,0.535516) 15-(0.292692,0.600554) 16-(0.302983,0.653437) 17-(0.256046,0.624078) 18-(0.248239,0.573994) 19-(0.262289,0.607203) 20-(0.275412,0.644608) 
166666#0-(0.316633,0.785889) 1-(0.347476,0.778264) 2-(0.365077,0.69762) 3-(0.343375,0.640556) 4-(0.315421,0.604097) 5-(0.353726,0.556388) 6-(0.372319,0.466567) 7-(0.38058,0.405883) 8-(0.383366,0.351573) 9-(0.313083,0.552772) 10-(0.297251,0.448479) 11-(0.284397,0.368751) 12-(0.270454,0.297955) 13-(0.282235,0.581916) 14-(0.273652,0.535176) 15-(0.292508,0.600022) 16-(0.304272,0.652395) 17-(0.256635,0.62705) 18-(0.24752,0.577027) 19-(0.261735,0.608637) 20-(0.276074,0.643537) 
200000#0-(0.316409,0.786727) 1-(0.347089,0.780671) 2-(0.365041,0.699753) 3-(0.341733,0.644326) 4-(0.312305,0.608898) 5-(0.352222,0.55718) 6-(0.368735,0.465653) 7-(0.377014,0.403955) 8-(0.380554,0.348225) 9-(0.311783,0.554745) 10-(0.295614,0.449408) 11-(0.283063,0.368262) 12-(0.269587,0.295432) 13-(0.281202,0.58486) 14-(0.27345,0.53788) 15-(0.292665,0.602532) 16-(0.303718,0.65471) 17-(0.255737,0.630729) 18-(0.24787,0.579757) 19-(0.264182,0.615452) 20-(0.279487,0.655612) 
233333#0-(0.315085,0.787549) 1-(0.345991,0.784363) 2-(0.364376,0.706065) 3-(0.3412,0.653824) 4-(0.312252,0.617671) 5-(0.352016,0.563681) 6-(0.368583,0.476877) 7-(0.37672,0.415784) 8-(0.380744,0.359623) 9-(0.310813,0.560816) 10-(0.295878,0.457914) 11-(0.282459,0.376459) 12-(0.268851,0.302686) 13-(0.279376,0.590294) 14-(0.272239,0.544637) 15-(0.289407,0.608261) 16-(0.299989,0.66039) 17-(0.253421,0.637227) 18-(0.248526,0.589453) 19-(0.264564,0.625827) 20-(0.280259,0.666441) 
266666#0-(0.314027,0.787769) 1-(0.345987,0.785717) 2-(0.364487,0.707885) 3-(0.341755,0.654679) 4-(0.311887,0.620647) 5-(0.351296,0.569655) 6-(0.368235,0.480225) 7-(0.376084,0.418536) 8-(0.379122,0.361667) 9-(0.31068,0.567615) 10-(0.293963,0.462478) 11-(0.279961,0.381685) 12-(0.265802,0.307773) 13-(0.279119,0.596463) 14-(0.270984,0.550591) 15-(0.290003,0.615889) 16-(0.302114,0.668388) 17-(0.253014,0.64095) 18-(0.244949,0.591098) 19-(0.261201,0.624519) 20-(0.277437,0.662199) 
300000#0-(0.314408,0.790683) 1-(0.346315,0.789142) 2-(0.365445,0.710024) 3-(0.343371,0.656651) 4-(0.31304,0.621666) 5-(0.351546,0.573171) 6-(0.368379,0.482684) 7-(0.376995,0.421556) 8-(0.380755,0.366958) 9-(0.311173,0.571474) 10-(0.29415,0.46565) 11-(0.280847,0.385683) 12-(0.267044,0.313501) 13-(0.279873,0.600251) 14-(0.272195,0.55714) 15-(0.290791,0.620078) 16-(0.302054,0.67012) 17-(0.25408,0.643077) 18-(0.246011,0.594699) 19-(0.261277,0.627192) 20-(0.275923,0.663378) 
333333#0-(0.312356,0.789069) 1-(0.345166,0.788242) 2-(0.36434,0.710121) 3-(0.343258,0.655985) 4-(0.312729,0.617829) 5-(0.349404,0.571326) 6-(0.368321,0.48291) 7-(0.377451,0.420697) 8-(0.3815,0.363356) 9-(0.309008,0.568829) 10-(0.292736,0.464623) 11-(0.278636,0.388155) 12-(0.263851,0.317587) 13-(0.278117,0.597026) 14-(0.271267,0.55144) 15-(0.291414,0.619537) 16-(0.303775,0.673416) 17-(0.252822,0.639503) 18-(0.244913,0.590702) 19-(0.261614,0.625086) 20-(0.277977,0.66366) 
366666#0-(0.312732,0.78686) 1-(0.345483,0.785251) 2-(0.364541,0.706883) 3-(0.341541,0.651806) 4-(0.31033,0.617212) 5-(0.351019,0.568132) 6-(0.368092,0.48015) 7-(0.375755,0.419351) 8-(0.378239,0.362787) 9-(0.310399,0.565378) 10-(0.294188,0.461571) 11-(0.2803,0.383293) 12-(0.265981,0.310997) 13-(0.278368,0.593099) 14-(0.270012,0.546737) 15-(0.288826,0.614136) 16-(0.300554,0.667096) 17-(0.251859,0.636854) 18-(0.243771,0.586548) 19-(0.260586,0.62186) 20-(0.277058,0.660693) 
400000#0-(0.313074,0.789809) 1-(0.346177,0.788705) 2-(0.365851,0.708417) 3-(0.342867,0.653502) 4-(0.311092,0.618549) 5-(0.350852,0.570092) 6-(0.367729,0.481089) 7-(0.375357,0.41983) 8-(0.377909,0.364928) 9-(0.309894,0.567683) 10-(0.293219,0.465083) 11-(0.279569,0.386473) 12-(0.265708,0.315218) 13-(0.277933,0.596963) 14-(0.270421,0.55238) 15-(0.289669,0.61767) 16-(0.301681,0.669487) 17-(0.25195,0.641989) 18-(0.24438,0.593002) 19-(0.260093,0.624952) 20-(0.275316,0.660978) 
433333#0-(0.312283,0.791213) 1-(0.345569,0.792551) 2-(0.365489,0.711215) 3-(0.343557,0.654652) 4-(0.311092,0.619819) 5-(0.350724,0.572692) 6-(0.367713,0.482837) 7-(0.375441,0.422051) 8-(0.378026,0.367154) 9-(0.310303,0.569622) 10-(0.293927,0.464286) 11-(0.280879,0.386032) 12-(0.267336,0.314386) 13-(0.278498,0.59826) 14-(0.27107,0.551332) 15-(0.289791,0.618181) 16-(0.301228,0.671263) 17-(0.252419,0.642233) 18-(0.244484,0.59171) 19-(0.259686,0.623946) 20-(0.274283,0.660014) 
