0#0-(0.315842,0.993237) 1-(0.35861,0.985792) 2-(0.376921,0.964825) 3-(0.36077,0.956594) 4-(0.333223,0.944978) 5-(0.377522,0.825121) 6-(0.39051,0.722204) 7-(0.396191,0.652669) 8-(0.398307,0.588528) 9-(0.338854,0.81359) 10-(0.333035,0.689715) 11-(0.333664,0.610339) 12-(0.331023,0.537317) 13-(0.30525,0.833004) 14-(0.285419,0.7505) 15-(0.28209,0.685676) 16-(0.279517,0.623309) 17-(0.279009,0.872771) 18-(0.27167,0.876403) 19-(0.27963,0.927246) 20-(0.289582,0.971198) 
33333#0-(0.325068,1.00063) 1-(0.363946,0.994563) 2-(0.379865,0.966125) 3-(0.357296,0.952062) 4-(0.326813,0.937172) 5-(0.377808,0.823869) 6-(0.39056,0.71859) 7-(0.395675,0.651641) 8-(0.39757,0.593296) 9-(0.338964,0.814235) 10-(0.332042,0.688274) 11-(0.330169,0.60897) 12-(0.326106,0.536475) 13-(0.304587,0.835784) 14-(0.283469,0.751986) 15-(0.277118,0.688331) 16-(0.272136,0.629113) 17-(0.2773,0.877466) 18-(0.268019,0.875766) 19-(0.27463,0.920009) 20-(0.283933,0.95986) 
66666#0-(0.326716,1.00444) 1-(0.36382,0.998651) 2-(0.377458,0.972951) 3-(0.353386,0.961274) 4-(0.318164,0.946193) 5-(0.375596,0.828988) 6-(0.389085,0.725069) 7-(0.395568,0.656293) 8-(0.398414,0.595635) 9-(0.337972,0.815755) 10-(0.330954,0.689016) 11-(0.328637,0.609928) 12-(0.323131,0.535527) 13-(0.305097,0.834944) 14-(0.28392,0.748564) 15-(0.277668,0.683442) 16-(0.272341,0.620571) 17-(0.279914,0.874976) 18-(0.270955,0.87206) 19-(0.277531,0.920425) 20-(0.286079,0.963091) 
100000#0-(0.325597,0.995118) 1-(0.363197,0.98208) 2-(0.375127,0.961282) 3-(0.353882,0.955009) 4-(0.321803,0.940832) 5-(0.372859,0.822973) 6-(0.38648,0.713792) 7-(0.392205,0.643726) 8-(0.39279,0.582743) 9-(0.336491,0.817063) 10-(0.327534,0.689585) 11-(0.326424,0.616026) 12-(0.320787,0.549831) 13-(0.305684,0.837866) 14-(0.284724,0.753874) 15-(0.279762,0.685421) 16-(0.276078,0.619417) 17-(0.281605,0.876773) 18-(0.273053,0.877654) 19-(0.279503,0.922594) 20-(0.288528,0.960975) 
133333#0-(0.327671,0.996518) 1-(0.363516,0.986792) 2-(0.373781,0.963005) 3-(0.351513,0.953303) 4-(0.320688,0.938365) 5-(0.372085,0.825719) 6-(0.386982,0.714799) 7-(0.393044,0.644268) 8-(0.394295,0.585304) 9-(0.337088,0.818406) 10-(0.329038,0.688451) 11-(0.326329,0.614245) 12-(0.320234,0.548442) 13-(0.306681,0.837752) 14-(0.286408,0.752876) 15-(0.281504,0.6838) 16-(0.277761,0.619147) 17-(0.282938,0.875098) 18-(0.272061,0.874184) 19-(0.276714,0.921318) 20-(0.2846,0.963601) 
166666#0-(0.330952,0.997413) 1-(0.36736,0.982678) 2-(0.37884,0.958609) 3-(0.355874,0.948754) 4-(0.321493,0.931287) 5-(0.374432,0.823461) 6-(0.387245,0.714413) 7-(0.393138,0.645168) 8-(0.395018,0.583723) 9-(0.337507,0.815845) 10-(0.328831,0.687311) 11-(0.326386,0.611235) 12-(0.320749,0.540918) 13-(0.305948,0.83655) 14-(0.287096,0.751527) 15-(0.280774,0.686082) 16-(0.275581,0.622276) 17-(0.281786,0.877548) 18-(0.274779,0.87426) 19-(0.281686,0.917882) 20-(0.29112,0.956763) 
200000#0-(0.329668,0.996895) 1-(0.365891,0.983444) 2-(0.377416,0.959883) 3-(0.354508,0.950379) 4-(0.320448,0.929466) 5-(0.374398,0.820057) 6-(0.389415,0.713018) 7-(0.395748,0.642948) 8-(0.397302,0.579515) 9-(0.336463,0.812791) 10-(0.328456,0.687357) 11-(0.325751,0.611687) 12-(0.319778,0.541415) 13-(0.304461,0.833729) 14-(0.285241,0.749705) 15-(0.280269,0.684801) 16-(0.276854,0.620414) 17-(0.279502,0.875747) 18-(0.273022,0.872273) 19-(0.282029,0.917571) 20-(0.293239,0.957905) 
233333#0-(0.322491,0.997534) 1-(0.36094,0.989164) 2-(0.376025,0.964219) 3-(0.354792,0.953047) 4-(0.321986,0.937095) 5-(0.376957,0.820553) 6-(0.390541,0.720401) 7-(0.396777,0.653415) 8-(0.39968,0.592546) 9-(0.339082,0.809183) 10-(0.331857,0.685591) 11-(0.329542,0.607438) 12-(0.324299,0.534176) 13-(0.306363,0.829669) 14-(0.285245,0.747119) 15-(0.27884,0.683773) 16-(0.273519,0.622157) 17-(0.281249,0.870786) 18-(0.274736,0.873286) 19-(0.283722,0.922081) 20-(0.294797,0.965073) 
266666#0-(0.322832,0.997018) 1-(0.362356,0.987944) 2-(0.378162,0.963618) 3-(0.358221,0.952703) 4-(0.327644,0.938625) 5-(0.375772,0.818604) 6-(0.390504,0.715844) 7-(0.397218,0.648073) 8-(0.39989,0.585505) 9-(0.337238,0.809746) 10-(0.330185,0.688242) 11-(0.328634,0.61003) 12-(0.324509,0.537009) 13-(0.304128,0.832693) 14-(0.282183,0.753868) 15-(0.277475,0.693965) 16-(0.274225,0.636065) 17-(0.278456,0.876027) 18-(0.271951,0.877832) 19-(0.281895,0.921892) 20-(0.293867,0.961259) 
300000#0-(0.325084,1.00149) 1-(0.363669,0.991857) 2-(0.377776,0.964364) 3-(0.35471,0.950119) 4-(0.321469,0.931439) 5-(0.376246,0.818861) 6-(0.39004,0.716697) 7-(0.396795,0.648398) 8-(0.399446,0.586152) 9-(0.337987,0.808685) 10-(0.331601,0.688503) 11-(0.330269,0.610042) 12-(0.325829,0.535307) 13-(0.304875,0.830479) 14-(0.284228,0.752255) 15-(0.279196,0.693821) 16-(0.273961,0.6358) 17-(0.278747,0.874025) 18-(0.273588,0.873247) 19-(0.285336,0.914004) 20-(0.297357,0.950651) 
333333#0-(0.319753,0.99747) 1-(0.360144,0.992956) 2-(0.376502,0.9673) 3-(0.355985,0.952461) 4-(0.32424,0.934757) 5-(0.376243,0.820118) 6-(0.389553,0.717921) 7-(0.39544,0.650135) 8-(0.397795,0.587988) 9-(0.337246,0.8094) 10-(0.330485,0.687421) 11-(0.32858,0.609568) 12-(0.324361,0.537574) 13-(0.30389,0.832221) 14-(0.282445,0.751924) 15-(0.277812,0.693205) 16-(0.273904,0.63735) 17-(0.278009,0.876483) 18-(0.269901,0.87659) 19-(0.279385,0.919606) 20-(0.290566,0.958664) 
366666#0-(0.320751,1.00183) 1-(0.358421,0.99695) 2-(0.374158,0.969614) 3-(0.353715,0.952714) 4-(0.321662,0.934195) 5-(0.376032,0.821924) 6-(0.389053,0.721342) 7-(0.395588,0.652695) 8-(0.398759,0.589412) 9-(0.338023,0.809821) 10-(0.330866,0.689778) 11-(0.328707,0.611796) 12-(0.32408,0.538903) 13-(0.304744,0.830024) 14-(0.284514,0.747153) 15-(0.279621,0.683678) 16-(0.275313,0.622708) 17-(0.278449,0.871121) 18-(0.270724,0.866269) 19-(0.279671,0.90967) 20-(0.290017,0.949211) 
