0#0-(0.424459,0.821542) 1-(0.476967,0.775193) 2-(0.505709,0.676988) 3-(0.520857,0.599382) 4-(0.522328,0.542981) 5-(0.433604,0.51415) 6-(0.432819,0.393406) 7-(0.465436,0.356206) 8-(0.501528,0.365873) 9-(0.400888,0.535594) 10-(0.463918,0.494723) 11-(0.490117,0.576599) 12-(0.489469,0.635296) 13-(0.385151,0.586008) 14-(0.464655,0.571963) 15-(0.475986,0.645531) 16-(0.459078,0.680989) 17-(0.379258,0.649322) 18-(0.44475,0.640797) 19-(0.456194,0.6911) 20-(0.439092,0.717633) 
33333#0-(0.440087,0.761701) 1-(0.482108,0.724314) 2-(0.508385,0.625534) 3-(0.521894,0.548802) 4-(0.516824,0.496641) 5-(0.445575,0.49009) 6-(0.436051,0.372607) 7-(0.459579,0.337189) 8-(0.488683,0.352364) 9-(0.414204,0.509488) 10-(0.460338,0.456217) 11-(0.490642,0.531305) 12-(0.495627,0.591607) 13-(0.395156,0.554) 14-(0.455655,0.518958) 15-(0.477123,0.584475) 16-(0.471078,0.622486) 17-(0.385709,0.609354) 18-(0.440992,0.586585) 19-(0.461657,0.627752) 20-(0.455561,0.653631) 
66666#0-(0.443534,0.743297) 1-(0.482852,0.705886) 2-(0.509708,0.605322) 3-(0.523793,0.527125) 4-(0.512182,0.479751) 5-(0.44367,0.473036) 6-(0.43519,0.356201) 7-(0.459324,0.323604) 8-(0.488802,0.340147) 9-(0.411554,0.491664) 10-(0.461376,0.442298) 11-(0.490602,0.520906) 12-(0.492014,0.576389) 13-(0.392541,0.532904) 14-(0.457903,0.505099) 15-(0.477066,0.572904) 16-(0.466217,0.604509) 17-(0.384659,0.582827) 18-(0.443986,0.567172) 19-(0.46173,0.611891) 20-(0.450101,0.633401) 
100000#0-(0.439877,0.728597) 1-(0.479365,0.69377) 2-(0.507481,0.596298) 3-(0.523072,0.522243) 4-(0.513726,0.472217) 5-(0.444684,0.462572) 6-(0.437975,0.354209) 7-(0.459745,0.318226) 8-(0.487081,0.324073) 9-(0.412894,0.480435) 10-(0.462465,0.44033) 11-(0.49005,0.518817) 12-(0.492393,0.573482) 13-(0.394188,0.521438) 14-(0.45571,0.495255) 15-(0.474829,0.564149) 16-(0.467031,0.600335) 17-(0.386197,0.571654) 18-(0.44171,0.553055) 19-(0.460482,0.597759) 20-(0.452469,0.6238) 
133333#0-(0.436466,0.72656) 1-(0.478564,0.686358) 2-(0.505484,0.591533) 3-(0.518395,0.518756) 4-(0.50933,0.463234) 5-(0.447211,0.452527) 6-(0.440353,0.346529) 7-(0.459621,0.312009) 8-(0.484338,0.315314) 9-(0.415038,0.469423) 10-(0.464103,0.429564) 11-(0.486972,0.510809) 12-(0.486839,0.558064) 13-(0.395609,0.507113) 14-(0.459817,0.486742) 15-(0.472431,0.559061) 16-(0.458547,0.58689) 17-(0.386747,0.553138) 18-(0.443622,0.538437) 19-(0.457985,0.584942) 20-(0.444502,0.603465) 
166666#0-(0.439946,0.707955) 1-(0.477259,0.680487) 2-(0.506784,0.581276) 3-(0.521982,0.508759) 4-(0.512604,0.456639) 5-(0.447555,0.447972) 6-(0.442412,0.342964) 7-(0.462732,0.305925) 8-(0.48918,0.305613) 9-(0.415359,0.462715) 10-(0.463824,0.425157) 11-(0.485594,0.501134) 12-(0.486164,0.550507) 13-(0.39482,0.499244) 14-(0.455838,0.476167) 15-(0.471419,0.543923) 16-(0.461998,0.57673) 17-(0.38346,0.544542) 18-(0.438771,0.524958) 19-(0.456352,0.5693) 20-(0.447347,0.594342) 
200000#0-(0.437535,0.690519) 1-(0.472979,0.667944) 2-(0.500813,0.573169) 3-(0.516166,0.504867) 4-(0.510032,0.450998) 5-(0.444709,0.435745) 6-(0.440063,0.338272) 7-(0.460322,0.303257) 8-(0.487173,0.304919) 9-(0.412919,0.449242) 10-(0.457921,0.41385) 11-(0.481611,0.486527) 12-(0.486228,0.536275) 13-(0.393088,0.485941) 14-(0.452626,0.464113) 15-(0.468222,0.530864) 16-(0.460279,0.564713) 17-(0.383136,0.530723) 18-(0.437882,0.512913) 19-(0.454613,0.556794) 20-(0.446871,0.581603) 
233333#0-(0.43927,0.677386) 1-(0.473174,0.655716) 2-(0.500702,0.561536) 3-(0.515689,0.49181) 4-(0.50782,0.436628) 5-(0.446734,0.424948) 6-(0.441468,0.335897) 7-(0.460022,0.296184) 8-(0.485858,0.289488) 9-(0.414721,0.437025) 10-(0.45328,0.404176) 11-(0.478935,0.47744) 12-(0.485939,0.527374) 13-(0.394028,0.472851) 14-(0.44969,0.454686) 15-(0.466693,0.523983) 16-(0.459317,0.558071) 17-(0.382366,0.51744) 18-(0.435762,0.503065) 19-(0.453752,0.548078) 20-(0.446652,0.572954) 
266666#0-(0.43623,0.674287) 1-(0.470849,0.651632) 2-(0.498377,0.559471) 3-(0.513118,0.490217) 4-(0.504729,0.438084) 5-(0.444027,0.425357) 6-(0.438249,0.332051) 7-(0.457844,0.291387) 8-(0.484517,0.28585) 9-(0.4127,0.43816) 10-(0.450703,0.399931) 11-(0.476567,0.470198) 12-(0.483298,0.520219) 13-(0.392286,0.474307) 14-(0.447075,0.452185) 15-(0.464968,0.518999) 16-(0.458052,0.553207) 17-(0.380838,0.519489) 18-(0.433266,0.501362) 19-(0.451884,0.543937) 20-(0.445354,0.568671) 
300000#0-(0.4364,0.680169) 1-(0.472392,0.659072) 2-(0.49965,0.562473) 3-(0.512115,0.490173) 4-(0.504401,0.435328) 5-(0.442012,0.432144) 6-(0.435438,0.338899) 7-(0.454171,0.293416) 8-(0.479669,0.280462) 9-(0.411483,0.445083) 10-(0.451698,0.408986) 11-(0.473115,0.481578) 12-(0.474049,0.525883) 13-(0.39097,0.480263) 14-(0.445602,0.461022) 15-(0.461229,0.531079) 16-(0.451368,0.56145) 17-(0.379106,0.524498) 18-(0.430495,0.506264) 19-(0.44763,0.55097) 20-(0.438712,0.573694) 
333333#0-(0.43139,0.68835) 1-(0.466471,0.665438) 2-(0.496842,0.573104) 3-(0.513662,0.504348) 4-(0.50408,0.454076) 5-(0.437678,0.439914) 6-(0.434448,0.350071) 7-(0.453061,0.305366) 8-(0.476395,0.291581) 9-(0.407079,0.450012) 10-(0.452824,0.418068) 11-(0.477212,0.495337) 12-(0.477038,0.542464) 13-(0.387541,0.484427) 14-(0.443199,0.466632) 15-(0.460661,0.535191) 16-(0.451253,0.566013) 17-(0.377354,0.530108) 18-(0.427678,0.517426) 19-(0.446267,0.560767) 20-(0.43837,0.584236) 
366666#0-(0.432637,0.68782) 1-(0.468474,0.667594) 2-(0.497423,0.574823) 3-(0.510544,0.503399) 4-(0.502095,0.452092) 5-(0.439275,0.449495) 6-(0.434554,0.360328) 7-(0.450523,0.311001) 8-(0.471512,0.287351) 9-(0.409691,0.459807) 10-(0.448684,0.421587) 11-(0.472658,0.490612) 12-(0.473942,0.533913) 13-(0.389596,0.492912) 14-(0.441382,0.474952) 15-(0.458217,0.542554) 16-(0.44934,0.573811) 17-(0.378145,0.536068) 18-(0.427425,0.523663) 19-(0.444246,0.568181) 20-(0.43523,0.592031) 
400000#0-(0.429577,0.692184) 1-(0.466339,0.67309) 2-(0.497121,0.583708) 3-(0.510496,0.510122) 4-(0.500458,0.457481) 5-(0.441325,0.456373) 6-(0.434195,0.359245) 7-(0.451308,0.313852) 8-(0.473741,0.296838) 9-(0.412051,0.467537) 10-(0.449678,0.419761) 11-(0.473024,0.492479) 12-(0.473559,0.537404) 13-(0.39081,0.500715) 14-(0.439047,0.471343) 15-(0.457541,0.540972) 16-(0.449035,0.572171) 17-(0.377071,0.544892) 18-(0.423786,0.522704) 19-(0.443156,0.567399) 20-(0.435622,0.591614) 
