0#0-(0.401257,0.828234) 1-(0.450521,0.77622) 2-(0.479539,0.686661) 3-(0.500416,0.621954) 4-(0.528056,0.580292) 5-(0.421293,0.586158) 6-(0.439492,0.619179) 7-(0.448588,0.713224) 8-(0.450777,0.773757) 9-(0.383408,0.612218) 10-(0.408456,0.651329) 11-(0.423623,0.752254) 12-(0.429235,0.826109) 13-(0.352909,0.658351) 14-(0.373406,0.687797) 15-(0.396297,0.776328) 16-(0.40797,0.839937) 17-(0.333257,0.719064) 18-(0.318339,0.668731) 19-(0.311152,0.636642) 20-(0.306516,0.613625) 
33333#0-(0.397187,0.843112) 1-(0.450289,0.784787) 2-(0.481357,0.684751) 3-(0.505198,0.611764) 4-(0.535436,0.564264) 5-(0.428744,0.57798) 6-(0.444238,0.606551) 7-(0.453364,0.706486) 8-(0.456137,0.771193) 9-(0.389967,0.600121) 10-(0.408587,0.636992) 11-(0.427383,0.741528) 12-(0.436251,0.81709) 13-(0.358584,0.646178) 14-(0.371918,0.675308) 15-(0.399276,0.770134) 16-(0.416582,0.837578) 17-(0.335118,0.709428) 18-(0.320148,0.658597) 19-(0.31818,0.620213) 20-(0.317651,0.588147) 
66666#0-(0.405233,0.809691) 1-(0.457349,0.760385) 2-(0.487169,0.671086) 3-(0.508582,0.603826) 4-(0.538077,0.558223) 5-(0.434531,0.567707) 6-(0.449823,0.592862) 7-(0.457761,0.69295) 8-(0.460355,0.759612) 9-(0.396247,0.593171) 10-(0.414491,0.621736) 11-(0.428769,0.728942) 12-(0.435652,0.806974) 13-(0.364523,0.636226) 14-(0.378962,0.662274) 15-(0.400295,0.757086) 16-(0.413311,0.823615) 17-(0.342639,0.694518) 18-(0.328356,0.645803) 19-(0.32357,0.609901) 20-(0.32113,0.578277) 
100000#0-(0.408752,0.79764) 1-(0.45611,0.749007) 2-(0.486791,0.658278) 3-(0.508668,0.591998) 4-(0.537646,0.548322) 5-(0.433448,0.559401) 6-(0.448184,0.58375) 7-(0.456361,0.683055) 8-(0.459569,0.748963) 9-(0.394534,0.586098) 10-(0.414792,0.619283) 11-(0.428224,0.723825) 12-(0.433898,0.796319) 13-(0.362795,0.628028) 14-(0.380393,0.655065) 15-(0.400917,0.746474) 16-(0.41287,0.809347) 17-(0.341049,0.684389) 18-(0.328547,0.640666) 19-(0.32323,0.611087) 20-(0.319553,0.586056) 
133333#0-(0.411482,0.790629) 1-(0.457947,0.745157) 2-(0.488114,0.652488) 3-(0.508685,0.584678) 4-(0.538634,0.542656) 5-(0.434511,0.557631) 6-(0.448188,0.570247) 7-(0.458058,0.665817) 8-(0.462846,0.73231) 9-(0.396214,0.582934) 10-(0.413488,0.605427) 11-(0.42837,0.709652) 12-(0.435894,0.784683) 13-(0.364504,0.623406) 14-(0.37904,0.642446) 15-(0.399944,0.733741) 16-(0.412861,0.798198) 17-(0.341966,0.678256) 18-(0.329039,0.633858) 19-(0.324623,0.604882) 20-(0.321571,0.581581) 
166666#0-(0.406054,0.802735) 1-(0.452457,0.754143) 2-(0.484237,0.655075) 3-(0.505618,0.585174) 4-(0.537111,0.542603) 5-(0.43498,0.557623) 6-(0.447397,0.566936) 7-(0.454728,0.665417) 8-(0.459204,0.730653) 9-(0.396041,0.579968) 10-(0.412584,0.599736) 11-(0.42547,0.705412) 12-(0.432871,0.778901) 13-(0.363579,0.617915) 14-(0.377376,0.633494) 15-(0.396745,0.7278) 16-(0.409595,0.793252) 17-(0.339882,0.670706) 18-(0.329606,0.619216) 19-(0.328639,0.588176) 20-(0.329609,0.564617) 
200000#0-(0.406991,0.804007) 1-(0.45344,0.752245) 2-(0.484025,0.653933) 3-(0.504956,0.582716) 4-(0.535113,0.538748) 5-(0.434323,0.55919) 6-(0.447712,0.566084) 7-(0.454116,0.665058) 8-(0.457834,0.731082) 9-(0.395254,0.583109) 10-(0.413007,0.59745) 11-(0.425117,0.70307) 12-(0.432829,0.778016) 13-(0.362946,0.622338) 14-(0.377258,0.633096) 15-(0.396179,0.725397) 16-(0.409644,0.791456) 17-(0.340017,0.675719) 18-(0.329734,0.621314) 19-(0.328871,0.588555) 20-(0.33087,0.563513) 
233333#0-(0.406244,0.798463) 1-(0.453287,0.748915) 2-(0.481801,0.656032) 3-(0.502362,0.587022) 4-(0.533229,0.543798) 5-(0.430235,0.558993) 6-(0.44496,0.57243) 7-(0.453815,0.668057) 8-(0.458761,0.728901) 9-(0.392154,0.584193) 10-(0.412267,0.60677) 11-(0.426264,0.710323) 12-(0.434874,0.780845) 13-(0.361035,0.625012) 14-(0.376349,0.641385) 15-(0.397643,0.732011) 16-(0.411623,0.793771) 17-(0.339949,0.678759) 18-(0.328045,0.624224) 19-(0.324037,0.589275) 20-(0.322322,0.55914) 
266666#0-(0.405609,0.81976) 1-(0.452073,0.765846) 2-(0.482499,0.661103) 3-(0.504347,0.587267) 4-(0.534613,0.540402) 5-(0.430819,0.559198) 6-(0.44233,0.559471) 7-(0.450979,0.659553) 8-(0.456585,0.725916) 9-(0.39153,0.586403) 10-(0.405179,0.594908) 11-(0.421175,0.701209) 12-(0.432058,0.776807) 13-(0.358544,0.629329) 14-(0.368532,0.629451) 15-(0.392015,0.724899) 16-(0.408519,0.798511) 17-(0.335083,0.686147) 18-(0.321503,0.627881) 19-(0.32144,0.597336) 20-(0.323675,0.578247) 
300000#0-(0.397435,0.830826) 1-(0.449404,0.773154) 2-(0.480837,0.662468) 3-(0.502948,0.578642) 4-(0.534591,0.527914) 5-(0.430054,0.561435) 6-(0.440221,0.55422) 7-(0.448873,0.653057) 8-(0.452813,0.721288) 9-(0.390361,0.583388) 10-(0.401305,0.589056) 11-(0.419836,0.690139) 12-(0.432469,0.764911) 13-(0.357991,0.626339) 14-(0.364517,0.626287) 15-(0.38989,0.71878) 16-(0.408248,0.789563) 17-(0.334277,0.683922) 18-(0.31977,0.629054) 19-(0.315863,0.59521) 20-(0.314382,0.567831) 
333333#0-(0.397334,0.825648) 1-(0.447828,0.771937) 2-(0.479339,0.66401) 3-(0.501244,0.581805) 4-(0.530876,0.530682) 5-(0.429894,0.559551) 6-(0.440127,0.561293) 7-(0.446712,0.660225) 8-(0.449594,0.727134) 9-(0.389792,0.580772) 10-(0.402,0.593465) 11-(0.41904,0.696839) 12-(0.430043,0.773073) 13-(0.35714,0.623614) 14-(0.364907,0.629531) 15-(0.388932,0.723709) 16-(0.405898,0.794889) 17-(0.333441,0.68227) 18-(0.319291,0.624647) 19-(0.315999,0.587822) 20-(0.315368,0.557945) 
366666#0-(0.395998,0.822791) 1-(0.446029,0.772809) 2-(0.479311,0.66643) 3-(0.502315,0.584119) 4-(0.531544,0.533888) 5-(0.429993,0.565011) 6-(0.436684,0.554126) 7-(0.443416,0.649658) 8-(0.447112,0.717683) 9-(0.389928,0.589102) 10-(0.397778,0.591231) 11-(0.415149,0.69458) 12-(0.427306,0.769775) 13-(0.356803,0.630985) 14-(0.362401,0.630679) 15-(0.386032,0.724399) 16-(0.403152,0.795738) 17-(0.332386,0.685812) 18-(0.319328,0.634336) 19-(0.31761,0.599969) 20-(0.317323,0.572392) 
400000#0-(0.398495,0.81358) 1-(0.446683,0.765314) 2-(0.475566,0.663817) 3-(0.497015,0.586989) 4-(0.527941,0.53683) 5-(0.428406,0.562836) 6-(0.435005,0.559569) 7-(0.441586,0.658135) 8-(0.446199,0.726099) 9-(0.389957,0.585785) 10-(0.398472,0.594189) 11-(0.415011,0.700547) 12-(0.426587,0.777494) 13-(0.357404,0.626627) 14-(0.362132,0.632561) 15-(0.386186,0.728188) 16-(0.404441,0.800073) 17-(0.333067,0.681771) 18-(0.319072,0.630053) 19-(0.315914,0.595979) 20-(0.315572,0.569256) 
433333#0-(0.400544,0.811687) 1-(0.444447,0.755726) 2-(0.471828,0.656576) 3-(0.493208,0.583609) 4-(0.525661,0.540354) 5-(0.422598,0.562641) 6-(0.434048,0.5587) 7-(0.442141,0.655933) 8-(0.447857,0.717062) 9-(0.385555,0.588244) 10-(0.400145,0.591719) 11-(0.415192,0.694639) 12-(0.425032,0.767107) 13-(0.354735,0.630078) 14-(0.36373,0.629782) 15-(0.385494,0.72074) 16-(0.40162,0.786408) 17-(0.332888,0.683292) 18-(0.317355,0.622132) 19-(0.312409,0.58376) 20-(0.310958,0.551903) 
466666#0-(0.402525,0.811938) 1-(0.447626,0.754853) 2-(0.473913,0.652173) 3-(0.493969,0.576865) 4-(0.527165,0.533637) 5-(0.423806,0.558165) 6-(0.433244,0.555928) 7-(0.442199,0.655568) 8-(0.448053,0.72077) 9-(0.385649,0.583182) 10-(0.397238,0.591637) 11-(0.414912,0.697667) 12-(0.427151,0.773683) 13-(0.35469,0.626404) 14-(0.361253,0.631714) 15-(0.385434,0.724779) 16-(0.403703,0.793708) 17-(0.332272,0.682116) 18-(0.314592,0.623947) 19-(0.309675,0.587343) 20-(0.308925,0.559352) 
500000#0-(0.399678,0.821701) 1-(0.445672,0.759579) 2-(0.472923,0.654931) 3-(0.492651,0.576181) 4-(0.525558,0.527934) 5-(0.42411,0.555995) 6-(0.431703,0.557993) 7-(0.439485,0.656381) 8-(0.444507,0.722602) 9-(0.385631,0.579732) 10-(0.395879,0.592047) 11-(0.413892,0.696907) 12-(0.425507,0.772192) 13-(0.354172,0.624046) 14-(0.358985,0.627607) 15-(0.384531,0.722024) 16-(0.403604,0.79141) 17-(0.330628,0.682978) 18-(0.313764,0.622229) 19-(0.308172,0.584546) 20-(0.305396,0.551624) 
533333#0-(0.400565,0.809236) 1-(0.447738,0.751746) 2-(0.474248,0.651379) 3-(0.495254,0.577891) 4-(0.528634,0.533556) 5-(0.424062,0.558659) 6-(0.432469,0.558938) 7-(0.440703,0.656975) 8-(0.446298,0.723895) 9-(0.386796,0.58292) 10-(0.396555,0.593899) 11-(0.413831,0.698528) 12-(0.425827,0.774205) 13-(0.356413,0.626195) 14-(0.361084,0.634199) 15-(0.38585,0.728172) 16-(0.40471,0.796906) 17-(0.333978,0.683317) 18-(0.317955,0.628385) 19-(0.312057,0.591393) 20-(0.308806,0.561611) 
566666#0-(0.398893,0.813484) 1-(0.44616,0.761274) 2-(0.476026,0.657837) 3-(0.499101,0.578202) 4-(0.533135,0.525755) 5-(0.429461,0.559283) 6-(0.433053,0.554775) 7-(0.440191,0.652574) 8-(0.44635,0.723753) 9-(0.390568,0.582552) 10-(0.396128,0.589453) 11-(0.414411,0.695853) 12-(0.428371,0.7747) 13-(0.357782,0.624393) 14-(0.36034,0.627636) 15-(0.386085,0.723702) 16-(0.406281,0.797633) 17-(0.333474,0.681572) 18-(0.318512,0.635298) 19-(0.315124,0.606303) 20-(0.314218,0.583651) 
600000#0-(0.400836,0.809041) 1-(0.445905,0.752449) 2-(0.472559,0.652028) 3-(0.493116,0.578994) 4-(0.527083,0.535242) 5-(0.421665,0.55924) 6-(0.430364,0.561988) 7-(0.439316,0.661968) 8-(0.445388,0.727495) 9-(0.384532,0.583529) 10-(0.395026,0.598555) 11-(0.412527,0.704211) 12-(0.424529,0.778223) 13-(0.354386,0.626799) 14-(0.360058,0.636621) 15-(0.384677,0.730886) 16-(0.403537,0.799199) 17-(0.332558,0.684085) 18-(0.316386,0.630226) 19-(0.311076,0.594585) 20-(0.30867,0.565441) 
