0#0-(0.369007,0.662302) 1-(0.398706,0.65486) 2-(0.420444,0.585144) 3-(0.420715,0.542684) 4-(0.41381,0.499289) 5-(0.394312,0.44861) 6-(0.389708,0.363271) 7-(0.385862,0.31282) 8-(0.37877,0.268612) 9-(0.360148,0.453482) 10-(0.370102,0.425334) 11-(0.385566,0.496276) 12-(0.387728,0.534235) 13-(0.330909,0.488042) 14-(0.344834,0.491751) 15-(0.363095,0.555764) 16-(0.36807,0.581192) 17-(0.306168,0.535321) 18-(0.320098,0.542139) 19-(0.336372,0.587637) 20-(0.340028,0.602681) 
33333#0-(0.386508,0.689639) 1-(0.426994,0.663615) 2-(0.450973,0.599343) 3-(0.450517,0.558269) 4-(0.444929,0.527796) 5-(0.416149,0.478923) 6-(0.424632,0.421865) 7-(0.429984,0.40905) 8-(0.428504,0.399645) 9-(0.378653,0.488337) 10-(0.391048,0.511009) 11-(0.408886,0.579233) 12-(0.413084,0.607028) 13-(0.350197,0.526121) 14-(0.365019,0.582336) 15-(0.386188,0.642445) 16-(0.391434,0.660551) 17-(0.328846,0.57455) 18-(0.337786,0.617468) 19-(0.357048,0.666743) 20-(0.3622,0.682365) 
66666#0-(0.407391,0.758511) 1-(0.451892,0.738488) 2-(0.472529,0.675856) 3-(0.48328,0.635042) 4-(0.491622,0.609871) 5-(0.452035,0.560425) 6-(0.451184,0.453477) 7-(0.448412,0.396029) 8-(0.442008,0.35545) 9-(0.419505,0.568548) 10-(0.425957,0.527532) 11-(0.445751,0.581835) 12-(0.453567,0.627058) 13-(0.39089,0.605987) 14-(0.397703,0.597328) 15-(0.420806,0.64865) 16-(0.432007,0.683514) 17-(0.36896,0.652362) 18-(0.379999,0.664694) 19-(0.400049,0.702919) 20-(0.408766,0.723059) 
100000#0-(0.424852,0.791607) 1-(0.481479,0.750331) 2-(0.504778,0.704089) 3-(0.511124,0.672772) 4-(0.510892,0.660081) 5-(0.472281,0.548887) 6-(0.478326,0.449546) 7-(0.48778,0.428198) 8-(0.494725,0.423449) 9-(0.433221,0.564703) 10-(0.452574,0.551839) 11-(0.483404,0.625817) 12-(0.5004,0.678689) 13-(0.404916,0.612871) 14-(0.424305,0.647975) 15-(0.453679,0.722888) 16-(0.472067,0.762955) 17-(0.384805,0.665334) 18-(0.397468,0.712602) 19-(0.419428,0.774758) 20-(0.436091,0.808868) 
133333#0-(0.444452,0.809592) 1-(0.502487,0.780921) 2-(0.537348,0.742012) 3-(0.555481,0.718748) 4-(0.560167,0.718607) 5-(0.487585,0.608042) 6-(0.502857,0.562938) 7-(0.526639,0.600131) 8-(0.541569,0.632553) 9-(0.446219,0.623345) 10-(0.474775,0.621972) 11-(0.505979,0.686674) 12-(0.519006,0.727062) 13-(0.415788,0.672375) 14-(0.439776,0.690609) 15-(0.468883,0.751011) 16-(0.483216,0.787755) 17-(0.396687,0.733007) 18-(0.407206,0.766003) 19-(0.423465,0.818687) 20-(0.433941,0.857754) 
166666#0-(0.47396,0.779278) 1-(0.520598,0.744754) 2-(0.546111,0.705419) 3-(0.560612,0.682926) 4-(0.57336,0.671824) 5-(0.493873,0.619976) 6-(0.537846,0.646656) 7-(0.556634,0.684833) 8-(0.563575,0.709292) 9-(0.462997,0.666932) 10-(0.513631,0.708482) 11-(0.534379,0.75252) 12-(0.537041,0.775381) 13-(0.440931,0.725007) 14-(0.477872,0.760656) 15-(0.502171,0.804055) 16-(0.510698,0.824988) 17-(0.424738,0.788503) 18-(0.440457,0.823491) 19-(0.44506,0.85334) 20-(0.440331,0.871257) 
200000#0-(0.489679,0.838723) 1-(0.536307,0.810234) 2-(0.564684,0.773256) 3-(0.583624,0.750877) 4-(0.601719,0.738569) 5-(0.532247,0.667678) 6-(0.577959,0.670208) 7-(0.594582,0.709197) 8-(0.60018,0.741263) 9-(0.498226,0.698534) 10-(0.547529,0.725445) 11-(0.562098,0.776325) 12-(0.561126,0.804718) 13-(0.470691,0.743792) 14-(0.509258,0.76455) 15-(0.527002,0.811294) 16-(0.53054,0.839032) 17-(0.448316,0.794433) 18-(0.461163,0.815669) 19-(0.463236,0.840189) 20-(0.458108,0.854135) 
233333#0-(0.480554,0.905361) 1-(0.542263,0.897092) 2-(0.574074,0.861469) 3-(0.600219,0.844056) 4-(0.634199,0.840566) 5-(0.550979,0.703526) 6-(0.587612,0.66567) 7-(0.611301,0.658212) 8-(0.623589,0.652115) 9-(0.520494,0.697005) 10-(0.580518,0.745758) 11-(0.585146,0.811446) 12-(0.567008,0.830056) 13-(0.496139,0.731759) 14-(0.550721,0.782539) 15-(0.553121,0.841039) 16-(0.534636,0.856395) 17-(0.475097,0.781407) 18-(0.5153,0.826779) 19-(0.518564,0.87158) 20-(0.503579,0.880382) 
266666#0-(0.490629,0.920733) 1-(0.553627,0.914908) 2-(0.58614,0.881321) 3-(0.615779,0.867104) 4-(0.647827,0.865263) 5-(0.564584,0.7132) 6-(0.60584,0.683092) 7-(0.627657,0.678177) 8-(0.639281,0.673609) 9-(0.533106,0.710313) 10-(0.601126,0.781422) 11-(0.596269,0.845361) 12-(0.570196,0.85854) 13-(0.507989,0.7467) 14-(0.569915,0.810699) 15-(0.566899,0.866333) 16-(0.544286,0.877436) 17-(0.486727,0.797457) 18-(0.532578,0.845267) 19-(0.534573,0.89075) 20-(0.518837,0.9022) 
300000#0-(0.501119,0.904404) 1-(0.558338,0.896829) 2-(0.591339,0.856873) 3-(0.620156,0.833673) 4-(0.652585,0.83559) 5-(0.567854,0.731136) 6-(0.607502,0.709355) 7-(0.630242,0.701634) 8-(0.646645,0.681661) 9-(0.539582,0.726384) 10-(0.607713,0.785835) 11-(0.608471,0.847729) 12-(0.592287,0.865044) 13-(0.517233,0.760952) 14-(0.579081,0.823991) 15-(0.578732,0.878752) 16-(0.564027,0.890323) 17-(0.500765,0.813101) 18-(0.546132,0.860102) 19-(0.554335,0.894992) 20-(0.547586,0.901134) 
