0#0-(0.384192,0.777339) 1-(0.415502,0.743294) 2-(0.431424,0.664354) 3-(0.445172,0.618189) 4-(0.468069,0.591285) 5-(0.386253,0.578055) 6-(0.380187,0.512004) 7-(0.378088,0.475879) 8-(0.373809,0.442071) 9-(0.355889,0.598546) 10-(0.371452,0.586029) 11-(0.391767,0.640815) 12-(0.393892,0.667042) 13-(0.333523,0.641758) 14-(0.348145,0.641834) 15-(0.370027,0.683738) 16-(0.373554,0.698766) 17-(0.316978,0.69066) 18-(0.326468,0.696683) 19-(0.347734,0.720913) 20-(0.354305,0.729784) 
33333#0-(0.40829,0.828519) 1-(0.450386,0.792895) 2-(0.468584,0.720085) 3-(0.486238,0.670644) 4-(0.516131,0.642307) 5-(0.426178,0.640093) 6-(0.431139,0.576353) 7-(0.440884,0.538827) 8-(0.447997,0.506174) 9-(0.397437,0.655096) 10-(0.419124,0.630647) 11-(0.438228,0.66037) 12-(0.442613,0.681813) 13-(0.377857,0.696544) 14-(0.397293,0.701741) 15-(0.416746,0.723981) 16-(0.420655,0.733963) 17-(0.365874,0.743512) 18-(0.386109,0.763119) 19-(0.402224,0.779723) 20-(0.403723,0.783098) 
66666#0-(0.424366,0.827261) 1-(0.476296,0.767538) 2-(0.493828,0.691456) 3-(0.508298,0.640739) 4-(0.530042,0.607298) 5-(0.431704,0.594214) 6-(0.47237,0.595643) 7-(0.484094,0.625947) 8-(0.483342,0.641786) 9-(0.398954,0.626001) 10-(0.465372,0.669664) 11-(0.476124,0.708958) 12-(0.468842,0.721696) 13-(0.379936,0.681805) 14-(0.44294,0.732753) 15-(0.454979,0.763579) 16-(0.448828,0.77692) 17-(0.368976,0.746661) 18-(0.419356,0.79513) 19-(0.431295,0.820442) 20-(0.424564,0.831747) 
100000#0-(0.448627,0.832762) 1-(0.489969,0.778756) 2-(0.509669,0.724339) 3-(0.527961,0.685714) 4-(0.550608,0.651174) 5-(0.456468,0.65123) 6-(0.493766,0.648225) 7-(0.512121,0.668198) 8-(0.518643,0.680374) 9-(0.429263,0.678557) 10-(0.472283,0.717847) 11-(0.492576,0.751338) 12-(0.495251,0.765582) 13-(0.41114,0.725221) 14-(0.447455,0.76708) 15-(0.468215,0.798466) 16-(0.471235,0.813909) 17-(0.399426,0.777816) 18-(0.420019,0.821768) 19-(0.433522,0.852132) 20-(0.435854,0.871261) 
133333#0-(0.460749,0.850313) 1-(0.504275,0.811759) 2-(0.530077,0.773418) 3-(0.557416,0.754094) 4-(0.587669,0.744769) 5-(0.477506,0.679784) 6-(0.52218,0.686863) 7-(0.544228,0.693784) 8-(0.555104,0.696324) 9-(0.448365,0.708273) 10-(0.499024,0.752457) 11-(0.517625,0.788846) 12-(0.51763,0.80559) 13-(0.429983,0.757896) 14-(0.470481,0.798467) 15-(0.490628,0.83616) 16-(0.494345,0.853776) 17-(0.417077,0.818489) 18-(0.440873,0.85452) 19-(0.453734,0.886011) 20-(0.454379,0.906032) 
166666#0-(0.467359,0.911937) 1-(0.515789,0.867) 2-(0.546559,0.821038) 3-(0.574248,0.794295) 4-(0.602094,0.778403) 5-(0.49708,0.712913) 6-(0.541343,0.705272) 7-(0.569172,0.728381) 8-(0.581347,0.745098) 9-(0.470371,0.734716) 10-(0.525577,0.772163) 11-(0.545232,0.815214) 12-(0.540398,0.830659) 13-(0.452451,0.780859) 14-(0.496168,0.809915) 15-(0.513339,0.850338) 16-(0.508996,0.865043) 17-(0.438106,0.836338) 18-(0.466308,0.864524) 19-(0.478596,0.893047) 20-(0.474078,0.904984) 
200000#0-(0.487314,0.905896) 1-(0.527976,0.863816) 2-(0.558739,0.828475) 3-(0.589261,0.810261) 4-(0.619296,0.799282) 5-(0.519252,0.729278) 6-(0.567705,0.730161) 7-(0.588517,0.754214) 8-(0.597346,0.770222) 9-(0.493015,0.754476) 10-(0.542897,0.791803) 11-(0.556523,0.835283) 12-(0.551336,0.856017) 13-(0.47316,0.79901) 14-(0.507926,0.827598) 15-(0.520989,0.865665) 16-(0.518577,0.880762) 17-(0.45775,0.850858) 18-(0.476559,0.883203) 19-(0.486409,0.90793) 20-(0.485662,0.91977) 
233333#0-(0.495362,0.900304) 1-(0.533744,0.863537) 2-(0.562359,0.827197) 3-(0.589368,0.808221) 4-(0.617652,0.797312) 5-(0.525869,0.745757) 6-(0.570347,0.756974) 7-(0.592739,0.784863) 8-(0.604977,0.809631) 9-(0.500415,0.776133) 10-(0.548406,0.816559) 11-(0.568773,0.856246) 12-(0.570728,0.872897) 13-(0.481531,0.818536) 14-(0.517992,0.846053) 15-(0.536458,0.885271) 16-(0.53873,0.902359) 17-(0.466944,0.86586) 18-(0.489291,0.897183) 19-(0.501156,0.921536) 20-(0.501049,0.933454) 
266666#0-(0.503816,0.904353) 1-(0.541559,0.868265) 2-(0.567406,0.829054) 3-(0.592505,0.810139) 4-(0.619104,0.798636) 5-(0.531582,0.750613) 6-(0.574135,0.766821) 7-(0.595685,0.799074) 8-(0.607288,0.823072) 9-(0.506855,0.781435) 10-(0.554069,0.826384) 11-(0.573231,0.865422) 12-(0.574001,0.880158) 13-(0.489099,0.824851) 14-(0.526339,0.859224) 15-(0.543471,0.896844) 16-(0.544245,0.911554) 17-(0.475499,0.872852) 18-(0.497812,0.90518) 19-(0.509507,0.927249) 20-(0.508578,0.937809) 
300000#0-(0.505713,0.876814) 1-(0.541665,0.852018) 2-(0.566774,0.822157) 3-(0.58549,0.80929) 4-(0.607455,0.799159) 5-(0.530166,0.755086) 6-(0.567098,0.766794) 7-(0.591493,0.795807) 8-(0.607476,0.820102) 9-(0.5044,0.79306) 10-(0.53988,0.82545) 11-(0.5655,0.861239) 12-(0.57374,0.878136) 13-(0.485463,0.83683) 14-(0.511165,0.872142) 15-(0.5374,0.907861) 16-(0.548531,0.922207) 17-(0.47199,0.880748) 18-(0.485265,0.919458) 19-(0.502761,0.944628) 20-(0.510299,0.958155) 
333333#0-(0.501181,0.890816) 1-(0.541018,0.866543) 2-(0.565735,0.835689) 3-(0.586819,0.823781) 4-(0.61401,0.814466) 5-(0.52474,0.761839) 6-(0.558913,0.775731) 7-(0.586465,0.807163) 8-(0.60575,0.831149) 9-(0.498421,0.794786) 10-(0.529446,0.829497) 11-(0.557635,0.86912) 12-(0.569157,0.884316) 13-(0.478965,0.836601) 14-(0.499039,0.872679) 15-(0.526158,0.912429) 16-(0.538706,0.929683) 17-(0.465732,0.879926) 18-(0.476116,0.923784) 19-(0.492693,0.953419) 20-(0.500797,0.969546) 
366666#0-(0.472903,0.935863) 1-(0.521047,0.907339) 2-(0.553413,0.87463) 3-(0.584614,0.855122) 4-(0.614159,0.8408) 5-(0.512711,0.776994) 6-(0.558851,0.771853) 7-(0.587727,0.785442) 8-(0.609242,0.790951) 9-(0.487052,0.798717) 10-(0.536311,0.83718) 11-(0.54667,0.876051) 12-(0.545431,0.882793) 13-(0.46747,0.841246) 14-(0.508844,0.879357) 15-(0.517241,0.914562) 16-(0.51332,0.920734) 17-(0.451761,0.89158) 18-(0.477005,0.918091) 19-(0.485286,0.942405) 20-(0.48424,0.952018) 
400000#0-(0.449237,0.948457) 1-(0.501997,0.90538) 2-(0.540094,0.856709) 3-(0.567794,0.834888) 4-(0.596016,0.830139) 5-(0.494193,0.78254) 6-(0.523766,0.766978) 7-(0.546918,0.758528) 8-(0.567587,0.748604) 9-(0.467915,0.799147) 10-(0.513718,0.831701) 11-(0.532229,0.867679) 12-(0.5392,0.88086) 13-(0.449681,0.840345) 14-(0.497861,0.886546) 15-(0.509389,0.914603) 16-(0.506127,0.914686) 17-(0.435024,0.890171) 18-(0.47565,0.92511) 19-(0.486692,0.942808) 20-(0.483569,0.936052) 
433333#0-(0.421849,0.897509) 1-(0.461916,0.858177) 2-(0.503621,0.836448) 3-(0.538887,0.822745) 4-(0.568189,0.814771) 5-(0.487776,0.831405) 6-(0.527287,0.854928) 7-(0.544456,0.870583) 8-(0.553925,0.883717) 9-(0.473739,0.857956) 10-(0.491867,0.909117) 11-(0.476438,0.912413) 12-(0.465203,0.906682) 13-(0.457492,0.892275) 14-(0.470464,0.93844) 15-(0.45754,0.934884) 16-(0.447484,0.924967) 17-(0.444421,0.92283) 18-(0.451488,0.956709) 19-(0.441916,0.949785) 20-(0.437046,0.937445) 
466666#0-(0.389497,0.904299) 1-(0.446572,0.888179) 2-(0.487758,0.879533) 3-(0.52497,0.883089) 4-(0.560244,0.895284) 5-(0.459979,0.84453) 6-(0.490895,0.841242) 7-(0.512349,0.844294) 8-(0.524433,0.849075) 9-(0.438853,0.856167) 10-(0.456646,0.876596) 11-(0.457718,0.885316) 12-(0.457295,0.886836) 13-(0.416541,0.880862) 14-(0.431195,0.906945) 15-(0.431757,0.910702) 16-(0.429446,0.9078) 17-(0.396646,0.906781) 18-(0.403404,0.925764) 19-(0.404644,0.924688) 20-(0.404267,0.917849) 
500000#0-(0.349246,0.908064) 1-(0.402533,0.902233) 2-(0.452611,0.884778) 3-(0.494915,0.887602) 4-(0.526603,0.904122) 5-(0.412567,0.826342) 6-(0.457166,0.849063) 7-(0.468737,0.873627) 8-(0.469894,0.876414) 9-(0.384339,0.840705) 10-(0.431545,0.888862) 11-(0.438517,0.911549) 12-(0.436799,0.911227) 13-(0.36196,0.870228) 14-(0.402221,0.915421) 15-(0.41014,0.933766) 16-(0.411348,0.933796) 17-(0.344564,0.902852) 18-(0.374379,0.939101) 19-(0.3839,0.953414) 20-(0.387529,0.957598) 
533333#0-(0.347784,0.994035) 1-(0.395841,0.973167) 2-(0.430178,0.938783) 3-(0.464163,0.925236) 4-(0.498872,0.920606) 5-(0.386398,0.841971) 6-(0.384829,0.794558) 7-(0.396414,0.816151) 8-(0.407099,0.832596) 9-(0.353377,0.863111) 10-(0.348424,0.828165) 11-(0.371441,0.876474) 12-(0.385371,0.896874) 13-(0.325642,0.904467) 14-(0.321684,0.889914) 15-(0.344598,0.941255) 16-(0.355899,0.968438) 17-(0.302625,0.944282) 18-(0.301165,0.959846) 19-(0.318243,1.00648) 20-(0.32847,1.03648) 
566666#0-(0.337048,0.94836) 1-(0.383504,0.932157) 2-(0.414557,0.908522) 3-(0.426535,0.905002) 4-(0.433445,0.917464) 5-(0.361352,0.829437) 6-(0.349445,0.805048) 7-(0.350066,0.845206) 8-(0.356024,0.880516) 9-(0.324661,0.858803) 10-(0.310992,0.859618) 11-(0.321237,0.915008) 12-(0.333011,0.952255) 13-(0.29934,0.903656) 14-(0.290591,0.92967) 15-(0.306338,0.986366) 16-(0.320211,1.01994) 17-(0.28146,0.943304) 18-(0.280547,0.994037) 19-(0.289024,1.03837) 20-(0.296943,1.05957) 
600000#0-(0.310828,0.946821) 1-(0.356932,0.933963) 2-(0.389947,0.916376) 3-(0.411031,0.905469) 4-(0.427462,0.91208) 5-(0.340948,0.831721) 6-(0.34147,0.804883) 7-(0.338352,0.830248) 8-(0.337992,0.862553) 9-(0.307392,0.854993) 10-(0.309385,0.854894) 11-(0.315403,0.909574) 12-(0.32127,0.960429) 13-(0.281906,0.891452) 14-(0.287971,0.925579) 15-(0.299668,0.984227) 16-(0.308573,1.02791) 17-(0.262241,0.929448) 18-(0.26592,0.970005) 19-(0.274133,1.01737) 20-(0.281264,1.04891) 
633333#0-(0.300488,0.954455) 1-(0.346815,0.941541) 2-(0.373318,0.917819) 3-(0.384427,0.914326) 4-(0.392314,0.923011) 5-(0.325671,0.830949) 6-(0.328433,0.789499) 7-(0.324654,0.806747) 8-(0.321006,0.83107) 9-(0.292595,0.846613) 10-(0.293493,0.823935) 11-(0.305009,0.876779) 12-(0.31229,0.92284) 13-(0.269726,0.877813) 14-(0.273065,0.891796) 15-(0.285218,0.945409) 16-(0.291526,0.982126) 17-(0.253,0.914427) 18-(0.253412,0.927546) 19-(0.261793,0.965102) 20-(0.266054,0.994058) 
666666#0-(0.317916,0.959532) 1-(0.347199,0.909987) 2-(0.356035,0.86678) 3-(0.343808,0.851772) 4-(0.319467,0.862889) 5-(0.298371,0.854306) 6-(0.28955,0.858391) 7-(0.294144,0.894513) 8-(0.294925,0.92856) 9-(0.274881,0.885611) 10-(0.267756,0.916036) 11-(0.282888,0.960097) 12-(0.288007,0.994865) 13-(0.261552,0.923027) 14-(0.262512,0.968852) 15-(0.276385,1.00278) 16-(0.27653,1.02219) 17-(0.255464,0.954499) 18-(0.254952,0.984398) 19-(0.264452,1.00813) 20-(0.265355,1.02486) 
700000#0-(0.305969,0.972264) 1-(0.340998,0.916751) 2-(0.351487,0.873158) 3-(0.33941,0.85646) 4-(0.312488,0.867701) 5-(0.30187,0.865542) 6-(0.303168,0.888773) 7-(0.312323,0.931965) 8-(0.314901,0.965418) 9-(0.272522,0.889953) 10-(0.280133,0.940342) 11-(0.29394,0.977961) 12-(0.296503,0.999462) 13-(0.25377,0.922351) 14-(0.272023,0.980214) 15-(0.287005,1.00046) 16-(0.286526,1.00757) 17-(0.241581,0.949609) 18-(0.257111,0.989026) 19-(0.270001,1.00272) 20-(0.271952,1.01123) 
733333#0-(0.31629,0.991835) 1-(0.344284,0.93662) 2-(0.353855,0.882706) 3-(0.342858,0.860703) 4-(0.317748,0.870429) 5-(0.300405,0.856087) 6-(0.304469,0.874293) 7-(0.314956,0.918531) 8-(0.316038,0.951793) 9-(0.273582,0.881727) 10-(0.285752,0.935353) 11-(0.303077,0.973815) 12-(0.306147,0.99594) 13-(0.257991,0.918658) 14-(0.277799,0.974238) 15-(0.29534,0.998623) 16-(0.295668,1.01198) 17-(0.248404,0.952473) 18-(0.26059,0.985342) 19-(0.273825,0.998893) 20-(0.276046,1.01082) 
766666#0-(0.313344,0.976369) 1-(0.344226,0.926103) 2-(0.354062,0.87683) 3-(0.34097,0.854815) 4-(0.314274,0.864344) 5-(0.303656,0.863247) 6-(0.307291,0.88086) 7-(0.317267,0.921143) 8-(0.318616,0.95491) 9-(0.27619,0.888877) 10-(0.288542,0.939072) 11-(0.301892,0.974694) 12-(0.303252,0.997106) 13-(0.25983,0.923486) 14-(0.281534,0.97728) 15-(0.295709,0.99942) 16-(0.294499,1.01321) 17-(0.248964,0.954376) 18-(0.263967,0.988359) 19-(0.275957,1.00096) 20-(0.277178,1.01299) 
800000#0-(0.309857,0.947453) 1-(0.338425,0.89632) 2-(0.349283,0.856706) 3-(0.335519,0.844727) 4-(0.31085,0.85769) 5-(0.297417,0.867008) 6-(0.293446,0.892517) 7-(0.303103,0.936802) 8-(0.308121,0.975381) 9-(0.273927,0.902483) 10-(0.275985,0.951871) 11-(0.296208,0.993161) 12-(0.304138,1.01765) 13-(0.259943,0.939992) 14-(0.271741,0.999898) 15-(0.291804,1.02414) 16-(0.295208,1.03142) 17-(0.253356,0.96733) 18-(0.262564,1.00687) 19-(0.276569,1.02447) 20-(0.279431,1.03502) 
833333#0-(0.320963,0.978051) 1-(0.344399,0.93759) 2-(0.346953,0.890145) 3-(0.33592,0.875179) 4-(0.322556,0.869906) 5-(0.303701,0.851571) 6-(0.314615,0.856086) 7-(0.322362,0.867017) 8-(0.32671,0.87886) 9-(0.277069,0.881371) 10-(0.318116,0.940452) 11-(0.343162,0.975787) 12-(0.353023,0.990382) 13-(0.265935,0.925261) 14-(0.316142,0.987942) 15-(0.33597,1.00266) 16-(0.338229,1.0033) 17-(0.261356,0.971208) 18-(0.29667,1.01254) 19-(0.316232,1.0231) 20-(0.319797,1.02581) 
